,Date,NAV
1,2019-05-30,19.62
2,2019-05-29,19.54
3,2019-05-28,19.77
4,2019-05-24,19.98
5,2019-05-23,19.76
6,2019-05-22,20.12
7,2019-05-21,20.25
8,2019-05-20,20.13
9,2019-05-17,20.14
10,2019-05-16,20.25
11,2019-05-15,20.15
12,2019-05-14,20.16
13,2019-05-13,20.04
14,2019-05-10,20.46
15,2019-05-09,20.15
16,2019-05-08,20.45
17,2019-05-07,20.36
18,2019-05-06,20.70
19,2019-05-03,20.98
20,2019-05-02,20.94
21,2019-05-01,21.15
22,2019-04-30,21.24
23,2019-04-29,21.20
24,2019-04-26,21.10
25,2019-04-25,21.18
26,2019-04-24,21.31
27,2019-04-23,21.64
28,2019-04-22,21.70
29,2019-04-18,21.64
30,2019-04-17,21.73
31,2019-04-16,21.46
32,2019-04-15,21.49
33,2019-04-12,21.33
34,2019-04-11,20.90
35,2019-04-10,20.69
36,2019-04-09,20.53
37,2019-04-08,20.57
38,2019-04-05,20.64
39,2019-04-04,20.48
40,2019-04-03,20.53
41,2019-04-02,20.32
42,2019-04-01,20.24
43,2019-03-29,19.89
44,2019-03-28,19.78
45,2019-03-27,19.94
46,2019-03-26,19.92
47,2019-03-25,19.87
48,2019-03-22,19.95
49,2019-03-21,20.42
50,2019-03-20,20.44
51,2019-03-19,20.36
52,2019-03-18,20.27
53,2019-03-15,20.03
54,2019-03-14,19.96
55,2019-03-13,19.77
56,2019-03-12,19.36
57,2019-03-11,19.33
58,2019-03-08,19.23
59,2019-03-07,19.30
60,2019-03-06,19.80
61,2019-03-05,20.07
62,2019-03-04,20.20
63,2019-03-01,20.26
64,2019-02-28,20.11
65,2019-02-27,20.01
66,2019-02-26,20.00
67,2019-02-25,19.95
68,2019-02-22,19.98
69,2019-02-21,19.96
70,2019-02-20,20.23
71,2019-02-19,20.01
72,2019-02-15,19.99
73,2019-02-14,19.57
74,2019-02-13,19.72
75,2019-02-12,19.97
76,2019-02-11,19.65
77,2019-02-08,19.73
78,2019-02-07,19.86
79,2019-02-06,20.16
80,2019-02-05,20.10
81,2019-02-04,20.06
82,2019-02-01,20.02
83,2019-01-31,19.96
84,2019-01-30,20.15
85,2019-01-29,19.79
86,2019-01-28,19.79
87,2019-01-25,19.90
88,2019-01-24,19.43
89,2019-01-23,19.50
90,2019-01-22,19.47
91,2019-01-18,19.79
92,2019-01-17,19.46
93,2019-01-16,19.43
94,2019-01-15,19.27
95,2019-01-14,19.25
96,2019-01-11,19.41
97,2019-01-10,19.61
98,2019-01-09,19.74
99,2019-01-08,19.37
100,2019-01-07,19.33
101,2019-01-04,19.06
102,2019-01-03,18.45
103,2019-01-02,18.34
104,2018-12-31,18.36
105,2018-12-28,18.25
106,2018-12-27,18.01
107,2018-12-26,17.87
108,2018-12-24,17.50
109,2018-12-21,17.73
110,2018-12-20,18.22
111,2018-12-19,18.53
112,2018-12-18,19.11
113,2018-12-17,18.82
114,2018-12-14,19.09
115,2018-12-13,19.21
116,2018-12-12,19.38
117,2018-12-11,18.99
118,2018-12-10,19.01
119,2018-12-07,19.41
120,2018-12-06,19.62
121,2018-12-04,19.94
122,2018-12-03,20.53
123,2018-11-30,20.39
124,2018-11-29,20.39
125,2018-11-28,20.33
126,2018-11-27,19.93
127,2018-11-26,20.11
128,2018-11-23,19.94
129,2018-11-21,20.37
130,2018-11-20,20.04
131,2018-11-19,20.50
132,2018-11-16,20.82
133,2018-11-15,20.79
134,2018-11-14,20.80
135,2018-11-13,20.61
136,2018-11-12,20.68
137,2018-11-09,21.19
138,2018-11-08,21.41
139,2018-11-07,21.50
140,2018-11-06,21.13
141,2018-11-05,21.23
142,2018-11-02,21.29
143,2018-11-01,21.18
144,2018-10-31,20.90
145,2018-10-30,20.61
146,2018-10-29,20.33
147,2018-10-26,20.36
148,2018-10-25,20.37
149,2018-10-24,20.23
150,2018-10-23,21.08
151,2018-10-22,21.61
152,2018-10-19,21.64
153,2018-10-18,21.67
154,2018-10-17,22.05
155,2018-10-16,22.14
156,2018-10-15,21.79
157,2018-10-12,21.62
158,2018-10-11,21.63
159,2018-10-10,21.76
160,2018-10-09,22.25
161,2018-10-08,22.32
162,2018-10-05,22.48
163,2018-10-04,22.67
164,2018-10-03,22.69
165,2018-10-02,22.62
166,2018-10-01,22.59
167,2018-09-28,22.58
168,2018-09-27,22.98
169,2018-09-26,23.17
170,2018-09-25,23.38
171,2018-09-24,23.25
172,2018-09-21,23.27
173,2018-09-20,23.45
174,2018-09-19,23.13
175,2018-09-18,22.98
176,2018-09-17,22.83
177,2018-09-14,22.83
178,2018-09-13,22.82
179,2018-09-12,22.59
180,2018-09-11,22.41
181,2018-09-10,22.33
182,2018-09-07,22.13
183,2018-09-06,22.27
184,2018-09-05,22.51
185,2018-09-04,22.52
186,2018-08-31,22.50
187,2018-08-30,22.71
188,2018-08-29,22.97
189,2018-08-28,22.90
190,2018-08-27,22.79
191,2018-08-24,22.46
192,2018-08-23,22.26
193,2018-08-22,22.46
194,2018-08-21,22.28
195,2018-08-20,21.90
196,2018-08-17,21.97
197,2018-08-16,21.75
198,2018-08-15,21.44
199,2018-08-14,21.97
200,2018-08-13,22.05
201,2018-08-10,22.24
202,2018-08-09,22.78
203,2018-08-08,23.14
204,2018-08-07,23.39
205,2018-08-06,23.16
206,2018-08-03,23.26
207,2018-08-02,23.12
208,2018-08-01,23.41
209,2018-07-31,23.49
210,2018-07-30,23.35
211,2018-07-27,23.19
212,2018-07-26,23.09
213,2018-07-25,23.34
214,2018-07-24,23.03
215,2018-07-23,22.74
216,2018-07-20,22.77
217,2018-07-19,22.52
218,2018-07-18,22.61
219,2018-07-17,22.49
220,2018-07-16,22.61
221,2018-07-13,22.48
222,2018-07-12,22.38
223,2018-07-11,22.19
224,2018-07-10,22.73
225,2018-07-09,22.59
226,2018-07-06,22.45
227,2018-07-05,22.36
228,2018-07-03,22.02
229,2018-07-02,22.16
230,2018-06-29,22.35
231,2018-06-28,22.09
232,2018-06-27,22.05
233,2018-06-26,22.17
234,2018-06-25,22.23
