,Date,NAV
1,2019-05-30,28.62
2,2019-05-29,28.35
3,2019-05-28,28.60
4,2019-05-24,28.82
5,2019-05-23,28.51
6,2019-05-22,28.76
7,2019-05-21,28.87
8,2019-05-20,28.73
9,2019-05-17,28.88
10,2019-05-16,29.03
11,2019-05-15,28.67
12,2019-05-14,28.52
13,2019-05-13,28.37
14,2019-05-10,28.89
15,2019-05-09,28.63
16,2019-05-08,28.81
17,2019-05-07,28.73
18,2019-05-06,29.29
19,2019-05-03,29.53
20,2019-05-02,29.41
21,2019-05-01,29.73
22,2019-04-30,29.98
23,2019-04-29,29.69
24,2019-04-26,29.47
25,2019-04-25,29.43
26,2019-04-24,29.17
27,2019-04-23,29.66
28,2019-04-22,29.83
29,2019-04-18,29.81
30,2019-04-17,30.05
31,2019-04-16,29.71
32,2019-04-15,29.78
33,2019-04-12,29.79
34,2019-04-11,29.50
35,2019-04-10,29.39
36,2019-04-09,29.39
37,2019-04-08,29.49
38,2019-04-05,29.59
39,2019-04-04,29.63
40,2019-04-03,29.45
41,2019-04-02,29.11
42,2019-04-01,29.08
43,2019-03-29,28.61
44,2019-03-28,28.52
45,2019-03-27,28.83
46,2019-03-26,28.57
47,2019-03-25,28.71
48,2019-03-22,28.71
49,2019-03-21,29.60
50,2019-03-20,29.80
51,2019-03-19,29.80
52,2019-03-18,29.70
53,2019-03-15,29.30
54,2019-03-14,28.84
55,2019-03-13,28.86
56,2019-03-12,28.54
57,2019-03-11,28.53
58,2019-03-08,28.36
59,2019-03-07,28.42
60,2019-03-06,29.02
61,2019-03-05,28.82
62,2019-03-04,28.86
63,2019-03-01,29.11
64,2019-02-28,29.08
65,2019-02-27,28.81
66,2019-02-26,28.91
67,2019-02-25,28.70
68,2019-02-22,28.69
69,2019-02-21,28.62
70,2019-02-20,28.63
71,2019-02-19,28.61
72,2019-02-15,28.37
73,2019-02-14,27.82
74,2019-02-13,27.81
75,2019-02-12,28.01
76,2019-02-11,27.72
77,2019-02-08,27.74
78,2019-02-07,27.88
79,2019-02-06,28.43
80,2019-02-05,28.51
81,2019-02-04,28.29
82,2019-02-01,28.36
83,2019-01-31,28.66
84,2019-01-30,28.81
85,2019-01-29,28.74
86,2019-01-28,28.68
87,2019-01-25,28.85
88,2019-01-24,28.59
89,2019-01-23,28.67
90,2019-01-22,28.18
91,2019-01-18,28.53
92,2019-01-17,28.15
93,2019-01-16,28.10
94,2019-01-15,27.99
95,2019-01-14,28.02
96,2019-01-11,28.12
97,2019-01-10,28.21
98,2019-01-09,28.14
99,2019-01-08,28.06
100,2019-01-07,27.92
101,2019-01-04,27.61
102,2019-01-03,26.93
103,2019-01-02,26.87
104,2018-12-31,26.82
105,2018-12-28,26.75
106,2018-12-27,26.68
107,2018-12-26,26.70
108,2018-12-24,26.26
109,2018-12-21,26.42
110,2018-12-20,26.85
111,2018-12-19,27.15
112,2018-12-18,27.19
113,2018-12-17,27.40
114,2018-12-14,27.44
115,2018-12-13,27.68
116,2018-12-12,27.47
117,2018-12-11,26.89
118,2018-12-10,26.93
119,2018-12-07,27.21
120,2018-12-06,27.47
121,2018-12-04,27.50
122,2018-12-03,28.34
123,2018-11-30,27.97
124,2018-11-29,28.18
125,2018-11-28,28.46
126,2018-11-27,28.01
127,2018-11-26,28.08
128,2018-11-23,27.43
129,2018-11-21,27.66
130,2018-11-20,27.43
131,2018-11-19,28.03
132,2018-11-16,28.23
133,2018-11-15,28.22
134,2018-11-14,28.21
135,2018-11-13,27.92
136,2018-11-12,27.64
137,2018-11-09,28.30
138,2018-11-08,28.17
139,2018-11-07,28.57
140,2018-11-06,28.32
141,2018-11-05,27.80
142,2018-11-02,27.84
143,2018-11-01,27.66
144,2018-10-31,27.17
145,2018-10-30,27.15
146,2018-10-29,27.00
147,2018-10-26,26.89
148,2018-10-25,26.83
149,2018-10-24,26.49
150,2018-10-23,27.25
151,2018-10-22,27.24
152,2018-10-19,27.71
153,2018-10-18,27.25
154,2018-10-17,28.01
155,2018-10-16,28.38
156,2018-10-15,27.91
157,2018-10-12,27.77
158,2018-10-11,28.01
159,2018-10-10,28.29
160,2018-10-09,28.67
161,2018-10-08,28.65
162,2018-10-05,28.62
163,2018-10-04,28.79
164,2018-10-03,28.89
165,2018-10-02,28.78
166,2018-10-01,29.06
167,2018-09-28,29.06
168,2018-09-27,29.69
169,2018-09-26,29.94
170,2018-09-25,30.00
171,2018-09-24,29.99
172,2018-09-21,30.27
173,2018-09-20,30.48
174,2018-09-19,29.80
175,2018-09-18,29.60
176,2018-09-17,29.38
177,2018-09-14,29.15
178,2018-09-13,29.24
179,2018-09-12,28.88
180,2018-09-11,28.94
181,2018-09-10,28.92
182,2018-09-07,28.40
183,2018-09-06,28.82
184,2018-09-05,29.13
185,2018-09-04,29.22
186,2018-08-31,29.17
187,2018-08-30,29.54
188,2018-08-29,30.01
189,2018-08-28,29.99
190,2018-08-27,30.10
191,2018-08-24,29.73
192,2018-08-23,29.42
193,2018-08-22,29.70
194,2018-08-21,29.52
195,2018-08-20,28.96
196,2018-08-17,28.84
197,2018-08-16,28.65
198,2018-08-15,28.50
199,2018-08-14,29.04
200,2018-08-13,29.04
201,2018-08-10,29.25
202,2018-08-09,30.17
203,2018-08-08,30.44
204,2018-08-07,30.46
205,2018-08-06,30.22
206,2018-08-03,30.39
207,2018-08-02,30.37
208,2018-08-01,30.70
209,2018-07-31,30.98
210,2018-07-30,30.93
211,2018-07-27,30.70
212,2018-07-26,30.44
213,2018-07-25,30.71
214,2018-07-24,30.53
215,2018-07-23,30.54
216,2018-07-20,30.46
217,2018-07-19,30.27
218,2018-07-18,30.31
219,2018-07-17,30.38
220,2018-07-16,30.51
221,2018-07-13,30.40
222,2018-07-12,30.57
223,2018-07-11,30.42
224,2018-07-10,31.09
225,2018-07-09,31.23
226,2018-07-06,31.05
227,2018-07-05,30.84
228,2018-07-03,29.89
229,2018-07-02,29.68
230,2018-06-29,29.78
231,2018-06-28,29.55
232,2018-06-27,29.40
233,2018-06-26,29.80
234,2018-06-25,29.83
235,2018-06-22,30.10
236,2018-06-21,29.78
237,2018-06-20,30.07
238,2018-06-19,30.11
239,2018-06-18,30.00
240,2018-06-15,30.30
241,2018-06-14,30.56
242,2018-06-13,30.83
243,2018-06-12,30.83
244,2018-06-11,30.94
245,2018-06-08,30.48
246,2018-06-07,30.55
247,2018-06-06,30.56
248,2018-06-05,29.90
249,2018-06-04,30.13
250,2018-06-01,29.84
251,2018-05-31,29.49
252,2018-05-30,29.62
253,2018-05-29,28.82
254,2018-05-25,30.49
255,2018-05-24,31.29
256,2018-05-23,31.35
257,2018-05-22,31.84
258,2018-05-21,31.63
259,2018-05-18,31.73
260,2018-05-17,32.09
261,2018-05-16,31.96
262,2018-05-15,32.39
263,2018-05-14,32.75
264,2018-05-11,32.80
265,2018-05-10,32.72
266,2018-05-09,32.45
267,2018-05-08,32.24
268,2018-05-07,32.27
269,2018-05-04,32.33
270,2018-05-03,32.24
271,2018-05-02,32.17
272,2018-05-01,31.93
273,2018-04-30,32.15
274,2018-04-27,32.22
275,2018-04-26,32.08
276,2018-04-25,32.13
277,2018-04-24,32.11
278,2018-04-23,32.49
279,2018-04-20,32.50
280,2018-04-19,32.63
281,2018-04-18,32.65
282,2018-04-17,32.44
283,2018-04-16,32.36
284,2018-04-13,32.12
285,2018-04-12,32.00
286,2018-04-11,31.99
287,2018-04-10,32.06
288,2018-04-09,31.77
289,2018-04-06,31.43
290,2018-04-05,31.54
291,2018-04-04,31.22
292,2018-04-03,31.18
293,2018-04-02,31.06
294,2018-03-29,31.42
295,2018-03-28,31.21
296,2018-03-27,30.83
297,2018-03-26,31.29
