,Date,NAV
1,2019-05-30,29.20
2,2019-05-29,29.03
3,2019-05-28,29.29
4,2019-05-24,29.64
5,2019-05-23,29.26
6,2019-05-22,29.66
7,2019-05-21,29.81
8,2019-05-20,29.60
9,2019-05-17,29.91
10,2019-05-16,30.07
11,2019-05-15,29.80
12,2019-05-14,29.63
13,2019-05-13,29.24
14,2019-05-10,29.95
15,2019-05-09,29.76
16,2019-05-08,29.93
17,2019-05-07,29.72
18,2019-05-06,30.39
19,2019-05-03,30.72
20,2019-05-02,30.52
21,2019-05-01,30.69
22,2019-04-30,30.89
23,2019-04-29,30.76
24,2019-04-26,30.54
25,2019-04-25,30.47
26,2019-04-24,30.59
27,2019-04-23,30.76
28,2019-04-22,30.87
29,2019-04-18,30.78
30,2019-04-17,30.86
31,2019-04-16,30.64
32,2019-04-15,30.57
33,2019-04-12,30.56
34,2019-04-11,30.27
35,2019-04-10,30.18
36,2019-04-09,30.05
37,2019-04-08,30.27
38,2019-04-05,30.25
39,2019-04-04,30.18
40,2019-04-03,30.16
41,2019-04-02,29.88
42,2019-04-01,29.81
43,2019-03-29,29.47
44,2019-03-28,29.23
45,2019-03-27,29.37
46,2019-03-26,29.29
47,2019-03-25,29.19
48,2019-03-22,29.19
49,2019-03-21,30.11
50,2019-03-20,30.28
51,2019-03-19,30.19
52,2019-03-18,30.12
53,2019-03-15,30.08
54,2019-03-14,29.68
55,2019-03-13,29.56
56,2019-03-12,29.25
57,2019-03-11,29.17
58,2019-03-08,29.02
59,2019-03-07,28.88
60,2019-03-06,29.34
61,2019-03-05,29.46
62,2019-03-04,29.51
63,2019-03-01,29.58
64,2019-02-28,29.35
65,2019-02-27,29.19
66,2019-02-26,29.30
67,2019-02-25,29.15
68,2019-02-22,29.06
69,2019-02-21,28.93
70,2019-02-20,28.96
71,2019-02-19,28.86
72,2019-02-15,28.65
73,2019-02-14,28.13
74,2019-02-13,28.07
75,2019-02-12,28.14
76,2019-02-11,27.76
77,2019-02-08,27.76
78,2019-02-07,27.90
79,2019-02-06,28.36
80,2019-02-05,28.50
81,2019-02-04,28.24
82,2019-02-01,28.25
83,2019-01-31,28.15
84,2019-01-30,28.17
85,2019-01-29,27.76
86,2019-01-28,27.57
87,2019-01-25,27.61
88,2019-01-24,27.16
89,2019-01-23,27.14
90,2019-01-22,26.96
91,2019-01-18,27.29
92,2019-01-17,27.01
93,2019-01-16,26.97
94,2019-01-15,26.92
95,2019-01-14,26.91
96,2019-01-11,27.02
97,2019-01-10,27.33
98,2019-01-09,27.37
99,2019-01-08,26.99
100,2019-01-07,26.69
101,2019-01-04,26.61
102,2019-01-03,25.91
103,2019-01-02,26.29
104,2018-12-31,26.52
105,2018-12-28,26.32
106,2018-12-27,26.22
107,2018-12-26,26.26
108,2018-12-24,25.56
109,2018-12-21,25.97
110,2018-12-20,26.32
111,2018-12-19,26.43
112,2018-12-18,26.65
113,2018-12-17,26.65
114,2018-12-14,26.85
115,2018-12-13,27.32
116,2018-12-12,27.39
117,2018-12-11,26.83
118,2018-12-10,26.72
119,2018-12-07,26.92
120,2018-12-06,27.13
121,2018-12-04,27.52
122,2018-12-03,28.20
123,2018-11-30,27.95
124,2018-11-29,28.12
125,2018-11-28,28.17
126,2018-11-27,27.76
127,2018-11-26,27.86
128,2018-11-23,27.50
129,2018-11-21,27.77
130,2018-11-20,27.51
131,2018-11-19,28.03
132,2018-11-16,28.31
133,2018-11-15,28.32
134,2018-11-14,28.26
135,2018-11-13,28.18
136,2018-11-12,27.98
137,2018-11-09,28.56
138,2018-11-08,28.71
139,2018-11-07,29.06
140,2018-11-06,28.66
141,2018-11-05,28.66
142,2018-11-02,28.66
143,2018-11-01,28.61
144,2018-10-31,28.28
145,2018-10-30,27.99
146,2018-10-29,27.83
147,2018-10-26,27.92
148,2018-10-25,28.08
149,2018-10-24,27.57
150,2018-10-23,28.40
151,2018-10-22,28.59
152,2018-10-19,28.84
153,2018-10-18,28.76
154,2018-10-17,29.22
155,2018-10-16,29.47
156,2018-10-15,28.92
157,2018-10-12,29.06
158,2018-10-11,28.99
159,2018-10-10,29.23
160,2018-10-09,30.02
161,2018-10-08,30.05
162,2018-10-05,30.31
163,2018-10-04,30.59
164,2018-10-03,31.04
165,2018-10-02,30.99
166,2018-10-01,31.22
167,2018-09-28,31.25
168,2018-09-27,31.54
169,2018-09-26,31.70
170,2018-09-25,31.62
171,2018-09-24,31.55
172,2018-09-21,31.64
173,2018-09-20,31.57
174,2018-09-19,30.99
175,2018-09-18,30.85
176,2018-09-17,30.70
177,2018-09-14,30.64
178,2018-09-13,30.75
179,2018-09-12,30.50
180,2018-09-11,30.27
181,2018-09-10,30.18
182,2018-09-07,29.88
183,2018-09-06,30.15
184,2018-09-05,30.15
185,2018-09-04,30.51
186,2018-08-31,30.88
187,2018-08-30,31.37
188,2018-08-29,31.70
189,2018-08-28,31.57
190,2018-08-27,31.48
191,2018-08-24,31.08
192,2018-08-23,30.75
193,2018-08-22,30.94
194,2018-08-21,30.76
195,2018-08-20,30.34
196,2018-08-17,30.13
197,2018-08-16,29.87
198,2018-08-15,29.62
199,2018-08-14,30.21
200,2018-08-13,30.26
201,2018-08-10,30.28
202,2018-08-09,31.15
203,2018-08-08,31.31
204,2018-08-07,31.40
205,2018-08-06,31.07
206,2018-08-03,31.25
207,2018-08-02,31.21
208,2018-08-01,31.41
209,2018-07-31,31.57
210,2018-07-30,31.44
211,2018-07-27,31.38
212,2018-07-26,31.23
213,2018-07-25,31.53
214,2018-07-24,31.21
215,2018-07-23,30.97
216,2018-07-20,31.14
217,2018-07-19,31.06
218,2018-07-18,31.22
219,2018-07-17,31.26
220,2018-07-16,31.27
221,2018-07-13,31.23
222,2018-07-12,31.09
223,2018-07-11,30.77
224,2018-07-10,31.34
225,2018-07-09,31.20
226,2018-07-06,31.03
227,2018-07-05,30.89
228,2018-07-03,30.34
229,2018-07-02,30.20
230,2018-06-29,30.38
231,2018-06-28,30.05
232,2018-06-27,30.03
233,2018-06-26,30.29
234,2018-06-25,30.39
235,2018-06-22,30.69
236,2018-06-21,30.33
237,2018-06-20,30.60
238,2018-06-19,30.80
239,2018-06-18,31.13
240,2018-06-15,31.47
241,2018-06-14,31.49
242,2018-06-13,31.49
243,2018-06-12,31.39
244,2018-06-11,31.71
245,2018-06-08,31.45
246,2018-06-07,31.32
247,2018-06-06,31.65
248,2018-06-05,31.35
249,2018-06-04,31.37
250,2018-06-01,31.30
251,2018-05-31,31.03
252,2018-05-30,31.02
253,2018-05-29,30.49
254,2018-05-25,31.47
255,2018-05-24,31.80
256,2018-05-23,31.73
257,2018-05-22,32.14
258,2018-05-21,32.13
259,2018-05-18,31.89
260,2018-05-17,31.95
261,2018-05-16,31.80
262,2018-05-15,31.82
263,2018-05-14,32.05
264,2018-05-11,32.03
265,2018-05-10,31.99
266,2018-05-09,31.70
267,2018-05-08,31.66
268,2018-05-07,31.75
269,2018-05-04,31.87
270,2018-05-03,31.91
271,2018-05-02,31.74
272,2018-05-01,31.76
273,2018-04-30,31.87
274,2018-04-27,31.97
275,2018-04-26,31.79
276,2018-04-25,31.67
277,2018-04-24,31.76
278,2018-04-23,31.85
279,2018-04-20,31.91
280,2018-04-19,32.05
281,2018-04-18,32.04
282,2018-04-17,31.91
283,2018-04-16,31.69
