,Date,NAV
1,2019-05-30,35.17
2,2019-05-29,34.73
3,2019-05-28,35.28
4,2019-05-24,35.53
5,2019-05-23,36.05
6,2019-05-22,36.05
7,2019-05-21,36.05
8,2019-05-20,35.83
9,2019-05-17,36.20
10,2019-05-16,36.28
11,2019-05-15,36.27
12,2019-05-14,36.31
13,2019-05-13,35.93
14,2019-05-10,36.90
15,2019-05-09,36.65
16,2019-05-08,36.63
17,2019-05-07,36.70
18,2019-05-06,36.99
19,2019-05-03,37.53
20,2019-05-02,37.14
21,2019-05-01,37.29
22,2019-04-30,37.69
23,2019-04-29,37.59
24,2019-04-26,37.72
25,2019-04-25,37.46
26,2019-04-24,37.70
27,2019-04-23,37.82
28,2019-04-22,37.79
29,2019-04-18,37.82
30,2019-04-17,37.10
31,2019-04-16,38.01
32,2019-04-15,37.75
33,2019-04-12,37.90
34,2019-04-11,37.59
35,2019-04-10,37.59
36,2019-04-09,37.58
37,2019-04-08,37.65
38,2019-04-05,37.66
39,2019-04-04,37.66
40,2019-04-03,37.43
41,2019-04-02,37.43
42,2019-04-01,36.61
43,2019-03-29,36.61
44,2019-03-28,36.64
45,2019-03-27,36.77
46,2019-03-26,36.70
47,2019-03-25,36.46
48,2019-03-22,36.54
49,2019-03-21,37.29
50,2019-03-20,37.16
51,2019-03-19,37.52
52,2019-03-18,37.36
53,2019-03-15,37.37
54,2019-03-14,36.96
55,2019-03-13,36.82
56,2019-03-12,36.25
57,2019-03-11,36.22
58,2019-03-08,36.22
59,2019-03-07,36.76
60,2019-03-06,37.02
61,2019-03-05,37.02
62,2019-03-04,36.79
63,2019-03-01,37.08
64,2019-02-28,36.86
65,2019-02-27,36.96
66,2019-02-26,36.79
67,2019-02-25,36.71
68,2019-02-22,36.58
69,2019-02-21,36.47
70,2019-02-20,36.43
71,2019-02-19,36.26
72,2019-02-15,35.61
73,2019-02-14,35.36
74,2019-02-13,35.61
75,2019-02-12,35.29
76,2019-02-11,35.19
77,2019-02-08,35.38
78,2019-02-07,35.88
79,2019-02-06,35.88
80,2019-02-05,35.90
81,2019-02-04,35.66
82,2019-02-01,35.55
83,2019-01-31,35.55
84,2019-01-30,35.42
85,2019-01-29,35.36
86,2019-01-28,34.83
87,2019-01-25,35.15
88,2019-01-24,34.68
89,2019-01-23,34.60
90,2019-01-22,34.66
91,2019-01-18,34.66
92,2019-01-17,34.13
93,2019-01-16,33.93
94,2019-01-15,33.99
95,2019-01-14,33.77
