,Date,NAV
1,2019-05-30,12.09
2,2019-05-29,12.10
3,2019-05-28,12.31
4,2019-05-24,12.47
5,2019-05-23,12.33
6,2019-05-22,12.55
7,2019-05-21,12.63
8,2019-05-20,12.47
9,2019-05-17,12.42
10,2019-05-16,12.57
11,2019-05-15,12.39
12,2019-05-14,12.30
13,2019-05-13,12.21
14,2019-05-10,12.47
15,2019-05-09,12.22
16,2019-05-08,12.35
17,2019-05-07,12.30
18,2019-05-06,12.55
19,2019-05-03,12.60
20,2019-05-02,12.42
21,2019-05-01,12.65
22,2019-04-30,12.76
23,2019-04-29,12.79
24,2019-04-26,12.71
25,2019-04-25,12.83
26,2019-04-24,12.93
27,2019-04-23,13.12
28,2019-04-22,13.20
29,2019-04-18,13.07
30,2019-04-17,13.10
31,2019-04-16,13.09
32,2019-04-15,13.08
33,2019-04-12,12.96
34,2019-04-11,12.89
35,2019-04-10,12.97
36,2019-04-09,12.82
37,2019-04-08,12.96
38,2019-04-05,12.83
39,2019-04-04,12.74
40,2019-04-03,12.85
41,2019-04-02,12.68
42,2019-04-01,12.69
43,2019-03-29,12.49
44,2019-03-28,12.52
45,2019-03-27,12.52
46,2019-03-26,12.63
47,2019-03-25,12.60
48,2019-03-22,12.71
49,2019-03-21,13.06
50,2019-03-20,13.04
51,2019-03-19,12.91
52,2019-03-18,12.96
53,2019-03-15,12.85
54,2019-03-14,12.78
55,2019-03-13,12.69
56,2019-03-12,12.51
57,2019-03-11,12.44
58,2019-03-08,12.33
59,2019-03-07,12.30
60,2019-03-06,12.57
61,2019-03-05,12.57
62,2019-03-04,12.48
63,2019-03-01,12.60
64,2019-02-28,12.62
65,2019-02-27,12.71
66,2019-02-26,12.72
67,2019-02-25,12.65
68,2019-02-22,12.61
69,2019-02-21,12.50
70,2019-02-20,12.55
71,2019-02-19,12.61
72,2019-02-15,12.50
73,2019-02-14,12.29
74,2019-02-13,12.37
75,2019-02-12,12.25
76,2019-02-11,11.98
77,2019-02-08,12.09
78,2019-02-07,12.28
79,2019-02-06,12.45
80,2019-02-05,12.57
81,2019-02-04,12.44
82,2019-02-01,12.42
83,2019-01-31,12.40
84,2019-01-30,12.40
85,2019-01-29,12.20
86,2019-01-28,12.21
87,2019-01-25,12.27
88,2019-01-24,12.26
89,2019-01-23,12.22
90,2019-01-22,12.32
91,2019-01-18,12.49
92,2019-01-17,12.32
93,2019-01-16,12.29
94,2019-01-15,12.31
95,2019-01-14,12.24
96,2019-01-11,12.32
97,2019-01-10,12.44
98,2019-01-09,12.48
99,2019-01-08,12.22
100,2019-01-07,12.21
101,2019-01-04,12.07
102,2019-01-03,11.63
103,2019-01-02,11.58
104,2018-12-31,11.54
105,2018-12-28,11.43
106,2018-12-27,11.28
107,2018-12-26,11.44
108,2018-12-24,11.17
109,2018-12-21,11.31
110,2018-12-20,11.45
111,2018-12-19,11.66
112,2018-12-18,11.60
113,2018-12-17,11.77
114,2018-12-14,11.96
115,2018-12-13,12.23
116,2018-12-12,12.25
117,2018-12-11,12.12
118,2018-12-10,12.05
119,2018-12-07,12.29
120,2018-12-06,12.19
121,2018-12-04,12.64
122,2018-12-03,12.77
123,2018-11-30,12.48
124,2018-11-29,12.65
125,2018-11-28,12.54
126,2018-11-27,12.44
127,2018-11-26,12.40
128,2018-11-23,12.20
129,2018-11-21,12.53
130,2018-11-20,12.22
131,2018-11-19,12.75
132,2018-11-16,12.91
133,2018-11-15,12.83
134,2018-11-14,12.76
135,2018-11-13,12.85
136,2018-11-12,12.98
137,2018-11-09,13.20
138,2018-11-08,13.35
139,2018-11-07,13.58
140,2018-11-06,13.41
141,2018-11-05,13.49
142,2018-11-02,13.37
143,2018-11-01,13.36
144,2018-10-31,13.18
145,2018-10-30,13.07
146,2018-10-29,13.05
147,2018-10-26,13.08
148,2018-10-25,13.22
149,2018-10-24,12.98
150,2018-10-23,13.20
151,2018-10-22,13.52
152,2018-10-19,13.82
153,2018-10-18,13.49
154,2018-10-17,13.94
155,2018-10-16,14.04
156,2018-10-15,13.84
157,2018-10-12,13.82
158,2018-10-11,13.59
159,2018-10-10,13.91
160,2018-10-09,14.14
161,2018-10-08,14.06
162,2018-10-05,14.19
163,2018-10-04,14.20
164,2018-10-03,14.46
165,2018-10-02,14.62
166,2018-10-01,14.56
167,2018-09-28,14.52
168,2018-09-27,14.58
169,2018-09-26,14.67
170,2018-09-25,14.72
171,2018-09-24,14.48
172,2018-09-21,14.33
