,Date,NAV
1,2019-05-30,53.03
2,2019-05-29,52.75
3,2019-05-28,53.22
4,2019-05-24,53.82
5,2019-05-23,53.20
6,2019-05-22,53.84
7,2019-05-21,54.03
8,2019-05-20,53.64
9,2019-05-17,54.01
10,2019-05-16,54.36
11,2019-05-15,53.90
12,2019-05-14,53.66
13,2019-05-13,53.15
14,2019-05-10,54.45
15,2019-05-09,54.03
16,2019-05-08,54.36
17,2019-05-07,54.09
18,2019-05-06,55.11
19,2019-05-03,55.63
20,2019-05-02,55.07
21,2019-05-01,55.26
22,2019-04-30,55.71
23,2019-04-29,55.47
24,2019-04-26,55.24
25,2019-04-25,55.12
26,2019-04-24,55.21
27,2019-04-23,55.56
28,2019-04-22,55.62
29,2019-04-18,55.57
30,2019-04-17,55.72
31,2019-04-16,55.53
32,2019-04-15,55.49
33,2019-04-12,55.39
34,2019-04-11,55.03
35,2019-04-10,55.01
36,2019-04-09,54.78
37,2019-04-08,55.10
38,2019-04-05,55.04
39,2019-04-04,54.89
40,2019-04-03,55.04
41,2019-04-02,54.54
42,2019-04-01,54.31
43,2019-03-29,53.61
44,2019-03-28,53.36
45,2019-03-27,53.63
46,2019-03-26,53.50
47,2019-03-25,53.32
48,2019-03-22,53.31
49,2019-03-21,54.59
50,2019-03-20,54.82
51,2019-03-19,54.76
52,2019-03-18,54.58
53,2019-03-15,54.35
54,2019-03-14,53.76
55,2019-03-13,53.55
56,2019-03-12,52.93
57,2019-03-11,52.95
58,2019-03-08,52.51
59,2019-03-07,52.48
60,2019-03-06,53.32
61,2019-03-05,53.43
62,2019-03-04,53.36
63,2019-03-01,53.58
64,2019-02-28,53.20
65,2019-02-27,53.12
66,2019-02-26,53.33
67,2019-02-25,52.94
68,2019-02-22,52.83
69,2019-02-21,52.64
70,2019-02-20,52.88
71,2019-02-19,52.62
72,2019-02-15,52.33
73,2019-02-14,51.53
74,2019-02-13,51.53
75,2019-02-12,51.55
76,2019-02-11,50.99
77,2019-02-08,51.08
78,2019-02-07,51.27
79,2019-02-06,52.04
80,2019-02-05,52.23
81,2019-02-04,51.77
82,2019-02-01,51.63
83,2019-01-31,51.57
84,2019-01-30,51.63
85,2019-01-29,51.17
86,2019-01-28,50.91
87,2019-01-25,51.15
88,2019-01-24,50.60
89,2019-01-23,50.67
90,2019-01-22,50.28
91,2019-01-18,50.95
92,2019-01-17,50.35
93,2019-01-16,50.14
94,2019-01-15,50.05
95,2019-01-14,49.99
96,2019-01-11,50.24
97,2019-01-10,50.45
98,2019-01-09,50.39
99,2019-01-08,49.76
100,2019-01-07,49.37
101,2019-01-04,49.15
102,2019-01-03,47.72
103,2019-01-02,48.07
104,2018-12-31,48.34
105,2018-12-28,48.12
106,2018-12-27,47.67
107,2018-12-26,47.89
108,2018-12-24,46.72
109,2018-12-21,47.29
110,2018-12-20,47.86
111,2018-12-19,48.08
112,2018-12-18,48.41
113,2018-12-17,48.38
114,2018-12-14,48.85
115,2018-12-13,49.59
116,2018-12-12,49.71
117,2018-12-11,48.81
118,2018-12-10,48.63
119,2018-12-07,49.06
120,2018-12-06,49.54
121,2018-12-04,50.16
122,2018-12-03,51.41
123,2018-11-30,50.80
124,2018-11-29,51.13
125,2018-11-28,51.38
126,2018-11-27,50.66
127,2018-11-26,50.94
128,2018-11-23,50.13
129,2018-11-21,50.56
130,2018-11-20,49.83
131,2018-11-19,50.76
132,2018-11-16,51.22
133,2018-11-15,51.24
134,2018-11-14,51.34
135,2018-11-13,51.22
136,2018-11-12,50.85
137,2018-11-09,51.95
138,2018-11-08,52.19
139,2018-11-07,52.83
140,2018-11-06,52.13
141,2018-11-05,52.02
142,2018-11-02,52.03
143,2018-11-01,51.98
144,2018-10-31,51.15
145,2018-10-30,50.74
146,2018-10-29,50.28
147,2018-10-26,50.23
148,2018-10-25,50.48
149,2018-10-24,49.80
150,2018-10-23,51.25
151,2018-10-22,51.65
152,2018-10-19,52.03
153,2018-10-18,51.67
154,2018-10-17,52.53
155,2018-10-16,53.06
156,2018-10-15,52.08
157,2018-10-12,52.12
158,2018-10-11,51.94
159,2018-10-10,52.58
160,2018-10-09,53.68
161,2018-10-08,53.73
162,2018-10-05,54.27
163,2018-10-04,54.70
164,2018-10-03,55.40
165,2018-10-02,55.22
166,2018-10-01,55.58
167,2018-09-28,55.54
168,2018-09-27,56.21
169,2018-09-26,56.44
170,2018-09-25,56.51
171,2018-09-24,56.24
172,2018-09-21,56.46
173,2018-09-20,56.51
174,2018-09-19,55.60
175,2018-09-18,55.47
176,2018-09-17,55.17
177,2018-09-14,55.06
178,2018-09-13,55.18
179,2018-09-12,54.79
180,2018-09-11,54.54
181,2018-09-10,54.53
182,2018-09-07,54.04
183,2018-09-06,54.46
184,2018-09-05,54.70
185,2018-09-04,55.05
186,2018-08-31,55.50
187,2018-08-30,56.10
188,2018-08-29,56.65
189,2018-08-28,56.36
190,2018-08-27,56.44
191,2018-08-24,55.74
192,2018-08-23,55.26
193,2018-08-22,55.64
194,2018-08-21,55.45
195,2018-08-20,54.85
196,2018-08-17,54.45
197,2018-08-16,54.14
198,2018-08-15,53.73
199,2018-08-14,54.65
200,2018-08-13,54.79
201,2018-08-10,54.96
202,2018-08-09,56.22
203,2018-08-08,56.40
204,2018-08-07,56.44
205,2018-08-06,56.04
206,2018-08-03,56.34
207,2018-08-02,56.23
208,2018-08-01,56.72
209,2018-07-31,57.11
210,2018-07-30,56.95
211,2018-07-27,56.79
212,2018-07-26,56.67
213,2018-07-25,57.03
214,2018-07-24,56.60
215,2018-07-23,56.28
216,2018-07-20,56.38
217,2018-07-19,56.06
218,2018-07-18,56.22
219,2018-07-17,56.17
220,2018-07-16,56.22
221,2018-07-13,56.17
222,2018-07-12,56.08
223,2018-07-11,55.55
224,2018-07-10,56.60
225,2018-07-09,56.44
226,2018-07-06,56.07
227,2018-07-05,55.78
228,2018-07-03,55.05
229,2018-07-02,54.79
230,2018-06-29,55.23
231,2018-06-28,54.65
232,2018-06-27,54.54
233,2018-06-26,55.02
234,2018-06-25,55.07
235,2018-06-22,55.87
236,2018-06-21,55.12
237,2018-06-20,55.60
238,2018-06-19,55.59
239,2018-06-18,56.05
240,2018-06-15,56.53
241,2018-06-14,56.96
242,2018-06-13,57.01
243,2018-06-12,56.87
244,2018-06-11,57.22
245,2018-06-08,56.66
246,2018-06-07,56.59
247,2018-06-06,56.96
248,2018-06-05,56.42
249,2018-06-04,56.52
250,2018-06-01,56.40
251,2018-05-31,55.93
252,2018-05-30,56.11
253,2018-05-29,55.11
254,2018-05-25,56.72
255,2018-05-24,57.21
256,2018-05-23,57.34
257,2018-05-22,58.16
258,2018-05-21,58.15
259,2018-05-18,57.75
260,2018-05-17,58.01
261,2018-05-16,57.82
262,2018-05-15,57.73
263,2018-05-14,58.11
264,2018-05-11,58.13
265,2018-05-10,58.03
266,2018-05-09,57.73
267,2018-05-08,57.36
268,2018-05-07,57.41
269,2018-05-04,57.89
270,2018-05-03,57.27
271,2018-05-02,57.04
272,2018-05-01,57.00
273,2018-04-30,57.31
274,2018-04-27,57.59
275,2018-04-26,57.54
276,2018-04-25,57.22
277,2018-04-24,57.45
278,2018-04-23,57.76
279,2018-04-20,57.75
280,2018-04-19,58.00
281,2018-04-18,58.16
282,2018-04-17,57.98
283,2018-04-16,57.58
284,2018-04-13,57.49
285,2018-04-12,57.44
286,2018-04-11,57.05
287,2018-04-10,57.35
288,2018-04-09,56.64
289,2018-04-06,56.21
290,2018-04-05,56.39
291,2018-04-04,55.87
292,2018-04-03,55.76
293,2018-04-02,55.37
294,2018-03-29,56.11
295,2018-03-28,55.72
296,2018-03-27,55.37
297,2018-03-26,56.03
298,2018-03-23,54.92
299,2018-03-22,55.26
300,2018-03-21,56.53
301,2018-03-20,56.43
302,2018-03-19,56.53
303,2018-03-16,56.82
304,2018-03-15,56.82
305,2018-03-14,56.81
306,2018-03-13,56.69
307,2018-03-12,57.18
308,2018-03-09,57.10
309,2018-03-08,56.79
310,2018-03-07,56.71
311,2018-03-06,56.57
312,2018-03-05,56.13
313,2018-03-02,55.75
314,2018-03-01,55.69
315,2018-02-28,56.31
316,2018-02-27,56.93
317,2018-02-26,57.89
318,2018-02-23,57.55
319,2018-02-22,57.13
320,2018-02-21,56.89
321,2018-02-20,57.18
322,2018-02-16,57.75
323,2018-02-15,57.69
324,2018-02-14,57.30
325,2018-02-13,56.14
326,2018-02-12,56.28
327,2018-02-09,55.55
328,2018-02-08,55.33
329,2018-02-07,56.70
330,2018-02-06,57.43
331,2018-02-05,56.13
332,2018-02-02,58.60
333,2018-02-01,60.09
334,2018-01-31,59.99
335,2018-01-30,59.96
336,2018-01-29,60.36
337,2018-01-26,60.96
338,2018-01-25,60.44
339,2018-01-24,60.69
340,2018-01-23,60.47
341,2018-01-22,60.34
342,2018-01-19,59.96
343,2018-01-18,59.66
344,2018-01-17,59.58
345,2018-01-16,59.33
346,2018-01-12,59.31
347,2018-01-11,58.56
348,2018-01-10,58.15
349,2018-01-09,58.37
350,2018-01-08,58.27
351,2018-01-05,58.44
352,2018-01-04,58.04
353,2018-01-03,57.37
354,2018-01-02,57.17
355,2017-12-29,56.80
356,2017-12-28,56.77
357,2017-12-27,56.63
358,2017-12-26,56.44
359,2017-12-22,56.47
360,2017-12-21,56.41
361,2017-12-20,56.15
362,2017-12-19,56.34
363,2017-12-18,56.38
364,2017-12-15,55.65
365,2017-12-14,55.69
366,2017-12-13,55.97
367,2017-12-12,55.89
368,2017-12-11,55.84
369,2017-12-08,55.80
370,2017-12-07,55.47
371,2017-12-06,55.32
372,2017-12-05,55.44
373,2017-12-04,55.64
374,2017-12-01,55.71
375,2017-11-30,55.94
376,2017-11-29,55.82
