,Date,NAV
1,2019-05-30,70.78
2,2019-05-29,70.47
3,2019-05-28,70.88
4,2019-05-24,71.49
5,2019-05-23,71.10
6,2019-05-22,71.91
7,2019-05-21,72.20
8,2019-05-20,71.55
9,2019-05-17,71.99
10,2019-05-16,72.54
11,2019-05-15,72.00
12,2019-05-14,71.71
13,2019-05-13,71.05
14,2019-05-10,72.88
15,2019-05-09,72.43
16,2019-05-08,72.80
17,2019-05-07,72.84
18,2019-05-06,74.10
19,2019-05-03,74.72
20,2019-05-02,73.94
21,2019-05-01,74.11
22,2019-04-30,74.62
23,2019-04-29,74.55
24,2019-04-26,74.37
25,2019-04-25,74.09
26,2019-04-24,74.11
27,2019-04-23,74.52
28,2019-04-22,74.12
29,2019-04-18,74.13
30,2019-04-17,74.11
31,2019-04-16,74.08
32,2019-04-15,74.00
33,2019-04-12,74.03
34,2019-04-11,73.51
35,2019-04-10,73.74
36,2019-04-09,73.43
37,2019-04-08,73.82
38,2019-04-05,73.73
39,2019-04-04,73.45
40,2019-04-03,73.34
41,2019-04-02,73.00
42,2019-04-01,73.03
43,2019-03-29,72.15
44,2019-03-28,71.70
45,2019-03-27,71.49
46,2019-03-26,71.82
47,2019-03-25,71.33
48,2019-03-22,71.34
49,2019-03-21,72.85
50,2019-03-20,72.34
51,2019-03-19,72.52
52,2019-03-18,72.46
53,2019-03-15,72.06
54,2019-03-14,71.48
55,2019-03-13,71.55
56,2019-03-12,71.14
57,2019-03-11,70.87
58,2019-03-08,69.94
59,2019-03-07,70.12
60,2019-03-06,70.86
61,2019-03-05,71.21
62,2019-03-04,71.20
63,2019-03-01,71.41
64,2019-02-28,71.03
65,2019-02-27,71.28
66,2019-02-26,71.43
67,2019-02-25,71.38
68,2019-02-22,71.20
69,2019-02-21,70.77
70,2019-02-20,70.94
71,2019-02-19,70.75
72,2019-02-15,70.51
73,2019-02-14,69.79
74,2019-02-13,69.83
75,2019-02-12,69.79
76,2019-02-11,68.94
77,2019-02-08,69.03
78,2019-02-07,69.05
79,2019-02-06,69.78
80,2019-02-05,70.05
81,2019-02-04,69.64
82,2019-02-01,69.24
83,2019-01-31,69.32
84,2019-01-30,68.87
85,2019-01-29,67.91
86,2019-01-28,67.90
87,2019-01-25,68.37
88,2019-01-24,67.62
89,2019-01-23,67.50
90,2019-01-22,67.33
91,2019-01-18,68.23
92,2019-01-17,67.52
93,2019-01-16,67.03
94,2019-01-15,66.84
95,2019-01-14,66.24
96,2019-01-11,66.62
97,2019-01-10,66.86
98,2019-01-09,66.55
99,2019-01-08,65.94
100,2019-01-07,65.46
101,2019-01-04,65.06
102,2019-01-03,63.05
103,2019-01-02,64.14
104,2018-12-31,64.16
105,2018-12-28,63.85
106,2018-12-27,63.70
107,2018-12-26,63.40
108,2018-12-24,61.14
109,2018-12-21,62.25
110,2018-12-20,63.45
111,2018-12-19,64.01
112,2018-12-18,64.91
113,2018-12-17,64.94
114,2018-12-14,65.94
115,2018-12-13,67.02
116,2018-12-12,67.08
117,2018-12-11,66.37
118,2018-12-10,66.28
119,2018-12-07,66.48
120,2018-12-06,67.78
121,2018-12-04,68.08
122,2018-12-03,70.04
123,2018-11-30,69.15
124,2018-11-29,68.94
125,2018-11-28,69.22
126,2018-11-27,67.85
127,2018-11-26,67.77
128,2018-11-23,66.79
129,2018-11-21,67.23
130,2018-11-20,66.62
131,2018-11-19,67.86
132,2018-11-16,68.90
133,2018-11-15,68.72
134,2018-11-14,68.07
135,2018-11-13,68.31
136,2018-11-12,68.21
137,2018-11-09,69.49
138,2018-11-08,70.09
139,2018-11-07,70.66
140,2018-11-06,69.39
141,2018-11-05,69.10
142,2018-11-02,68.89
143,2018-11-01,69.02
144,2018-10-31,68.07
145,2018-10-30,67.32
146,2018-10-29,66.37
147,2018-10-26,66.81
148,2018-10-25,67.72
149,2018-10-24,66.77
150,2018-10-23,68.67
151,2018-10-22,69.20
152,2018-10-19,69.38
153,2018-10-18,69.24
154,2018-10-17,70.37
155,2018-10-16,70.56
156,2018-10-15,69.17
157,2018-10-12,69.54
158,2018-10-11,68.71
159,2018-10-10,69.89
160,2018-10-09,71.98
161,2018-10-08,72.12
162,2018-10-05,72.23
163,2018-10-04,72.66
164,2018-10-03,73.44
165,2018-10-02,73.49
166,2018-10-01,73.74
167,2018-09-28,73.53
168,2018-09-27,73.71
169,2018-09-26,73.71
170,2018-09-25,73.76
171,2018-09-24,73.61
172,2018-09-21,73.96
173,2018-09-20,73.92
174,2018-09-19,73.23
175,2018-09-18,73.04
176,2018-09-17,72.52
177,2018-09-14,72.76
178,2018-09-13,72.70
179,2018-09-12,72.21
180,2018-09-11,72.07
181,2018-09-10,71.85
182,2018-09-07,71.73
183,2018-09-06,72.03
184,2018-09-05,72.28
185,2018-09-04,72.68
186,2018-08-31,73.09
187,2018-08-30,73.31
188,2018-08-29,73.95
189,2018-08-28,73.51
190,2018-08-27,73.47
191,2018-08-24,72.77
192,2018-08-23,72.22
193,2018-08-22,72.56
194,2018-08-21,72.45
195,2018-08-20,72.12
196,2018-08-17,71.85
197,2018-08-16,71.52
198,2018-08-15,70.99
199,2018-08-14,71.84
200,2018-08-13,71.51
201,2018-08-10,71.94
202,2018-08-09,72.80
203,2018-08-08,72.99
204,2018-08-07,72.98
205,2018-08-06,72.64
206,2018-08-03,72.65
207,2018-08-02,72.38
208,2018-08-01,72.42
209,2018-07-31,72.58
210,2018-07-30,72.39
211,2018-07-27,72.63
212,2018-07-26,72.85
213,2018-07-25,73.16
214,2018-07-24,72.44
215,2018-07-23,72.08
216,2018-07-20,72.08
217,2018-07-19,71.83
218,2018-07-18,72.17
219,2018-07-17,72.13
220,2018-07-16,71.85
221,2018-07-13,71.95
222,2018-07-12,71.84
223,2018-07-11,71.17
224,2018-07-10,72.02
225,2018-07-09,71.87
226,2018-07-06,71.18
227,2018-07-05,70.66
228,2018-07-03,70.16
229,2018-07-02,70.21
230,2018-06-29,70.42
231,2018-06-28,70.09
232,2018-06-27,69.72
233,2018-06-26,70.40
234,2018-06-25,70.30
235,2018-06-22,71.31
236,2018-06-21,70.94
237,2018-06-20,71.47
238,2018-06-19,71.30
239,2018-06-18,71.80
240,2018-06-15,72.11
241,2018-06-14,72.39
242,2018-06-13,72.41
243,2018-06-12,72.56
244,2018-06-11,72.66
245,2018-06-08,72.42
246,2018-06-07,72.28
247,2018-06-06,72.60
248,2018-06-05,71.91
