,Date,NAV
1,2019-05-30,49.60
2,2019-05-29,49.40
3,2019-05-28,49.74
4,2019-05-24,50.21
5,2019-05-23,49.64
6,2019-05-22,50.11
7,2019-05-21,50.33
8,2019-05-20,50.07
9,2019-05-17,50.14
10,2019-05-16,50.43
11,2019-05-15,50.03
12,2019-05-14,49.91
13,2019-05-13,49.44
14,2019-05-10,50.48
15,2019-05-09,50.23
16,2019-05-08,50.49
17,2019-05-07,50.50
18,2019-05-06,51.23
19,2019-05-03,51.79
20,2019-05-02,51.26
21,2019-05-01,51.38
22,2019-04-30,51.76
23,2019-04-29,51.67
24,2019-04-26,51.46
25,2019-04-25,51.32
26,2019-04-24,51.30
27,2019-04-23,51.83
28,2019-04-22,51.81
29,2019-04-18,51.91
30,2019-04-17,51.93
31,2019-04-16,51.84
32,2019-04-15,51.76
33,2019-04-12,51.75
34,2019-04-11,51.47
35,2019-04-10,51.48
36,2019-04-09,51.36
37,2019-04-08,51.61
38,2019-04-05,51.61
39,2019-04-04,51.52
40,2019-04-03,51.58
41,2019-04-02,51.25
42,2019-04-01,51.16
43,2019-03-29,50.63
44,2019-03-28,50.38
45,2019-03-27,50.53
46,2019-03-26,50.51
47,2019-03-25,50.30
48,2019-03-22,50.27
49,2019-03-21,51.29
50,2019-03-20,51.40
51,2019-03-19,51.35
52,2019-03-18,51.27
53,2019-03-15,50.96
54,2019-03-14,50.49
55,2019-03-13,50.49
56,2019-03-12,50.01
57,2019-03-11,50.03
58,2019-03-08,49.63
59,2019-03-07,49.67
60,2019-03-06,50.27
61,2019-03-05,50.46
62,2019-03-04,50.30
63,2019-03-01,50.50
64,2019-02-28,50.31
65,2019-02-27,50.35
66,2019-02-26,50.55
67,2019-02-25,50.30
68,2019-02-22,50.14
69,2019-02-21,50.04
70,2019-02-20,50.21
71,2019-02-19,50.03
72,2019-02-15,49.81
73,2019-02-14,49.17
74,2019-02-13,49.18
75,2019-02-12,49.12
76,2019-02-11,48.60
77,2019-02-08,48.72
78,2019-02-07,48.98
79,2019-02-06,49.52
80,2019-02-05,49.83
81,2019-02-04,49.36
82,2019-02-01,49.24
83,2019-01-31,49.19
84,2019-01-30,49.23
85,2019-01-29,48.75
86,2019-01-28,48.61
87,2019-01-25,48.76
88,2019-01-24,48.43
89,2019-01-23,48.42
90,2019-01-22,48.07
91,2019-01-18,48.82
92,2019-01-17,48.34
93,2019-01-16,48.16
94,2019-01-15,48.04
95,2019-01-14,47.90
96,2019-01-11,48.09
97,2019-01-10,48.37
98,2019-01-09,48.15
99,2019-01-08,47.74
100,2019-01-07,47.52
101,2019-01-04,47.51
102,2019-01-03,46.10
103,2019-01-02,46.34
104,2018-12-31,46.33
105,2018-12-28,46.24
106,2018-12-27,45.96
107,2018-12-26,45.98
108,2018-12-24,44.72
109,2018-12-21,45.38
110,2018-12-20,46.22
111,2018-12-19,46.37
112,2018-12-18,46.76
113,2018-12-17,46.65
114,2018-12-14,47.04
115,2018-12-13,47.70
116,2018-12-12,47.69
117,2018-12-11,47.07
118,2018-12-10,47.04
119,2018-12-07,47.39
120,2018-12-06,47.89
121,2018-12-04,48.23
122,2018-12-03,49.30
123,2018-11-30,48.90
124,2018-11-29,49.02
125,2018-11-28,49.26
126,2018-11-27,48.62
127,2018-11-26,48.74
128,2018-11-23,48.02
129,2018-11-21,48.39
130,2018-11-20,47.83
131,2018-11-19,48.62
132,2018-11-16,49.04
133,2018-11-15,48.80
134,2018-11-14,48.79
135,2018-11-13,48.78
136,2018-11-12,48.48
137,2018-11-09,49.36
138,2018-11-08,49.50
139,2018-11-07,50.03
140,2018-11-06,49.41
141,2018-11-05,49.28
142,2018-11-02,49.18
143,2018-11-01,49.11
144,2018-10-31,48.62
145,2018-10-30,48.19
146,2018-10-29,47.77
147,2018-10-26,47.85
148,2018-10-25,48.15
149,2018-10-24,47.66
150,2018-10-23,48.99
151,2018-10-22,49.38
152,2018-10-19,49.72
153,2018-10-18,49.37
154,2018-10-17,50.05
155,2018-10-16,50.36
156,2018-10-15,49.62
157,2018-10-12,49.66
158,2018-10-11,49.59
159,2018-10-10,50.25
160,2018-10-09,51.18
161,2018-10-08,51.19
162,2018-10-05,51.54
163,2018-10-04,51.75
164,2018-10-03,52.18
165,2018-10-02,52.17
166,2018-10-01,52.57
167,2018-09-28,52.45
168,2018-09-27,53.00
169,2018-09-26,53.12
170,2018-09-25,53.08
171,2018-09-24,52.78
172,2018-09-21,53.02
173,2018-09-20,53.04
174,2018-09-19,52.44
175,2018-09-18,52.25
176,2018-09-17,51.79
177,2018-09-14,51.63
178,2018-09-13,51.61
179,2018-09-12,51.34
180,2018-09-11,50.97
181,2018-09-10,50.92
182,2018-09-07,50.65
183,2018-09-06,51.06
184,2018-09-05,51.08
185,2018-09-04,51.42
186,2018-08-31,51.87
187,2018-08-30,52.32
188,2018-08-29,52.81
