,Date,NAV
1,2019-05-30,38.07
2,2019-05-29,37.99
3,2019-05-28,38.06
4,2019-05-24,38.35
5,2019-05-23,37.94
6,2019-05-22,38.28
7,2019-05-21,38.38
8,2019-05-20,38.08
9,2019-05-17,37.94
10,2019-05-16,38.23
11,2019-05-15,38.08
12,2019-05-14,38.09
13,2019-05-13,37.84
14,2019-05-10,38.51
15,2019-05-09,38.16
16,2019-05-08,38.25
17,2019-05-07,38.26
18,2019-05-06,38.62
19,2019-05-03,38.84
20,2019-05-02,38.53
21,2019-05-01,38.64
22,2019-04-30,38.80
23,2019-04-29,38.79
24,2019-04-26,38.77
25,2019-04-25,38.58
26,2019-04-24,38.54
27,2019-04-23,38.77
28,2019-04-22,38.85
29,2019-04-18,38.84
30,2019-04-17,38.88
31,2019-04-16,38.74
32,2019-04-15,38.69
33,2019-04-12,38.68
34,2019-04-11,38.41
35,2019-04-10,38.49
36,2019-04-09,38.21
37,2019-04-08,38.43
38,2019-04-05,38.39
39,2019-04-04,38.43
40,2019-04-03,38.57
41,2019-04-02,38.34
42,2019-04-01,38.33
43,2019-03-29,38.03
44,2019-03-28,37.89
45,2019-03-27,37.90
46,2019-03-26,37.92
47,2019-03-25,37.82
48,2019-03-22,37.75
49,2019-03-21,38.31
50,2019-03-20,38.33
51,2019-03-19,38.29
52,2019-03-18,38.28
53,2019-03-15,38.32
54,2019-03-14,37.99
55,2019-03-13,37.94
56,2019-03-12,37.79
57,2019-03-11,37.85
58,2019-03-08,37.51
59,2019-03-07,37.47
60,2019-03-06,37.77
61,2019-03-05,37.85
62,2019-03-04,37.72
63,2019-03-01,37.75
64,2019-02-28,37.77
65,2019-02-27,37.86
66,2019-02-26,38.02
67,2019-02-25,37.83
68,2019-02-22,37.82
69,2019-02-21,37.65
70,2019-02-20,37.64
71,2019-02-19,37.49
72,2019-02-15,37.28
73,2019-02-14,37.00
74,2019-02-13,37.01
75,2019-02-12,37.15
76,2019-02-11,36.86
77,2019-02-08,36.98
78,2019-02-07,36.92
79,2019-02-06,37.21
80,2019-02-05,37.44
81,2019-02-04,37.10
82,2019-02-01,37.05
83,2019-01-31,37.15
84,2019-01-30,37.12
85,2019-01-29,36.80
86,2019-01-28,36.67
87,2019-01-25,36.77
88,2019-01-24,36.55
89,2019-01-23,36.58
90,2019-01-22,36.32
91,2019-01-18,36.83
92,2019-01-17,36.62
93,2019-01-16,36.46
94,2019-01-15,36.30
95,2019-01-14,36.23
96,2019-01-11,36.32
97,2019-01-10,36.35
98,2019-01-09,36.20
99,2019-01-08,35.79
100,2019-01-07,35.60
101,2019-01-04,35.53
102,2019-01-03,34.68
103,2019-01-02,34.87
104,2018-12-31,34.96
105,2018-12-28,34.89
106,2018-12-27,34.66
107,2018-12-26,34.77
108,2018-12-24,33.98
109,2018-12-21,34.24
110,2018-12-20,34.77
111,2018-12-19,34.76
112,2018-12-18,34.99
113,2018-12-17,34.96
114,2018-12-14,35.23
115,2018-12-13,35.59
116,2018-12-12,35.63
117,2018-12-11,35.23
118,2018-12-10,35.20
119,2018-12-07,35.45
120,2018-12-06,35.80
121,2018-12-04,35.76
122,2018-12-03,36.33
123,2018-11-30,36.17
124,2018-11-29,36.29
125,2018-11-28,36.55
126,2018-11-27,36.05
127,2018-11-26,36.16
128,2018-11-23,35.61
129,2018-11-21,35.76
130,2018-11-20,35.31
131,2018-11-19,35.78
132,2018-11-16,36.07
133,2018-11-15,36.01
134,2018-11-14,35.76
135,2018-11-13,35.69
136,2018-11-12,35.40
137,2018-11-09,35.84
138,2018-11-08,35.98
139,2018-11-07,36.39
140,2018-11-06,35.84
141,2018-11-05,35.71
142,2018-11-02,35.54
143,2018-11-01,35.65
144,2018-10-31,35.15
145,2018-10-30,35.07
146,2018-10-29,34.65
147,2018-10-26,34.75
148,2018-10-25,34.87
149,2018-10-24,34.53
150,2018-10-23,35.21
151,2018-10-22,35.31
152,2018-10-19,35.43
153,2018-10-18,35.22
154,2018-10-17,35.58
155,2018-10-16,35.83
156,2018-10-15,35.23
157,2018-10-12,35.36
158,2018-10-11,35.24
159,2018-10-10,35.51
160,2018-10-09,36.17
161,2018-10-08,36.22
162,2018-10-05,36.32
163,2018-10-04,36.42
164,2018-10-03,36.90
165,2018-10-02,37.00
166,2018-10-01,37.30
167,2018-09-28,37.34
168,2018-09-27,37.51
169,2018-09-26,37.55
170,2018-09-25,37.50
171,2018-09-24,37.52
172,2018-09-21,37.76
173,2018-09-20,37.85
174,2018-09-19,37.49
175,2018-09-18,37.47
176,2018-09-17,37.19
177,2018-09-14,37.08
178,2018-09-13,37.23
179,2018-09-12,37.08
180,2018-09-11,36.97
181,2018-09-10,36.91
182,2018-09-07,36.76
183,2018-09-06,36.95
184,2018-09-05,36.97
185,2018-09-04,37.06
186,2018-08-31,37.49
187,2018-08-30,37.73
188,2018-08-29,38.12
189,2018-08-28,37.94
190,2018-08-27,38.04
191,2018-08-24,37.68
192,2018-08-23,37.43
193,2018-08-22,37.84
194,2018-08-21,37.76
195,2018-08-20,37.53
196,2018-08-17,37.54
197,2018-08-16,37.16
198,2018-08-15,37.00
199,2018-08-14,37.29
200,2018-08-13,37.12
201,2018-08-10,37.32
202,2018-08-09,37.94
203,2018-08-08,38.13
204,2018-08-07,38.04
205,2018-08-06,37.92
206,2018-08-03,38.10
207,2018-08-02,37.98
208,2018-08-01,38.25
209,2018-07-31,38.45
210,2018-07-30,38.32
211,2018-07-27,38.25
