,Date,NAV
1,2019-05-30,38.32
2,2019-05-29,38.11
3,2019-05-28,38.50
4,2019-05-24,38.86
5,2019-05-23,38.47
6,2019-05-22,38.97
7,2019-05-21,39.10
8,2019-05-20,38.84
9,2019-05-17,39.21
10,2019-05-16,39.46
11,2019-05-15,39.09
12,2019-05-14,38.86
13,2019-05-13,38.44
14,2019-05-10,39.43
15,2019-05-09,39.15
16,2019-05-08,39.41
17,2019-05-07,39.18
18,2019-05-06,39.98
19,2019-05-03,40.43
20,2019-05-02,40.08
21,2019-05-01,40.27
22,2019-04-30,40.53
23,2019-04-29,40.31
24,2019-04-26,40.06
25,2019-04-25,39.98
26,2019-04-24,40.09
27,2019-04-23,40.41
28,2019-04-22,40.51
29,2019-04-18,40.43
30,2019-04-17,40.54
31,2019-04-16,40.26
32,2019-04-15,40.19
33,2019-04-12,40.17
34,2019-04-11,39.75
35,2019-04-10,39.67
36,2019-04-09,39.50
37,2019-04-08,39.76
38,2019-04-05,39.76
39,2019-04-04,39.64
40,2019-04-03,39.65
41,2019-04-02,39.24
42,2019-04-01,39.11
43,2019-03-29,38.60
44,2019-03-28,38.36
45,2019-03-27,38.55
46,2019-03-26,38.46
47,2019-03-25,38.36
48,2019-03-22,38.33
49,2019-03-21,39.48
50,2019-03-20,39.63
51,2019-03-19,39.65
52,2019-03-18,39.43
53,2019-03-15,39.27
54,2019-03-14,38.80
55,2019-03-13,38.65
56,2019-03-12,38.31
57,2019-03-11,38.28
58,2019-03-08,37.98
59,2019-03-07,37.88
60,2019-03-06,38.56
61,2019-03-05,38.64
62,2019-03-04,38.67
63,2019-03-01,38.86
64,2019-02-28,38.52
65,2019-02-27,38.30
66,2019-02-26,38.45
67,2019-02-25,38.21
68,2019-02-22,38.12
69,2019-02-21,38.01
70,2019-02-20,38.12
71,2019-02-19,37.93
72,2019-02-15,37.79
73,2019-02-14,37.08
74,2019-02-13,37.19
75,2019-02-12,37.24
76,2019-02-11,36.74
77,2019-02-08,36.74
78,2019-02-07,36.97
79,2019-02-06,37.73
80,2019-02-05,37.84
81,2019-02-04,37.48
82,2019-02-01,37.38
83,2019-01-31,37.35
84,2019-01-30,37.52
85,2019-01-29,37.15
86,2019-01-28,37.05
87,2019-01-25,37.15
88,2019-01-24,36.58
89,2019-01-23,36.51
90,2019-01-22,36.23
91,2019-01-18,36.72
92,2019-01-17,36.21
93,2019-01-16,36.13
94,2019-01-15,36.06
95,2019-01-14,36.06
96,2019-01-11,36.18
97,2019-01-10,36.47
98,2019-01-09,36.49
99,2019-01-08,35.98
100,2019-01-07,35.73
101,2019-01-04,35.56
102,2019-01-03,34.49
103,2019-01-02,34.89
104,2018-12-31,35.06
105,2018-12-28,34.90
106,2018-12-27,34.77
107,2018-12-26,34.78
108,2018-12-24,33.85
109,2018-12-21,34.45
110,2018-12-20,34.94
111,2018-12-19,35.13
112,2018-12-18,35.41
113,2018-12-17,35.33
114,2018-12-14,35.61
115,2018-12-13,36.14
116,2018-12-12,36.20
117,2018-12-11,35.54
118,2018-12-10,35.42
119,2018-12-07,35.66
120,2018-12-06,36.09
121,2018-12-04,36.52
122,2018-12-03,37.51
123,2018-11-30,37.04
124,2018-11-29,37.31
125,2018-11-28,37.46
126,2018-11-27,36.94
127,2018-11-26,37.12
128,2018-11-23,36.54
129,2018-11-21,36.84
130,2018-11-20,36.37
131,2018-11-19,37.15
132,2018-11-16,37.55
133,2018-11-15,37.54
134,2018-11-14,37.46
135,2018-11-13,37.23
136,2018-11-12,36.91
137,2018-11-09,37.75
138,2018-11-08,37.85
139,2018-11-07,38.44
140,2018-11-06,37.95
141,2018-11-05,37.81
142,2018-11-02,37.91
143,2018-11-01,37.75
144,2018-10-31,37.17
145,2018-10-30,36.96
146,2018-10-29,36.71
147,2018-10-26,36.69
148,2018-10-25,36.84
149,2018-10-24,36.24
150,2018-10-23,37.41
151,2018-10-22,37.70
152,2018-10-19,38.01
153,2018-10-18,37.77
154,2018-10-17,38.54
155,2018-10-16,38.98
156,2018-10-15,38.22
157,2018-10-12,38.16
158,2018-10-11,38.11
159,2018-10-10,38.45
160,2018-10-09,39.36
161,2018-10-08,39.44
162,2018-10-05,39.79
163,2018-10-04,40.13
164,2018-10-03,40.65
165,2018-10-02,40.52
166,2018-10-01,40.79
167,2018-09-28,40.79
168,2018-09-27,41.43
169,2018-09-26,41.65
170,2018-09-25,41.68
171,2018-09-24,41.56
172,2018-09-21,41.75
173,2018-09-20,41.75
174,2018-09-19,41.00
175,2018-09-18,40.87
176,2018-09-17,40.60
177,2018-09-14,40.53
178,2018-09-13,40.65
179,2018-09-12,40.23
180,2018-09-11,40.16
181,2018-09-10,40.11
182,2018-09-07,39.66
183,2018-09-06,40.03
184,2018-09-05,40.23
185,2018-09-04,40.63
186,2018-08-31,41.00
187,2018-08-30,41.54
188,2018-08-29,42.03
189,2018-08-28,41.89
190,2018-08-27,41.88
191,2018-08-24,41.31
192,2018-08-23,40.87
193,2018-08-22,41.12
194,2018-08-21,40.94
195,2018-08-20,40.34
196,2018-08-17,40.04
197,2018-08-16,39.78
198,2018-08-15,39.48
199,2018-08-14,40.27
200,2018-08-13,40.28
201,2018-08-10,40.41
202,2018-08-09,41.60
203,2018-08-08,41.80
204,2018-08-07,41.91
205,2018-08-06,41.56
206,2018-08-03,41.75
207,2018-08-02,41.70
208,2018-08-01,42.09
209,2018-07-31,42.34
210,2018-07-30,42.26
211,2018-07-27,42.18
212,2018-07-26,42.04
213,2018-07-25,42.36
214,2018-07-24,41.98
215,2018-07-23,41.79
216,2018-07-20,41.85
217,2018-07-19,41.75
218,2018-07-18,41.93
219,2018-07-17,41.91
220,2018-07-16,41.81
221,2018-07-13,41.73
222,2018-07-12,41.63
223,2018-07-11,41.32
224,2018-07-10,42.06
225,2018-07-09,41.94
226,2018-07-06,41.70
227,2018-07-05,41.45
228,2018-07-03,40.73
229,2018-07-02,40.58
230,2018-06-29,40.79
231,2018-06-28,40.33
232,2018-06-27,40.31
233,2018-06-26,40.71
234,2018-06-25,40.83
235,2018-06-22,41.34
236,2018-06-21,40.90
237,2018-06-20,41.33
238,2018-06-19,41.44
239,2018-06-18,41.81
240,2018-06-15,42.27
241,2018-06-14,42.40
242,2018-06-13,42.46
243,2018-06-12,42.29
244,2018-06-11,42.57
245,2018-06-08,42.13
246,2018-06-07,42.06
247,2018-06-06,42.44
248,2018-06-05,41.94
249,2018-06-04,41.98
250,2018-06-01,41.77
251,2018-05-31,41.50
252,2018-05-30,41.59
253,2018-05-29,40.73
254,2018-05-25,42.17
255,2018-05-24,42.55
256,2018-05-23,42.68
257,2018-05-22,43.33
258,2018-05-21,43.30
259,2018-05-18,43.01
260,2018-05-17,43.20
261,2018-05-16,43.10
262,2018-05-15,43.22
263,2018-05-14,43.54
264,2018-05-11,43.53
265,2018-05-10,43.51
266,2018-05-09,43.17
267,2018-05-08,43.13
268,2018-05-07,43.22
269,2018-05-04,43.24
270,2018-05-03,43.13
271,2018-05-02,43.02
272,2018-05-01,42.91
273,2018-04-30,43.04
274,2018-04-27,43.28
275,2018-04-26,43.15
276,2018-04-25,43.01
277,2018-04-24,43.17
278,2018-04-23,43.38
279,2018-04-20,43.49
280,2018-04-19,43.68
281,2018-04-18,43.85
282,2018-04-17,43.66
283,2018-04-16,43.28
284,2018-04-13,43.17
285,2018-04-12,43.06
286,2018-04-11,42.83
287,2018-04-10,43.08
288,2018-04-09,42.57
289,2018-04-06,42.23
290,2018-04-05,42.37
291,2018-04-04,41.97
292,2018-04-03,41.86
293,2018-04-02,41.51
294,2018-03-29,42.09
295,2018-03-28,41.69
