,Date,NAV
1,2019-05-30,20.77
2,2019-05-29,20.42
3,2019-05-28,20.42
4,2019-05-24,20.57
5,2019-05-23,20.44
6,2019-05-22,20.36
7,2019-05-21,20.71
8,2019-05-20,20.68
9,2019-05-17,20.75
10,2019-05-16,20.56
11,2019-05-15,20.79
12,2019-05-14,20.84
13,2019-05-13,20.93
14,2019-05-10,20.28
15,2019-05-09,20.43
16,2019-05-08,20.48
17,2019-05-07,20.71
18,2019-05-06,20.30
19,2019-05-03,20.29
20,2019-05-02,20.17
21,2019-05-01,20.52
22,2019-04-30,20.89
23,2019-04-29,20.84
24,2019-04-26,21.30
25,2019-04-25,20.87
26,2019-04-24,21.02
27,2019-04-23,20.82
28,2019-04-22,20.98
29,2019-04-18,21.34
30,2019-04-17,21.66
31,2019-04-16,21.81
32,2019-04-15,22.22
33,2019-04-12,22.21
34,2019-04-11,22.25
35,2019-04-10,22.62
36,2019-04-09,22.82
37,2019-04-08,22.69
38,2019-04-05,22.43
39,2019-04-04,22.50
40,2019-04-03,22.07
41,2019-04-02,22.10
42,2019-04-01,21.96
43,2019-03-29,22.42
44,2019-03-28,22.41
45,2019-03-27,23.01
46,2019-03-26,23.35
47,2019-03-25,23.26
48,2019-03-22,22.78
49,2019-03-21,22.75
50,2019-03-20,22.63
51,2019-03-19,22.13
52,2019-03-18,22.05
53,2019-03-15,22.30
54,2019-03-14,22.25
55,2019-03-13,22.86
56,2019-03-12,22.68
57,2019-03-11,22.29
58,2019-03-08,22.37
59,2019-03-07,21.79
60,2019-03-06,21.52
61,2019-03-05,21.97
62,2019-03-04,21.85
63,2019-03-01,21.70
64,2019-02-28,22.24
65,2019-02-27,22.35
66,2019-02-26,22.73
67,2019-02-25,22.77
68,2019-02-22,23.06
69,2019-02-21,22.98
70,2019-02-20,23.36
71,2019-02-19,23.14
72,2019-02-15,22.43
73,2019-02-14,22.14
74,2019-02-13,21.92
75,2019-02-12,22.05
76,2019-02-11,22.08
77,2019-02-08,22.34
78,2019-02-07,22.03
79,2019-02-06,22.22
80,2019-02-05,22.61
81,2019-02-04,22.49
82,2019-02-01,22.57
83,2019-01-31,22.69
84,2019-01-30,22.18
85,2019-01-29,21.97
86,2019-01-28,21.45
87,2019-01-25,21.18
88,2019-01-24,20.50
89,2019-01-23,20.49
90,2019-01-22,20.45
91,2019-01-18,20.31
92,2019-01-17,20.66
93,2019-01-16,20.60
94,2019-01-15,20.61
95,2019-01-14,20.93
96,2019-01-11,21.08
97,2019-01-10,21.00
98,2019-01-09,21.32
99,2019-01-08,21.05
100,2019-01-07,21.04
101,2019-01-04,21.30
102,2019-01-03,21.48
103,2019-01-02,21.05
104,2018-12-31,21.09
105,2018-12-28,20.60
106,2018-12-27,20.97
107,2018-12-26,20.62
108,2018-12-24,21.09
109,2018-12-21,20.44
110,2018-12-20,20.67
111,2018-12-19,19.85
112,2018-12-18,20.98
113,2018-12-17,20.50
114,2018-12-14,20.01
115,2018-12-13,20.37
116,2018-12-12,20.33
117,2018-12-11,19.90
118,2018-12-10,20.02
119,2018-12-07,20.09
120,2018-12-06,19.61
121,2018-12-04,19.50
122,2018-12-03,19.34
123,2018-11-30,18.99
124,2018-11-29,19.07
125,2018-11-28,19.24
126,2018-11-27,18.77
127,2018-11-26,19.16
128,2018-11-23,19.26
129,2018-11-21,19.71
130,2018-11-20,19.20
131,2018-11-19,19.29
132,2018-11-16,19.28
133,2018-11-15,18.99
134,2018-11-14,18.73
135,2018-11-13,18.32
136,2018-11-12,18.51
137,2018-11-09,18.94
138,2018-11-08,19.28
139,2018-11-07,19.21
140,2018-11-06,19.30
141,2018-11-05,19.46
142,2018-11-02,19.53
143,2018-11-01,19.47
144,2018-10-31,18.83
145,2018-10-30,19.05
146,2018-10-29,18.91
147,2018-10-26,18.96
148,2018-10-25,18.90
149,2018-10-24,19.77
150,2018-10-23,19.99
151,2018-10-22,19.76
152,2018-10-19,19.90
153,2018-10-18,19.89
154,2018-10-17,19.81
155,2018-10-16,19.88
156,2018-10-15,19.95
157,2018-10-12,19.65
158,2018-10-11,19.77
159,2018-10-10,18.53
160,2018-10-09,18.29
161,2018-10-08,18.61
162,2018-10-05,18.55
163,2018-10-04,18.65
164,2018-10-03,18.69
165,2018-10-02,18.95
166,2018-10-01,18.45
167,2018-09-28,18.42
168,2018-09-27,18.24
169,2018-09-26,18.32
170,2018-09-25,18.75
171,2018-09-24,18.70
172,2018-09-21,18.68
173,2018-09-20,18.83
174,2018-09-19,18.65
175,2018-09-18,18.33
176,2018-09-17,18.22
177,2018-09-14,17.89
178,2018-09-13,17.99
179,2018-09-12,18.01
180,2018-09-11,17.48
181,2018-09-10,17.52
182,2018-09-07,17.79
183,2018-09-06,17.75
184,2018-09-05,17.78
185,2018-09-04,17.93
186,2018-08-31,18.45
187,2018-08-30,18.59
188,2018-08-29,18.89
189,2018-08-28,18.82
190,2018-08-27,19.18
191,2018-08-24,18.85
192,2018-08-23,18.36
193,2018-08-22,18.96
194,2018-08-21,18.82
195,2018-08-20,18.69
196,2018-08-17,18.62
197,2018-08-16,18.06
198,2018-08-15,18.50
199,2018-08-14,19.67
200,2018-08-13,19.87
201,2018-08-10,20.45
202,2018-08-09,20.60
203,2018-08-08,20.65
204,2018-08-07,20.55
205,2018-08-06,20.79
206,2018-08-03,21.05
