,Date,NAV
1,2019-05-30,41.98
2,2019-05-29,42.09
3,2019-05-28,42.20
4,2019-05-24,42.47
5,2019-05-23,42.19
6,2019-05-22,43.11
7,2019-05-21,43.50
8,2019-05-20,43.03
9,2019-05-17,43.42
10,2019-05-16,43.76
11,2019-05-15,43.55
12,2019-05-14,43.39
13,2019-05-13,43.06
14,2019-05-10,44.05
15,2019-05-09,43.66
16,2019-05-08,43.93
17,2019-05-07,43.97
18,2019-05-06,44.65
19,2019-05-03,45.15
20,2019-05-02,44.55
21,2019-05-01,44.88
22,2019-04-30,45.56
23,2019-04-29,45.57
24,2019-04-26,45.47
25,2019-04-25,45.54
26,2019-04-24,45.71
27,2019-04-23,46.52
28,2019-04-22,46.40
29,2019-04-18,46.40
30,2019-04-17,46.50
31,2019-04-16,46.53
32,2019-04-15,46.61
33,2019-04-12,46.78
34,2019-04-11,46.57
35,2019-04-10,46.88
36,2019-04-09,46.62
37,2019-04-08,47.07
38,2019-04-05,46.86
39,2019-04-04,46.52
40,2019-04-03,46.40
41,2019-04-02,46.18
42,2019-04-01,46.17
43,2019-03-29,45.35
44,2019-03-28,45.04
45,2019-03-27,44.91
46,2019-03-26,45.06
47,2019-03-25,44.73
48,2019-03-22,44.81
49,2019-03-21,45.97
50,2019-03-20,45.80
51,2019-03-19,45.78
52,2019-03-18,45.61
53,2019-03-15,45.21
54,2019-03-14,45.12
55,2019-03-13,45.31
56,2019-03-12,44.75
57,2019-03-11,44.56
58,2019-03-08,43.97
59,2019-03-07,44.26
60,2019-03-06,44.83
61,2019-03-05,45.00
62,2019-03-04,45.07
63,2019-03-01,44.95
64,2019-02-28,44.87
65,2019-02-27,45.47
66,2019-02-26,45.58
67,2019-02-25,45.48
68,2019-02-22,45.40
69,2019-02-21,45.04
70,2019-02-20,45.52
71,2019-02-19,45.01
72,2019-02-15,44.68
73,2019-02-14,44.11
74,2019-02-13,44.09
75,2019-02-12,43.99
76,2019-02-11,43.50
77,2019-02-08,43.61
78,2019-02-07,43.77
79,2019-02-06,44.43
80,2019-02-05,44.58
81,2019-02-04,44.45
82,2019-02-01,44.41
83,2019-01-31,44.29
84,2019-01-30,44.09
85,2019-01-29,43.19
86,2019-01-28,42.79
87,2019-01-25,43.31
88,2019-01-24,42.63
89,2019-01-23,42.58
90,2019-01-22,42.61
91,2019-01-18,43.38
92,2019-01-17,42.93
93,2019-01-16,42.49
94,2019-01-15,42.52
95,2019-01-14,42.52
96,2019-01-11,42.76
97,2019-01-10,42.96
98,2019-01-09,42.64
99,2019-01-08,42.06
100,2019-01-07,41.79
101,2019-01-04,41.49
102,2019-01-03,39.89
103,2019-01-02,40.53
104,2018-12-31,40.45
105,2018-12-28,40.18
106,2018-12-27,40.21
107,2018-12-26,40.14
108,2018-12-24,38.77
109,2018-12-21,39.39
110,2018-12-20,39.89
111,2018-12-19,40.33
112,2018-12-18,40.81
113,2018-12-17,40.90
114,2018-12-14,41.43
115,2018-12-13,41.93
116,2018-12-12,41.92
117,2018-12-11,41.49
118,2018-12-10,41.43
119,2018-12-07,41.76
120,2018-12-06,42.13
121,2018-12-04,42.72
122,2018-12-03,43.74
123,2018-11-30,42.70
124,2018-11-29,42.77
125,2018-11-28,42.80
126,2018-11-27,42.10
