,Date,NAV
1,2019-05-30,46.92
2,2019-05-29,46.80
3,2019-05-28,47.11
4,2019-05-24,47.52
5,2019-05-23,47.36
6,2019-05-22,47.90
7,2019-05-21,47.92
8,2019-05-20,47.71
9,2019-05-17,48.03
10,2019-05-16,48.35
11,2019-05-15,47.82
12,2019-05-14,47.42
13,2019-05-13,47.09
14,2019-05-10,48.21
15,2019-05-09,48.07
16,2019-05-08,48.36
17,2019-05-07,48.37
18,2019-05-06,49.25
19,2019-05-03,49.52
20,2019-05-02,48.98
21,2019-05-01,49.10
22,2019-04-30,49.45
23,2019-04-29,49.39
24,2019-04-26,49.26
25,2019-04-25,49.14
26,2019-04-24,49.13
27,2019-04-23,49.40
28,2019-04-22,49.12
29,2019-04-18,49.07
30,2019-04-17,49.05
31,2019-04-16,48.87
32,2019-04-15,48.80
33,2019-04-12,48.74
34,2019-04-11,48.54
35,2019-04-10,48.53
36,2019-04-09,48.49
37,2019-04-08,48.76
38,2019-04-05,48.59
39,2019-04-04,48.44
40,2019-04-03,48.41
41,2019-04-02,48.21
42,2019-04-01,48.13
43,2019-03-29,47.55
44,2019-03-28,47.34
45,2019-03-27,47.34
46,2019-03-26,47.44
47,2019-03-25,47.19
48,2019-03-22,47.27
49,2019-03-21,48.24
50,2019-03-20,47.85
51,2019-03-19,47.83
52,2019-03-18,47.79
53,2019-03-15,47.53
54,2019-03-14,47.19
55,2019-03-13,47.17
56,2019-03-12,46.81
57,2019-03-11,46.68
58,2019-03-08,46.00
59,2019-03-07,46.07
60,2019-03-06,46.50
61,2019-03-05,46.75
62,2019-03-04,46.73
63,2019-03-01,46.71
64,2019-02-28,46.42
65,2019-02-27,46.51
66,2019-02-26,46.62
67,2019-02-25,46.51
68,2019-02-22,46.33
69,2019-02-21,46.09
70,2019-02-20,46.12
71,2019-02-19,46.00
72,2019-02-15,45.85
73,2019-02-14,45.35
74,2019-02-13,45.44
75,2019-02-12,45.43
76,2019-02-11,44.81
77,2019-02-08,44.87
78,2019-02-07,44.91
79,2019-02-06,45.43
80,2019-02-05,45.63
81,2019-02-04,45.23
82,2019-02-01,44.93
83,2019-01-31,45.12
84,2019-01-30,44.79
85,2019-01-29,44.02
86,2019-01-28,44.01
87,2019-01-25,44.32
88,2019-01-24,43.99
89,2019-01-23,44.01
90,2019-01-22,43.78
91,2019-01-18,44.52
92,2019-01-17,44.00
93,2019-01-16,43.79
94,2019-01-15,43.75
95,2019-01-14,43.30
96,2019-01-11,43.58
97,2019-01-10,43.71
98,2019-01-09,43.62
99,2019-01-08,43.43
100,2019-01-07,43.18
101,2019-01-04,43.05
102,2019-01-03,41.54
103,2019-01-02,42.60
104,2018-12-31,42.40
105,2018-12-28,42.23
106,2018-12-27,42.10
107,2018-12-26,41.96
108,2018-12-24,40.41
109,2018-12-21,41.23
110,2018-12-20,41.97
111,2018-12-19,42.42
112,2018-12-18,42.99
113,2018-12-17,42.88
114,2018-12-14,43.62
115,2018-12-13,44.56
116,2018-12-12,44.47
117,2018-12-11,44.10
118,2018-12-10,44.09
119,2018-12-07,44.03
120,2018-12-06,44.87
121,2018-12-04,45.11
122,2018-12-03,46.46
123,2018-11-30,45.80
124,2018-11-29,45.70
125,2018-11-28,45.79
126,2018-11-27,44.78
127,2018-11-26,44.76
128,2018-11-23,44.03
129,2018-11-21,44.57
130,2018-11-20,44.36
131,2018-11-19,45.18
132,2018-11-16,45.77
133,2018-11-15,45.66
134,2018-11-14,45.22
135,2018-11-13,45.50
136,2018-11-12,45.40
137,2018-11-09,46.46
138,2018-11-08,46.81
139,2018-11-07,47.04
140,2018-11-06,46.00
141,2018-11-05,45.72
142,2018-11-02,45.54
143,2018-11-01,45.97
144,2018-10-31,45.51
145,2018-10-30,44.90
146,2018-10-29,44.32
147,2018-10-26,44.71
148,2018-10-25,45.44
149,2018-10-24,44.45
150,2018-10-23,45.92
151,2018-10-22,46.20
152,2018-10-19,46.24
153,2018-10-18,45.94
154,2018-10-17,46.61
155,2018-10-16,46.69
156,2018-10-15,45.82
157,2018-10-12,46.10
158,2018-10-11,45.59
159,2018-10-10,46.52
160,2018-10-09,47.86
161,2018-10-08,47.72
162,2018-10-05,47.89
163,2018-10-04,48.12
164,2018-10-03,48.57
165,2018-10-02,48.57
166,2018-10-01,48.63
167,2018-09-28,48.33
168,2018-09-27,48.59
169,2018-09-26,48.40
170,2018-09-25,48.55
171,2018-09-24,48.43
172,2018-09-21,48.53
173,2018-09-20,48.63
174,2018-09-19,48.02
175,2018-09-18,47.87
176,2018-09-17,47.63
177,2018-09-14,47.80
178,2018-09-13,47.86
179,2018-09-12,47.50
180,2018-09-11,47.45
181,2018-09-10,47.21
182,2018-09-07,47.08
183,2018-09-06,47.34
184,2018-09-05,47.61
185,2018-09-04,47.83
186,2018-08-31,48.12
187,2018-08-30,48.30
188,2018-08-29,48.56
189,2018-08-28,48.12
190,2018-08-27,48.17
191,2018-08-24,47.67
192,2018-08-23,47.41
193,2018-08-22,47.60
194,2018-08-21,47.49
195,2018-08-20,47.27
196,2018-08-17,47.20
197,2018-08-16,46.93
198,2018-08-15,46.66
199,2018-08-14,47.13
200,2018-08-13,46.98
201,2018-08-10,47.18
202,2018-08-09,47.82
203,2018-08-08,47.89
204,2018-08-07,47.86
205,2018-08-06,47.59
206,2018-08-03,47.50
207,2018-08-02,47.42
208,2018-08-01,47.42
209,2018-07-31,47.32
210,2018-07-30,47.19
211,2018-07-27,47.28
212,2018-07-26,47.45
213,2018-07-25,47.51
214,2018-07-24,47.17
215,2018-07-23,46.72
216,2018-07-20,46.77
217,2018-07-19,46.62
218,2018-07-18,46.79
219,2018-07-17,46.77
220,2018-07-16,46.55
221,2018-07-13,46.63
222,2018-07-12,46.46
223,2018-07-11,45.98
224,2018-07-10,46.57
225,2018-07-09,46.36
226,2018-07-06,46.02
227,2018-07-05,45.65
228,2018-07-03,45.29
229,2018-07-02,45.37
230,2018-06-29,45.39
231,2018-06-28,45.23
232,2018-06-27,44.89
233,2018-06-26,45.26
234,2018-06-25,45.04
235,2018-06-22,45.69
236,2018-06-21,45.41
237,2018-06-20,45.82
238,2018-06-19,45.76
239,2018-06-18,45.95
240,2018-06-15,46.13
241,2018-06-14,46.41
242,2018-06-13,46.39
243,2018-06-12,46.42
244,2018-06-11,46.62
245,2018-06-08,46.38
246,2018-06-07,46.36
247,2018-06-06,46.46
248,2018-06-05,46.14
249,2018-06-04,46.09
250,2018-06-01,45.86
251,2018-05-31,45.35
252,2018-05-30,45.56
253,2018-05-29,44.93
254,2018-05-25,45.70
255,2018-05-24,45.83
256,2018-05-23,46.13
257,2018-05-22,46.18
258,2018-05-21,46.24
259,2018-05-18,45.96
260,2018-05-17,46.16
261,2018-05-16,46.16
262,2018-05-15,46.01
263,2018-05-14,46.38
264,2018-05-11,46.34
265,2018-05-10,46.29
266,2018-05-09,45.95
267,2018-05-08,45.40
268,2018-05-07,45.49
269,2018-05-04,45.33
270,2018-05-03,44.86
271,2018-05-02,44.83
272,2018-05-01,45.03
273,2018-04-30,45.02
274,2018-04-27,45.22
275,2018-04-26,45.11
276,2018-04-25,44.64
277,2018-04-24,44.74
278,2018-04-23,45.34
279,2018-04-20,45.30
280,2018-04-19,45.75
281,2018-04-18,45.98
282,2018-04-17,45.97
283,2018-04-16,45.59
284,2018-04-13,45.33
285,2018-04-12,45.41
286,2018-04-11,44.97
287,2018-04-10,45.20
