,Date,NAV
1,2019-05-30,56.69
2,2019-05-29,56.45
3,2019-05-28,56.66
4,2019-05-24,56.96
5,2019-05-23,56.43
6,2019-05-22,57.09
7,2019-05-21,57.30
8,2019-05-20,56.84
9,2019-05-17,57.15
10,2019-05-16,57.67
11,2019-05-15,57.38
12,2019-05-14,57.20
13,2019-05-13,56.55
14,2019-05-10,58.03
15,2019-05-09,57.69
16,2019-05-08,58.09
17,2019-05-07,58.09
18,2019-05-06,59.11
19,2019-05-03,59.82
20,2019-05-02,59.15
21,2019-05-01,59.27
22,2019-04-30,59.64
23,2019-04-29,59.62
24,2019-04-26,59.41
25,2019-04-25,59.18
26,2019-04-24,59.30
27,2019-04-23,59.80
28,2019-04-22,59.66
29,2019-04-18,59.78
30,2019-04-17,59.92
31,2019-04-16,59.78
32,2019-04-15,59.56
33,2019-04-12,59.60
34,2019-04-11,59.17
35,2019-04-10,59.46
36,2019-04-09,59.21
37,2019-04-08,59.44
38,2019-04-05,59.43
39,2019-04-04,59.20
40,2019-04-03,59.25
41,2019-04-02,58.80
42,2019-04-01,58.84
43,2019-03-29,58.07
44,2019-03-28,57.74
45,2019-03-27,57.67
46,2019-03-26,57.90
47,2019-03-25,57.54
48,2019-03-22,57.52
49,2019-03-21,58.78
50,2019-03-20,58.77
51,2019-03-19,58.74
52,2019-03-18,58.64
53,2019-03-15,58.33
54,2019-03-14,57.66
55,2019-03-13,57.80
56,2019-03-12,57.46
57,2019-03-11,57.38
58,2019-03-08,56.72
59,2019-03-07,56.77
60,2019-03-06,57.61
61,2019-03-05,57.84
62,2019-03-04,57.65
63,2019-03-01,57.78
64,2019-02-28,57.50
65,2019-02-27,57.78
66,2019-02-26,58.08
67,2019-02-25,57.89
68,2019-02-22,57.59
69,2019-02-21,57.30
70,2019-02-20,57.42
71,2019-02-19,57.16
72,2019-02-15,56.87
73,2019-02-14,56.30
74,2019-02-13,56.26
75,2019-02-12,56.34
76,2019-02-11,55.73
77,2019-02-08,55.91
78,2019-02-07,56.11
79,2019-02-06,56.78
80,2019-02-05,57.25
81,2019-02-04,56.74
82,2019-02-01,56.50
83,2019-01-31,56.62
84,2019-01-30,56.51
85,2019-01-29,55.85
86,2019-01-28,55.71
87,2019-01-25,55.98
88,2019-01-24,55.37
89,2019-01-23,55.11
90,2019-01-22,54.87
91,2019-01-18,55.74
92,2019-01-17,55.23
93,2019-01-16,55.03
94,2019-01-15,54.77
95,2019-01-14,54.45
96,2019-01-11,54.74
97,2019-01-10,54.99
98,2019-01-09,54.81
99,2019-01-08,54.08
100,2019-01-07,53.74
101,2019-01-04,53.52
102,2019-01-03,51.94
103,2019-01-02,52.38
104,2018-12-31,52.53
105,2018-12-28,52.42
106,2018-12-27,51.96
107,2018-12-26,52.03
108,2018-12-24,50.85
109,2018-12-21,51.37
110,2018-12-20,52.21
