,Date,NAV
1,2019-05-30,31.39
2,2019-05-29,31.36
3,2019-05-28,31.56
4,2019-05-24,31.77
5,2019-05-23,31.45
6,2019-05-22,31.82
7,2019-05-21,32.00
8,2019-05-20,31.72
9,2019-05-17,32.01
10,2019-05-16,32.16
11,2019-05-15,31.99
12,2019-05-14,31.87
13,2019-05-13,31.51
14,2019-05-10,32.29
15,2019-05-09,32.02
16,2019-05-08,32.27
17,2019-05-07,32.27
18,2019-05-06,32.74
19,2019-05-03,33.15
20,2019-05-02,32.77
21,2019-05-01,32.90
22,2019-04-30,33.20
23,2019-04-29,33.11
24,2019-04-26,33.02
25,2019-04-25,32.98
26,2019-04-24,32.97
27,2019-04-23,33.20
28,2019-04-22,33.24
29,2019-04-18,33.18
30,2019-04-17,33.32
31,2019-04-16,33.33
32,2019-04-15,33.33
33,2019-04-12,33.26
34,2019-04-11,32.96
35,2019-04-10,33.01
36,2019-04-09,32.82
37,2019-04-08,33.01
38,2019-04-05,32.96
39,2019-04-04,32.91
40,2019-04-03,33.00
41,2019-04-02,32.68
42,2019-04-01,32.70
43,2019-03-29,32.25
44,2019-03-28,32.08
45,2019-03-27,32.16
46,2019-03-26,32.23
47,2019-03-25,31.98
48,2019-03-22,32.11
49,2019-03-21,32.68
50,2019-03-20,32.74
51,2019-03-19,32.63
52,2019-03-18,32.64
53,2019-03-15,32.53
54,2019-03-14,32.25
55,2019-03-13,32.39
56,2019-03-12,32.12
57,2019-03-11,32.01
58,2019-03-08,31.73
59,2019-03-07,31.79
60,2019-03-06,32.32
61,2019-03-05,32.49
62,2019-03-04,32.46
63,2019-03-01,32.49
64,2019-02-28,32.30
65,2019-02-27,32.41
66,2019-02-26,32.57
67,2019-02-25,32.35
68,2019-02-22,32.30
69,2019-02-21,32.10
70,2019-02-20,32.17
71,2019-02-19,32.06
72,2019-02-15,31.84
73,2019-02-14,31.50
74,2019-02-13,31.40
75,2019-02-12,31.37
76,2019-02-11,31.07
77,2019-02-08,31.13
78,2019-02-07,31.29
79,2019-02-06,31.72
80,2019-02-05,31.82
81,2019-02-04,31.67
82,2019-02-01,31.50
83,2019-01-31,31.60
84,2019-01-30,31.53
85,2019-01-29,31.18
86,2019-01-28,31.17
87,2019-01-25,31.22
88,2019-01-24,30.82
89,2019-01-23,30.70
90,2019-01-22,30.58
91,2019-01-18,31.03
92,2019-01-17,30.81
93,2019-01-16,30.69
94,2019-01-15,30.55
95,2019-01-14,30.50
96,2019-01-11,30.60
97,2019-01-10,30.77
98,2019-01-09,30.68
99,2019-01-08,30.34
100,2019-01-07,30.08
101,2019-01-04,29.70
102,2019-01-03,28.93
103,2019-01-02,29.14
104,2018-12-31,29.10
105,2018-12-28,28.94
106,2018-12-27,28.69
107,2018-12-26,28.72
108,2018-12-24,27.92
109,2018-12-21,28.22
110,2018-12-20,28.76
111,2018-12-19,28.90
112,2018-12-18,29.26
113,2018-12-17,29.23
114,2018-12-14,29.65
115,2018-12-13,30.07
116,2018-12-12,30.14
117,2018-12-11,29.68
118,2018-12-10,29.69
119,2018-12-07,30.08
120,2018-12-06,30.43
121,2018-12-04,30.66
122,2018-12-03,31.49
123,2018-11-30,31.11
124,2018-11-29,31.16
125,2018-11-28,31.32
126,2018-11-27,30.81
127,2018-11-26,30.94
128,2018-11-23,30.70
129,2018-11-21,30.79
130,2018-11-20,30.35
131,2018-11-19,30.94
132,2018-11-16,31.20
133,2018-11-15,31.19
134,2018-11-14,31.10
135,2018-11-13,31.13
136,2018-11-12,31.10
137,2018-11-09,31.81
138,2018-11-08,32.09
139,2018-11-07,32.56
140,2018-11-06,32.05
141,2018-11-05,31.93
142,2018-11-02,32.02
143,2018-11-01,31.90
144,2018-10-31,31.25
145,2018-10-30,30.95
146,2018-10-29,30.52
147,2018-10-26,30.74
148,2018-10-25,31.13
149,2018-10-24,30.87
150,2018-10-23,31.79
151,2018-10-22,32.22
152,2018-10-19,32.35
153,2018-10-18,32.38
154,2018-10-17,32.82
155,2018-10-16,33.12
156,2018-10-15,32.45
157,2018-10-12,32.53
158,2018-10-11,32.26
159,2018-10-10,32.66
160,2018-10-09,33.52
161,2018-10-08,33.70
162,2018-10-05,33.90
163,2018-10-04,34.17
164,2018-10-03,34.63
165,2018-10-02,34.68
166,2018-10-01,35.00
167,2018-09-28,34.80
168,2018-09-27,35.02
169,2018-09-26,35.16
170,2018-09-25,35.25
171,2018-09-24,35.10
172,2018-09-21,35.25
173,2018-09-20,35.34
174,2018-09-19,35.11
175,2018-09-18,34.98
176,2018-09-17,34.66
177,2018-09-14,34.55
178,2018-09-13,34.47
179,2018-09-12,34.47
180,2018-09-11,34.19
181,2018-09-10,34.15
182,2018-09-07,33.92
183,2018-09-06,34.24
184,2018-09-05,34.42
185,2018-09-04,34.57
186,2018-08-31,34.96
187,2018-08-30,35.18
188,2018-08-29,35.36
189,2018-08-28,35.22
190,2018-08-27,35.30
191,2018-08-24,34.90
192,2018-08-23,34.55
193,2018-08-22,34.80
194,2018-08-21,34.56
195,2018-08-20,34.28
196,2018-08-17,34.18
197,2018-08-16,33.85
198,2018-08-15,33.81
199,2018-08-14,34.26
200,2018-08-13,34.18
201,2018-08-10,34.45
202,2018-08-09,34.99
203,2018-08-08,35.04
204,2018-08-07,35.01
205,2018-08-06,35.05
206,2018-08-03,35.17
207,2018-08-02,35.19
208,2018-08-01,35.35
209,2018-07-31,35.34
210,2018-07-30,35.37
211,2018-07-27,35.39
212,2018-07-26,35.33
213,2018-07-25,35.54
214,2018-07-24,35.12
215,2018-07-23,34.95
216,2018-07-20,35.07
217,2018-07-19,34.93
218,2018-07-18,35.16
219,2018-07-17,35.17
220,2018-07-16,35.16
221,2018-07-13,35.12
222,2018-07-12,35.10
223,2018-07-11,34.84
224,2018-07-10,35.51
225,2018-07-09,35.42
226,2018-07-06,35.11
227,2018-07-05,34.85
228,2018-07-03,34.72
229,2018-07-02,34.72
230,2018-06-29,35.20
231,2018-06-28,34.89
232,2018-06-27,34.88
233,2018-06-26,35.18
234,2018-06-25,35.16
235,2018-06-22,35.63
236,2018-06-21,35.26
237,2018-06-20,35.54
238,2018-06-19,35.45
239,2018-06-18,35.86
240,2018-06-15,36.09
241,2018-06-14,36.44
242,2018-06-13,36.63
243,2018-06-12,36.64
244,2018-06-11,36.79
245,2018-06-08,36.66
246,2018-06-07,36.57
247,2018-06-06,36.70
248,2018-06-05,36.40
249,2018-06-04,36.32
250,2018-06-01,36.24
251,2018-05-31,35.88
252,2018-05-30,36.02
253,2018-05-29,35.46
254,2018-05-25,36.08
255,2018-05-24,36.26
