,Date,NAV
1,2019-05-30,28.69
2,2019-05-29,28.57
3,2019-05-28,28.75
4,2019-05-24,29.00
5,2019-05-23,28.69
6,2019-05-22,28.98
7,2019-05-21,29.11
8,2019-05-20,28.93
9,2019-05-17,29.02
10,2019-05-16,29.21
11,2019-05-15,29.03
12,2019-05-14,28.92
13,2019-05-13,28.62
14,2019-05-10,29.31
15,2019-05-09,29.10
16,2019-05-08,29.31
17,2019-05-07,29.27
18,2019-05-06,29.74
19,2019-05-03,30.04
20,2019-05-02,29.77
21,2019-05-01,29.84
22,2019-04-30,30.00
23,2019-04-29,29.96
24,2019-04-26,29.85
25,2019-04-25,29.72
26,2019-04-24,29.76
27,2019-04-23,30.01
28,2019-04-22,29.96
29,2019-04-18,30.00
30,2019-04-17,30.04
31,2019-04-16,29.99
32,2019-04-15,29.94
33,2019-04-12,29.94
34,2019-04-11,29.71
35,2019-04-10,29.77
36,2019-04-09,29.67
37,2019-04-08,29.83
38,2019-04-05,29.78
39,2019-04-04,29.75
40,2019-04-03,29.86
41,2019-04-02,29.62
42,2019-04-01,29.61
43,2019-03-29,29.21
44,2019-03-28,29.12
45,2019-03-27,29.15
46,2019-03-26,29.21
47,2019-03-25,29.06
48,2019-03-22,29.03
49,2019-03-21,29.60
50,2019-03-20,29.57
51,2019-03-19,29.57
52,2019-03-18,29.51
53,2019-03-15,29.39
54,2019-03-14,29.11
55,2019-03-13,29.15
56,2019-03-12,28.93
57,2019-03-11,28.91
58,2019-03-08,28.65
59,2019-03-07,28.68
60,2019-03-06,29.04
61,2019-03-05,29.15
62,2019-03-04,29.10
63,2019-03-01,29.21
64,2019-02-28,29.09
65,2019-02-27,29.20
66,2019-02-26,29.29
67,2019-02-25,29.15
68,2019-02-22,29.07
69,2019-02-21,28.97
70,2019-02-20,29.07
71,2019-02-19,28.93
72,2019-02-15,28.75
73,2019-02-14,28.36
74,2019-02-13,28.37
75,2019-02-12,28.34
76,2019-02-11,28.05
77,2019-02-08,28.08
78,2019-02-07,28.26
79,2019-02-06,28.61
80,2019-02-05,28.75
81,2019-02-04,28.53
82,2019-02-01,28.45
83,2019-01-31,28.46
84,2019-01-30,28.45
85,2019-01-29,28.15
86,2019-01-28,28.03
87,2019-01-25,28.19
88,2019-01-24,27.85
89,2019-01-23,27.77
90,2019-01-22,27.65
