,Date,NAV
1,2019-05-30,25.97
2,2019-05-29,25.62
3,2019-05-28,25.79
4,2019-05-24,25.50
5,2019-05-23,25.08
6,2019-05-22,25.93
7,2019-05-21,25.76
8,2019-05-20,24.99
9,2019-05-17,25.25
10,2019-05-16,25.85
11,2019-05-15,25.22
12,2019-05-14,24.72
13,2019-05-13,24.43
14,2019-05-10,25.39
15,2019-05-09,24.82
16,2019-05-08,25.76
17,2019-05-07,26.15
18,2019-05-06,25.55
19,2019-05-03,26.21
20,2019-05-02,25.45
21,2019-05-01,25.37
22,2019-04-30,25.09
23,2019-04-29,25.37
24,2019-04-26,25.55
25,2019-04-25,25.50
26,2019-04-24,25.58
27,2019-04-23,25.61
28,2019-04-22,25.32
29,2019-04-18,25.09
30,2019-04-17,25.16
31,2019-04-16,24.93
32,2019-04-15,24.72
33,2019-04-12,24.61
34,2019-04-11,24.43
35,2019-04-10,24.87
36,2019-04-09,24.50
37,2019-04-08,24.97
38,2019-04-05,24.80
39,2019-04-04,24.33
40,2019-04-03,24.07
41,2019-04-02,23.74
42,2019-04-01,23.60
43,2019-03-29,23.16
44,2019-03-28,23.14
45,2019-03-27,23.01
46,2019-03-26,23.07
47,2019-03-25,23.12
48,2019-03-22,23.27
49,2019-03-21,24.18
50,2019-03-20,24.77
51,2019-03-19,24.66
52,2019-03-18,24.51
53,2019-03-15,24.02
54,2019-03-14,24.11
55,2019-03-13,24.17
56,2019-03-12,24.07
57,2019-03-11,24.01
58,2019-03-08,23.19
59,2019-03-07,23.42
60,2019-03-06,24.02
61,2019-03-05,24.73
62,2019-03-04,24.97
63,2019-03-01,25.05
64,2019-02-28,24.92
65,2019-02-27,24.82
66,2019-02-26,24.97
67,2019-02-25,25.21
68,2019-02-22,25.16
69,2019-02-21,24.39
70,2019-02-20,23.88
71,2019-02-19,24.00
72,2019-02-15,23.23
73,2019-02-14,23.62
74,2019-02-13,23.29
75,2019-02-12,23.12
76,2019-02-11,22.88
77,2019-02-08,22.74
78,2019-02-07,22.90
79,2019-02-06,23.28
80,2019-02-05,23.14
81,2019-02-04,22.99
82,2019-02-01,22.72
83,2019-01-31,23.29
84,2019-01-30,22.49
85,2019-01-29,22.00
86,2019-01-28,22.26
87,2019-01-25,21.76
88,2019-01-24,21.25
89,2019-01-23,20.60
90,2019-01-22,20.21
91,2019-01-18,20.46
92,2019-01-17,20.61
93,2019-01-16,20.26
94,2019-01-15,20.36
95,2019-01-14,20.35
96,2019-01-11,20.39
97,2019-01-10,20.54
98,2019-01-09,20.10
99,2019-01-08,19.82
100,2019-01-07,19.81
101,2019-01-04,19.45
102,2019-01-03,18.59
103,2019-01-02,18.79
104,2018-12-31,18.55
105,2018-12-28,18.57
106,2018-12-27,18.53
107,2018-12-26,18.71
108,2018-12-24,18.01
109,2018-12-21,18.34
110,2018-12-20,18.57
111,2018-12-19,18.91
112,2018-12-18,19.28
113,2018-12-17,19.45
114,2018-12-14,19.91
115,2018-12-13,20.21
116,2018-12-12,20.15
117,2018-12-11,19.97
118,2018-12-10,19.96
119,2018-12-07,20.13
120,2018-12-06,20.67
121,2018-12-04,20.64
122,2018-12-03,21.24
123,2018-11-30,20.90
124,2018-11-29,21.44
125,2018-11-28,21.66
126,2018-11-27,21.02
127,2018-11-26,20.50
128,2018-11-23,19.94
129,2018-11-21,19.96
130,2018-11-20,19.63
131,2018-11-19,20.16
132,2018-11-16,20.32
133,2018-11-15,20.09
134,2018-11-14,19.54
135,2018-11-13,19.71
136,2018-11-12,19.85
137,2018-11-09,20.05
138,2018-11-08,20.29
139,2018-11-07,20.86
140,2018-11-06,20.25
141,2018-11-05,20.36
142,2018-11-02,19.32
143,2018-11-01,19.00
144,2018-10-31,18.36
145,2018-10-30,18.07
146,2018-10-29,17.58
147,2018-10-26,17.74
148,2018-10-25,18.14
149,2018-10-24,17.76
150,2018-10-23,18.28
151,2018-10-22,18.79
152,2018-10-19,18.93
153,2018-10-18,19.11
154,2018-10-17,19.47
155,2018-10-16,19.64
156,2018-10-15,19.30
157,2018-10-12,18.95
158,2018-10-11,18.76
159,2018-10-10,19.03
160,2018-10-09,19.55
161,2018-10-08,19.77
162,2018-10-05,20.01
163,2018-10-04,20.48
164,2018-10-03,20.71
165,2018-10-02,20.86
166,2018-10-01,20.60
167,2018-09-28,20.60
168,2018-09-27,20.81
169,2018-09-26,21.16
170,2018-09-25,21.22
171,2018-09-24,21.28
172,2018-09-21,21.43
173,2018-09-20,21.34
174,2018-09-19,20.97
175,2018-09-18,20.91
176,2018-09-17,20.53
177,2018-09-14,20.72
178,2018-09-13,20.90
179,2018-09-12,20.83
180,2018-09-11,20.68
181,2018-09-10,20.58
182,2018-09-07,20.64
183,2018-09-06,21.05
184,2018-09-05,21.26
185,2018-09-04,21.70
186,2018-08-31,21.68
187,2018-08-30,21.52
188,2018-08-29,22.01
189,2018-08-28,21.66
190,2018-08-27,21.80
191,2018-08-24,21.74
192,2018-08-23,21.39
193,2018-08-22,21.61
194,2018-08-21,21.55
195,2018-08-20,21.28
196,2018-08-17,20.93
197,2018-08-16,20.94
198,2018-08-15,20.89
199,2018-08-14,21.38
200,2018-08-13,21.65
201,2018-08-10,22.01
202,2018-08-09,22.45
203,2018-08-08,22.57
204,2018-08-07,22.44
205,2018-08-06,22.26
206,2018-08-03,22.00
207,2018-08-02,22.61
208,2018-08-01,22.46
209,2018-07-31,22.58
210,2018-07-30,22.29
211,2018-07-27,22.60
212,2018-07-26,23.03
213,2018-07-25,23.34
214,2018-07-24,22.82
215,2018-07-23,22.59
216,2018-07-20,22.70
217,2018-07-19,22.91
218,2018-07-18,22.90
219,2018-07-17,22.89
220,2018-07-16,23.10
221,2018-07-13,23.12
222,2018-07-12,23.33
223,2018-07-11,23.21
224,2018-07-10,23.63
225,2018-07-09,23.76
226,2018-07-06,23.38
227,2018-07-05,23.10
228,2018-07-03,22.92
229,2018-07-02,23.10
230,2018-06-29,22.94
231,2018-06-28,22.92
232,2018-06-27,22.80
233,2018-06-26,23.25
234,2018-06-25,23.15
235,2018-06-22,23.53
236,2018-06-21,23.32
237,2018-06-20,23.35
238,2018-06-19,23.22
239,2018-06-18,23.22
240,2018-06-15,23.09
241,2018-06-14,23.82
242,2018-06-13,23.67
243,2018-06-12,23.14
244,2018-06-11,23.01
245,2018-06-08,23.03
246,2018-06-07,23.07
247,2018-06-06,23.13
248,2018-06-05,23.35
249,2018-06-04,23.86
250,2018-06-01,24.99
251,2018-05-31,25.30
