,Date,NAV
1,2019-05-30,19.38
2,2019-05-29,19.08
3,2019-05-28,19.16
4,2019-05-24,19.29
5,2019-05-23,19.20
6,2019-05-22,19.10
7,2019-05-21,19.53
8,2019-05-20,19.18
9,2019-05-17,19.42
10,2019-05-16,19.26
11,2019-05-15,19.94
12,2019-05-14,20.00
13,2019-05-13,20.04
14,2019-05-10,19.60
15,2019-05-09,19.60
16,2019-05-08,19.60
17,2019-05-07,19.56
18,2019-05-06,19.29
19,2019-05-03,19.43
20,2019-05-02,19.26
21,2019-05-01,19.76
22,2019-04-30,19.93
23,2019-04-29,19.69
24,2019-04-26,20.18
25,2019-04-25,19.74
26,2019-04-24,19.76
27,2019-04-23,19.52
28,2019-04-22,19.45
29,2019-04-18,20.00
30,2019-04-17,20.18
31,2019-04-16,20.27
32,2019-04-15,20.53
33,2019-04-12,20.70
34,2019-04-11,20.83
35,2019-04-10,21.43
36,2019-04-09,21.48
37,2019-04-08,21.35
38,2019-04-05,21.07
39,2019-04-04,21.09
40,2019-04-03,20.60
41,2019-04-02,20.72
42,2019-04-01,20.60
43,2019-03-29,21.15
44,2019-03-28,21.30
45,2019-03-27,22.13
46,2019-03-26,22.36
47,2019-03-25,22.34
48,2019-03-22,21.87
49,2019-03-21,22.25
50,2019-03-20,22.35
51,2019-03-19,21.88
52,2019-03-18,21.76
53,2019-03-15,21.85
54,2019-03-14,22.07
55,2019-03-13,22.43
56,2019-03-12,22.27
57,2019-03-11,22.00
58,2019-03-08,21.81
59,2019-03-07,21.17
60,2019-03-06,21.00
61,2019-03-05,21.25
62,2019-03-04,21.23
63,2019-03-01,21.29
64,2019-02-28,21.94
65,2019-02-27,22.10
66,2019-02-26,22.62
67,2019-02-25,22.47
68,2019-02-22,23.17
69,2019-02-21,22.71
70,2019-02-20,22.85
71,2019-02-19,22.70
72,2019-02-15,22.00
73,2019-02-14,21.62
74,2019-02-13,21.55
75,2019-02-12,21.37
76,2019-02-11,21.46
77,2019-02-08,21.56
78,2019-02-07,21.46
79,2019-02-06,21.84
80,2019-02-05,21.91
81,2019-02-04,22.00
82,2019-02-01,22.06
83,2019-01-31,22.13
84,2019-01-30,21.78
85,2019-01-29,21.43
86,2019-01-28,21.04
87,2019-01-25,20.60
88,2019-01-24,19.80
89,2019-01-23,19.80
90,2019-01-22,19.80
91,2019-01-18,19.56
92,2019-01-17,20.01
93,2019-01-16,20.07
94,2019-01-15,19.89
95,2019-01-14,20.15
96,2019-01-11,20.39
97,2019-01-10,20.51
98,2019-01-09,20.83
99,2019-01-08,20.50
100,2019-01-07,20.51
101,2019-01-04,20.67
102,2019-01-03,20.92
103,2019-01-02,20.06
104,2018-12-31,19.85
105,2018-12-28,19.62
106,2018-12-27,19.38
107,2018-12-26,19.49
108,2018-12-24,19.53
109,2018-12-21,19.03
110,2018-12-20,19.27
111,2018-12-19,18.74
112,2018-12-18,19.44
113,2018-12-17,18.89
114,2018-12-14,18.48
115,2018-12-13,18.61
116,2018-12-12,18.54
117,2018-12-11,18.48
118,2018-12-10,18.55
119,2018-12-07,18.86
120,2018-12-06,17.95
121,2018-12-04,18.03
122,2018-12-03,17.96
123,2018-11-30,17.90
124,2018-11-29,18.05
125,2018-11-28,17.64
126,2018-11-27,17.66
127,2018-11-26,18.01
128,2018-11-23,18.25
129,2018-11-21,18.66
130,2018-11-20,18.54
131,2018-11-19,18.30
132,2018-11-16,18.39
133,2018-11-15,17.99
134,2018-11-14,18.04
135,2018-11-13,17.60
136,2018-11-12,17.77
137,2018-11-09,18.04
138,2018-11-08,18.50
139,2018-11-07,18.54
140,2018-11-06,18.80
141,2018-11-05,18.90
142,2018-11-02,18.76
143,2018-11-01,18.76
144,2018-10-31,18.47
145,2018-10-30,18.60
146,2018-10-29,18.88
147,2018-10-26,19.08
148,2018-10-25,19.63
149,2018-10-24,19.43
150,2018-10-23,20.00
151,2018-10-22,19.75
152,2018-10-19,19.91
153,2018-10-18,19.81
154,2018-10-17,20.02
155,2018-10-16,19.85
156,2018-10-15,20.06
157,2018-10-12,19.68
158,2018-10-11,19.43
159,2018-10-10,18.46
160,2018-10-09,18.54
161,2018-10-08,19.08
162,2018-10-05,18.78
163,2018-10-04,18.86
164,2018-10-03,19.06
165,2018-10-02,18.95
166,2018-10-01,18.75
167,2018-09-28,18.62
168,2018-09-27,18.29
169,2018-09-26,18.68
170,2018-09-25,18.86
171,2018-09-24,18.88
172,2018-09-21,19.04
173,2018-09-20,19.26
174,2018-09-19,18.88
175,2018-09-18,18.26
176,2018-09-17,18.48
177,2018-09-14,18.34
178,2018-09-13,18.18
179,2018-09-12,18.50
180,2018-09-11,17.80
181,2018-09-10,17.92
182,2018-09-07,17.98
183,2018-09-06,18.03
184,2018-09-05,18.18
185,2018-09-04,18.33
186,2018-08-31,19.02
187,2018-08-30,19.09
188,2018-08-29,19.46
189,2018-08-28,19.51
190,2018-08-27,19.79
191,2018-08-24,19.62
192,2018-08-23,18.75
193,2018-08-22,19.45
194,2018-08-21,19.43
195,2018-08-20,19.34
196,2018-08-17,19.04
197,2018-08-16,18.62
198,2018-08-15,19.00
199,2018-08-14,20.08
200,2018-08-13,19.97
201,2018-08-10,20.50
202,2018-08-09,20.80
203,2018-08-08,20.75
204,2018-08-07,20.78
205,2018-08-06,21.17
206,2018-08-03,21.20
207,2018-08-02,21.07
208,2018-08-01,21.50
209,2018-07-31,21.56
210,2018-07-30,21.60
211,2018-07-27,21.96
212,2018-07-26,22.24
213,2018-07-25,22.13
214,2018-07-24,22.11
215,2018-07-23,22.12
216,2018-07-20,22.20
217,2018-07-19,22.20
218,2018-07-18,22.24
219,2018-07-17,22.17
220,2018-07-16,22.26
221,2018-07-13,22.50
222,2018-07-12,22.69
223,2018-07-11,22.48
224,2018-07-10,22.94
225,2018-07-09,22.94
226,2018-07-06,22.81
227,2018-07-05,22.61
228,2018-07-03,22.28
229,2018-07-02,22.06
230,2018-06-29,22.18
