,Date,NAV
1,2019-05-30,48.87
2,2019-05-29,48.97
3,2019-05-28,49.35
4,2019-05-24,50.00
5,2019-05-23,49.87
6,2019-05-22,49.82
7,2019-05-21,49.64
8,2019-05-20,49.20
9,2019-05-17,49.29
10,2019-05-16,49.50
11,2019-05-15,49.29
12,2019-05-14,49.30
13,2019-05-13,49.33
14,2019-05-10,49.45
15,2019-05-09,48.89
16,2019-05-08,49.37
17,2019-05-07,49.95
18,2019-05-06,50.38
19,2019-05-03,50.63
20,2019-05-02,50.25
21,2019-05-01,50.68
22,2019-04-30,51.15
23,2019-04-29,50.77
24,2019-04-26,50.77
25,2019-04-25,50.64
26,2019-04-24,50.69
27,2019-04-23,51.19
28,2019-04-22,50.98
29,2019-04-18,51.00
30,2019-04-17,51.20
31,2019-04-16,51.35
32,2019-04-15,52.16
33,2019-04-12,52.03
34,2019-04-11,51.48
35,2019-04-10,51.50
36,2019-04-09,51.23
37,2019-04-08,51.70
38,2019-04-05,51.79
39,2019-04-04,51.43
40,2019-04-03,51.62
41,2019-04-02,51.69
42,2019-04-01,51.92
43,2019-03-29,51.80
44,2019-03-28,51.80
45,2019-03-27,52.20
46,2019-03-26,52.65
47,2019-03-25,52.43
48,2019-03-22,52.37
49,2019-03-21,52.53
50,2019-03-20,52.38
51,2019-03-19,52.38
52,2019-03-18,52.80
53,2019-03-15,52.92
54,2019-03-14,52.62
55,2019-03-13,52.48
56,2019-03-12,52.49
57,2019-03-11,52.19
58,2019-03-08,51.54
59,2019-03-07,51.48
60,2019-03-06,51.60
61,2019-03-05,51.73
62,2019-03-04,51.64
63,2019-03-01,51.82
64,2019-02-28,51.78
65,2019-02-27,51.94
66,2019-02-26,51.98
67,2019-02-25,51.75
68,2019-02-22,51.74
69,2019-02-21,51.57
70,2019-02-20,51.49
71,2019-02-19,51.20
72,2019-02-15,50.86
73,2019-02-14,50.72
74,2019-02-13,50.65
75,2019-02-12,50.90
76,2019-02-11,50.75
77,2019-02-08,50.88
78,2019-02-07,50.93
79,2019-02-06,50.87
80,2019-02-05,51.06
81,2019-02-04,50.55
82,2019-02-01,50.25
83,2019-01-31,50.74
