,Date,NAV
1,2019-05-30,25.93
2,2019-05-29,25.80
3,2019-05-28,26.12
4,2019-05-24,26.35
5,2019-05-23,26.18
6,2019-05-22,26.45
7,2019-05-21,26.31
8,2019-05-20,26.17
9,2019-05-17,26.31
10,2019-05-16,26.42
11,2019-05-15,26.20
12,2019-05-14,26.01
13,2019-05-13,25.80
14,2019-05-10,26.29
15,2019-05-09,26.28
16,2019-05-08,26.36
17,2019-05-07,26.21
18,2019-05-06,26.55
19,2019-05-03,26.72
20,2019-05-02,26.46
21,2019-05-01,26.60
22,2019-04-30,26.84
23,2019-04-29,26.71
24,2019-04-26,26.60
25,2019-04-25,26.50
26,2019-04-24,26.54
27,2019-04-23,26.60
28,2019-04-22,26.53
29,2019-04-18,26.51
30,2019-04-17,26.54
31,2019-04-16,26.53
32,2019-04-15,26.51
33,2019-04-12,26.45
34,2019-04-11,26.25
35,2019-04-10,26.32
36,2019-04-09,26.16
37,2019-04-08,26.30
38,2019-04-05,26.24
39,2019-04-04,26.18
40,2019-04-03,26.32
41,2019-04-02,26.15
42,2019-04-01,26.05
43,2019-03-29,25.86
44,2019-03-28,25.73
45,2019-03-27,25.72
46,2019-03-26,25.72
47,2019-03-25,25.52
48,2019-03-22,25.58
49,2019-03-21,25.86
50,2019-03-20,25.83
51,2019-03-19,25.82
52,2019-03-18,25.84
53,2019-03-15,25.89
54,2019-03-14,25.71
55,2019-03-13,25.75
56,2019-03-12,25.55
57,2019-03-11,25.53
58,2019-03-08,25.41
59,2019-03-07,25.34
60,2019-03-06,25.57
61,2019-03-05,25.66
62,2019-03-04,25.52
63,2019-03-01,25.64
64,2019-02-28,25.42
65,2019-02-27,25.46
66,2019-02-26,25.61
67,2019-02-25,25.52
68,2019-02-22,25.44
69,2019-02-21,25.38
70,2019-02-20,25.26
71,2019-02-19,25.19
72,2019-02-15,25.04
73,2019-02-14,24.85
74,2019-02-13,24.66
75,2019-02-12,24.62
76,2019-02-11,24.43
77,2019-02-08,24.49
78,2019-02-07,24.49
79,2019-02-06,24.65
80,2019-02-05,24.83
81,2019-02-04,24.62
82,2019-02-01,24.50
83,2019-01-31,24.51
84,2019-01-30,24.45
85,2019-01-29,24.31
86,2019-01-28,24.26
87,2019-01-25,24.28
88,2019-01-24,24.10
89,2019-01-23,24.10
90,2019-01-22,23.88
91,2019-01-18,24.07
92,2019-01-17,23.88
93,2019-01-16,23.77
94,2019-01-15,23.77
95,2019-01-14,23.68
96,2019-01-11,23.75
97,2019-01-10,23.84
98,2019-01-09,23.88
99,2019-01-08,23.52
100,2019-01-07,23.39
101,2019-01-04,23.20
102,2019-01-03,22.71
103,2019-01-02,22.85
104,2018-12-31,22.97
105,2018-12-28,22.84
106,2018-12-27,22.65
107,2018-12-26,22.60
108,2018-12-24,22.12
109,2018-12-21,22.21
110,2018-12-20,22.63
111,2018-12-19,23.00
112,2018-12-18,23.05
113,2018-12-17,23.06
114,2018-12-14,23.33
115,2018-12-13,23.75
116,2018-12-12,23.84
117,2018-12-11,23.42
118,2018-12-10,23.38
119,2018-12-07,23.59
120,2018-12-06,23.69
121,2018-12-04,24.09
122,2018-12-03,24.65
123,2018-11-30,24.21
124,2018-11-29,24.45
125,2018-11-28,24.42
126,2018-11-27,24.01
127,2018-11-26,24.18
128,2018-11-23,23.93
129,2018-11-21,23.97
130,2018-11-20,23.52
131,2018-11-19,24.14
132,2018-11-16,24.38
133,2018-11-15,24.45
134,2018-11-14,24.41
135,2018-11-13,24.40
136,2018-11-12,24.29
137,2018-11-09,24.67
138,2018-11-08,24.86
139,2018-11-07,25.10
140,2018-11-06,24.72
141,2018-11-05,24.73
142,2018-11-02,24.89
143,2018-11-01,24.78
144,2018-10-31,24.45
145,2018-10-30,23.98
146,2018-10-29,23.77
147,2018-10-26,23.84
148,2018-10-25,24.04
149,2018-10-24,23.85
150,2018-10-23,24.28
151,2018-10-22,24.85
152,2018-10-19,24.91
153,2018-10-18,24.82
154,2018-10-17,25.36
155,2018-10-16,25.45
156,2018-10-15,24.81
157,2018-10-12,25.07
