,Date,NAV
1,2019-05-30,14.07
2,2019-05-29,14.20
3,2019-05-28,13.92
4,2019-05-24,13.53
5,2019-05-23,13.95
6,2019-05-22,13.54
7,2019-05-21,13.41
8,2019-05-20,13.64
9,2019-05-17,13.51
10,2019-05-16,13.24
11,2019-05-15,13.55
12,2019-05-14,13.72
13,2019-05-13,14.11
14,2019-05-10,13.21
15,2019-05-09,13.50
16,2019-05-08,13.28
17,2019-05-07,13.36
18,2019-05-06,12.66
19,2019-05-03,12.29
20,2019-05-02,12.66
21,2019-05-01,12.60
22,2019-04-30,12.37
23,2019-04-29,12.40
24,2019-04-26,12.56
25,2019-04-25,12.72
26,2019-04-24,12.66
27,2019-04-23,12.40
28,2019-04-22,12.46
29,2019-04-18,12.42
30,2019-04-17,12.36
31,2019-04-16,12.45
32,2019-04-15,12.51
33,2019-04-12,12.51
34,2019-04-11,12.78
35,2019-04-10,12.70
36,2019-04-09,12.83
37,2019-04-08,12.61
38,2019-04-05,12.63
39,2019-04-04,12.68
40,2019-04-03,12.62
41,2019-04-02,12.90
42,2019-04-01,12.93
43,2019-03-29,13.43
44,2019-03-28,13.60
45,2019-03-27,13.52
46,2019-03-26,13.50
47,2019-03-25,13.73
48,2019-03-22,13.73
49,2019-03-21,12.98
50,2019-03-20,12.99
51,2019-03-19,13.04
52,2019-03-18,13.07
53,2019-03-15,13.25
54,2019-03-14,13.64
55,2019-03-13,13.62
56,2019-03-12,13.98
57,2019-03-11,13.93
58,2019-03-08,14.33
59,2019-03-07,14.30
60,2019-03-06,13.75
61,2019-03-05,13.62
62,2019-03-04,13.71
63,2019-03-01,13.59
64,2019-02-28,13.79
65,2019-02-27,13.71
66,2019-02-26,13.51
67,2019-02-25,13.73
68,2019-02-22,13.87
69,2019-02-21,14.01
70,2019-02-20,13.86
71,2019-02-19,14.01
72,2019-02-15,14.18
73,2019-02-14,14.79
74,2019-02-13,14.79
75,2019-02-12,14.84
76,2019-02-11,15.39
77,2019-02-08,15.39
78,2019-02-07,15.16
79,2019-02-06,14.59
80,2019-02-05,14.37
81,2019-02-04,14.69
82,2019-02-01,14.88
83,2019-01-31,14.81
84,2019-01-30,14.82
85,2019-01-29,15.28
86,2019-01-28,15.41
87,2019-01-25,15.17
88,2019-01-24,15.69
89,2019-01-23,15.80
90,2019-01-22,15.98
91,2019-01-18,15.27
92,2019-01-17,15.74
93,2019-01-16,15.88
94,2019-01-15,16.03
95,2019-01-14,16.28
96,2019-01-11,16.04
97,2019-01-10,15.72
98,2019-01-09,15.94
99,2019-01-08,16.40
100,2019-01-07,16.73
101,2019-01-04,16.88
102,2019-01-03,18.58
103,2019-01-02,18.18
104,2018-12-31,18.09
105,2018-12-28,18.06
106,2018-12-27,18.39
107,2018-12-26,18.56
108,2018-12-24,19.94
109,2018-12-21,19.23
110,2018-12-20,18.34
111,2018-12-19,18.09
112,2018-12-18,17.53
113,2018-12-17,17.67
114,2018-12-14,17.16
115,2018-12-13,16.53
116,2018-12-12,16.38
117,2018-12-11,17.25
118,2018-12-10,17.38
119,2018-12-07,16.91
120,2018-12-06,16.43
121,2018-12-04,15.96
122,2018-12-03,14.86
123,2018-11-30,15.39
124,2018-11-29,15.21
125,2018-11-28,15.10
126,2018-11-27,15.64
127,2018-11-26,15.45
128,2018-11-23,16.11
129,2018-11-21,15.77
130,2018-11-20,16.59
131,2018-11-19,15.83
132,2018-11-16,15.32
133,2018-11-15,15.40
134,2018-11-14,15.37
135,2018-11-13,15.55
136,2018-11-12,15.80
137,2018-11-09,15.03
138,2018-11-08,14.74
139,2018-11-07,14.47
140,2018-11-06,14.95
141,2018-11-05,15.11
142,2018-11-02,15.14
143,2018-11-01,15.20
144,2018-10-31,15.72
145,2018-10-30,16.12
146,2018-10-29,16.75
147,2018-10-26,16.58
148,2018-10-25,16.20
149,2018-10-24,16.85
150,2018-10-23,15.50
151,2018-10-22,15.06
152,2018-10-19,14.85
153,2018-10-18,15.16
154,2018-10-17,14.47
155,2018-10-16,14.17
156,2018-10-15,14.94
157,2018-10-12,14.87
158,2018-10-11,14.96
159,2018-10-10,14.47
160,2018-10-09,13.63
161,2018-10-08,13.42
162,2018-10-05,13.24
163,2018-10-04,13.04
164,2018-10-03,12.43
165,2018-10-02,12.47
166,2018-10-01,12.31
167,2018-09-28,12.35
168,2018-09-27,12.06
169,2018-09-26,11.99
170,2018-09-25,11.96
171,2018-09-24,12.12
172,2018-09-21,12.00
173,2018-09-20,12.03
174,2018-09-19,12.42
175,2018-09-18,12.54
176,2018-09-17,12.99
177,2018-09-14,13.05
178,2018-09-13,13.06
179,2018-09-12,13.37
180,2018-09-11,13.57
181,2018-09-10,13.59
182,2018-09-07,13.82
183,2018-09-06,13.65
184,2018-09-05,13.35
185,2018-09-04,12.99
186,2018-08-31,12.72
187,2018-08-30,12.40
188,2018-08-29,12.04
189,2018-08-28,12.26
190,2018-08-27,12.19
191,2018-08-24,12.69
192,2018-08-23,12.94
193,2018-08-22,12.67
194,2018-08-21,12.78
195,2018-08-20,12.99
196,2018-08-17,13.27
197,2018-08-16,13.51
198,2018-08-15,13.75
199,2018-08-14,13.23
200,2018-08-13,13.22
201,2018-08-10,13.03
202,2018-08-09,12.16
203,2018-08-08,12.12
204,2018-08-07,12.15
205,2018-08-06,12.46
206,2018-08-03,12.30
207,2018-08-02,12.43
208,2018-08-01,12.02
209,2018-07-31,11.90
210,2018-07-30,11.86
211,2018-07-27,11.95
212,2018-07-26,11.94
213,2018-07-25,11.94
214,2018-07-24,12.07
215,2018-07-23,12.27
216,2018-07-20,12.31
217,2018-07-19,12.45
218,2018-07-18,12.33
219,2018-07-17,12.39
220,2018-07-16,12.49
221,2018-07-13,12.46
222,2018-07-12,12.53
223,2018-07-11,12.83
224,2018-07-10,12.23
225,2018-07-09,12.20
226,2018-07-06,12.57
227,2018-07-05,12.81
228,2018-07-03,13.10
229,2018-07-02,13.28
230,2018-06-29,12.94
231,2018-06-28,13.19
232,2018-06-27,13.22
233,2018-06-26,12.92
234,2018-06-25,12.96
235,2018-06-22,12.46
236,2018-06-21,12.81
237,2018-06-20,12.61
238,2018-06-19,12.71
239,2018-06-18,12.32
240,2018-06-15,11.99
241,2018-06-14,11.80
242,2018-06-13,11.71
243,2018-06-12,11.78
244,2018-06-11,11.53
245,2018-06-08,11.76
246,2018-06-07,11.84
247,2018-06-06,11.64
248,2018-06-05,11.95
249,2018-06-04,11.86
250,2018-06-01,12.02
251,2018-05-31,12.27
252,2018-05-30,12.09
253,2018-05-29,12.64
254,2018-05-25,11.94
255,2018-05-24,11.76
256,2018-05-23,11.57
257,2018-05-22,11.18
258,2018-05-21,11.21
259,2018-05-18,11.39
260,2018-05-17,11.31
261,2018-05-16,11.31
262,2018-05-15,11.39
263,2018-05-14,11.09
264,2018-05-11,11.19
265,2018-05-10,11.26
266,2018-05-09,11.49
267,2018-05-08,11.60
268,2018-05-07,11.55
269,2018-05-04,11.59
270,2018-05-03,11.96
271,2018-05-02,11.67
272,2018-05-01,11.81
273,2018-04-30,11.61
274,2018-04-27,11.48
275,2018-04-26,11.49
276,2018-04-25,11.67
277,2018-04-24,11.67
278,2018-04-23,11.56
279,2018-04-20,11.50
280,2018-04-19,11.29
281,2018-04-18,11.17
282,2018-04-17,11.42
283,2018-04-16,11.59
284,2018-04-13,11.65
285,2018-04-12,11.65
286,2018-04-11,11.78
287,2018-04-10,11.63
288,2018-04-09,11.91
289,2018-04-06,12.36
290,2018-04-05,12.07
291,2018-04-04,12.50
292,2018-04-03,12.49
293,2018-04-02,12.68
294,2018-03-29,12.08
295,2018-03-28,12.45
296,2018-03-27,12.67
297,2018-03-26,12.42
298,2018-03-23,13.16
299,2018-03-22,12.73
300,2018-03-21,12.03
301,2018-03-20,12.06
302,2018-03-19,12.14
303,2018-03-16,11.82
304,2018-03-15,11.78
305,2018-03-14,11.74
306,2018-03-13,11.90
307,2018-03-12,11.61
308,2018-03-09,11.65
309,2018-03-08,11.94
310,2018-03-07,11.96
311,2018-03-06,11.95
312,2018-03-05,12.20
313,2018-03-02,12.40
314,2018-03-01,12.49
315,2018-02-28,11.95
316,2018-02-27,11.64
317,2018-02-26,11.09
318,2018-02-23,11.41
319,2018-02-22,11.79
320,2018-02-21,11.86
321,2018-02-20,11.66
322,2018-02-16,11.45
323,2018-02-15,11.53
324,2018-02-14,11.71
325,2018-02-13,12.42
326,2018-02-12,12.40
327,2018-02-09,12.84
328,2018-02-08,13.10
329,2018-02-07,12.07
330,2018-02-06,11.76
331,2018-02-05,12.44
332,2018-02-02,11.08
333,2018-02-01,10.42
334,2018-01-31,10.51
335,2018-01-30,10.42
336,2018-01-29,10.23
337,2018-01-26,10.03
338,2018-01-25,10.03
339,2018-01-24,10.08
340,2018-01-23,10.17
341,2018-01-22,10.32
342,2018-01-19,10.40
343,2018-01-18,10.56
344,2018-01-17,10.48
345,2018-01-16,10.70
346,2018-01-12,10.75
347,2018-01-11,11.03
348,2018-01-10,11.16
349,2018-01-09,11.16
350,2018-01-08,11.19
351,2018-01-05,11.17
352,2018-01-04,11.37
353,2018-01-03,11.80
354,2018-01-02,11.93
355,2017-12-29,12.18
356,2017-12-28,12.29
357,2017-12-27,12.29
358,2017-12-26,12.33
359,2017-12-22,12.29
360,2017-12-21,12.38
361,2017-12-20,12.50
362,2017-12-19,12.30
363,2017-12-18,12.22
364,2017-12-15,12.78
365,2017-12-14,12.74
366,2017-12-13,12.55
367,2017-12-12,12.77
368,2017-12-11,12.77
369,2017-12-08,12.81
370,2017-12-07,13.02
371,2017-12-06,13.14
372,2017-12-05,12.98
373,2017-12-04,12.89
374,2017-12-01,12.81
375,2017-11-30,12.65
376,2017-11-29,12.70
377,2017-11-28,12.62
378,2017-11-27,12.74
379,2017-11-24,12.54
380,2017-11-22,12.84
381,2017-11-21,12.90
382,2017-11-20,13.24
383,2017-11-17,13.33
384,2017-11-16,13.17
385,2017-11-15,13.52
386,2017-11-14,13.32
387,2017-11-13,13.29
388,2017-11-10,13.14
389,2017-11-09,12.99
390,2017-11-08,12.80
391,2017-11-07,12.95
392,2017-11-06,12.79
393,2017-11-03,12.86
394,2017-11-02,12.78
395,2017-11-01,12.89
396,2017-10-31,12.89
397,2017-10-30,13.13
398,2017-10-27,13.16
399,2017-10-26,13.26
400,2017-10-25,13.32
401,2017-10-24,13.13
402,2017-10-23,13.06
403,2017-10-20,13.10
404,2017-10-19,13.04
405,2017-10-18,12.95
406,2017-10-17,13.08
407,2017-10-16,13.02
408,2017-10-13,13.03
409,2017-10-12,13.12
410,2017-10-11,13.13
411,2017-10-10,13.23
412,2017-10-09,13.61
413,2017-10-06,13.65
414,2017-10-05,13.59
415,2017-10-04,13.56
416,2017-10-03,13.49
417,2017-10-02,13.62
418,2017-09-29,13.65
419,2017-09-28,13.82
420,2017-09-27,13.87
421,2017-09-26,13.96
422,2017-09-25,13.86
423,2017-09-22,13.57
424,2017-09-21,13.71
425,2017-09-20,13.77
426,2017-09-19,13.57
427,2017-09-18,13.81
428,2017-09-15,13.82
429,2017-09-14,13.88
430,2017-09-13,13.93
431,2017-09-12,13.67
432,2017-09-11,13.83
433,2017-09-08,14.14
434,2017-09-07,14.19
435,2017-09-06,14.51
436,2017-09-05,14.91
437,2017-09-01,14.49
438,2017-08-31,14.70
439,2017-08-30,14.89
440,2017-08-29,14.77
441,2017-08-28,14.64
442,2017-08-25,14.57
443,2017-08-24,14.85
444,2017-08-23,14.90
445,2017-08-22,14.80
446,2017-08-21,15.04
447,2017-08-18,15.01
448,2017-08-17,15.15
449,2017-08-16,14.67
450,2017-08-15,14.87
451,2017-08-14,14.86
452,2017-08-11,15.20
453,2017-08-10,15.17
454,2017-08-09,14.49
455,2017-08-08,14.38
456,2017-08-07,14.21
457,2017-08-04,14.24
458,2017-08-03,14.25
459,2017-08-02,14.28
460,2017-08-01,14.28
461,2017-07-31,14.56
462,2017-07-28,14.76
463,2017-07-27,14.68
