,Date,NAV
1,2019-05-30,56.35
2,2019-05-29,55.79
3,2019-05-28,57.04
4,2019-05-24,58.59
5,2019-05-23,56.82
6,2019-05-22,58.48
7,2019-05-21,59.36
8,2019-05-20,58.16
9,2019-05-17,58.88
10,2019-05-16,59.90
11,2019-05-15,58.71
12,2019-05-14,57.96
13,2019-05-13,56.38
14,2019-05-10,60.32
15,2019-05-09,59.20
16,2019-05-08,60.16
17,2019-05-07,59.96
18,2019-05-06,63.27
19,2019-05-03,65.43
20,2019-05-02,63.39
21,2019-05-01,63.77
22,2019-04-30,64.87
23,2019-04-29,64.79
24,2019-04-26,63.90
25,2019-04-25,63.25
26,2019-04-24,63.51
27,2019-04-23,64.86
28,2019-04-22,64.56
29,2019-04-18,64.70
30,2019-04-17,65.03
31,2019-04-16,64.57
32,2019-04-15,64.25
33,2019-04-12,64.16
34,2019-04-11,62.95
35,2019-04-10,63.21
36,2019-04-09,62.65
37,2019-04-08,63.81
38,2019-04-05,63.62
39,2019-04-04,63.41
40,2019-04-03,63.70
41,2019-04-02,62.37
42,2019-04-01,62.25
43,2019-03-29,59.87
44,2019-03-28,59.34
45,2019-03-27,59.65
46,2019-03-26,59.73
47,2019-03-25,58.74
48,2019-03-22,58.52
49,2019-03-21,62.33
50,2019-03-20,62.29
51,2019-03-19,62.29
52,2019-03-18,61.96
53,2019-03-15,61.21
54,2019-03-14,59.34
55,2019-03-13,59.40
56,2019-03-12,57.94
57,2019-03-11,58.02
58,2019-03-08,56.54
59,2019-03-07,56.66
60,2019-03-06,59.02
61,2019-03-05,59.45
62,2019-03-04,59.13
63,2019-03-01,59.78
64,2019-02-28,58.83
65,2019-02-27,59.21
66,2019-02-26,60.05
67,2019-02-25,59.13
68,2019-02-22,58.60
69,2019-02-21,58.00
70,2019-02-20,58.42
71,2019-02-19,57.94
72,2019-02-15,57.13
73,2019-02-14,54.98
74,2019-02-13,55.02
75,2019-02-12,54.84
76,2019-02-11,52.94
77,2019-02-08,53.11
78,2019-02-07,53.79
79,2019-02-06,55.89
80,2019-02-05,56.79
81,2019-02-04,55.55
82,2019-02-01,55.02
83,2019-01-31,55.15
84,2019-01-30,55.05
85,2019-01-29,53.47
86,2019-01-28,53.03
87,2019-01-25,53.77
88,2019-01-24,52.18
89,2019-01-23,51.85
90,2019-01-22,51.19
91,2019-01-18,53.68
92,2019-01-17,51.98
93,2019-01-16,51.71
94,2019-01-15,51.18
95,2019-01-14,50.37
96,2019-01-11,51.14
97,2019-01-10,52.17
98,2019-01-09,51.49
99,2019-01-08,49.97
100,2019-01-07,49.03
101,2019-01-04,48.60
102,2019-01-03,44.59
103,2019-01-02,45.64
104,2018-12-31,45.79
105,2018-12-28,45.80
106,2018-12-27,44.99
107,2018-12-26,44.75
108,2018-12-24,41.75
109,2018-12-21,43.34
110,2018-12-20,45.64
111,2018-12-19,46.25
112,2018-12-18,47.64
113,2018-12-17,47.55
114,2018-12-14,48.68
115,2018-12-13,50.77
116,2018-12-12,51.07
117,2018-12-11,48.86
118,2018-12-10,48.44
119,2018-12-07,49.81
120,2018-12-06,51.21
121,2018-12-04,52.74
122,2018-12-03,56.98
123,2018-11-30,54.80
124,2018-11-29,55.76
125,2018-11-28,56.38
126,2018-11-27,53.71
127,2018-11-26,54.90
128,2018-11-23,52.67
129,2018-11-21,53.63
130,2018-11-20,51.48
131,2018-11-19,54.26
132,2018-11-16,54.95
133,2018-11-15,55.67
134,2018-11-14,55.60
135,2018-11-13,54.90
136,2018-11-12,54.59
137,2018-11-09,56.85
138,2018-11-08,59.03
139,2018-11-07,59.89
140,2018-11-06,57.20
141,2018-11-05,57.14
142,2018-11-02,57.07
143,2018-11-01,56.85
144,2018-10-31,54.91
145,2018-10-30,53.20
146,2018-10-29,50.88
147,2018-10-26,52.22
148,2018-10-25,53.63
149,2018-10-24,51.61
150,2018-10-23,54.41
151,2018-10-22,58.00
152,2018-10-19,58.69
153,2018-10-18,57.69
154,2018-10-17,60.81
155,2018-10-16,61.83
156,2018-10-15,58.82
157,2018-10-12,59.07
158,2018-10-11,58.89
159,2018-10-10,61.02
160,2018-10-09,65.26
161,2018-10-08,65.73
162,2018-10-05,66.02
163,2018-10-04,67.30
164,2018-10-03,71.09
165,2018-10-02,70.53
166,2018-10-01,72.06
167,2018-09-28,71.72
168,2018-09-27,73.91
169,2018-09-26,74.67
170,2018-09-25,74.29
171,2018-09-24,73.04
172,2018-09-21,74.07
173,2018-09-20,73.94
174,2018-09-19,71.41
175,2018-09-18,70.54
176,2018-09-17,68.67
177,2018-09-14,68.26
178,2018-09-13,67.73
179,2018-09-12,66.50
180,2018-09-11,65.65
181,2018-09-10,65.25
182,2018-09-07,64.02
183,2018-09-06,65.71
184,2018-09-05,66.52
185,2018-09-04,68.33
186,2018-08-31,70.08
187,2018-08-30,72.29
188,2018-08-29,73.77
189,2018-08-28,73.09
190,2018-08-27,73.17
191,2018-08-24,70.32
192,2018-08-23,69.31
193,2018-08-22,70.66
194,2018-08-21,69.93
195,2018-08-20,67.54
196,2018-08-17,67.54
197,2018-08-16,66.35
198,2018-08-15,65.08
199,2018-08-14,67.96
200,2018-08-13,67.77
201,2018-08-10,68.99
202,2018-08-09,73.38
203,2018-08-08,73.98
204,2018-08-07,73.98
205,2018-08-06,72.26
