,Date,NAV
1,2019-05-30,21.82
2,2019-05-29,22.35
3,2019-05-28,22.35
4,2019-05-24,22.35
5,2019-05-23,22.35
6,2019-05-22,22.35
7,2019-05-21,22.35
8,2019-05-20,22.45
9,2019-05-17,22.45
10,2019-05-16,22.49
11,2019-05-15,22.49
12,2019-05-14,22.57
13,2019-05-13,22.32
14,2019-05-10,22.98
15,2019-05-09,22.88
16,2019-05-08,24.03
17,2019-05-07,24.03
18,2019-05-06,24.03
19,2019-05-03,24.03
20,2019-05-02,23.83
21,2019-05-01,24.29
22,2019-04-30,24.29
23,2019-04-29,24.12
24,2019-04-26,24.12
25,2019-04-25,23.93
26,2019-04-24,24.20
27,2019-04-23,24.45
28,2019-04-22,24.45
29,2019-04-18,24.45
30,2019-04-17,24.47
31,2019-04-16,23.83
32,2019-04-15,23.83
33,2019-04-12,23.83
34,2019-04-11,23.83
35,2019-04-10,23.89
36,2019-04-09,23.89
37,2019-04-08,24.10
38,2019-04-05,24.10
39,2019-04-04,23.88
40,2019-04-03,23.88
41,2019-04-02,22.91
42,2019-04-01,22.91
43,2019-03-29,22.91
44,2019-03-28,22.91
45,2019-03-27,22.91
46,2019-03-26,22.91
47,2019-03-25,22.91
48,2019-03-22,23.59
49,2019-03-21,23.59
50,2019-03-20,23.51
51,2019-03-19,24.10
52,2019-03-18,23.81
53,2019-03-15,23.81
54,2019-03-14,23.81
55,2019-03-13,23.81
56,2019-03-12,23.72
57,2019-03-11,23.65
58,2019-03-08,23.32
59,2019-03-07,23.54
60,2019-03-06,23.87
61,2019-03-05,24.02
62,2019-03-04,23.86
63,2019-03-01,23.88
64,2019-02-28,23.82
65,2019-02-27,23.96
66,2019-02-26,24.00
67,2019-02-25,23.98
68,2019-02-22,23.77
69,2019-02-21,23.78
70,2019-02-20,23.84
71,2019-02-19,23.35
72,2019-02-15,23.35
73,2019-02-14,23.35
74,2019-02-13,23.35
75,2019-02-12,23.26
76,2019-02-11,22.97
77,2019-02-08,23.68
78,2019-02-07,23.68
79,2019-02-06,23.68
80,2019-02-05,23.76
81,2019-02-04,23.89
82,2019-02-01,23.89
83,2019-01-31,23.89
84,2019-01-30,23.89
85,2019-01-29,23.65
86,2019-01-28,23.65
87,2019-01-25,23.65
88,2019-01-24,23.19
89,2019-01-23,23.12
90,2019-01-22,23.12
91,2019-01-18,23.12
92,2019-01-17,23.12
93,2019-01-16,23.12
94,2019-01-15,23.12
95,2019-01-14,22.13
96,2019-01-11,22.13
97,2019-01-10,22.13
98,2019-01-09,22.13
99,2019-01-08,22.13
100,2019-01-07,22.13
101,2019-01-04,22.13
102,2019-01-03,22.13
103,2019-01-02,22.13
104,2018-12-31,22.17
105,2018-12-28,21.54
106,2018-12-27,21.54
107,2018-12-26,21.22
108,2018-12-24,21.71
109,2018-12-21,21.71
110,2018-12-20,21.87
111,2018-12-19,21.99
112,2018-12-18,22.60
113,2018-12-17,22.43
114,2018-12-14,22.45
115,2018-12-13,22.77
116,2018-12-12,22.77
117,2018-12-11,22.77
118,2018-12-10,22.40
119,2018-12-07,22.98
120,2018-12-06,22.98
121,2018-12-04,24.17
122,2018-12-03,24.17
123,2018-11-30,23.61
124,2018-11-29,23.61
125,2018-11-28,23.25
126,2018-11-27,23.19
127,2018-11-26,22.99
128,2018-11-23,22.99
129,2018-11-21,22.99
130,2018-11-20,22.99
131,2018-11-19,23.91
132,2018-11-16,23.67
133,2018-11-15,23.67
134,2018-11-14,23.90
135,2018-11-13,23.87
136,2018-11-12,24.00
137,2018-11-09,24.40
138,2018-11-08,24.27
139,2018-11-07,24.27
140,2018-11-06,24.27
141,2018-11-05,24.14
142,2018-11-02,23.26
143,2018-11-01,23.26
144,2018-10-31,23.26
145,2018-10-30,22.56
146,2018-10-29,22.56
147,2018-10-26,22.94
148,2018-10-25,22.94
149,2018-10-24,22.99
150,2018-10-23,23.22
151,2018-10-22,24.07
152,2018-10-19,24.35
153,2018-10-18,24.22
154,2018-10-17,24.80
155,2018-10-16,25.04
156,2018-10-15,24.57
157,2018-10-12,24.66
158,2018-10-11,24.56
159,2018-10-10,24.79
160,2018-10-09,25.12
161,2018-10-08,25.53
162,2018-10-05,25.46
163,2018-10-04,25.74
