,Date,NAV
1,2019-05-30,15.72
2,2019-05-29,15.75
3,2019-05-28,15.60
4,2019-05-24,15.50
5,2019-05-23,15.56
6,2019-05-22,15.70
7,2019-05-21,15.75
8,2019-05-20,15.51
9,2019-05-17,15.72
10,2019-05-16,16.04
11,2019-05-15,15.97
12,2019-05-14,15.85
13,2019-05-13,15.46
14,2019-05-10,16.10
15,2019-05-09,15.97
16,2019-05-08,16.33
17,2019-05-07,16.60
18,2019-05-06,17.11
19,2019-05-03,17.79
20,2019-05-02,17.46
21,2019-05-01,17.47
22,2019-04-30,17.54
23,2019-04-29,17.59
24,2019-04-26,17.49
25,2019-04-25,17.46
26,2019-04-24,17.65
27,2019-04-23,17.91
28,2019-04-22,17.85
29,2019-04-18,18.04
30,2019-04-17,18.11
31,2019-04-16,17.99
32,2019-04-15,17.62
33,2019-04-12,17.76
34,2019-04-11,17.47
35,2019-04-10,17.72
36,2019-04-09,17.84
37,2019-04-08,18.04
38,2019-04-05,18.15
39,2019-04-04,18.03
40,2019-04-03,17.75
41,2019-04-02,17.59
42,2019-04-01,17.66
43,2019-03-29,17.27
44,2019-03-28,16.97
45,2019-03-27,16.89
46,2019-03-26,16.96
47,2019-03-25,16.98
48,2019-03-22,17.14
49,2019-03-21,17.59
50,2019-03-20,17.50
51,2019-03-19,17.59
52,2019-03-18,17.59
53,2019-03-15,17.37
54,2019-03-14,17.16
55,2019-03-13,17.40
56,2019-03-12,17.47
57,2019-03-11,17.30
58,2019-03-08,16.95
59,2019-03-07,17.47
60,2019-03-06,17.93
61,2019-03-05,18.08
62,2019-03-04,17.94
63,2019-03-01,17.88
64,2019-02-28,17.48
65,2019-02-27,17.67
66,2019-02-26,17.97
67,2019-02-25,18.37
68,2019-02-22,17.36
69,2019-02-21,16.80
70,2019-02-20,16.89
71,2019-02-19,16.77
72,2019-02-15,16.18
73,2019-02-14,16.29
74,2019-02-13,16.28
75,2019-02-12,16.15
76,2019-02-11,16.13
77,2019-02-08,16.03
78,2019-02-07,16.18
79,2019-02-06,16.20
80,2019-02-05,16.36
81,2019-02-04,16.18
82,2019-02-01,16.22
83,2019-01-31,16.24
84,2019-01-30,16.02
85,2019-01-29,15.82
86,2019-01-28,15.80
87,2019-01-25,15.92
88,2019-01-24,15.68
89,2019-01-23,15.49
90,2019-01-22,15.22
91,2019-01-18,15.69
92,2019-01-17,15.50
93,2019-01-16,15.39
94,2019-01-15,15.20
95,2019-01-14,15.10
96,2019-01-11,15.17
97,2019-01-10,15.22
98,2019-01-09,15.15
99,2019-01-08,14.95
100,2019-01-07,14.84
101,2019-01-04,14.90
102,2019-01-03,14.39
103,2019-01-02,14.49
104,2018-12-31,14.64
105,2018-12-28,14.57
106,2018-12-27,14.55
107,2018-12-26,14.66
108,2018-12-24,14.46
109,2018-12-21,14.47
110,2018-12-20,14.70
111,2018-12-19,14.71
112,2018-12-18,15.07
113,2018-12-17,14.98
114,2018-12-14,15.30
115,2018-12-13,15.32
116,2018-12-12,15.27
117,2018-12-11,15.13
118,2018-12-10,15.15
119,2018-12-07,15.11
120,2018-12-06,15.55
121,2018-12-04,15.89
122,2018-12-03,16.15
123,2018-11-30,15.69
124,2018-11-29,15.56
125,2018-11-28,15.89
126,2018-11-27,15.48
127,2018-11-26,15.48
128,2018-11-23,15.19
129,2018-11-21,15.40
130,2018-11-20,15.11
131,2018-11-19,15.42
132,2018-11-16,15.58
133,2018-11-15,15.51
134,2018-11-14,15.23
135,2018-11-13,15.14
136,2018-11-12,14.85
137,2018-11-09,14.93
138,2018-11-08,15.24
139,2018-11-07,15.56
140,2018-11-06,15.27
141,2018-11-05,15.32
142,2018-11-02,15.42
143,2018-11-01,15.24
144,2018-10-31,14.65
145,2018-10-30,14.56
146,2018-10-29,14.39
147,2018-10-26,14.69
148,2018-10-25,14.84
149,2018-10-24,14.67
150,2018-10-23,14.91
151,2018-10-22,15.13
152,2018-10-19,14.72
153,2018-10-18,14.38
154,2018-10-17,14.81
155,2018-10-16,14.80
156,2018-10-15,14.73
157,2018-10-12,14.89
158,2018-10-11,14.55
159,2018-10-10,14.72
160,2018-10-09,15.09
161,2018-10-08,15.15
162,2018-10-05,15.23
163,2018-10-04,15.21
164,2018-10-03,15.60
165,2018-10-02,15.76
166,2018-10-01,16.22
167,2018-09-28,16.17
168,2018-09-27,16.31
169,2018-09-26,16.35
170,2018-09-25,16.19
171,2018-09-24,16.09
172,2018-09-21,16.39
173,2018-09-20,16.09
174,2018-09-19,16.00
175,2018-09-18,15.75
176,2018-09-17,15.53
177,2018-09-14,15.49
178,2018-09-13,15.60
179,2018-09-12,15.43
180,2018-09-11,15.14
181,2018-09-10,15.24
182,2018-09-07,15.41
183,2018-09-06,15.57
184,2018-09-05,15.68
185,2018-09-04,15.97
186,2018-08-31,16.07
187,2018-08-30,16.02
188,2018-08-29,16.47
189,2018-08-28,16.31
190,2018-08-27,16.40
191,2018-08-24,16.13
192,2018-08-23,15.93
193,2018-08-22,16.19
194,2018-08-21,16.12
195,2018-08-20,15.91
196,2018-08-17,15.87
197,2018-08-16,15.75
198,2018-08-15,15.56
199,2018-08-14,16.06
200,2018-08-13,16.06
201,2018-08-10,16.19
202,2018-08-09,16.41
203,2018-08-08,16.16
204,2018-08-07,16.25
205,2018-08-06,15.91
206,2018-08-03,15.93
207,2018-08-02,15.89
208,2018-08-01,16.14
209,2018-07-31,16.52
210,2018-07-30,16.41
211,2018-07-27,16.39
212,2018-07-26,16.40
213,2018-07-25,16.70
