,Date,NAV
1,2019-05-30,68.56
2,2019-05-29,68.77
3,2019-05-28,68.59
4,2019-05-24,67.77
5,2019-05-23,68.14
6,2019-05-22,69.74
7,2019-05-21,70.28
8,2019-05-20,69.15
9,2019-05-17,71.45
10,2019-05-16,74.73
11,2019-05-15,74.25
12,2019-05-14,73.47
13,2019-05-13,72.20
14,2019-05-10,75.35
15,2019-05-09,74.62
16,2019-05-08,75.69
17,2019-05-07,75.69
18,2019-05-06,78.13
19,2019-05-03,81.23
20,2019-05-02,79.99
21,2019-05-01,80.02
22,2019-04-30,80.15
23,2019-04-29,80.04
24,2019-04-26,79.90
25,2019-04-25,79.64
26,2019-04-24,80.50
27,2019-04-23,81.25
28,2019-04-22,81.06
29,2019-04-18,81.81
30,2019-04-17,81.79
31,2019-04-16,81.33
32,2019-04-15,80.28
33,2019-04-12,81.87
34,2019-04-11,80.69
35,2019-04-10,82.08
36,2019-04-09,81.66
37,2019-04-08,81.93
38,2019-04-05,81.87
39,2019-04-04,80.93
40,2019-04-03,80.07
41,2019-04-02,79.48
42,2019-04-01,79.69
43,2019-03-29,77.95
44,2019-03-28,75.98
45,2019-03-27,75.66
46,2019-03-26,75.63
47,2019-03-25,75.59
48,2019-03-22,75.57
49,2019-03-21,77.46
50,2019-03-20,77.29
51,2019-03-19,77.63
52,2019-03-18,77.39
53,2019-03-15,76.04
54,2019-03-14,74.75
55,2019-03-13,75.36
56,2019-03-12,75.72
57,2019-03-11,75.18
58,2019-03-08,72.70
59,2019-03-07,74.28
60,2019-03-06,76.54
61,2019-03-05,76.97
62,2019-03-04,75.43
63,2019-03-01,74.26
64,2019-02-28,73.43
65,2019-02-27,73.59
66,2019-02-26,74.53
67,2019-02-25,74.61
68,2019-02-22,72.71
69,2019-02-21,70.93
70,2019-02-20,71.30
71,2019-02-19,70.73
72,2019-02-15,69.66
73,2019-02-14,70.33
74,2019-02-13,70.75
75,2019-02-12,70.18
76,2019-02-11,69.57
77,2019-02-08,68.60
78,2019-02-07,68.38
79,2019-02-06,69.59
80,2019-02-05,70.16
81,2019-02-04,68.99
82,2019-02-01,68.71
83,2019-01-31,68.86
84,2019-01-30,67.61
85,2019-01-29,66.15
86,2019-01-28,66.58
87,2019-01-25,67.19
88,2019-01-24,65.81
89,2019-01-23,65.00
90,2019-01-22,64.52
91,2019-01-18,66.51
92,2019-01-17,65.31
93,2019-01-16,65.40
94,2019-01-15,64.31
95,2019-01-14,63.22
96,2019-01-11,64.18
97,2019-01-10,64.55
98,2019-01-09,64.01
99,2019-01-08,62.45
100,2019-01-07,62.18
101,2019-01-04,61.44
102,2019-01-03,58.75
103,2019-01-02,60.67
104,2018-12-31,60.89
105,2018-12-28,61.45
106,2018-12-27,60.79
107,2018-12-26,61.28
108,2018-12-24,60.00
109,2018-12-21,60.31
110,2018-12-20,60.88
111,2018-12-19,60.97
112,2018-12-18,62.59
113,2018-12-17,62.92
114,2018-12-14,64.48
115,2018-12-13,65.65
116,2018-12-12,65.36
117,2018-12-11,64.63
118,2018-12-10,64.06
119,2018-12-07,64.55
120,2018-12-06,65.65
121,2018-12-04,67.00
122,2018-12-03,68.55
123,2018-11-30,66.54
124,2018-11-29,65.52
125,2018-11-28,66.97
126,2018-11-27,65.21
127,2018-11-26,64.87
128,2018-11-23,63.85
129,2018-11-21,65.04
130,2018-11-20,63.43
131,2018-11-19,65.05
132,2018-11-16,66.11
133,2018-11-15,66.45
134,2018-11-14,64.66
135,2018-11-13,64.32
136,2018-11-12,62.71
137,2018-11-09,63.26
138,2018-11-08,65.19
139,2018-11-07,67.35
140,2018-11-06,66.16
141,2018-11-05,66.14
142,2018-11-02,66.81
143,2018-11-01,66.55
144,2018-10-31,63.13
145,2018-10-30,60.98
146,2018-10-29,60.17
147,2018-10-26,62.60
148,2018-10-25,63.39
149,2018-10-24,61.76
150,2018-10-23,63.99
151,2018-10-22,65.87
152,2018-10-19,63.14
153,2018-10-18,62.10
154,2018-10-17,64.09
155,2018-10-16,64.92
156,2018-10-15,64.15
157,2018-10-12,65.24
158,2018-10-11,63.12
159,2018-10-10,63.43
160,2018-10-09,66.06
