,Date,NAV
1,2019-05-30,62.60
2,2019-05-29,62.40
3,2019-05-28,62.50
4,2019-05-24,62.04
5,2019-05-23,62.14
6,2019-05-22,63.05
7,2019-05-21,63.18
8,2019-05-20,62.81
9,2019-05-17,63.04
10,2019-05-16,64.29
11,2019-05-15,64.56
12,2019-05-14,64.39
13,2019-05-13,63.42
14,2019-05-10,65.52
15,2019-05-09,65.45
16,2019-05-08,66.41
17,2019-05-07,66.66
18,2019-05-06,67.97
19,2019-05-03,69.46
20,2019-05-02,68.75
21,2019-05-01,68.42
22,2019-04-30,69.10
23,2019-04-29,68.89
24,2019-04-26,68.83
25,2019-04-25,68.68
26,2019-04-24,68.93
27,2019-04-23,69.48
28,2019-04-22,69.46
29,2019-04-18,69.95
30,2019-04-17,70.17
31,2019-04-16,70.10
32,2019-04-15,69.60
33,2019-04-12,69.78
34,2019-04-11,69.09
35,2019-04-10,69.70
36,2019-04-09,69.48
37,2019-04-08,69.75
38,2019-04-05,70.05
39,2019-04-04,69.35
40,2019-04-03,69.32
41,2019-04-02,68.32
42,2019-04-01,68.48
43,2019-03-29,67.65
44,2019-03-28,67.28
45,2019-03-27,66.48
46,2019-03-26,67.12
47,2019-03-25,66.99
48,2019-03-22,66.80
49,2019-03-21,68.35
50,2019-03-20,68.04
51,2019-03-19,68.12
52,2019-03-18,67.85
53,2019-03-15,67.42
54,2019-03-14,66.40
55,2019-03-13,66.75
56,2019-03-12,66.88
57,2019-03-11,66.44
58,2019-03-08,65.05
59,2019-03-07,65.70
60,2019-03-06,66.82
61,2019-03-05,66.98
62,2019-03-04,66.55
63,2019-03-01,66.37
64,2019-02-28,66.26
65,2019-02-27,67.01
66,2019-02-26,67.55
67,2019-02-25,67.78
68,2019-02-22,66.94
69,2019-02-21,66.11
70,2019-02-20,66.20
71,2019-02-19,65.78
72,2019-02-15,65.10
73,2019-02-14,65.48
74,2019-02-13,65.37
75,2019-02-12,65.73
76,2019-02-11,65.16
77,2019-02-08,65.22
78,2019-02-07,65.56
79,2019-02-06,66.42
80,2019-02-05,67.07
81,2019-02-04,65.83
82,2019-02-01,65.80
83,2019-01-31,66.15
84,2019-01-30,65.31
85,2019-01-29,64.27
86,2019-01-28,64.25
87,2019-01-25,64.77
88,2019-01-24,63.92
89,2019-01-23,63.11
90,2019-01-22,62.76
91,2019-01-18,63.45
92,2019-01-17,63.04
93,2019-01-16,62.77
94,2019-01-15,62.22
95,2019-01-14,61.59
96,2019-01-11,62.28
97,2019-01-10,62.83
98,2019-01-09,62.60
99,2019-01-08,61.27
100,2019-01-07,61.18
101,2019-01-04,61.22
102,2019-01-03,59.14
103,2019-01-02,60.52
104,2018-12-31,60.85
105,2018-12-28,61.36
106,2018-12-27,60.86
107,2018-12-26,60.72
108,2018-12-24,59.20
109,2018-12-21,60.03
110,2018-12-20,60.68
111,2018-12-19,60.23
112,2018-12-18,61.06
113,2018-12-17,60.54
114,2018-12-14,61.22
115,2018-12-13,62.09
116,2018-12-12,62.26
117,2018-12-11,61.01
118,2018-12-10,60.68
119,2018-12-07,61.14
120,2018-12-06,62.40
121,2018-12-04,62.95
122,2018-12-03,64.45
123,2018-11-30,63.12
124,2018-11-29,63.05
125,2018-11-28,63.65
126,2018-11-27,62.24
127,2018-11-26,62.33
128,2018-11-23,61.00
129,2018-11-21,61.77
130,2018-11-20,60.65
131,2018-11-19,61.75
132,2018-11-16,62.64
133,2018-11-15,62.65
134,2018-11-14,61.39
135,2018-11-13,61.22
136,2018-11-12,59.90
137,2018-11-09,60.84
138,2018-11-08,62.17
139,2018-11-07,63.59
140,2018-11-06,61.99
141,2018-11-05,62.14
142,2018-11-02,62.39
143,2018-11-01,61.97
144,2018-10-31,59.81
145,2018-10-30,58.99
146,2018-10-29,57.67
147,2018-10-26,58.53
148,2018-10-25,59.63
149,2018-10-24,58.66
150,2018-10-23,60.39
151,2018-10-22,61.21
152,2018-10-19,60.53
153,2018-10-18,59.80
154,2018-10-17,61.31
155,2018-10-16,62.04
156,2018-10-15,60.88
157,2018-10-12,61.40
158,2018-10-11,59.76
159,2018-10-10,60.53
160,2018-10-09,62.34
161,2018-10-08,62.75
162,2018-10-05,62.91
163,2018-10-04,63.47
164,2018-10-03,65.17
165,2018-10-02,65.73
166,2018-10-01,66.92
167,2018-09-28,66.75
168,2018-09-27,67.37
169,2018-09-26,67.10
170,2018-09-25,67.06
171,2018-09-24,66.66
172,2018-09-21,67.44
173,2018-09-20,67.28
174,2018-09-19,66.58
175,2018-09-18,65.67
176,2018-09-17,65.09
177,2018-09-14,65.88
178,2018-09-13,65.93
179,2018-09-12,64.96
180,2018-09-11,64.72
181,2018-09-10,64.81
182,2018-09-07,65.36
183,2018-09-06,65.59
184,2018-09-05,65.94
185,2018-09-04,67.11
186,2018-08-31,68.17
187,2018-08-30,67.83
188,2018-08-29,69.24
189,2018-08-28,68.74
190,2018-08-27,68.92
191,2018-08-24,67.92
192,2018-08-23,66.87
193,2018-08-22,67.71
194,2018-08-21,67.48
195,2018-08-20,66.51
196,2018-08-17,66.15
197,2018-08-16,65.44
198,2018-08-15,64.85
199,2018-08-14,66.70
200,2018-08-13,66.55
201,2018-08-10,67.75
202,2018-08-09,68.55
203,2018-08-08,68.52
204,2018-08-07,68.47
205,2018-08-06,67.64
206,2018-08-03,67.97
207,2018-08-02,67.72
208,2018-08-01,68.61
209,2018-07-31,69.32
210,2018-07-30,68.97
211,2018-07-27,69.22
212,2018-07-26,69.09
213,2018-07-25,69.88
214,2018-07-24,68.68
215,2018-07-23,67.77
216,2018-07-20,68.18
217,2018-07-19,67.28
218,2018-07-18,68.14
219,2018-07-17,68.16
220,2018-07-16,67.82
221,2018-07-13,68.26
222,2018-07-12,68.17
223,2018-07-11,67.31
224,2018-07-10,68.35
225,2018-07-09,68.61
226,2018-07-06,67.39
227,2018-07-05,66.70
228,2018-07-03,66.93
229,2018-07-02,67.18
230,2018-06-29,68.06
231,2018-06-28,66.94
232,2018-06-27,66.81
233,2018-06-26,68.10
234,2018-06-25,68.24
235,2018-06-22,69.30
236,2018-06-21,68.85
237,2018-06-20,70.03
238,2018-06-19,69.79
239,2018-06-18,70.76
240,2018-06-15,71.55
241,2018-06-14,72.33
242,2018-06-13,72.72
243,2018-06-12,73.33
244,2018-06-11,73.36
245,2018-06-08,73.25
246,2018-06-07,73.69
247,2018-06-06,74.38
248,2018-06-05,73.12
249,2018-06-04,73.22
250,2018-06-01,72.62
251,2018-05-31,71.51
252,2018-05-30,71.48
253,2018-05-29,71.25
254,2018-05-25,72.40
255,2018-05-24,71.82
