,Date,NAV
1,2019-05-30,56.79
2,2019-05-29,56.46
3,2019-05-28,56.19
4,2019-05-24,56.06
5,2019-05-23,55.98
6,2019-05-22,56.25
7,2019-05-21,56.55
8,2019-05-20,56.02
9,2019-05-17,56.07
10,2019-05-16,56.67
11,2019-05-15,56.98
12,2019-05-14,56.80
13,2019-05-13,56.36
14,2019-05-10,57.79
15,2019-05-09,57.60
16,2019-05-08,58.20
17,2019-05-07,58.29
18,2019-05-06,59.16
19,2019-05-03,59.93
20,2019-05-02,59.63
21,2019-05-01,59.52
22,2019-04-30,59.92
23,2019-04-29,59.83
24,2019-04-26,59.74
25,2019-04-25,59.43
26,2019-04-24,59.54
27,2019-04-23,59.99
28,2019-04-22,59.70
29,2019-04-18,59.87
30,2019-04-17,59.88
31,2019-04-16,59.86
32,2019-04-15,59.73
33,2019-04-12,59.90
34,2019-04-11,59.46
35,2019-04-10,59.97
36,2019-04-09,59.75
37,2019-04-08,59.83
38,2019-04-05,60.02
39,2019-04-04,59.79
40,2019-04-03,59.76
41,2019-04-02,59.45
42,2019-04-01,59.60
43,2019-03-29,59.27
44,2019-03-28,58.83
45,2019-03-27,58.50
46,2019-03-26,58.98
47,2019-03-25,58.90
48,2019-03-22,58.81
49,2019-03-21,59.91
50,2019-03-20,59.93
51,2019-03-19,59.72
52,2019-03-18,59.81
53,2019-03-15,59.34
54,2019-03-14,58.69
55,2019-03-13,58.95
56,2019-03-12,58.90
57,2019-03-11,58.83
58,2019-03-08,58.04
59,2019-03-07,58.27
60,2019-03-06,58.84
61,2019-03-05,59.11
62,2019-03-04,58.72
63,2019-03-01,58.85
64,2019-02-28,58.75
65,2019-02-27,59.32
66,2019-02-26,59.59
67,2019-02-25,59.76
68,2019-02-22,59.31
69,2019-02-21,58.78
70,2019-02-20,58.94
71,2019-02-19,58.61
72,2019-02-15,58.39
73,2019-02-14,58.53
74,2019-02-13,58.35
75,2019-02-12,58.58
76,2019-02-11,58.43
77,2019-02-08,58.72
78,2019-02-07,58.91
79,2019-02-06,59.23
80,2019-02-05,59.81
81,2019-02-04,59.24
82,2019-02-01,59.14
83,2019-01-31,59.38
84,2019-01-30,58.98
85,2019-01-29,58.29
86,2019-01-28,58.27
87,2019-01-25,58.53
88,2019-01-24,58.13
89,2019-01-23,57.83
90,2019-01-22,57.32
91,2019-01-18,58.01
92,2019-01-17,57.79
93,2019-01-16,57.56
94,2019-01-15,57.21
95,2019-01-14,56.99
96,2019-01-11,57.21
97,2019-01-10,57.34
98,2019-01-09,56.96
