,Date,NAV
1,2019-05-30,29.27
2,2019-05-29,29.03
3,2019-05-28,28.49
4,2019-05-24,28.21
5,2019-05-23,28.22
6,2019-05-22,28.35
7,2019-05-21,28.39
8,2019-05-20,28.36
9,2019-05-17,28.43
10,2019-05-16,28.51
11,2019-05-15,28.65
12,2019-05-14,28.47
13,2019-05-13,28.12
14,2019-05-10,28.74
15,2019-05-09,28.87
16,2019-05-08,29.06
17,2019-05-07,29.11
18,2019-05-06,29.35
19,2019-05-03,29.65
20,2019-05-02,29.32
21,2019-05-01,29.53
22,2019-04-30,29.71
23,2019-04-29,29.68
24,2019-04-26,29.72
25,2019-04-25,29.53
26,2019-04-24,29.44
27,2019-04-23,29.63
28,2019-04-22,29.32
29,2019-04-18,29.18
30,2019-04-17,29.30
31,2019-04-16,29.37
32,2019-04-15,29.63
33,2019-04-12,29.53
34,2019-04-11,29.32
35,2019-04-10,29.87
36,2019-04-09,29.93
37,2019-04-08,30.10
38,2019-04-05,30.12
39,2019-04-04,29.99
40,2019-04-03,29.88
41,2019-04-02,29.57
42,2019-04-01,29.70
43,2019-03-29,29.94
44,2019-03-28,29.85
45,2019-03-27,29.73
46,2019-03-26,30.06
47,2019-03-25,30.07
48,2019-03-22,29.97
49,2019-03-21,30.68
50,2019-03-20,30.90
51,2019-03-19,30.83
52,2019-03-18,30.90
53,2019-03-15,30.58
54,2019-03-14,30.26
55,2019-03-13,30.38
56,2019-03-12,30.33
57,2019-03-11,30.29
58,2019-03-08,30.18
59,2019-03-07,30.23
60,2019-03-06,30.51
61,2019-03-05,30.61
62,2019-03-04,30.38
63,2019-03-01,30.46
64,2019-02-28,30.56
65,2019-02-27,31.00
66,2019-02-26,31.29
67,2019-02-25,31.34
68,2019-02-22,31.12
69,2019-02-21,31.22
70,2019-02-20,31.36
71,2019-02-19,30.98
72,2019-02-15,30.54
73,2019-02-14,30.53
74,2019-02-13,30.41
75,2019-02-12,30.55
76,2019-02-11,30.54
77,2019-02-08,30.57
78,2019-02-07,30.73
79,2019-02-06,30.60
80,2019-02-05,31.05
81,2019-02-04,30.66
82,2019-02-01,30.55
83,2019-01-31,30.76
84,2019-01-30,30.64
85,2019-01-29,30.42
86,2019-01-28,30.57
87,2019-01-25,30.64
88,2019-01-24,30.36
89,2019-01-23,30.21
90,2019-01-22,30.19
91,2019-01-18,30.52
92,2019-01-17,30.43
93,2019-01-16,30.18
94,2019-01-15,30.07
95,2019-01-14,30.15
96,2019-01-11,30.24
97,2019-01-10,30.44
98,2019-01-09,30.10
99,2019-01-08,29.99
100,2019-01-07,29.88
101,2019-01-04,30.06
102,2019-01-03,29.64
103,2019-01-02,29.70
104,2018-12-31,29.77
105,2018-12-28,29.88
106,2018-12-27,29.65
107,2018-12-26,29.35
108,2018-12-24,29.08
109,2018-12-21,28.97
110,2018-12-20,28.85
111,2018-12-19,28.48
112,2018-12-18,28.70
113,2018-12-17,28.68
114,2018-12-14,29.07
115,2018-12-13,29.11
116,2018-12-12,29.14
117,2018-12-11,28.73
118,2018-12-10,28.98
119,2018-12-07,29.19
120,2018-12-06,29.67
121,2018-12-04,29.77
122,2018-12-03,30.14
123,2018-11-30,29.54
124,2018-11-29,29.84
125,2018-11-28,29.89
126,2018-11-27,29.71
127,2018-11-26,29.89
128,2018-11-23,29.61
129,2018-11-21,29.93
130,2018-11-20,29.48
131,2018-11-19,29.82
132,2018-11-16,30.19
133,2018-11-15,29.90
134,2018-11-14,29.45
135,2018-11-13,29.48
136,2018-11-12,29.35
137,2018-11-09,29.69
138,2018-11-08,30.13
139,2018-11-07,30.55
140,2018-11-06,30.20
141,2018-11-05,30.15
142,2018-11-02,30.11
143,2018-11-01,30.20
144,2018-10-31,29.71
145,2018-10-30,29.52
146,2018-10-29,29.16
147,2018-10-26,29.42
148,2018-10-25,29.54
149,2018-10-24,29.28
150,2018-10-23,29.84
151,2018-10-22,30.01
152,2018-10-19,30.21
153,2018-10-18,30.05
154,2018-10-17,30.39
155,2018-10-16,30.79
156,2018-10-15,30.30
157,2018-10-12,30.44
158,2018-10-11,30.01
159,2018-10-10,29.83
160,2018-10-09,30.98
161,2018-10-08,31.20
162,2018-10-05,31.23
163,2018-10-04,31.21
164,2018-10-03,31.53
165,2018-10-02,31.93
166,2018-10-01,31.71
167,2018-09-28,31.79
168,2018-09-27,31.89
169,2018-09-26,31.81
170,2018-09-25,31.86
171,2018-09-24,31.88
172,2018-09-21,32.09
173,2018-09-20,32.15
174,2018-09-19,32.04
175,2018-09-18,31.85
176,2018-09-17,31.80
177,2018-09-14,31.83
178,2018-09-13,31.75
179,2018-09-12,31.56
180,2018-09-11,31.42
181,2018-09-10,31.18
182,2018-09-07,31.34
183,2018-09-06,31.58
184,2018-09-05,31.63
185,2018-09-04,31.78
186,2018-08-31,31.94
187,2018-08-30,31.85
188,2018-08-29,32.47
189,2018-08-28,32.54
190,2018-08-27,32.53
191,2018-08-24,32.49
192,2018-08-23,32.03
193,2018-08-22,32.42
194,2018-08-21,32.21
195,2018-08-20,31.90
196,2018-08-17,31.80
197,2018-08-16,31.62
198,2018-08-15,31.61
199,2018-08-14,31.92
200,2018-08-13,31.68
201,2018-08-10,32.08
202,2018-08-09,32.57
203,2018-08-08,32.57
204,2018-08-07,32.34
205,2018-08-06,31.97
206,2018-08-03,32.07
207,2018-08-02,32.03
208,2018-08-01,32.18
209,2018-07-31,32.46
210,2018-07-30,32.01
211,2018-07-27,31.95
212,2018-07-26,31.80
213,2018-07-25,32.25
214,2018-07-24,31.84
215,2018-07-23,31.61
216,2018-07-20,31.58
217,2018-07-19,31.48
218,2018-07-18,31.63
219,2018-07-17,31.43
220,2018-07-16,31.13
221,2018-07-13,31.05
222,2018-07-12,30.84
223,2018-07-11,30.41
224,2018-07-10,30.71
225,2018-07-09,30.38
226,2018-07-06,30.28
227,2018-07-05,30.31
228,2018-07-03,30.15
229,2018-07-02,30.35
230,2018-06-29,30.64
231,2018-06-28,30.21
232,2018-06-27,29.99
233,2018-06-26,30.25
234,2018-06-25,30.45
235,2018-06-22,30.58
236,2018-06-21,30.52
237,2018-06-20,31.04
238,2018-06-19,31.19
239,2018-06-18,31.45
240,2018-06-15,31.69
241,2018-06-14,31.88
242,2018-06-13,31.80
243,2018-06-12,31.94
244,2018-06-11,32.28
245,2018-06-08,32.34
246,2018-06-07,32.28
247,2018-06-06,32.45
248,2018-06-05,31.71
249,2018-06-04,31.85
250,2018-06-01,31.78
251,2018-05-31,31.47
252,2018-05-30,31.22
253,2018-05-29,31.73
254,2018-05-25,32.68
255,2018-05-24,32.17
256,2018-05-23,32.85
257,2018-05-22,33.45
258,2018-05-21,33.38
259,2018-05-18,33.11
260,2018-05-17,33.38
261,2018-05-16,33.65
262,2018-05-15,33.36
263,2018-05-14,33.34
264,2018-05-11,31.53
265,2018-05-10,31.79
266,2018-05-09,31.24
267,2018-05-08,33.24
268,2018-05-07,33.02
269,2018-05-04,33.62
270,2018-05-03,33.53
271,2018-05-02,33.41
272,2018-05-01,33.46
273,2018-04-30,33.78
274,2018-04-27,34.24
275,2018-04-26,34.19
276,2018-04-25,33.89
277,2018-04-24,34.02
278,2018-04-23,34.32
279,2018-04-20,34.54
