,Date,NAV
1,2019-05-30,33.99
2,2019-05-29,33.74
3,2019-05-28,33.99
4,2019-05-24,34.05
5,2019-05-23,33.84
6,2019-05-22,34.48
7,2019-05-21,34.85
8,2019-05-20,34.53
9,2019-05-17,34.85
10,2019-05-16,36.00
11,2019-05-15,35.63
12,2019-05-14,35.32
13,2019-05-13,34.64
14,2019-05-10,35.95
15,2019-05-09,35.94
16,2019-05-08,36.18
17,2019-05-07,36.32
18,2019-05-06,37.57
19,2019-05-03,38.48
20,2019-05-02,38.13
21,2019-05-01,38.17
22,2019-04-30,38.15
23,2019-04-29,38.13
24,2019-04-26,37.93
25,2019-04-25,37.76
26,2019-04-24,37.73
27,2019-04-23,38.07
28,2019-04-22,37.81
29,2019-04-18,38.02
30,2019-04-17,37.87
31,2019-04-16,37.76
32,2019-04-15,37.56
33,2019-04-12,38.06
34,2019-04-11,37.65
35,2019-04-10,38.07
36,2019-04-09,38.24
37,2019-04-08,38.24
38,2019-04-05,38.45
39,2019-04-04,37.93
40,2019-04-03,38.03
41,2019-04-02,37.81
42,2019-04-01,37.93
43,2019-03-29,37.16
44,2019-03-28,36.38
45,2019-03-27,36.07
46,2019-03-26,36.11
47,2019-03-25,35.78
48,2019-03-22,35.67
49,2019-03-21,36.81
50,2019-03-20,36.64
51,2019-03-19,36.80
52,2019-03-18,36.72
53,2019-03-15,36.29
54,2019-03-14,35.88
55,2019-03-13,36.10
56,2019-03-12,36.20
57,2019-03-11,36.11
58,2019-03-08,35.23
59,2019-03-07,35.42
60,2019-03-06,36.52
61,2019-03-05,36.77
62,2019-03-04,35.79
63,2019-03-01,35.76
64,2019-02-28,35.51
65,2019-02-27,35.29
66,2019-02-26,35.50
67,2019-02-25,35.55
68,2019-02-22,34.88
69,2019-02-21,34.07
70,2019-02-20,34.43
71,2019-02-19,33.91
72,2019-02-15,33.60
73,2019-02-14,34.06
74,2019-02-13,34.04
75,2019-02-12,34.01
76,2019-02-11,33.63
77,2019-02-08,33.48
78,2019-02-07,33.56
79,2019-02-06,34.49
80,2019-02-05,34.59
81,2019-02-04,34.14
82,2019-02-01,34.12
83,2019-01-31,34.48
84,2019-01-30,33.83
85,2019-01-29,33.07
86,2019-01-28,33.23
87,2019-01-25,33.58
88,2019-01-24,32.99
89,2019-01-23,32.82
90,2019-01-22,32.59
91,2019-01-18,33.55
92,2019-01-17,32.96
93,2019-01-16,32.99
94,2019-01-15,32.70
95,2019-01-14,32.00
96,2019-01-11,32.64
97,2019-01-10,32.77
98,2019-01-09,32.78
99,2019-01-08,32.08
100,2019-01-07,31.84
101,2019-01-04,31.31
102,2019-01-03,29.89
103,2019-01-02,30.81
104,2018-12-31,30.86
105,2018-12-28,31.01
106,2018-12-27,30.96
107,2018-12-26,30.93
108,2018-12-24,29.94
109,2018-12-21,30.03
110,2018-12-20,30.44
111,2018-12-19,30.74
112,2018-12-18,31.34
113,2018-12-17,31.21
114,2018-12-14,31.83
115,2018-12-13,32.24
116,2018-12-12,31.93
117,2018-12-11,31.19
118,2018-12-10,31.07
119,2018-12-07,31.81
120,2018-12-06,32.16
121,2018-12-04,32.45
122,2018-12-03,33.07
123,2018-11-30,32.61
124,2018-11-29,32.18
125,2018-11-28,32.43
126,2018-11-27,31.62
127,2018-11-26,31.55
128,2018-11-23,31.06
129,2018-11-21,31.52
130,2018-11-20,30.76
131,2018-11-19,31.53
132,2018-11-16,32.08
133,2018-11-15,32.24
134,2018-11-14,31.54
135,2018-11-13,31.09
136,2018-11-12,30.55
137,2018-11-09,31.09
138,2018-11-08,31.76
139,2018-11-07,32.62
140,2018-11-06,32.07
141,2018-11-05,31.95
142,2018-11-02,32.01
143,2018-11-01,32.37
144,2018-10-31,31.19
145,2018-10-30,30.17
146,2018-10-29,30.03
147,2018-10-26,30.54
148,2018-10-25,30.47
149,2018-10-24,29.59
150,2018-10-23,30.84
151,2018-10-22,31.38
152,2018-10-19,30.77
153,2018-10-18,30.74
154,2018-10-17,31.61
155,2018-10-16,32.23
156,2018-10-15,31.58
157,2018-10-12,31.72
158,2018-10-11,30.64
159,2018-10-10,30.63
160,2018-10-09,31.57
161,2018-10-08,31.90
162,2018-10-05,32.25
163,2018-10-04,32.69
164,2018-10-03,33.46
165,2018-10-02,33.56
166,2018-10-01,34.20
167,2018-09-28,34.24
168,2018-09-27,34.45
169,2018-09-26,34.47
170,2018-09-25,34.19
171,2018-09-24,33.97
172,2018-09-21,34.69
173,2018-09-20,35.00
174,2018-09-19,34.59
175,2018-09-18,33.87
176,2018-09-17,34.02
177,2018-09-14,34.73
178,2018-09-13,34.81
179,2018-09-12,34.26
180,2018-09-11,34.03
181,2018-09-10,34.10
182,2018-09-07,34.75
183,2018-09-06,34.70
184,2018-09-05,34.61
185,2018-09-04,35.45
186,2018-08-31,36.12
187,2018-08-30,35.82
188,2018-08-29,36.42
189,2018-08-28,36.38
190,2018-08-27,36.56
191,2018-08-24,35.78
192,2018-08-23,35.55
193,2018-08-22,36.13
194,2018-08-21,36.04
195,2018-08-20,36.03
196,2018-08-17,35.64
197,2018-08-16,35.21
198,2018-08-15,34.89
199,2018-08-14,35.51
200,2018-08-13,35.94
201,2018-08-10,36.52
202,2018-08-09,36.98
203,2018-08-08,36.90
204,2018-08-07,37.23
205,2018-08-06,36.99
206,2018-08-03,37.07
207,2018-08-02,37.00
208,2018-08-01,37.12
209,2018-07-31,37.32
210,2018-07-30,37.50
211,2018-07-27,38.09
212,2018-07-26,38.32
213,2018-07-25,38.51
214,2018-07-24,37.85
215,2018-07-23,37.75
216,2018-07-20,37.79
217,2018-07-19,37.75
218,2018-07-18,38.34
219,2018-07-17,38.50
220,2018-07-16,38.21
221,2018-07-13,38.50
222,2018-07-12,38.85
223,2018-07-11,38.30
224,2018-07-10,38.68
225,2018-07-09,38.72
226,2018-07-06,38.33
227,2018-07-05,37.85
228,2018-07-03,38.03
229,2018-07-02,38.09
230,2018-06-29,38.27
231,2018-06-28,38.13
232,2018-06-27,37.76
233,2018-06-26,38.81
234,2018-06-25,38.69
235,2018-06-22,40.01
236,2018-06-21,39.76
237,2018-06-20,40.22
238,2018-06-19,39.99
239,2018-06-18,40.80
240,2018-06-15,40.63
241,2018-06-14,40.72
242,2018-06-13,40.67
243,2018-06-12,41.01
244,2018-06-11,40.63
245,2018-06-08,40.54
246,2018-06-07,40.30
247,2018-06-06,40.64
248,2018-06-05,40.16
249,2018-06-04,39.94
250,2018-06-01,39.55
251,2018-05-31,39.00
252,2018-05-30,38.91
253,2018-05-29,38.36
254,2018-05-25,38.79
255,2018-05-24,38.77
256,2018-05-23,38.70
257,2018-05-22,38.70
258,2018-05-21,38.52
259,2018-05-18,38.71
260,2018-05-17,38.98
261,2018-05-16,39.26
262,2018-05-15,39.01
263,2018-05-14,39.60
264,2018-05-11,39.39
265,2018-05-10,39.36
266,2018-05-09,39.11
267,2018-05-08,39.09
268,2018-05-07,39.16
269,2018-05-04,38.55
270,2018-05-03,38.29
271,2018-05-02,38.45
272,2018-05-01,38.44
273,2018-04-30,38.40
274,2018-04-27,38.17
275,2018-04-26,37.69
276,2018-04-25,37.10
277,2018-04-24,37.77
278,2018-04-23,38.13
279,2018-04-20,38.45
280,2018-04-19,38.91
281,2018-04-18,39.00
282,2018-04-17,38.81
283,2018-04-16,38.38
284,2018-04-13,38.25
285,2018-04-12,39.15
286,2018-04-11,38.99
287,2018-04-10,39.10
288,2018-04-09,38.49
289,2018-04-06,37.90
290,2018-04-05,38.58
291,2018-04-04,38.21
292,2018-04-03,37.95
293,2018-04-02,37.90
294,2018-03-29,38.73
295,2018-03-28,38.14
296,2018-03-27,38.38
297,2018-03-26,39.35
298,2018-03-23,38.65
299,2018-03-22,39.14
300,2018-03-21,40.61
301,2018-03-20,40.60
302,2018-03-19,40.04
303,2018-03-16,40.77
304,2018-03-15,40.95
305,2018-03-14,40.64
306,2018-03-13,40.59
307,2018-03-12,41.03
308,2018-03-09,40.66
309,2018-03-08,40.22
310,2018-03-07,40.03
311,2018-03-06,39.99
312,2018-03-05,39.70
313,2018-03-02,39.57
314,2018-03-01,39.45
315,2018-02-28,40.04
316,2018-02-27,40.39
317,2018-02-26,41.06
318,2018-02-23,41.23
