,Date,NAV
1,2019-05-30,21.36
2,2019-05-29,21.26
3,2019-05-28,20.82
4,2019-05-24,20.71
5,2019-05-23,20.62
6,2019-05-22,20.15
7,2019-05-21,20.36
8,2019-05-20,19.92
9,2019-05-17,19.72
10,2019-05-16,20.10
11,2019-05-15,20.43
12,2019-05-14,20.88
13,2019-05-13,20.61
14,2019-05-10,21.41
15,2019-05-09,21.30
16,2019-05-08,21.61
17,2019-05-07,21.70
18,2019-05-06,22.01
19,2019-05-03,22.46
20,2019-05-02,22.43
21,2019-05-01,22.85
22,2019-04-30,23.06
23,2019-04-29,22.89
24,2019-04-26,22.90
25,2019-04-25,22.57
26,2019-04-24,22.94
27,2019-04-23,23.34
28,2019-04-22,23.05
29,2019-04-18,23.53
30,2019-04-17,23.74
31,2019-04-16,23.24
32,2019-04-15,22.90
33,2019-04-12,22.80
34,2019-04-11,22.71
35,2019-04-10,23.15
36,2019-04-09,23.09
37,2019-04-08,22.95
38,2019-04-05,23.10
39,2019-04-04,23.06
40,2019-04-03,22.96
41,2019-04-02,22.53
42,2019-04-01,22.79
43,2019-03-29,22.59
44,2019-03-28,22.63
45,2019-03-27,22.34
46,2019-03-26,22.77
47,2019-03-25,22.54
48,2019-03-22,22.64
49,2019-03-21,23.25
50,2019-03-20,23.09
51,2019-03-19,22.92
52,2019-03-18,22.97
53,2019-03-15,22.73
54,2019-03-14,22.07
55,2019-03-13,21.94
56,2019-03-12,22.04
57,2019-03-11,22.11
58,2019-03-08,21.93
59,2019-03-07,22.12
60,2019-03-06,22.58
61,2019-03-05,22.65
62,2019-03-04,22.66
63,2019-03-01,22.56
64,2019-02-28,22.48
65,2019-02-27,23.13
66,2019-02-26,23.42
67,2019-02-25,23.44
68,2019-02-22,23.12
69,2019-02-21,23.11
70,2019-02-20,23.32
71,2019-02-19,23.22
72,2019-02-15,22.67
73,2019-02-14,22.70
74,2019-02-13,22.69
75,2019-02-12,23.12
76,2019-02-11,23.29
77,2019-02-08,23.33
78,2019-02-07,23.67
79,2019-02-06,23.75
80,2019-02-05,24.12
81,2019-02-04,23.78
82,2019-02-01,23.92
83,2019-01-31,24.10
84,2019-01-30,23.81
85,2019-01-29,23.38
86,2019-01-28,23.61
87,2019-01-25,23.92
88,2019-01-24,23.76
89,2019-01-23,23.59
90,2019-01-22,23.34
91,2019-01-18,23.71
92,2019-01-17,23.68
93,2019-01-16,23.50
94,2019-01-15,23.18
95,2019-01-14,23.14
96,2019-01-11,23.26
97,2019-01-10,23.42
98,2019-01-09,22.90
99,2019-01-08,22.85
100,2019-01-07,22.85
101,2019-01-04,22.78
102,2019-01-03,21.84
103,2019-01-02,22.11
104,2018-12-31,21.76
105,2018-12-28,21.79
106,2018-12-27,21.66
107,2018-12-26,21.64
108,2018-12-24,21.00
109,2018-12-21,21.41
110,2018-12-20,21.81
111,2018-12-19,21.49
112,2018-12-18,21.69
113,2018-12-17,21.33
114,2018-12-14,21.79
115,2018-12-13,22.03
116,2018-12-12,21.69
117,2018-12-11,21.39
118,2018-12-10,21.44
119,2018-12-07,21.45
120,2018-12-06,21.73
121,2018-12-04,21.68
122,2018-12-03,22.11
123,2018-11-30,21.63
124,2018-11-29,21.98
125,2018-11-28,21.60
126,2018-11-27,21.48
127,2018-11-26,21.44
128,2018-11-23,21.23
129,2018-11-21,20.98
130,2018-11-20,20.63
131,2018-11-19,21.04
132,2018-11-16,21.59
133,2018-11-15,21.25
134,2018-11-14,20.51
135,2018-11-13,20.12
136,2018-11-12,19.58
137,2018-11-09,20.12
138,2018-11-08,20.58
139,2018-11-07,20.91
140,2018-11-06,20.29
141,2018-11-05,20.13
142,2018-11-02,19.96
143,2018-11-01,20.02
144,2018-10-31,19.37
145,2018-10-30,19.20
146,2018-10-29,18.60
147,2018-10-26,18.96
148,2018-10-25,18.94
149,2018-10-24,18.40
150,2018-10-23,19.22
151,2018-10-22,19.18
152,2018-10-19,19.25
153,2018-10-18,18.91
154,2018-10-17,19.30
155,2018-10-16,19.41
156,2018-10-15,18.90
157,2018-10-12,18.94
158,2018-10-11,18.64
