,Date,NAV
1,2019-05-30,34.76
2,2019-05-29,34.39
3,2019-05-28,34.69
4,2019-05-24,34.62
5,2019-05-23,34.88
6,2019-05-22,35.82
7,2019-05-21,36.51
8,2019-05-20,35.68
9,2019-05-17,37.04
10,2019-05-16,38.90
11,2019-05-15,38.47
12,2019-05-14,38.15
13,2019-05-13,37.33
14,2019-05-10,38.85
15,2019-05-09,39.33
16,2019-05-08,39.37
17,2019-05-07,39.56
18,2019-05-06,41.14
19,2019-05-03,42.57
20,2019-05-02,41.86
21,2019-05-01,41.98
22,2019-04-30,42.14
23,2019-04-29,41.84
24,2019-04-26,41.76
25,2019-04-25,41.55
26,2019-04-24,41.67
27,2019-04-23,42.01
28,2019-04-22,41.66
29,2019-04-18,41.62
30,2019-04-17,41.56
31,2019-04-16,41.32
32,2019-04-15,41.14
33,2019-04-12,42.14
34,2019-04-11,41.57
35,2019-04-10,42.10
36,2019-04-09,42.44
37,2019-04-08,42.73
38,2019-04-05,42.65
39,2019-04-04,41.90
40,2019-04-03,41.81
41,2019-04-02,41.30
42,2019-04-01,41.56
43,2019-03-29,40.45
44,2019-03-28,39.43
45,2019-03-27,39.19
46,2019-03-26,39.10
47,2019-03-25,38.74
48,2019-03-22,38.67
49,2019-03-21,39.90
50,2019-03-20,39.89
51,2019-03-19,40.32
52,2019-03-18,40.12
53,2019-03-15,39.81
54,2019-03-14,39.11
55,2019-03-13,39.63
56,2019-03-12,39.54
57,2019-03-11,39.61
58,2019-03-08,38.51
59,2019-03-07,38.84
60,2019-03-06,40.34
61,2019-03-05,40.72
62,2019-03-04,39.37
63,2019-03-01,39.29
64,2019-02-28,39.43
65,2019-02-27,39.18
66,2019-02-26,39.27
67,2019-02-25,39.31
68,2019-02-22,38.50
69,2019-02-21,37.24
70,2019-02-20,37.61
71,2019-02-19,37.37
72,2019-02-15,36.70
73,2019-02-14,37.24
74,2019-02-13,37.40
75,2019-02-12,37.37
76,2019-02-11,36.84
77,2019-02-08,36.44
78,2019-02-07,36.18
79,2019-02-06,37.25
80,2019-02-05,37.66
81,2019-02-04,36.85
82,2019-02-01,36.78
83,2019-01-31,36.85
84,2019-01-30,35.94
85,2019-01-29,35.43
86,2019-01-28,35.79
87,2019-01-25,36.00
88,2019-01-24,34.97
89,2019-01-23,34.63
90,2019-01-22,34.56
91,2019-01-18,35.74
92,2019-01-17,34.94
93,2019-01-16,34.72
94,2019-01-15,34.18
95,2019-01-14,33.33
96,2019-01-11,34.20
97,2019-01-10,34.55
98,2019-01-09,34.54
99,2019-01-08,33.48
100,2019-01-07,33.42
101,2019-01-04,32.55
102,2019-01-03,30.68
103,2019-01-02,31.56
104,2018-12-31,31.53
105,2018-12-28,31.82
106,2018-12-27,31.85
107,2018-12-26,32.06
108,2018-12-24,30.95
109,2018-12-21,31.06
110,2018-12-20,31.25
111,2018-12-19,31.58
112,2018-12-18,32.40
113,2018-12-17,32.60
114,2018-12-14,33.77
115,2018-12-13,34.44
116,2018-12-12,34.52
117,2018-12-11,33.64
118,2018-12-10,33.45
119,2018-12-07,33.71
120,2018-12-06,34.19
121,2018-12-04,34.62
122,2018-12-03,35.70
123,2018-11-30,34.52
124,2018-11-29,33.89
125,2018-11-28,34.23
126,2018-11-27,33.65
127,2018-11-26,33.55
128,2018-11-23,32.92
129,2018-11-21,33.57
130,2018-11-20,32.50
131,2018-11-19,33.33
132,2018-11-16,34.25
133,2018-11-15,34.73
134,2018-11-14,33.55
135,2018-11-13,32.95
136,2018-11-12,32.30
137,2018-11-09,32.98
138,2018-11-08,34.23
139,2018-11-07,35.93
140,2018-11-06,35.19
141,2018-11-05,35.23
142,2018-11-02,35.43
143,2018-11-01,35.85
144,2018-10-31,33.60
145,2018-10-30,32.18
146,2018-10-29,31.95
147,2018-10-26,32.90
148,2018-10-25,32.77
149,2018-10-24,31.58
150,2018-10-23,33.42
151,2018-10-22,34.30
152,2018-10-19,33.48
153,2018-10-18,33.68
154,2018-10-17,34.77
155,2018-10-16,35.53
156,2018-10-15,34.97
157,2018-10-12,35.61
158,2018-10-11,33.78
159,2018-10-10,33.49
160,2018-10-09,34.90
161,2018-10-08,35.14
162,2018-10-05,35.63
163,2018-10-04,36.08
164,2018-10-03,37.43
165,2018-10-02,37.34
166,2018-10-01,38.40
167,2018-09-28,38.57
168,2018-09-27,38.79
169,2018-09-26,38.82
170,2018-09-25,38.23
171,2018-09-24,38.06
172,2018-09-21,39.07
