,Date,NAV
1,2019-05-30,40.17
2,2019-05-29,39.82
3,2019-05-28,40.20
4,2019-05-24,39.49
5,2019-05-23,38.75
6,2019-05-22,38.60
7,2019-05-21,38.74
8,2019-05-20,38.55
9,2019-05-17,36.98
10,2019-05-16,36.84
11,2019-05-15,36.72
12,2019-05-14,36.82
13,2019-05-13,36.01
14,2019-05-10,37.34
15,2019-05-09,37.19
16,2019-05-08,37.53
17,2019-05-07,37.67
18,2019-05-06,38.98
19,2019-05-03,39.35
20,2019-05-02,38.84
21,2019-05-01,39.20
22,2019-04-30,39.26
23,2019-04-29,39.39
24,2019-04-26,39.46
25,2019-04-25,39.32
26,2019-04-24,39.19
27,2019-04-23,39.66
28,2019-04-22,39.62
29,2019-04-18,40.54
30,2019-04-17,40.76
31,2019-04-16,40.79
32,2019-04-15,40.65
33,2019-04-12,40.43
34,2019-04-11,40.37
35,2019-04-10,40.41
36,2019-04-09,40.20
37,2019-04-08,40.17
38,2019-04-05,40.74
39,2019-04-04,40.42
40,2019-04-03,40.95
41,2019-04-02,40.98
42,2019-04-01,40.93
43,2019-03-29,40.48
44,2019-03-28,40.32
45,2019-03-27,39.80
46,2019-03-26,39.48
47,2019-03-25,39.15
48,2019-03-22,39.28
49,2019-03-21,40.30
50,2019-03-20,40.50
51,2019-03-19,40.14
52,2019-03-18,40.16
53,2019-03-15,40.11
54,2019-03-14,39.61
55,2019-03-13,39.46
56,2019-03-12,39.34
57,2019-03-11,39.17
58,2019-03-08,37.78
59,2019-03-07,37.57
60,2019-03-06,38.00
61,2019-03-05,37.72
62,2019-03-04,36.34
63,2019-03-01,36.47
64,2019-02-28,36.15
65,2019-02-27,35.60
66,2019-02-26,35.89
67,2019-02-25,35.98
68,2019-02-22,35.35
69,2019-02-21,35.06
70,2019-02-20,34.97
71,2019-02-19,34.63
72,2019-02-15,34.68
73,2019-02-14,35.13
74,2019-02-13,34.91
75,2019-02-12,35.36
76,2019-02-11,35.04
77,2019-02-08,35.38
78,2019-02-07,35.98
79,2019-02-06,35.34
80,2019-02-05,35.85
81,2019-02-04,35.82
