,Date,NAV
1,2019-05-30,15.91
2,2019-05-29,15.95
3,2019-05-28,15.96
4,2019-05-24,15.99
5,2019-05-23,15.92
6,2019-05-22,15.97
7,2019-05-21,16.04
8,2019-05-20,15.99
9,2019-05-17,15.98
10,2019-05-16,16.15
11,2019-05-15,16.18
12,2019-05-14,16.30
13,2019-05-13,16.10
14,2019-05-10,16.48
15,2019-05-09,16.36
16,2019-05-08,16.48
17,2019-05-07,16.54
18,2019-05-06,16.72
19,2019-05-03,16.92
20,2019-05-02,16.72
21,2019-05-01,16.74
22,2019-04-30,16.87
23,2019-04-29,16.77
24,2019-04-26,16.83
25,2019-04-25,16.77
26,2019-04-24,16.76
27,2019-04-23,16.96
28,2019-04-22,16.98
29,2019-04-18,17.04
30,2019-04-17,17.07
31,2019-04-16,16.92
32,2019-04-15,16.91
33,2019-04-12,16.90
34,2019-04-11,16.77
35,2019-04-10,16.91
36,2019-04-09,16.83
37,2019-04-08,16.86
38,2019-04-05,16.86
39,2019-04-04,16.79
40,2019-04-03,16.69
41,2019-04-02,16.62
42,2019-04-01,16.68
43,2019-03-29,16.49
44,2019-03-28,16.38
45,2019-03-27,16.32
46,2019-03-26,16.46
47,2019-03-25,16.43
48,2019-03-22,16.40
49,2019-03-21,16.70
50,2019-03-20,16.73
51,2019-03-19,16.57
52,2019-03-18,16.58
53,2019-03-15,16.42
54,2019-03-14,16.32
55,2019-03-13,16.36
56,2019-03-12,16.38
57,2019-03-11,16.38
58,2019-03-08,16.21
59,2019-03-07,16.24
60,2019-03-06,16.44
61,2019-03-05,16.52
62,2019-03-04,16.50
63,2019-03-01,16.49
64,2019-02-28,16.54
65,2019-02-27,16.81
66,2019-02-26,17.00
67,2019-02-25,16.99
68,2019-02-22,16.84
69,2019-02-21,16.72
70,2019-02-20,16.71
71,2019-02-19,16.70
72,2019-02-15,16.56
73,2019-02-14,16.50
74,2019-02-13,16.49
75,2019-02-12,16.68
76,2019-02-11,16.59
77,2019-02-08,16.66
78,2019-02-07,16.76
79,2019-02-06,16.76
80,2019-02-05,16.96
81,2019-02-04,16.74
82,2019-02-01,16.74
83,2019-01-31,16.83
84,2019-01-30,16.85
85,2019-01-29,16.65
86,2019-01-28,16.55
87,2019-01-25,16.71
88,2019-01-24,16.49
89,2019-01-23,16.42
90,2019-01-22,16.37
91,2019-01-18,16.49
92,2019-01-17,16.44
93,2019-01-16,16.42
94,2019-01-15,16.30
95,2019-01-14,16.26
96,2019-01-11,16.29
97,2019-01-10,16.37
98,2019-01-09,16.22
99,2019-01-08,16.03
100,2019-01-07,16.05
101,2019-01-04,15.91
102,2019-01-03,15.64
103,2019-01-02,15.76
104,2018-12-31,15.58
105,2018-12-28,15.57
106,2018-12-27,15.69
107,2018-12-26,15.70
108,2018-12-24,15.31
109,2018-12-21,15.25
110,2018-12-20,15.48
111,2018-12-19,15.31
112,2018-12-18,15.55
113,2018-12-17,15.46
114,2018-12-14,15.69
115,2018-12-13,15.81
116,2018-12-12,15.83
117,2018-12-11,15.69
118,2018-12-10,15.65
119,2018-12-07,15.83
120,2018-12-06,15.99
121,2018-12-04,16.20
122,2018-12-03,16.20
123,2018-11-30,15.91
124,2018-11-29,16.09
125,2018-11-28,16.15
126,2018-11-27,15.81
127,2018-11-26,15.76
128,2018-11-23,15.79
129,2018-11-21,15.86
130,2018-11-20,15.58
131,2018-11-19,15.92
132,2018-11-16,16.02
133,2018-11-15,15.77
134,2018-11-14,15.74
135,2018-11-13,15.62
136,2018-11-12,15.53
137,2018-11-09,15.81
138,2018-11-08,16.03
139,2018-11-07,16.34
140,2018-11-06,16.23
141,2018-11-05,16.14
142,2018-11-02,15.96
143,2018-11-01,15.95
144,2018-10-31,15.73
145,2018-10-30,15.41
146,2018-10-29,15.43
147,2018-10-26,15.74
148,2018-10-25,15.74
149,2018-10-24,15.82
150,2018-10-23,15.82
151,2018-10-22,15.90
152,2018-10-19,15.94
153,2018-10-18,15.78
154,2018-10-17,16.13
155,2018-10-16,16.31
156,2018-10-15,16.07
157,2018-10-12,16.02
158,2018-10-11,15.76
159,2018-10-10,15.91
160,2018-10-09,16.17
161,2018-10-08,16.11
162,2018-10-05,16.11
163,2018-10-04,16.20
164,2018-10-03,16.32
165,2018-10-02,16.51
166,2018-10-01,16.65
167,2018-09-28,16.62
168,2018-09-27,16.69
169,2018-09-26,16.62
170,2018-09-25,16.54
171,2018-09-24,16.53
172,2018-09-21,16.66
173,2018-09-20,16.70
174,2018-09-19,16.62
175,2018-09-18,16.47
176,2018-09-17,16.37
177,2018-09-14,16.51
178,2018-09-13,16.51
179,2018-09-12,16.36
180,2018-09-11,16.23
181,2018-09-10,16.24
182,2018-09-07,16.27
183,2018-09-06,16.28
184,2018-09-05,16.16
185,2018-09-04,16.33
186,2018-08-31,16.72
187,2018-08-30,16.79
188,2018-08-29,17.19
189,2018-08-28,17.21
190,2018-08-27,17.21
191,2018-08-24,16.90
192,2018-08-23,16.73
193,2018-08-22,16.83
194,2018-08-21,16.76
195,2018-08-20,16.61
196,2018-08-17,16.46
197,2018-08-16,16.36
198,2018-08-15,16.34
199,2018-08-14,16.60
