,Date,NAV
1,2019-05-30,25.69
2,2019-05-29,25.53
3,2019-05-28,25.55
4,2019-05-24,25.40
5,2019-05-23,25.19
6,2019-05-22,25.57
7,2019-05-21,25.55
8,2019-05-20,25.28
9,2019-05-17,25.10
10,2019-05-16,25.72
11,2019-05-15,25.77
12,2019-05-14,25.59
13,2019-05-13,25.40
14,2019-05-10,26.29
15,2019-05-09,26.39
16,2019-05-08,26.64
17,2019-05-07,26.40
18,2019-05-06,27.12
19,2019-05-03,27.50
20,2019-05-02,27.35
21,2019-05-01,27.30
22,2019-04-30,27.45
23,2019-04-29,27.52
24,2019-04-26,27.44
25,2019-04-25,27.35
26,2019-04-24,27.31
27,2019-04-23,27.82
28,2019-04-22,27.74
29,2019-04-18,27.61
30,2019-04-17,27.67
31,2019-04-16,27.86
32,2019-04-15,27.59
33,2019-04-12,27.75
34,2019-04-11,27.72
35,2019-04-10,27.92
36,2019-04-09,27.72
37,2019-04-08,27.73
38,2019-04-05,27.86
39,2019-04-04,27.76
40,2019-04-03,27.67
41,2019-04-02,27.65
42,2019-04-01,27.60
43,2019-03-29,27.12
44,2019-03-28,26.87
45,2019-03-27,26.49
46,2019-03-26,27.06
47,2019-03-25,26.80
48,2019-03-22,26.70
49,2019-03-21,27.71
50,2019-03-20,27.81
51,2019-03-19,27.80
52,2019-03-18,27.91
53,2019-03-15,27.53
54,2019-03-14,27.16
55,2019-03-13,27.37
56,2019-03-12,27.39
57,2019-03-11,27.34
58,2019-03-08,26.66
59,2019-03-07,26.70
60,2019-03-06,27.48
61,2019-03-05,27.68
62,2019-03-04,27.02
63,2019-03-01,27.40
64,2019-02-28,27.33
65,2019-02-27,27.73
66,2019-02-26,27.81
67,2019-02-25,27.74
68,2019-02-22,27.53
69,2019-02-21,27.06
70,2019-02-20,27.40
71,2019-02-19,27.24
72,2019-02-15,26.93
73,2019-02-14,27.12
74,2019-02-13,26.95
75,2019-02-12,27.05
76,2019-02-11,26.74
77,2019-02-08,26.89
78,2019-02-07,26.69
79,2019-02-06,27.29
80,2019-02-05,27.70
81,2019-02-04,27.50
82,2019-02-01,27.49
83,2019-01-31,27.57
84,2019-01-30,27.18
85,2019-01-29,26.61
86,2019-01-28,26.64
87,2019-01-25,26.85
88,2019-01-24,26.42
89,2019-01-23,26.12
90,2019-01-22,25.71
91,2019-01-18,26.51
