,Date,NAV
1,2019-05-30,51.26
2,2019-05-29,52.15
3,2019-05-28,53.30
4,2019-05-24,53.71
5,2019-05-23,53.79
6,2019-05-22,51.75
7,2019-05-21,51.10
8,2019-05-20,53.14
9,2019-05-17,52.34
10,2019-05-16,49.62
11,2019-05-15,48.99
12,2019-05-14,49.29
13,2019-05-13,51.32
14,2019-05-10,46.70
15,2019-05-09,47.55
16,2019-05-08,45.29
17,2019-05-07,45.16
18,2019-05-06,42.59
19,2019-05-03,40.16
20,2019-05-02,41.69
21,2019-05-01,41.90
22,2019-04-30,41.04
23,2019-04-29,40.87
24,2019-04-26,41.12
25,2019-04-25,41.58
26,2019-04-24,41.42
27,2019-04-23,39.71
28,2019-04-22,40.02
29,2019-04-18,39.27
30,2019-04-17,39.09
31,2019-04-16,39.42
32,2019-04-15,40.30
33,2019-04-12,39.77
34,2019-04-11,40.55
35,2019-04-10,39.25
36,2019-04-09,39.83
37,2019-04-08,39.64
38,2019-04-05,39.67
39,2019-04-04,40.50
40,2019-04-03,41.23
41,2019-04-02,42.17
42,2019-04-01,41.71
43,2019-03-29,43.85
44,2019-03-28,45.20
45,2019-03-27,46.14
46,2019-03-26,44.77
47,2019-03-25,45.09
48,2019-03-22,45.44
49,2019-03-21,41.75
50,2019-03-20,41.94
51,2019-03-19,42.16
52,2019-03-18,42.18
53,2019-03-15,43.56
54,2019-03-14,45.60
55,2019-03-13,44.85
56,2019-03-12,44.94
57,2019-03-11,45.70
58,2019-03-08,48.30
59,2019-03-07,47.30
60,2019-03-06,44.89
61,2019-03-05,44.04
62,2019-03-04,45.42
63,2019-03-01,45.62
64,2019-02-28,45.64
65,2019-02-27,43.94
66,2019-02-26,42.88
67,2019-02-25,42.48
68,2019-02-22,43.88
69,2019-02-21,45.37
70,2019-02-20,45.07
71,2019-02-19,45.85
72,2019-02-15,46.90
73,2019-02-14,46.66
74,2019-02-13,46.95
75,2019-02-12,46.02
76,2019-02-11,47.12
77,2019-02-08,46.68
78,2019-02-07,45.79
79,2019-02-06,44.44
80,2019-02-05,42.82
