,Date,NAV
1,2019-05-30,35.06
2,2019-05-29,34.92
3,2019-05-28,34.85
4,2019-05-24,34.78
5,2019-05-23,34.55
6,2019-05-22,35.07
7,2019-05-21,35.12
8,2019-05-20,34.53
9,2019-05-17,34.54
10,2019-05-16,35.14
11,2019-05-15,35.18
12,2019-05-14,35.16
13,2019-05-13,34.46
14,2019-05-10,35.59
15,2019-05-09,35.49
16,2019-05-08,35.95
17,2019-05-07,36.03
18,2019-05-06,36.86
19,2019-05-03,37.53
20,2019-05-02,36.99
21,2019-05-01,36.96
22,2019-04-30,37.21
23,2019-04-29,37.20
24,2019-04-26,37.04
25,2019-04-25,36.94
26,2019-04-24,36.87
27,2019-04-23,37.34
28,2019-04-22,37.21
29,2019-04-18,37.20
30,2019-04-17,37.10
31,2019-04-16,37.09
32,2019-04-15,36.85
33,2019-04-12,37.16
34,2019-04-11,37.20
35,2019-04-10,37.68
36,2019-04-09,37.71
37,2019-04-08,37.82
38,2019-04-05,37.75
39,2019-04-04,37.36
40,2019-04-03,37.22
41,2019-04-02,37.31
42,2019-04-01,37.35
43,2019-03-29,36.77
44,2019-03-28,36.37
45,2019-03-27,36.03
46,2019-03-26,36.54
47,2019-03-25,36.31
48,2019-03-22,36.12
49,2019-03-21,37.37
50,2019-03-20,37.55
51,2019-03-19,37.60
52,2019-03-18,37.53
53,2019-03-15,37.05
54,2019-03-14,36.63
55,2019-03-13,36.78
56,2019-03-12,36.63
57,2019-03-11,36.44
58,2019-03-08,35.49
59,2019-03-07,35.64
60,2019-03-06,36.28
61,2019-03-05,36.57
62,2019-03-04,36.13
63,2019-03-01,36.08
64,2019-02-28,36.13
65,2019-02-27,36.40
66,2019-02-26,36.46
67,2019-02-25,36.55
68,2019-02-22,36.22
69,2019-02-21,35.63
70,2019-02-20,35.80
71,2019-02-19,35.60
72,2019-02-15,35.42
73,2019-02-14,35.52
74,2019-02-13,35.40
75,2019-02-12,35.66
76,2019-02-11,35.14
77,2019-02-08,35.29
78,2019-02-07,35.31
79,2019-02-06,35.82
80,2019-02-05,36.24
81,2019-02-04,35.93
82,2019-02-01,35.89
83,2019-01-31,36.00
84,2019-01-30,35.46
85,2019-01-29,34.69
86,2019-01-28,34.71
87,2019-01-25,35.15
88,2019-01-24,34.90
89,2019-01-23,34.67
90,2019-01-22,34.30
91,2019-01-18,35.02
92,2019-01-17,34.68
93,2019-01-16,34.48
94,2019-01-15,34.20
95,2019-01-14,33.92
96,2019-01-11,34.28
97,2019-01-10,34.37
98,2019-01-09,34.35
99,2019-01-08,33.72
100,2019-01-07,33.40
101,2019-01-04,33.19
102,2019-01-03,32.00
103,2019-01-02,32.56
104,2018-12-31,32.09
105,2018-12-28,32.12
106,2018-12-27,31.86
107,2018-12-26,31.89
108,2018-12-24,31.24
109,2018-12-21,31.34
110,2018-12-20,31.90
111,2018-12-19,31.93
112,2018-12-18,32.35
113,2018-12-17,32.40
114,2018-12-14,32.83
115,2018-12-13,33.35
116,2018-12-12,33.11
117,2018-12-11,32.62
118,2018-12-10,32.47
119,2018-12-07,33.10
120,2018-12-06,33.40
121,2018-12-04,33.75
122,2018-12-03,34.44
123,2018-11-30,34.02
124,2018-11-29,33.87
125,2018-11-28,33.89
126,2018-11-27,33.19
127,2018-11-26,32.83
128,2018-11-23,32.84
129,2018-11-21,33.26
130,2018-11-20,32.59
131,2018-11-19,33.46
132,2018-11-16,33.76
133,2018-11-15,33.74
134,2018-11-14,33.06
135,2018-11-13,32.59
136,2018-11-12,32.59
137,2018-11-09,32.83
138,2018-11-08,33.52
139,2018-11-07,34.06
140,2018-11-06,33.74
141,2018-11-05,33.75
142,2018-11-02,33.78
143,2018-11-01,33.74
144,2018-10-31,32.80
145,2018-10-30,31.95
146,2018-10-29,31.53
147,2018-10-26,32.36
148,2018-10-25,32.40
149,2018-10-24,31.79
150,2018-10-23,32.77
151,2018-10-22,33.12
152,2018-10-19,32.79
153,2018-10-18,32.71
154,2018-10-17,33.58
155,2018-10-16,33.96
156,2018-10-15,33.17
157,2018-10-12,33.44
158,2018-10-11,32.54
159,2018-10-10,32.63
160,2018-10-09,33.64
161,2018-10-08,33.73
162,2018-10-05,33.40
163,2018-10-04,33.54
164,2018-10-03,34.34
165,2018-10-02,34.20
166,2018-10-01,34.36
167,2018-09-28,34.32
168,2018-09-27,34.42
169,2018-09-26,34.22
170,2018-09-25,34.00
171,2018-09-24,33.83
172,2018-09-21,34.18
173,2018-09-20,34.26
174,2018-09-19,33.87
175,2018-09-18,33.34
176,2018-09-17,33.17
177,2018-09-14,33.41
178,2018-09-13,33.43
179,2018-09-12,33.19
180,2018-09-11,32.72
181,2018-09-10,32.80
182,2018-09-07,33.28
183,2018-09-06,33.18
184,2018-09-05,33.17
185,2018-09-04,33.61
186,2018-08-31,34.29
187,2018-08-30,34.03
188,2018-08-29,34.78
189,2018-08-28,34.51
190,2018-08-27,34.74
191,2018-08-24,34.13
192,2018-08-23,33.66
193,2018-08-22,34.26
194,2018-08-21,34.18
195,2018-08-20,34.22
196,2018-08-17,33.97
197,2018-08-16,33.77
198,2018-08-15,33.50
199,2018-08-14,34.31
200,2018-08-13,34.14
201,2018-08-10,34.56
202,2018-08-09,35.18
203,2018-08-08,35.39
204,2018-08-07,35.71
205,2018-08-06,35.56
206,2018-08-03,35.76
207,2018-08-02,35.51
208,2018-08-01,35.77
209,2018-07-31,36.16
210,2018-07-30,36.08
211,2018-07-27,36.18
212,2018-07-26,36.34
213,2018-07-25,36.68
214,2018-07-24,35.86
215,2018-07-23,35.50
216,2018-07-20,35.64
217,2018-07-19,35.28
218,2018-07-18,35.75
219,2018-07-17,35.99
220,2018-07-16,35.67
221,2018-07-13,35.88
222,2018-07-12,35.93
223,2018-07-11,35.39
224,2018-07-10,36.04
225,2018-07-09,35.94
226,2018-07-06,35.43
227,2018-07-05,34.88
228,2018-07-03,34.92
229,2018-07-02,34.86
230,2018-06-29,34.98
231,2018-06-28,34.70
232,2018-06-27,34.49
233,2018-06-26,35.07
234,2018-06-25,35.03
235,2018-06-22,35.77
236,2018-06-21,35.51
237,2018-06-20,36.01
238,2018-06-19,35.79
239,2018-06-18,36.23
240,2018-06-15,36.29
241,2018-06-14,36.55
242,2018-06-13,36.69
243,2018-06-12,36.94
244,2018-06-11,36.76
245,2018-06-08,36.85
246,2018-06-07,36.68
247,2018-06-06,37.24
248,2018-06-05,36.89
249,2018-06-04,37.11
250,2018-06-01,36.68
251,2018-05-31,36.38
252,2018-05-30,36.29
253,2018-05-29,35.91
254,2018-05-25,36.44
255,2018-05-24,36.49
256,2018-05-23,36.60
257,2018-05-22,36.94
258,2018-05-21,36.63
259,2018-05-18,36.62
260,2018-05-17,37.02
261,2018-05-16,37.59
262,2018-05-15,37.19
263,2018-05-14,37.66
264,2018-05-11,37.44
265,2018-05-10,37.55
266,2018-05-09,36.95
267,2018-05-08,36.84
268,2018-05-07,36.76
269,2018-05-04,36.60
270,2018-05-03,36.52
271,2018-05-02,36.32
272,2018-05-01,36.61
273,2018-04-30,36.69
274,2018-04-27,36.79
275,2018-04-26,36.42
276,2018-04-25,35.96
277,2018-04-24,36.30
278,2018-04-23,36.43
279,2018-04-20,36.60
280,2018-04-19,37.04
281,2018-04-18,37.10
282,2018-04-17,36.54
283,2018-04-16,36.01
284,2018-04-13,35.97
285,2018-04-12,36.60
286,2018-04-11,36.57
287,2018-04-10,36.40
288,2018-04-09,35.64
289,2018-04-06,36.51
290,2018-04-05,37.19
291,2018-04-04,36.92
292,2018-04-03,36.80
293,2018-04-02,36.73
294,2018-03-29,37.44
295,2018-03-28,36.60
296,2018-03-27,36.85
297,2018-03-26,37.63
298,2018-03-23,36.91
299,2018-03-22,37.42
300,2018-03-21,38.50
301,2018-03-20,38.23
302,2018-03-19,37.87
303,2018-03-16,38.41
304,2018-03-15,38.43
305,2018-03-14,38.45
306,2018-03-13,38.41
307,2018-03-12,38.99
308,2018-03-09,38.77
309,2018-03-08,38.20
310,2018-03-07,38.08
311,2018-03-06,38.37
312,2018-03-05,38.26
313,2018-03-02,38.14
314,2018-03-01,38.06
315,2018-02-28,38.29
316,2018-02-27,38.81
317,2018-02-26,39.67
318,2018-02-23,39.39
319,2018-02-22,38.84
320,2018-02-21,38.75
321,2018-02-20,38.36
322,2018-02-16,38.48
323,2018-02-15,38.77
324,2018-02-14,38.43
325,2018-02-13,37.47
326,2018-02-12,37.17
327,2018-02-09,36.52
328,2018-02-08,36.18
329,2018-02-07,37.56
330,2018-02-06,38.29
331,2018-02-05,37.39
332,2018-02-02,38.62
333,2018-02-01,39.73
334,2018-01-31,40.09
335,2018-01-30,39.78
336,2018-01-29,40.15
337,2018-01-26,40.71
338,2018-01-25,40.25
339,2018-01-24,40.00
340,2018-01-23,39.36
341,2018-01-22,39.12
342,2018-01-19,39.05
343,2018-01-18,38.99
344,2018-01-17,38.94
345,2018-01-16,38.38
346,2018-01-12,38.75
347,2018-01-11,38.55
348,2018-01-10,38.22
349,2018-01-09,38.37
350,2018-01-08,38.29
351,2018-01-05,38.19
352,2018-01-04,37.81
353,2018-01-03,37.38
354,2018-01-02,37.23
355,2017-12-29,36.20
356,2017-12-28,36.12
357,2017-12-27,36.07
358,2017-12-26,36.08
359,2017-12-22,36.00
360,2017-12-21,35.98
361,2017-12-20,35.57
362,2017-12-19,35.48
363,2017-12-18,35.57
364,2017-12-15,35.20
365,2017-12-14,35.17
366,2017-12-13,35.30
367,2017-12-12,35.17
368,2017-12-11,35.27
369,2017-12-08,34.94
370,2017-12-07,34.79
371,2017-12-06,34.76
372,2017-12-05,34.87
373,2017-12-04,34.87
374,2017-12-01,34.94
375,2017-11-30,35.17
376,2017-11-29,35.53
377,2017-11-28,36.26
378,2017-11-27,36.22
379,2017-11-24,36.70
380,2017-11-22,36.64
381,2017-11-21,36.35
382,2017-11-20,36.01
383,2017-11-17,36.05
384,2017-11-16,35.75
385,2017-11-15,35.16
386,2017-11-14,35.26
387,2017-11-13,35.91
388,2017-11-10,36.07
389,2017-11-09,36.01
390,2017-11-08,36.20
391,2017-11-07,36.01
392,2017-11-06,36.31
393,2017-11-03,35.70
394,2017-11-02,35.87
395,2017-11-01,35.79
396,2017-10-31,35.50
397,2017-10-30,35.31
398,2017-10-27,35.35
399,2017-10-26,35.16
400,2017-10-25,35.30
401,2017-10-24,35.47
402,2017-10-23,35.27
403,2017-10-20,35.67
404,2017-10-19,35.57
405,2017-10-18,35.91
406,2017-10-17,35.87
407,2017-10-16,36.18
408,2017-10-13,36.02
409,2017-10-12,35.71
410,2017-10-11,35.83
411,2017-10-10,35.79
412,2017-10-09,35.45
413,2017-10-06,35.40
414,2017-10-05,35.54
415,2017-10-04,35.38
416,2017-10-03,35.35
417,2017-10-02,34.91
418,2017-09-29,34.94
419,2017-09-28,34.58
420,2017-09-27,34.68
421,2017-09-26,34.65
422,2017-09-25,34.67
423,2017-09-22,35.24
424,2017-09-21,35.40
425,2017-09-20,35.52
426,2017-09-19,35.59
427,2017-09-18,35.68
428,2017-09-15,35.65
429,2017-09-14,35.45
430,2017-09-13,35.52
431,2017-09-12,35.42
432,2017-09-11,35.33
433,2017-09-08,34.80
434,2017-09-07,35.09
435,2017-09-06,34.78
436,2017-09-05,34.45
437,2017-09-01,34.62
438,2017-08-31,34.34
439,2017-08-30,34.03
440,2017-08-29,33.84
441,2017-08-28,33.70
442,2017-08-25,33.93
443,2017-08-24,33.98
444,2017-08-23,33.97
445,2017-08-22,33.64
446,2017-08-21,33.26
447,2017-08-18,33.05
448,2017-08-17,32.73
449,2017-08-16,33.05
450,2017-08-15,32.87
451,2017-08-14,32.84
452,2017-08-11,32.66
453,2017-08-10,32.57
454,2017-08-09,33.41
455,2017-08-08,33.55
456,2017-08-07,33.54
457,2017-08-04,33.14
458,2017-08-03,33.07
459,2017-08-02,33.05
460,2017-08-01,33.08
461,2017-07-31,32.98
462,2017-07-28,32.85
463,2017-07-27,32.51
464,2017-07-26,32.75
465,2017-07-25,32.43
466,2017-07-24,32.38
467,2017-07-21,32.26
