,Date,NAV
1,2019-05-30,65.01
2,2019-05-29,64.24
3,2019-05-28,63.44
4,2019-05-24,63.35
5,2019-05-23,62.94
6,2019-05-22,64.88
7,2019-05-21,65.22
8,2019-05-20,63.78
9,2019-05-17,64.41
10,2019-05-16,66.68
11,2019-05-15,67.29
12,2019-05-14,67.15
13,2019-05-13,65.21
14,2019-05-10,69.74
15,2019-05-09,69.33
16,2019-05-08,71.30
17,2019-05-07,71.83
18,2019-05-06,74.56
19,2019-05-03,77.69
20,2019-05-02,75.88
21,2019-05-01,75.54
22,2019-04-30,76.70
23,2019-04-29,76.96
24,2019-04-26,76.29
25,2019-04-25,76.10
26,2019-04-24,76.30
27,2019-04-23,78.38
28,2019-04-22,78.10
29,2019-04-18,79.24
30,2019-04-17,79.26
31,2019-04-16,78.71
32,2019-04-15,77.61
33,2019-04-12,78.10
34,2019-04-11,77.25
35,2019-04-10,79.37
36,2019-04-09,78.41
37,2019-04-08,78.60
38,2019-04-05,78.63
39,2019-04-04,77.35
40,2019-04-03,76.72
41,2019-04-02,75.53
42,2019-04-01,76.00
43,2019-03-29,73.80
44,2019-03-28,72.06
45,2019-03-27,71.06
46,2019-03-26,72.45
47,2019-03-25,72.25
48,2019-03-22,71.96
49,2019-03-21,76.35
50,2019-03-20,76.28
51,2019-03-19,75.90
52,2019-03-18,76.03
53,2019-03-15,74.17
54,2019-03-14,72.27
55,2019-03-13,72.90
56,2019-03-12,73.02
57,2019-03-11,72.21
58,2019-03-08,69.57
59,2019-03-07,70.45
60,2019-03-06,73.27
61,2019-03-05,74.14
62,2019-03-04,72.57
63,2019-03-01,72.34
64,2019-02-28,72.48
65,2019-02-27,74.53
66,2019-02-26,75.83
67,2019-02-25,76.27
68,2019-02-22,74.39
69,2019-02-21,72.79
70,2019-02-20,73.43
71,2019-02-19,72.43
72,2019-02-15,71.15
73,2019-02-14,71.66
74,2019-02-13,71.26
75,2019-02-12,72.46
76,2019-02-11,71.29
77,2019-02-08,71.42
78,2019-02-07,72.47
79,2019-02-06,74.03
80,2019-02-05,75.97
81,2019-02-04,73.90
82,2019-02-01,73.69
83,2019-01-31,74.71
84,2019-01-30,73.55
85,2019-01-29,70.62
86,2019-01-28,70.29
87,2019-01-25,71.79
88,2019-01-24,69.95
89,2019-01-23,68.56
90,2019-01-22,67.43
91,2019-01-18,69.83
92,2019-01-17,69.14
93,2019-01-16,68.80
94,2019-01-15,66.88
95,2019-01-14,65.94
96,2019-01-11,66.89
97,2019-01-10,67.86
98,2019-01-09,66.93
99,2019-01-08,64.60
100,2019-01-07,64.27
101,2019-01-04,64.04
102,2019-01-03,60.04
103,2019-01-02,62.08
104,2018-12-31,61.97
105,2018-12-28,62.56
106,2018-12-27,61.13
107,2018-12-26,61.44
108,2018-12-24,59.41
109,2018-12-21,60.08
110,2018-12-20,61.33
111,2018-12-19,60.24
112,2018-12-18,62.08
113,2018-12-17,61.42
114,2018-12-14,62.84
115,2018-12-13,64.77
116,2018-12-12,64.73
117,2018-12-11,62.63
118,2018-12-10,61.71
119,2018-12-07,63.10
120,2018-12-06,65.31
121,2018-12-04,66.99
122,2018-12-03,69.69
123,2018-11-30,66.89
124,2018-11-29,67.50
125,2018-11-28,68.56
126,2018-11-27,65.08
127,2018-11-26,64.21
128,2018-11-23,62.70
129,2018-11-21,64.01
130,2018-11-20,61.88
131,2018-11-19,65.57
132,2018-11-16,66.70
133,2018-11-15,66.38
134,2018-11-14,63.41
135,2018-11-13,63.32
136,2018-11-12,61.59
137,2018-11-09,63.46
138,2018-11-08,65.48
139,2018-11-07,69.23
140,2018-11-06,66.22
141,2018-11-05,67.03
142,2018-11-02,66.34
143,2018-11-01,65.58
144,2018-10-31,61.92
145,2018-10-30,60.06
146,2018-10-29,57.12
147,2018-10-26,59.81
148,2018-10-25,61.34
149,2018-10-24,59.81
150,2018-10-23,62.63
151,2018-10-22,64.75
152,2018-10-19,63.21
153,2018-10-18,62.13
154,2018-10-17,65.40
155,2018-10-16,67.30
156,2018-10-15,64.36
157,2018-10-12,65.53
158,2018-10-11,60.87
159,2018-10-10,63.46
160,2018-10-09,67.38
161,2018-10-08,67.67
162,2018-10-05,67.27
163,2018-10-04,67.90
164,2018-10-03,71.54
165,2018-10-02,72.68
166,2018-10-01,74.63
167,2018-09-28,74.54
168,2018-09-27,75.46
169,2018-09-26,75.56
170,2018-09-25,74.43
171,2018-09-24,73.87
172,2018-09-21,75.21
173,2018-09-20,74.77
174,2018-09-19,73.39
175,2018-09-18,71.46
176,2018-09-17,69.96
177,2018-09-14,71.70
178,2018-09-13,71.58
179,2018-09-12,69.71
180,2018-09-11,68.78
181,2018-09-10,68.87
182,2018-09-07,69.97
183,2018-09-06,70.78
184,2018-09-05,70.58
185,2018-09-04,72.59
186,2018-08-31,76.04
187,2018-08-30,74.88
188,2018-08-29,79.02
189,2018-08-28,77.67
190,2018-08-27,78.87
191,2018-08-24,76.53
192,2018-08-23,73.82
193,2018-08-22,76.09
194,2018-08-21,74.75
195,2018-08-20,73.05
196,2018-08-17,72.76
197,2018-08-16,71.07
198,2018-08-15,70.50
199,2018-08-14,74.67
200,2018-08-13,73.73
201,2018-08-10,76.46
202,2018-08-09,79.76
203,2018-08-08,79.96
204,2018-08-07,80.34
205,2018-08-06,78.64
206,2018-08-03,79.79
207,2018-08-02,78.32
208,2018-08-01,80.94
209,2018-07-31,82.00
210,2018-07-30,81.24
211,2018-07-27,81.87
212,2018-07-26,81.36
213,2018-07-25,82.80
214,2018-07-24,80.22
215,2018-07-23,77.90
216,2018-07-20,79.29
217,2018-07-19,76.87
218,2018-07-18,78.91
219,2018-07-17,79.29
220,2018-07-16,78.12
221,2018-07-13,78.51
222,2018-07-12,78.59
223,2018-07-11,76.47
224,2018-07-10,79.60
225,2018-07-09,80.16
226,2018-07-06,77.04
227,2018-07-05,75.16
228,2018-07-03,76.02
229,2018-07-02,75.71
230,2018-06-29,77.50
231,2018-06-28,74.73
232,2018-06-27,73.63
233,2018-06-26,76.93
234,2018-06-25,77.25
235,2018-06-22,79.68
236,2018-06-21,77.76
237,2018-06-20,80.06
238,2018-06-19,79.42
239,2018-06-18,81.33
