,Date,NAV
1,2019-05-30,42.87
2,2019-05-29,42.58
3,2019-05-28,42.34
4,2019-05-24,42.01
5,2019-05-23,41.81
6,2019-05-22,42.35
7,2019-05-21,42.37
8,2019-05-20,41.82
9,2019-05-17,41.87
10,2019-05-16,42.62
11,2019-05-15,42.85
12,2019-05-14,42.66
13,2019-05-13,42.20
14,2019-05-10,43.70
15,2019-05-09,43.39
16,2019-05-08,43.86
17,2019-05-07,43.98
18,2019-05-06,44.50
19,2019-05-03,45.32
20,2019-05-02,44.89
21,2019-05-01,44.74
22,2019-04-30,45.03
23,2019-04-29,45.02
24,2019-04-26,45.16
25,2019-04-25,45.09
26,2019-04-24,45.16
27,2019-04-23,45.53
28,2019-04-22,45.52
29,2019-04-18,45.59
30,2019-04-17,45.69
31,2019-04-16,45.60
32,2019-04-15,45.44
33,2019-04-12,45.40
34,2019-04-11,45.30
35,2019-04-10,45.72
36,2019-04-09,45.53
37,2019-04-08,45.65
38,2019-04-05,45.63
39,2019-04-04,45.44
40,2019-04-03,45.31
41,2019-04-02,45.10
42,2019-04-01,45.18
43,2019-03-29,44.57
44,2019-03-28,44.30
45,2019-03-27,44.05
46,2019-03-26,44.41
47,2019-03-25,44.21
48,2019-03-22,44.10
49,2019-03-21,45.33
50,2019-03-20,45.20
51,2019-03-19,45.02
52,2019-03-18,45.18
53,2019-03-15,44.86
54,2019-03-14,44.35
55,2019-03-13,44.59
56,2019-03-12,44.37
57,2019-03-11,44.36
58,2019-03-08,43.81
59,2019-03-07,43.74
60,2019-03-06,44.43
61,2019-03-05,44.59
62,2019-03-04,44.20
63,2019-03-01,44.13
64,2019-02-28,43.95
65,2019-02-27,44.25
66,2019-02-26,44.44
67,2019-02-25,44.64
68,2019-02-22,44.26
69,2019-02-21,44.00
70,2019-02-20,44.09
71,2019-02-19,44.02
72,2019-02-15,43.65
73,2019-02-14,43.55
74,2019-02-13,43.36
75,2019-02-12,43.74
76,2019-02-11,43.45
77,2019-02-08,43.78
78,2019-02-07,43.89
79,2019-02-06,44.22
80,2019-02-05,44.61
81,2019-02-04,44.21
82,2019-02-01,44.00
83,2019-01-31,44.31
84,2019-01-30,43.81
85,2019-01-29,43.04
86,2019-01-28,43.12
87,2019-01-25,43.44
88,2019-01-24,43.20
89,2019-01-23,42.93
90,2019-01-22,42.30
91,2019-01-18,42.90
92,2019-01-17,42.85
93,2019-01-16,42.86
94,2019-01-15,42.45
95,2019-01-14,42.20
96,2019-01-11,42.51
97,2019-01-10,42.71
98,2019-01-09,42.36
99,2019-01-08,41.94
100,2019-01-07,41.87
101,2019-01-04,41.73
102,2019-01-03,40.85
103,2019-01-02,41.33
104,2018-12-31,40.97
105,2018-12-28,40.93
106,2018-12-27,40.74
107,2018-12-26,40.56
108,2018-12-24,40.07
109,2018-12-21,40.26
110,2018-12-20,40.82
111,2018-12-19,40.50
112,2018-12-18,41.09
113,2018-12-17,40.89
114,2018-12-14,41.34
115,2018-12-13,41.78
116,2018-12-12,41.81
117,2018-12-11,41.17
118,2018-12-10,40.83
119,2018-12-07,41.18
120,2018-12-06,41.83
121,2018-12-04,42.25
122,2018-12-03,43.05
123,2018-11-30,42.37
124,2018-11-29,42.40
125,2018-11-28,42.47
126,2018-11-27,41.64
127,2018-11-26,41.40
128,2018-11-23,41.17
129,2018-11-21,41.65
130,2018-11-20,40.96
131,2018-11-19,41.60
132,2018-11-16,42.13
133,2018-11-15,41.99
134,2018-11-14,41.25
135,2018-11-13,41.16
136,2018-11-12,40.78
137,2018-11-09,41.38
138,2018-11-08,41.79
139,2018-11-07,42.69
140,2018-11-06,41.78
141,2018-11-05,42.10
142,2018-11-02,41.73
143,2018-11-01,41.72
144,2018-10-31,40.28
145,2018-10-30,39.93
146,2018-10-29,39.25
147,2018-10-26,39.80
148,2018-10-25,39.90
149,2018-10-24,39.55
150,2018-10-23,40.54
151,2018-10-22,40.87
152,2018-10-19,40.61
153,2018-10-18,40.46
154,2018-10-17,41.27
155,2018-10-16,41.71
156,2018-10-15,40.94
157,2018-10-12,40.92
158,2018-10-11,40.10
159,2018-10-10,40.78
160,2018-10-09,41.69
161,2018-10-08,42.05
162,2018-10-05,41.95
163,2018-10-04,42.55
164,2018-10-03,43.35
165,2018-10-02,43.61
166,2018-10-01,43.97
167,2018-09-28,43.82
168,2018-09-27,44.13
169,2018-09-26,44.09
170,2018-09-25,44.05
171,2018-09-24,43.93
172,2018-09-21,44.46
173,2018-09-20,44.47
174,2018-09-19,44.23
175,2018-09-18,44.00
176,2018-09-17,43.80
177,2018-09-14,44.11
178,2018-09-13,44.04
179,2018-09-12,43.58
180,2018-09-11,43.49
181,2018-09-10,43.41
182,2018-09-07,44.08
183,2018-09-06,44.30
184,2018-09-05,44.51
185,2018-09-04,44.88
186,2018-08-31,45.73
187,2018-08-30,45.28
188,2018-08-29,46.09
189,2018-08-28,45.88
190,2018-08-27,46.12
191,2018-08-24,45.62
192,2018-08-23,45.14
193,2018-08-22,45.55
194,2018-08-21,45.49
195,2018-08-20,45.07
196,2018-08-17,45.04
197,2018-08-16,44.81
198,2018-08-15,44.51
199,2018-08-14,45.60
200,2018-08-13,45.16
201,2018-08-10,46.06
202,2018-08-09,46.92
203,2018-08-08,47.01
204,2018-08-07,47.10
205,2018-08-06,46.59
206,2018-08-03,46.85
207,2018-08-02,46.77
208,2018-08-01,47.22
209,2018-07-31,47.25
210,2018-07-30,47.14
211,2018-07-27,47.32
212,2018-07-26,47.13
213,2018-07-25,47.38
214,2018-07-24,46.85
215,2018-07-23,46.24
216,2018-07-20,46.53
217,2018-07-19,46.12
218,2018-07-18,46.61
219,2018-07-17,46.63
220,2018-07-16,46.28
221,2018-07-13,46.59
222,2018-07-12,46.62
223,2018-07-11,45.95
224,2018-07-10,46.53
225,2018-07-09,46.42
226,2018-07-06,45.93
227,2018-07-05,45.52
228,2018-07-03,45.90
229,2018-07-02,46.01
230,2018-06-29,46.42
231,2018-06-28,45.68
232,2018-06-27,45.63
233,2018-06-26,46.41
234,2018-06-25,46.61
235,2018-06-22,47.10
236,2018-06-21,46.97
237,2018-06-20,47.55
238,2018-06-19,47.55
239,2018-06-18,47.92
240,2018-06-15,48.41
241,2018-06-14,48.73
242,2018-06-13,48.80
243,2018-06-12,49.18
244,2018-06-11,49.37
245,2018-06-08,49.36
246,2018-06-07,49.13
247,2018-06-06,49.80
248,2018-06-05,49.12
249,2018-06-04,49.45
250,2018-06-01,49.24
251,2018-05-31,49.02
252,2018-05-30,49.16
253,2018-05-29,48.44
254,2018-05-25,49.19
255,2018-05-24,49.10
256,2018-05-23,49.23
257,2018-05-22,49.07
258,2018-05-21,48.94
259,2018-05-18,48.58
260,2018-05-17,48.91
261,2018-05-16,49.20
262,2018-05-15,48.73
263,2018-05-14,49.27
264,2018-05-11,49.39
265,2018-05-10,49.53
266,2018-05-09,48.85
267,2018-05-08,48.92
268,2018-05-07,49.03
269,2018-05-04,49.29
270,2018-05-03,49.02
271,2018-05-02,49.35
272,2018-05-01,49.21
273,2018-04-30,49.57
274,2018-04-27,49.73
275,2018-04-26,49.56
276,2018-04-25,49.48
277,2018-04-24,49.63
278,2018-04-23,49.99
279,2018-04-20,50.31
280,2018-04-19,50.85
281,2018-04-18,51.08
282,2018-04-17,50.82
283,2018-04-16,51.03
284,2018-04-13,51.01
285,2018-04-12,51.04
286,2018-04-11,51.01
287,2018-04-10,50.91
288,2018-04-09,50.37
289,2018-04-06,50.30
290,2018-04-05,50.96
291,2018-04-04,50.74
292,2018-04-03,50.74
293,2018-04-02,50.12
294,2018-03-29,50.90
295,2018-03-28,50.12
296,2018-03-27,50.25
297,2018-03-26,50.74
298,2018-03-23,49.46
299,2018-03-22,50.18
300,2018-03-21,51.36
301,2018-03-20,50.99
302,2018-03-19,50.79
303,2018-03-16,51.14
304,2018-03-15,51.40
305,2018-03-14,51.37
306,2018-03-13,51.25
307,2018-03-12,51.51
308,2018-03-09,51.68
309,2018-03-08,50.96
310,2018-03-07,50.90
311,2018-03-06,51.05
312,2018-03-05,51.04
313,2018-03-02,51.01
314,2018-03-01,50.84
315,2018-02-28,50.69
316,2018-02-27,50.97
317,2018-02-26,52.05
318,2018-02-23,51.71
319,2018-02-22,50.91
320,2018-02-21,50.87
321,2018-02-20,51.08
322,2018-02-16,51.48
323,2018-02-15,51.63
324,2018-02-14,51.09
325,2018-02-13,50.06
326,2018-02-12,49.80
327,2018-02-09,49.11
328,2018-02-08,48.55
329,2018-02-07,49.95
330,2018-02-06,50.79
331,2018-02-05,50.03
332,2018-02-02,51.50
333,2018-02-01,52.81
334,2018-01-31,53.07
335,2018-01-30,52.91
336,2018-01-29,53.51
337,2018-01-26,54.09
338,2018-01-25,53.77
339,2018-01-24,53.78
340,2018-01-23,53.33
341,2018-01-22,53.46
342,2018-01-19,52.94
343,2018-01-18,52.52
344,2018-01-17,52.60
345,2018-01-16,51.99
346,2018-01-12,52.62
347,2018-01-11,52.30
348,2018-01-10,51.86
349,2018-01-09,52.08
350,2018-01-08,52.26
351,2018-01-05,52.15
352,2018-01-04,51.77
353,2018-01-03,51.42
354,2018-01-02,51.06
355,2017-12-29,50.43
356,2017-12-28,50.02
357,2017-12-27,49.66
358,2017-12-26,49.34
359,2017-12-22,49.57
360,2017-12-21,49.20
361,2017-12-20,48.83
362,2017-12-19,48.51
363,2017-12-18,48.73
364,2017-12-15,48.36
365,2017-12-14,47.95
366,2017-12-13,48.16
367,2017-12-12,47.77
368,2017-12-11,47.98
369,2017-12-08,47.64
370,2017-12-07,47.34
371,2017-12-06,47.25
372,2017-12-05,47.95
373,2017-12-04,47.95
374,2017-12-01,48.03
375,2017-11-30,48.54
376,2017-11-29,48.40
377,2017-11-28,48.63
378,2017-11-27,48.37
379,2017-11-24,48.61
380,2017-11-22,48.56
381,2017-11-21,48.37
382,2017-11-20,48.07
383,2017-11-17,48.05
384,2017-11-16,47.89
385,2017-11-15,47.33
386,2017-11-14,47.57
387,2017-11-13,47.78
388,2017-11-10,47.89
389,2017-11-09,47.97
390,2017-11-08,48.31
391,2017-11-07,48.20
392,2017-11-06,48.53
393,2017-11-03,48.18
394,2017-11-02,48.59
395,2017-11-01,48.39
396,2017-10-31,48.33
397,2017-10-30,47.98
398,2017-10-27,48.23
399,2017-10-26,48.02
400,2017-10-25,48.12
401,2017-10-24,48.07
402,2017-10-23,47.98
403,2017-10-20,48.21
404,2017-10-19,48.04
405,2017-10-18,48.21
406,2017-10-17,48.14
407,2017-10-16,48.45
408,2017-10-13,48.48
409,2017-10-12,48.04
410,2017-10-11,47.95
411,2017-10-10,47.93
412,2017-10-09,47.52
413,2017-10-06,47.65
414,2017-10-05,47.81
415,2017-10-04,47.42
416,2017-10-03,47.39
417,2017-10-02,47.19
418,2017-09-29,47.06
419,2017-09-28,46.73
420,2017-09-27,46.54
