,Date,NAV
1,2019-05-30,32.88
2,2019-05-29,32.56
3,2019-05-28,32.31
4,2019-05-24,32.09
5,2019-05-23,31.94
6,2019-05-22,32.49
7,2019-05-21,32.42
8,2019-05-20,32.14
9,2019-05-17,32.28
10,2019-05-16,33.00
11,2019-05-15,33.27
12,2019-05-14,33.20
13,2019-05-13,32.80
14,2019-05-10,34.13
15,2019-05-09,33.80
16,2019-05-08,34.44
17,2019-05-07,34.43
18,2019-05-06,34.94
19,2019-05-03,35.82
20,2019-05-02,35.29
21,2019-05-01,35.22
22,2019-04-30,35.52
23,2019-04-29,35.34
24,2019-04-26,35.74
25,2019-04-25,35.71
26,2019-04-24,35.76
27,2019-04-23,36.21
28,2019-04-22,36.24
29,2019-04-18,36.32
30,2019-04-17,36.38
31,2019-04-16,36.48
32,2019-04-15,36.10
33,2019-04-12,36.34
34,2019-04-11,36.25
35,2019-04-10,36.74
36,2019-04-09,36.82
37,2019-04-08,36.70
38,2019-04-05,36.54
39,2019-04-04,36.55
40,2019-04-03,36.23
41,2019-04-02,36.05
42,2019-04-01,36.09
43,2019-03-29,35.55
44,2019-03-28,35.35
45,2019-03-27,35.25
46,2019-03-26,35.67
47,2019-03-25,35.47
48,2019-03-22,35.22
49,2019-03-21,36.49
50,2019-03-20,36.70
51,2019-03-19,36.70
52,2019-03-18,36.48
53,2019-03-15,36.05
54,2019-03-14,35.57
55,2019-03-13,35.85
56,2019-03-12,35.57
57,2019-03-11,35.42
58,2019-03-08,34.95
59,2019-03-07,34.97
60,2019-03-06,35.44
61,2019-03-05,35.99
62,2019-03-04,35.57
63,2019-03-01,35.40
64,2019-02-28,35.33
65,2019-02-27,35.66
66,2019-02-26,36.08
67,2019-02-25,36.21
68,2019-02-22,35.83
69,2019-02-21,35.49
70,2019-02-20,35.39
71,2019-02-19,35.31
72,2019-02-15,34.89
73,2019-02-14,34.88
74,2019-02-13,34.63
75,2019-02-12,34.90
76,2019-02-11,34.64
77,2019-02-08,35.02
78,2019-02-07,34.99
79,2019-02-06,35.37
80,2019-02-05,35.79
81,2019-02-04,35.50
82,2019-02-01,35.28
83,2019-01-31,35.57
84,2019-01-30,35.00
85,2019-01-29,34.34
86,2019-01-28,34.27
87,2019-01-25,34.58
88,2019-01-24,34.36
89,2019-01-23,34.19
90,2019-01-22,33.46
91,2019-01-18,33.93
92,2019-01-17,33.90
93,2019-01-16,33.77
94,2019-01-15,33.25
95,2019-01-14,33.21
96,2019-01-11,33.08
97,2019-01-10,33.23
98,2019-01-09,32.97
99,2019-01-08,32.73
100,2019-01-07,32.82
101,2019-01-04,32.55
102,2019-01-03,31.70
103,2019-01-02,32.18
104,2018-12-31,32.19
105,2018-12-28,32.02
106,2018-12-27,32.14
107,2018-12-26,31.98
108,2018-12-24,31.64
109,2018-12-21,31.89
110,2018-12-20,32.48
111,2018-12-19,32.15
112,2018-12-18,32.74
113,2018-12-17,32.77
114,2018-12-14,33.02
115,2018-12-13,33.64
116,2018-12-12,33.41
117,2018-12-11,32.96
118,2018-12-10,32.83
119,2018-12-07,33.27
120,2018-12-06,33.75
121,2018-12-04,33.73
122,2018-12-03,34.51
123,2018-11-30,33.76
124,2018-11-29,33.93
125,2018-11-28,34.07
126,2018-11-27,33.08
127,2018-11-26,32.99
128,2018-11-23,33.46
129,2018-11-21,33.44
130,2018-11-20,33.04
131,2018-11-19,33.71
132,2018-11-16,34.17
133,2018-11-15,34.15
134,2018-11-14,33.55
135,2018-11-13,33.46
136,2018-11-12,33.03
137,2018-11-09,33.37
138,2018-11-08,33.67
139,2018-11-07,34.44
140,2018-11-06,33.74
141,2018-11-05,33.78
142,2018-11-02,33.43
143,2018-11-01,33.25
144,2018-10-31,32.03
145,2018-10-30,32.00
146,2018-10-29,31.29
147,2018-10-26,31.94
148,2018-10-25,32.23
149,2018-10-24,31.71
150,2018-10-23,32.73
151,2018-10-22,33.45
152,2018-10-19,33.13
153,2018-10-18,32.77
154,2018-10-17,33.49
155,2018-10-16,34.02
156,2018-10-15,33.09
157,2018-10-12,33.17
158,2018-10-11,32.38
159,2018-10-10,33.08
160,2018-10-09,33.94
161,2018-10-08,33.99
162,2018-10-05,34.04
163,2018-10-04,34.44
164,2018-10-03,35.04
165,2018-10-02,35.51
166,2018-10-01,35.72
167,2018-09-28,35.65
168,2018-09-27,35.84
169,2018-09-26,35.65
170,2018-09-25,35.61
171,2018-09-24,35.45
172,2018-09-21,35.75
173,2018-09-20,35.53
174,2018-09-19,35.33
175,2018-09-18,35.05
176,2018-09-17,34.74
177,2018-09-14,34.81
178,2018-09-13,34.85
179,2018-09-12,34.54
180,2018-09-11,34.29
181,2018-09-10,34.19
182,2018-09-07,34.94
183,2018-09-06,35.28
184,2018-09-05,35.32
185,2018-09-04,35.61
186,2018-08-31,36.40
187,2018-08-30,36.35
188,2018-08-29,36.93
189,2018-08-28,36.81
190,2018-08-27,36.99
191,2018-08-24,36.42
192,2018-08-23,36.06
193,2018-08-22,36.46
194,2018-08-21,36.42
195,2018-08-20,35.73
196,2018-08-17,35.80
197,2018-08-16,35.74
198,2018-08-15,35.69
199,2018-08-14,36.45
200,2018-08-13,35.76
201,2018-08-10,36.84
202,2018-08-09,38.00
203,2018-08-08,38.15
204,2018-08-07,38.32
205,2018-08-06,37.55
206,2018-08-03,38.02
207,2018-08-02,37.94
208,2018-08-01,38.41
209,2018-07-31,38.59
210,2018-07-30,38.62
211,2018-07-27,38.82
212,2018-07-26,38.53
213,2018-07-25,38.96
214,2018-07-24,38.10
215,2018-07-23,37.65
216,2018-07-20,37.70
217,2018-07-19,37.25
218,2018-07-18,37.82
219,2018-07-17,37.87
220,2018-07-16,37.42
221,2018-07-13,37.81
222,2018-07-12,37.62
223,2018-07-11,37.10
224,2018-07-10,37.81
225,2018-07-09,37.92
226,2018-07-06,37.25
227,2018-07-05,36.83
228,2018-07-03,36.97
229,2018-07-02,37.12
230,2018-06-29,37.31
231,2018-06-28,36.59
232,2018-06-27,36.55
233,2018-06-26,37.23
234,2018-06-25,37.48
235,2018-06-22,37.89
236,2018-06-21,37.89
237,2018-06-20,38.28
238,2018-06-19,38.16
239,2018-06-18,38.57
240,2018-06-15,38.97
241,2018-06-14,39.21
242,2018-06-13,39.61
243,2018-06-12,39.92
244,2018-06-11,40.03
245,2018-06-08,40.11
246,2018-06-07,39.97
247,2018-06-06,40.53
248,2018-06-05,39.82
249,2018-06-04,40.21
250,2018-06-01,39.90
251,2018-05-31,39.85
252,2018-05-30,39.91
253,2018-05-29,39.39
254,2018-05-25,39.71
255,2018-05-24,39.78
256,2018-05-23,40.13
257,2018-05-22,40.06
258,2018-05-21,39.96
259,2018-05-18,39.54
260,2018-05-17,39.62
261,2018-05-16,40.09
262,2018-05-15,39.71
263,2018-05-14,40.18
264,2018-05-11,40.25
265,2018-05-10,40.42
266,2018-05-09,39.72
267,2018-05-08,39.35
268,2018-05-07,39.54
269,2018-05-04,39.85
270,2018-05-03,39.83
271,2018-05-02,39.97
272,2018-05-01,40.16
273,2018-04-30,40.66
274,2018-04-27,41.06
275,2018-04-26,40.95
276,2018-04-25,40.83
277,2018-04-24,41.14
278,2018-04-23,41.32
279,2018-04-20,41.75
280,2018-04-19,42.18
281,2018-04-18,42.28
282,2018-04-17,41.88
283,2018-04-16,42.37
284,2018-04-13,42.47
285,2018-04-12,42.86
286,2018-04-11,42.75
287,2018-04-10,43.02
288,2018-04-09,42.32
289,2018-04-06,42.43
290,2018-04-05,43.06
291,2018-04-04,42.87
292,2018-04-03,42.93
293,2018-04-02,42.26
294,2018-03-29,43.29
295,2018-03-28,42.41
296,2018-03-27,42.76
297,2018-03-26,43.42
298,2018-03-23,42.17
299,2018-03-22,42.82
300,2018-03-21,44.03
301,2018-03-20,43.69
302,2018-03-19,43.20
303,2018-03-16,43.67
304,2018-03-15,43.73
305,2018-03-14,43.71
306,2018-03-13,43.49
307,2018-03-12,43.59
308,2018-03-09,43.49
309,2018-03-08,42.86
310,2018-03-07,42.93
311,2018-03-06,43.03
312,2018-03-05,43.03
313,2018-03-02,43.08
314,2018-03-01,43.13
315,2018-02-28,42.78
316,2018-02-27,43.34
317,2018-02-26,44.55
318,2018-02-23,43.97
319,2018-02-22,43.24
320,2018-02-21,43.01
321,2018-02-20,42.98
322,2018-02-16,43.46
323,2018-02-15,43.41
324,2018-02-14,42.68
325,2018-02-13,41.88
326,2018-02-12,41.45
327,2018-02-09,40.67
328,2018-02-08,40.39
329,2018-02-07,41.41
330,2018-02-06,42.99
331,2018-02-05,42.33
332,2018-02-02,43.63
333,2018-02-01,44.61
334,2018-01-31,44.99
335,2018-01-30,44.76
336,2018-01-29,45.18
337,2018-01-26,45.51
338,2018-01-25,45.01
339,2018-01-24,45.10
340,2018-01-23,44.34
