,Date,NAV
1,2019-05-30,13.03
2,2019-05-29,13.05
3,2019-05-28,13.08
4,2019-05-24,13.04
5,2019-05-23,13.06
6,2019-05-22,13.09
7,2019-05-21,13.11
8,2019-05-20,13.07
9,2019-05-17,13.03
10,2019-05-16,13.13
11,2019-05-15,12.99
12,2019-05-14,13.16
13,2019-05-13,13.00
14,2019-05-10,13.36
15,2019-05-09,13.36
16,2019-05-08,13.53
17,2019-05-07,13.51
18,2019-05-06,13.79
19,2019-05-03,13.94
20,2019-05-02,13.80
21,2019-05-01,13.74
22,2019-04-30,13.85
23,2019-04-29,13.88
24,2019-04-26,13.93
25,2019-04-25,13.78
26,2019-04-24,13.83
27,2019-04-23,13.95
28,2019-04-22,13.93
29,2019-04-18,14.04
30,2019-04-17,14.12
31,2019-04-16,14.05
32,2019-04-15,13.95
33,2019-04-12,14.01
34,2019-04-11,13.91
35,2019-04-10,14.10
36,2019-04-09,14.12
37,2019-04-08,14.10
38,2019-04-05,14.14
39,2019-04-04,14.09
40,2019-04-03,14.07
41,2019-04-02,13.98
42,2019-04-01,14.09
43,2019-03-29,13.91
44,2019-03-28,13.82
45,2019-03-27,13.77
46,2019-03-26,13.83
47,2019-03-25,13.84
48,2019-03-22,13.84
49,2019-03-21,14.08
50,2019-03-20,14.23
51,2019-03-19,14.18
52,2019-03-18,14.21
53,2019-03-15,14.01
54,2019-03-14,13.82
55,2019-03-13,13.84
56,2019-03-12,13.82
57,2019-03-11,13.76
58,2019-03-08,13.53
59,2019-03-07,13.62
60,2019-03-06,13.78
61,2019-03-05,13.89
62,2019-03-04,13.79
63,2019-03-01,13.82
64,2019-02-28,13.72
65,2019-02-27,13.94
66,2019-02-26,14.16
67,2019-02-25,14.16
68,2019-02-22,13.97
69,2019-02-21,13.87
70,2019-02-20,13.82
71,2019-02-19,13.72
72,2019-02-15,13.53
73,2019-02-14,13.55
74,2019-02-13,13.49
75,2019-02-12,13.63
76,2019-02-11,13.47
77,2019-02-08,13.53
78,2019-02-07,13.64
79,2019-02-06,13.71
80,2019-02-05,13.85
81,2019-02-04,13.74
82,2019-02-01,13.79
83,2019-01-31,13.88
84,2019-01-30,13.77
85,2019-01-29,13.56
86,2019-01-28,13.54
87,2019-01-25,13.71
88,2019-01-24,13.49
89,2019-01-23,13.49
90,2019-01-22,13.38
91,2019-01-18,13.62
92,2019-01-17,13.58
93,2019-01-16,13.55
94,2019-01-15,13.35
95,2019-01-14,13.35
96,2019-01-11,13.43
97,2019-01-10,13.51
98,2019-01-09,13.28
99,2019-01-08,13.28
100,2019-01-07,13.29
