,Date,NAV
1,2019-05-30,48.93
2,2019-05-29,48.65
3,2019-05-28,48.31
4,2019-05-24,48.19
5,2019-05-23,48.09
6,2019-05-22,48.76
7,2019-05-21,49.02
8,2019-05-20,48.35
9,2019-05-17,48.55
10,2019-05-16,49.42
11,2019-05-15,49.64
12,2019-05-14,49.54
13,2019-05-13,48.89
14,2019-05-10,50.57
15,2019-05-09,50.26
16,2019-05-08,51.10
17,2019-05-07,51.13
18,2019-05-06,52.15
19,2019-05-03,53.24
20,2019-05-02,52.60
21,2019-05-01,52.45
22,2019-04-30,52.84
23,2019-04-29,52.91
24,2019-04-26,52.82
25,2019-04-25,52.60
26,2019-04-24,52.66
27,2019-04-23,53.44
28,2019-04-22,53.32
29,2019-04-18,53.62
30,2019-04-17,53.71
31,2019-04-16,53.56
32,2019-04-15,53.15
33,2019-04-12,53.35
34,2019-04-11,53.04
35,2019-04-10,53.54
36,2019-04-09,53.30
37,2019-04-08,53.34
38,2019-04-05,53.38
39,2019-04-04,53.01
40,2019-04-03,52.71
41,2019-04-02,52.33
42,2019-04-01,52.51
43,2019-03-29,51.71
44,2019-03-28,51.21
45,2019-03-27,50.81
46,2019-03-26,51.38
47,2019-03-25,51.27
48,2019-03-22,51.09
49,2019-03-21,52.64
50,2019-03-20,52.56
51,2019-03-19,52.46
52,2019-03-18,52.47
53,2019-03-15,51.92
54,2019-03-14,51.21
55,2019-03-13,51.45
56,2019-03-12,51.37
57,2019-03-11,51.10
58,2019-03-08,50.22
59,2019-03-07,50.50
60,2019-03-06,51.44
61,2019-03-05,51.69
62,2019-03-04,51.18
63,2019-03-01,51.07
64,2019-02-28,51.12
65,2019-02-27,51.71
66,2019-02-26,52.13
67,2019-02-25,52.27
68,2019-02-22,51.75
69,2019-02-21,51.18
70,2019-02-20,51.33
71,2019-02-19,50.97
72,2019-02-15,50.64
73,2019-02-14,50.71
74,2019-02-13,50.60
75,2019-02-12,50.98
76,2019-02-11,50.53
77,2019-02-08,50.70
78,2019-02-07,50.97
79,2019-02-06,51.47
80,2019-02-05,52.14
81,2019-02-04,51.49
82,2019-02-01,51.39
83,2019-01-31,51.68
84,2019-01-30,51.33
85,2019-01-29,50.23
86,2019-01-28,50.18
87,2019-01-25,50.69
88,2019-01-24,50.03
89,2019-01-23,49.60
90,2019-01-22,49.14
91,2019-01-18,50.02
92,2019-01-17,49.71
93,2019-01-16,49.55
94,2019-01-15,49.01
95,2019-01-14,48.65
96,2019-01-11,49.03
97,2019-01-10,49.27
98,2019-01-09,48.94
99,2019-01-08,48.07
100,2019-01-07,47.95
101,2019-01-04,47.84
102,2019-01-03,46.41
103,2019-01-02,47.26
104,2018-12-31,47.15
105,2018-12-28,47.25
106,2018-12-27,46.90
107,2018-12-26,46.95
108,2018-12-24,46.02
109,2018-12-21,46.39
110,2018-12-20,46.84
111,2018-12-19,46.41
112,2018-12-18,47.18
113,2018-12-17,46.84
114,2018-12-14,47.28
115,2018-12-13,47.94
116,2018-12-12,47.89
117,2018-12-11,47.15
118,2018-12-10,46.81
119,2018-12-07,47.28
120,2018-12-06,48.21
121,2018-12-04,48.67
122,2018-12-03,49.65
123,2018-11-30,48.58
124,2018-11-29,48.75
125,2018-11-28,49.13
126,2018-11-27,47.98
127,2018-11-26,47.70
128,2018-11-23,47.13
129,2018-11-21,47.67
130,2018-11-20,46.83
131,2018-11-19,47.85
132,2018-11-16,48.47
133,2018-11-15,48.32
134,2018-11-14,47.32
135,2018-11-13,47.05
136,2018-11-12,46.51
137,2018-11-09,47.17
138,2018-11-08,48.03
139,2018-11-07,49.23
140,2018-11-06,48.36
141,2018-11-05,48.47
142,2018-11-02,48.32
143,2018-11-01,48.01
144,2018-10-31,46.41
145,2018-10-30,45.86
146,2018-10-29,45.02
147,2018-10-26,45.85
148,2018-10-25,46.32
149,2018-10-24,45.55
150,2018-10-23,47.02
151,2018-10-22,47.51
152,2018-10-19,47.11
153,2018-10-18,46.61
154,2018-10-17,47.83
155,2018-10-16,48.42
156,2018-10-15,47.25
157,2018-10-12,47.73
158,2018-10-11,46.44
159,2018-10-10,46.97
160,2018-10-09,48.33
161,2018-10-08,48.53
162,2018-10-05,48.45
163,2018-10-04,48.68
164,2018-10-03,49.87
165,2018-10-02,50.26
166,2018-10-01,50.84
167,2018-09-28,50.85
168,2018-09-27,51.17
169,2018-09-26,50.93
170,2018-09-25,50.87
171,2018-09-24,50.60
172,2018-09-21,51.19
173,2018-09-20,51.01
174,2018-09-19,50.48
175,2018-09-18,49.87
176,2018-09-17,49.44
177,2018-09-14,49.82
178,2018-09-13,49.85
179,2018-09-12,49.25
180,2018-09-11,49.03
181,2018-09-10,48.90
182,2018-09-07,49.40
183,2018-09-06,49.66
184,2018-09-05,49.63
185,2018-09-04,50.33
186,2018-08-31,51.37
187,2018-08-30,50.98
188,2018-08-29,52.23
189,2018-08-28,51.99
190,2018-08-27,52.14
191,2018-08-24,51.45
192,2018-08-23,50.60
193,2018-08-22,51.35
194,2018-08-21,50.99
195,2018-08-20,50.39
196,2018-08-17,50.19
197,2018-08-16,49.71
198,2018-08-15,49.38
199,2018-08-14,50.78
200,2018-08-13,50.45
