,Date,NAV
1,2019-05-30,34.10
2,2019-05-29,33.94
3,2019-05-28,33.68
4,2019-05-24,33.67
5,2019-05-23,33.56
6,2019-05-22,34.00
7,2019-05-21,34.15
8,2019-05-20,33.78
9,2019-05-17,33.82
10,2019-05-16,34.42
11,2019-05-15,34.43
12,2019-05-14,34.46
13,2019-05-13,33.97
14,2019-05-10,35.03
15,2019-05-09,34.85
16,2019-05-08,35.32
17,2019-05-07,35.35
18,2019-05-06,36.00
19,2019-05-03,36.71
20,2019-05-02,36.29
21,2019-05-01,36.25
22,2019-04-30,36.46
23,2019-04-29,36.46
24,2019-04-26,36.41
25,2019-04-25,36.35
26,2019-04-24,36.37
27,2019-04-23,36.76
28,2019-04-22,36.68
29,2019-04-18,36.86
30,2019-04-17,36.84
31,2019-04-16,36.77
32,2019-04-15,36.50
33,2019-04-12,36.67
34,2019-04-11,36.48
35,2019-04-10,36.84
36,2019-04-09,36.69
37,2019-04-08,36.71
38,2019-04-05,36.65
39,2019-04-04,36.44
40,2019-04-03,36.33
41,2019-04-02,36.14
42,2019-04-01,36.27
43,2019-03-29,35.76
44,2019-03-28,35.36
45,2019-03-27,35.07
46,2019-03-26,35.47
47,2019-03-25,35.36
48,2019-03-22,35.23
49,2019-03-21,36.26
50,2019-03-20,36.28
51,2019-03-19,36.17
52,2019-03-18,36.11
53,2019-03-15,35.79
54,2019-03-14,35.36
55,2019-03-13,35.47
56,2019-03-12,35.43
57,2019-03-11,35.24
58,2019-03-08,34.67
59,2019-03-07,34.81
60,2019-03-06,35.41
61,2019-03-05,35.62
62,2019-03-04,35.21
63,2019-03-01,35.15
64,2019-02-28,35.12
65,2019-02-27,35.43
66,2019-02-26,35.71
67,2019-02-25,35.76
68,2019-02-22,35.49
69,2019-02-21,35.06
70,2019-02-20,35.11
71,2019-02-19,34.96
72,2019-02-15,34.72
73,2019-02-14,34.76
74,2019-02-13,34.62
75,2019-02-12,34.95
76,2019-02-11,34.60
77,2019-02-08,34.70
78,2019-02-07,34.91
79,2019-02-06,35.18
80,2019-02-05,35.65
81,2019-02-04,35.30
82,2019-02-01,35.24
83,2019-01-31,35.45
84,2019-01-30,35.06
85,2019-01-29,34.39
86,2019-01-28,34.36
87,2019-01-25,34.68
88,2019-01-24,34.40
89,2019-01-23,34.17
90,2019-01-22,33.85
91,2019-01-18,34.40
92,2019-01-17,34.25
93,2019-01-16,34.07
94,2019-01-15,33.72
95,2019-01-14,33.55
96,2019-01-11,33.74
97,2019-01-10,33.93
98,2019-01-09,33.76
99,2019-01-08,33.24
100,2019-01-07,33.08
101,2019-01-04,33.04
102,2019-01-03,32.00
103,2019-01-02,32.48
104,2018-12-31,32.36
105,2018-12-28,32.46
106,2018-12-27,32.18
107,2018-12-26,32.14
108,2018-12-24,31.56
109,2018-12-21,31.77
110,2018-12-20,32.19
111,2018-12-19,31.92
112,2018-12-18,32.40
113,2018-12-17,32.18
114,2018-12-14,32.59
115,2018-12-13,32.99
116,2018-12-12,32.88
117,2018-12-11,32.41
118,2018-12-10,32.17
119,2018-12-07,32.55
120,2018-12-06,33.18
121,2018-12-04,33.37
122,2018-12-03,34.01
123,2018-11-30,33.42
124,2018-11-29,33.41
125,2018-11-28,33.67
126,2018-11-27,32.87
127,2018-11-26,32.64
128,2018-11-23,32.30
129,2018-11-21,32.74
130,2018-11-20,32.14
131,2018-11-19,32.83
132,2018-11-16,33.26
133,2018-11-15,33.08
134,2018-11-14,32.45
135,2018-11-13,32.18
136,2018-11-12,31.82
137,2018-11-09,32.35
138,2018-11-08,32.79
139,2018-11-07,33.67
140,2018-11-06,33.08
141,2018-11-05,33.18
142,2018-11-02,33.08
143,2018-11-01,32.93
144,2018-10-31,31.81
145,2018-10-30,31.42
146,2018-10-29,30.87
147,2018-10-26,31.38
148,2018-10-25,31.65
149,2018-10-24,31.10
150,2018-10-23,32.08
151,2018-10-22,32.37
152,2018-10-19,32.06
153,2018-10-18,31.80
154,2018-10-17,32.60
155,2018-10-16,33.04
156,2018-10-15,32.23
157,2018-10-12,32.51
158,2018-10-11,31.63
159,2018-10-10,31.90
160,2018-10-09,32.81
161,2018-10-08,33.02
162,2018-10-05,32.84
163,2018-10-04,33.04
164,2018-10-03,33.81
165,2018-10-02,34.00
166,2018-10-01,34.36
167,2018-09-28,34.36
168,2018-09-27,34.53
169,2018-09-26,34.30
170,2018-09-25,34.33
171,2018-09-24,34.17
172,2018-09-21,34.56
173,2018-09-20,34.44
174,2018-09-19,34.13
175,2018-09-18,33.71
176,2018-09-17,33.44
177,2018-09-14,33.67
178,2018-09-13,33.62
179,2018-09-12,33.27
180,2018-09-11,33.02
181,2018-09-10,33.09
182,2018-09-07,33.46
183,2018-09-06,33.54
184,2018-09-05,33.58
185,2018-09-04,33.93
186,2018-08-31,34.74
187,2018-08-30,34.58
188,2018-08-29,35.43
189,2018-08-28,35.26
190,2018-08-27,35.42
191,2018-08-24,34.95
192,2018-08-23,34.42
193,2018-08-22,34.91
194,2018-08-21,34.64
195,2018-08-20,34.30
196,2018-08-17,34.18
197,2018-08-16,33.80
198,2018-08-15,33.62
199,2018-08-14,34.67
200,2018-08-13,34.54
201,2018-08-10,35.00
202,2018-08-09,35.66
203,2018-08-08,35.71
204,2018-08-07,35.77
205,2018-08-06,35.48
206,2018-08-03,35.65
207,2018-08-02,35.60
208,2018-08-01,35.95
209,2018-07-31,36.14
210,2018-07-30,36.03
211,2018-07-27,36.06
212,2018-07-26,35.92
213,2018-07-25,36.28
214,2018-07-24,35.74
215,2018-07-23,35.22
216,2018-07-20,35.36
217,2018-07-19,34.84
218,2018-07-18,35.32
219,2018-07-17,35.39
220,2018-07-16,35.09
221,2018-07-13,35.31
222,2018-07-12,35.36
223,2018-07-11,34.81
224,2018-07-10,35.45
225,2018-07-09,35.50
226,2018-07-06,34.89
227,2018-07-05,34.64
228,2018-07-03,34.55
229,2018-07-02,34.43
230,2018-06-29,34.86
231,2018-06-28,34.18
