,Date,NAV
1,2019-05-30,24.50
2,2019-05-29,24.76
3,2019-05-28,24.80
4,2019-05-24,25.05
5,2019-05-23,25.15
6,2019-05-22,25.52
7,2019-05-21,25.58
8,2019-05-20,25.29
9,2019-05-17,25.34
10,2019-05-16,25.44
11,2019-05-15,25.26
12,2019-05-14,25.08
13,2019-05-13,24.95
14,2019-05-10,25.15
15,2019-05-09,24.24
16,2019-05-08,24.54
17,2019-05-07,24.50
18,2019-05-06,24.56
19,2019-05-03,24.60
20,2019-05-02,24.35
21,2019-05-01,24.75
22,2019-04-30,24.68
23,2019-04-29,24.94
24,2019-04-26,24.91
25,2019-04-25,24.83
26,2019-04-24,25.00
27,2019-04-23,25.16
28,2019-04-22,25.22
29,2019-04-18,24.72
30,2019-04-17,24.88
31,2019-04-16,25.10
32,2019-04-15,25.30
33,2019-04-12,25.38
34,2019-04-11,25.17
35,2019-04-10,25.00
36,2019-04-09,25.05
37,2019-04-08,25.32
38,2019-04-05,25.39
39,2019-04-04,25.22
40,2019-04-03,25.29
41,2019-04-02,25.33
42,2019-04-01,25.32
43,2019-03-29,25.10
44,2019-03-28,24.95
45,2019-03-27,24.84
46,2019-03-26,25.01
47,2019-03-25,24.86
48,2019-03-22,25.11
49,2019-03-21,25.48
50,2019-03-20,25.29
51,2019-03-19,25.19
52,2019-03-18,25.05
53,2019-03-15,24.68
54,2019-03-14,24.69
55,2019-03-13,24.70
56,2019-03-12,24.69
57,2019-03-11,24.74
58,2019-03-08,24.38
59,2019-03-07,24.56
60,2019-03-06,24.16
61,2019-03-05,24.37
62,2019-03-04,24.47
63,2019-03-01,24.41
64,2019-02-28,24.24
65,2019-02-27,24.43
66,2019-02-26,24.45
67,2019-02-25,24.77
68,2019-02-22,24.68
69,2019-02-21,24.66
70,2019-02-20,24.97
71,2019-02-19,25.22
72,2019-02-15,24.75
73,2019-02-14,24.65
74,2019-02-13,24.36
75,2019-02-12,24.10
76,2019-02-11,23.64
77,2019-02-08,23.62
78,2019-02-07,23.72
79,2019-02-06,24.26
80,2019-02-05,24.54
81,2019-02-04,24.57
82,2019-02-01,24.42
83,2019-01-31,24.16
84,2019-01-30,24.45
85,2019-01-29,24.09
86,2019-01-28,23.80
87,2019-01-25,23.88
88,2019-01-24,23.69
89,2019-01-23,23.60
90,2019-01-22,23.53
91,2019-01-18,24.16
92,2019-01-17,23.86
93,2019-01-16,23.84
94,2019-01-15,23.82
95,2019-01-14,23.38
96,2019-01-11,23.63
97,2019-01-10,23.92
98,2019-01-09,24.25
99,2019-01-08,24.04
100,2019-01-07,23.48
101,2019-01-04,23.05
102,2019-01-03,22.04
103,2019-01-02,21.80
104,2018-12-31,21.56
105,2018-12-28,21.20
106,2018-12-27,21.26
107,2018-12-26,21.62
108,2018-12-24,20.50
109,2018-12-21,21.41
110,2018-12-20,21.78
111,2018-12-19,22.34
112,2018-12-18,22.17
113,2018-12-17,22.71
114,2018-12-14,23.47
115,2018-12-13,23.70
116,2018-12-12,23.26
117,2018-12-11,23.12
118,2018-12-10,23.08
119,2018-12-07,23.46
120,2018-12-06,23.53
121,2018-12-04,23.71
122,2018-12-03,24.38
123,2018-11-30,23.73
124,2018-11-29,23.95
125,2018-11-28,23.64
126,2018-11-27,23.42
127,2018-11-26,23.54
128,2018-11-23,23.41
129,2018-11-21,23.87
130,2018-11-20,23.43
131,2018-11-19,24.00
132,2018-11-16,24.14
133,2018-11-15,24.06
134,2018-11-14,23.78
135,2018-11-13,23.86
136,2018-11-12,24.26
137,2018-11-09,24.62
138,2018-11-08,24.85
139,2018-11-07,24.84
140,2018-11-06,24.51
141,2018-11-05,24.41
142,2018-11-02,23.96
143,2018-11-01,24.21
144,2018-10-31,23.70
145,2018-10-30,23.80
146,2018-10-29,23.98
147,2018-10-26,24.09
148,2018-10-25,24.47
149,2018-10-24,24.37
150,2018-10-23,25.15
151,2018-10-22,25.50
152,2018-10-19,25.75
153,2018-10-18,25.63
154,2018-10-17,25.78
155,2018-10-16,26.14
156,2018-10-15,25.62
157,2018-10-12,25.66
158,2018-10-11,25.72
159,2018-10-10,26.19
160,2018-10-09,26.68
161,2018-10-08,26.40
162,2018-10-05,26.50
163,2018-10-04,26.47
164,2018-10-03,26.67
165,2018-10-02,26.48
166,2018-10-01,26.60
167,2018-09-28,26.04
168,2018-09-27,25.82
169,2018-09-26,25.66
170,2018-09-25,25.92
171,2018-09-24,26.09
172,2018-09-21,26.40
173,2018-09-20,26.41
174,2018-09-19,26.32
175,2018-09-18,26.47
176,2018-09-17,26.40
177,2018-09-14,26.52
178,2018-09-13,26.63
179,2018-09-12,26.82
180,2018-09-11,26.77
181,2018-09-10,26.51
182,2018-09-07,26.42
183,2018-09-06,26.48
184,2018-09-05,26.76
185,2018-09-04,26.66
186,2018-08-31,26.43
187,2018-08-30,26.58
188,2018-08-29,26.72
189,2018-08-28,26.97
190,2018-08-27,27.32
191,2018-08-24,27.42
192,2018-08-23,27.54
193,2018-08-22,27.52
194,2018-08-21,27.25
195,2018-08-20,27.51
196,2018-08-17,27.25
197,2018-08-16,26.91
198,2018-08-15,26.71
