,Date,NAV
1,2019-05-30,9.66
2,2019-05-29,9.76
3,2019-05-28,9.78
4,2019-05-24,9.87
5,2019-05-23,9.88
6,2019-05-22,10.03
7,2019-05-21,10.07
8,2019-05-20,9.97
9,2019-05-17,10.00
10,2019-05-16,10.00
11,2019-05-15,9.99
12,2019-05-14,9.86
13,2019-05-13,9.79
14,2019-05-10,9.91
15,2019-05-09,9.57
16,2019-05-08,9.69
17,2019-05-07,9.69
18,2019-05-06,9.67
19,2019-05-03,9.70
20,2019-05-02,9.59
21,2019-05-01,9.75
22,2019-04-30,9.74
23,2019-04-29,9.80
24,2019-04-26,9.76
25,2019-04-25,9.76
26,2019-04-24,9.79
27,2019-04-23,9.89
28,2019-04-22,9.87
29,2019-04-18,9.74
30,2019-04-17,9.78
31,2019-04-16,9.86
32,2019-04-15,9.94
33,2019-04-12,9.94
34,2019-04-11,9.87
35,2019-04-10,9.82
36,2019-04-09,9.86
37,2019-04-08,9.93
38,2019-04-05,9.95
39,2019-04-04,9.91
40,2019-04-03,9.94
41,2019-04-02,9.96
42,2019-04-01,9.95
43,2019-03-29,9.83
44,2019-03-28,9.79
45,2019-03-27,9.74
46,2019-03-26,9.82
47,2019-03-25,9.76
48,2019-03-22,9.86
49,2019-03-21,10.00
50,2019-03-20,9.90
51,2019-03-19,9.87
52,2019-03-18,9.81
53,2019-03-15,9.69
54,2019-03-14,9.69
55,2019-03-13,9.69
56,2019-03-12,9.69
57,2019-03-11,9.70
58,2019-03-08,9.57
59,2019-03-07,9.63
60,2019-03-06,9.46
61,2019-03-05,9.58
62,2019-03-04,9.58
63,2019-03-01,9.56
64,2019-02-28,9.50
65,2019-02-27,9.57
66,2019-02-26,9.59
67,2019-02-25,9.71
68,2019-02-22,9.65
69,2019-02-21,9.67
70,2019-02-20,9.78
71,2019-02-19,9.88
72,2019-02-15,9.71
73,2019-02-14,9.67
74,2019-02-13,9.55
75,2019-02-12,9.43
76,2019-02-11,9.27
77,2019-02-08,9.27
78,2019-02-07,9.32
79,2019-02-06,9.52
80,2019-02-05,9.64
81,2019-02-04,9.62
82,2019-02-01,9.55
83,2019-01-31,9.46
84,2019-01-30,9.57
85,2019-01-29,9.43
86,2019-01-28,9.31
87,2019-01-25,9.40
88,2019-01-24,9.29
89,2019-01-23,9.25
90,2019-01-22,9.22
91,2019-01-18,9.48
92,2019-01-17,9.35
93,2019-01-16,9.35
94,2019-01-15,9.33
95,2019-01-14,9.17
96,2019-01-11,9.25
97,2019-01-10,9.37
98,2019-01-09,9.52
99,2019-01-08,9.42
100,2019-01-07,9.19
101,2019-01-04,9.07
102,2019-01-03,8.59
103,2019-01-02,8.54
104,2018-12-31,8.39
105,2018-12-28,8.30
106,2018-12-27,8.33
107,2018-12-26,8.43
108,2018-12-24,8.00
109,2018-12-21,8.38
110,2018-12-20,8.51
111,2018-12-19,8.75
112,2018-12-18,8.64
113,2018-12-17,8.89
114,2018-12-14,9.13
115,2018-12-13,9.26
116,2018-12-12,9.07
