,Date,NAV
1,2019-05-30,15.46
2,2019-05-29,15.61
3,2019-05-28,15.66
4,2019-05-24,15.82
5,2019-05-23,15.75
6,2019-05-22,16.07
7,2019-05-21,16.14
8,2019-05-20,15.92
9,2019-05-17,16.00
10,2019-05-16,16.06
11,2019-05-15,15.94
12,2019-05-14,15.81
13,2019-05-13,15.71
14,2019-05-10,15.84
15,2019-05-09,15.30
16,2019-05-08,15.51
17,2019-05-07,15.49
18,2019-05-06,15.47
19,2019-05-03,15.52
20,2019-05-02,15.37
21,2019-05-01,15.63
22,2019-04-30,15.59
23,2019-04-29,15.73
24,2019-04-26,15.66
25,2019-04-25,15.68
26,2019-04-24,15.72
27,2019-04-23,15.81
28,2019-04-22,15.89
29,2019-04-18,15.60
30,2019-04-17,15.69
31,2019-04-16,15.82
32,2019-04-15,15.93
33,2019-04-12,16.00
34,2019-04-11,15.86
35,2019-04-10,15.76
36,2019-04-09,15.75
37,2019-04-08,15.95
38,2019-04-05,15.96
39,2019-04-04,15.87
40,2019-04-03,15.88
41,2019-04-02,15.95
42,2019-04-01,15.96
43,2019-03-29,15.77
44,2019-03-28,15.71
45,2019-03-27,15.64
46,2019-03-26,15.71
47,2019-03-25,15.65
48,2019-03-22,15.79
49,2019-03-21,16.04
50,2019-03-20,15.93
51,2019-03-19,15.88
52,2019-03-18,15.76
53,2019-03-15,15.51
54,2019-03-14,15.53
55,2019-03-13,15.57
56,2019-03-12,15.57
57,2019-03-11,15.61
58,2019-03-08,15.38
59,2019-03-07,15.43
60,2019-03-06,15.23
61,2019-03-05,15.32
62,2019-03-04,15.38
63,2019-03-01,15.36
64,2019-02-28,15.25
65,2019-02-27,15.36
66,2019-02-26,15.38
67,2019-02-25,15.60
68,2019-02-22,15.54
69,2019-02-21,15.50
70,2019-02-20,15.71
71,2019-02-19,15.84
72,2019-02-15,15.55
73,2019-02-14,15.52
74,2019-02-13,15.36
75,2019-02-12,15.13
76,2019-02-11,14.87
77,2019-02-08,14.84
78,2019-02-07,14.93
79,2019-02-06,15.29
80,2019-02-05,15.46
81,2019-02-04,15.48
82,2019-02-01,15.38
83,2019-01-31,15.21
84,2019-01-30,15.37
85,2019-01-29,15.17
86,2019-01-28,14.98
87,2019-01-25,15.12
88,2019-01-24,14.95
89,2019-01-23,14.86
90,2019-01-22,14.81
91,2019-01-18,15.22
92,2019-01-17,15.02
93,2019-01-16,14.98
94,2019-01-15,15.00
95,2019-01-14,14.76
96,2019-01-11,14.91
97,2019-01-10,15.06
98,2019-01-09,15.32
99,2019-01-08,15.12
100,2019-01-07,14.79
101,2019-01-04,14.49
102,2019-01-03,13.87
103,2019-01-02,13.70
104,2018-12-31,13.52
105,2018-12-28,13.36
106,2018-12-27,13.38
107,2018-12-26,13.63
108,2018-12-24,12.93
109,2018-12-21,13.41
110,2018-12-20,13.67
111,2018-12-19,14.10
112,2018-12-18,13.94
113,2018-12-17,14.26
114,2018-12-14,14.54
115,2018-12-13,14.90
116,2018-12-12,14.62
117,2018-12-11,14.51
118,2018-12-10,14.52
119,2018-12-07,14.76
120,2018-12-06,14.80
121,2018-12-04,14.93
122,2018-12-03,15.31
123,2018-11-30,14.94
124,2018-11-29,15.07
125,2018-11-28,14.88
126,2018-11-27,14.74
127,2018-11-26,14.82
128,2018-11-23,14.68
129,2018-11-21,15.00
130,2018-11-20,14.70
131,2018-11-19,15.08
132,2018-11-16,15.17
133,2018-11-15,15.06
134,2018-11-14,14.95
135,2018-11-13,15.05
136,2018-11-12,15.30
137,2018-11-09,15.47
138,2018-11-08,15.66
139,2018-11-07,15.62
140,2018-11-06,15.46
141,2018-11-05,15.36
142,2018-11-02,15.09
143,2018-11-01,15.25
144,2018-10-31,15.05
145,2018-10-30,14.93
146,2018-10-29,14.91
147,2018-10-26,15.12
148,2018-10-25,15.38
149,2018-10-24,15.30
150,2018-10-23,15.79
151,2018-10-22,16.05
152,2018-10-19,16.19
153,2018-10-18,16.11
154,2018-10-17,16.25
155,2018-10-16,16.44
156,2018-10-15,16.15
157,2018-10-12,16.14
158,2018-10-11,16.21
159,2018-10-10,16.47
