,Date,NAV
1,2019-05-30,44.59
2,2019-05-29,43.55
3,2019-05-28,43.04
4,2019-05-24,42.05
5,2019-05-23,42.15
6,2019-05-22,39.56
7,2019-05-21,38.24
8,2019-05-20,39.12
9,2019-05-17,39.13
10,2019-05-16,38.28
11,2019-05-15,38.64
12,2019-05-14,39.09
13,2019-05-13,40.09
14,2019-05-10,38.86
15,2019-05-09,39.08
16,2019-05-08,39.11
17,2019-05-07,39.12
18,2019-05-06,38.55
19,2019-05-03,38.56
20,2019-05-02,39.27
21,2019-05-01,37.95
22,2019-04-30,36.37
23,2019-04-29,36.24
24,2019-04-26,36.10
25,2019-04-25,35.30
26,2019-04-24,34.99
27,2019-04-23,33.75
28,2019-04-22,33.80
29,2019-04-18,35.29
30,2019-04-17,34.88
31,2019-04-16,34.86
32,2019-04-15,35.24
33,2019-04-12,34.81
34,2019-04-11,35.03
35,2019-04-10,35.07
36,2019-04-09,35.30
37,2019-04-08,34.45
38,2019-04-05,34.77
39,2019-04-04,36.02
40,2019-04-03,36.65
41,2019-04-02,35.88
42,2019-04-01,35.38
43,2019-03-29,36.37
44,2019-03-28,36.29
45,2019-03-27,36.58
46,2019-03-26,36.07
47,2019-03-25,37.12
48,2019-03-22,37.12
49,2019-03-21,35.13
50,2019-03-20,35.50
51,2019-03-19,36.36
52,2019-03-18,36.10
53,2019-03-15,37.21
54,2019-03-14,37.07
55,2019-03-13,37.14
56,2019-03-12,38.00
57,2019-03-11,38.54
58,2019-03-08,39.80
59,2019-03-07,38.34
60,2019-03-06,37.92
61,2019-03-05,36.85
62,2019-03-04,36.64
63,2019-03-01,36.84
64,2019-02-28,38.24
65,2019-02-27,37.45
66,2019-02-26,37.76
67,2019-02-25,37.39
68,2019-02-22,37.53
69,2019-02-21,37.74
70,2019-02-20,36.56
71,2019-02-19,36.84
72,2019-02-15,37.07
73,2019-02-14,38.34
74,2019-02-13,38.56
75,2019-02-12,39.59
76,2019-02-11,40.57
77,2019-02-08,41.09
78,2019-02-07,40.69
79,2019-02-06,38.96
80,2019-02-05,38.39
81,2019-02-04,38.43
82,2019-02-01,38.53
83,2019-01-31,39.86
84,2019-01-30,40.33
