,Date,NAV
1,2019-05-30,16.34
2,2019-05-29,16.97
3,2019-05-28,17.29
4,2019-05-24,17.89
5,2019-05-23,17.83
6,2019-05-22,19.68
7,2019-05-21,20.68
8,2019-05-20,20.02
9,2019-05-17,19.98
10,2019-05-16,20.63
11,2019-05-15,20.31
12,2019-05-14,20.01
13,2019-05-13,19.32
14,2019-05-10,20.30
15,2019-05-09,20.08
16,2019-05-08,20.06
17,2019-05-07,20.06
18,2019-05-06,20.47
19,2019-05-03,20.48
20,2019-05-02,19.98
21,2019-05-01,21.04
22,2019-04-30,22.51
23,2019-04-29,22.54
24,2019-04-26,22.66
25,2019-04-25,23.49
26,2019-04-24,23.71
27,2019-04-23,25.10
28,2019-04-22,25.11
29,2019-04-18,23.64
30,2019-04-17,24.02
31,2019-04-16,24.14
32,2019-04-15,23.67
33,2019-04-12,24.09
34,2019-04-11,23.91
35,2019-04-10,23.92
36,2019-04-09,23.60
37,2019-04-08,24.53
38,2019-04-05,24.20
39,2019-04-04,22.98
40,2019-04-03,22.45
41,2019-04-02,23.13
42,2019-04-01,23.64
43,2019-03-29,22.70
44,2019-03-28,22.85
45,2019-03-27,22.59
46,2019-03-26,23.09
47,2019-03-25,22.12
48,2019-03-22,22.11
49,2019-03-21,24.04
50,2019-03-20,23.56
51,2019-03-19,22.96
52,2019-03-18,23.14
53,2019-03-15,22.21
54,2019-03-14,22.25
55,2019-03-13,22.21
56,2019-03-12,21.52
57,2019-03-11,21.13
58,2019-03-08,20.19
59,2019-03-07,21.41
60,2019-03-06,21.81
61,2019-03-05,22.69
62,2019-03-04,22.90
63,2019-03-01,22.78
64,2019-02-28,21.61
65,2019-02-27,22.29
66,2019-02-26,22.04
67,2019-02-25,22.25
68,2019-02-22,22.15
69,2019-02-21,21.96
70,2019-02-20,23.04
71,2019-02-19,22.76
72,2019-02-15,22.54
73,2019-02-14,21.52
74,2019-02-13,21.32
75,2019-02-12,20.51
76,2019-02-11,19.79
77,2019-02-08,19.51
78,2019-02-07,19.81
79,2019-02-06,21.19
80,2019-02-05,21.68
81,2019-02-04,21.60
82,2019-02-01,21.43
83,2019-01-31,20.36
84,2019-01-30,20.00
85,2019-01-29,19.21
86,2019-01-28,19.03
87,2019-01-25,19.64
88,2019-01-24,18.92
89,2019-01-23,18.60
90,2019-01-22,19.19
91,2019-01-18,20.55
92,2019-01-17,19.42
93,2019-01-16,18.88
94,2019-01-15,18.95
95,2019-01-14,18.78
96,2019-01-11,18.89
97,2019-01-10,19.26
98,2019-01-09,19.08
99,2019-01-08,18.25
100,2019-01-07,17.80
101,2019-01-04,17.10
102,2019-01-03,15.47
103,2019-01-02,15.98
104,2018-12-31,15.07
105,2018-12-28,14.86
106,2018-12-27,15.27
107,2018-12-26,14.97
108,2018-12-24,12.64
109,2018-12-21,14.34
110,2018-12-20,14.82
111,2018-12-19,16.16
112,2018-12-18,16.79
113,2018-12-17,18.03
114,2018-12-14,19.12
115,2018-12-13,20.54
116,2018-12-12,20.34
117,2018-12-11,20.12
118,2018-12-10,20.11
119,2018-12-07,21.13
120,2018-12-06,21.55
121,2018-12-04,22.77
122,2018-12-03,24.88
123,2018-11-30,23.26
124,2018-11-29,23.49
125,2018-11-28,23.07
126,2018-11-27,21.93
127,2018-11-26,22.16
128,2018-11-23,21.12
129,2018-11-21,23.40
130,2018-11-20,22.35
131,2018-11-19,24.77
132,2018-11-16,24.85
133,2018-11-15,24.03
134,2018-11-14,22.95
135,2018-11-13,22.99
136,2018-11-12,24.75
137,2018-11-09,26.48
138,2018-11-08,26.56
139,2018-11-07,28.42
140,2018-11-06,27.10
141,2018-11-05,26.83
142,2018-11-02,25.55
143,2018-11-01,25.70
144,2018-10-31,25.05
145,2018-10-30,24.60
146,2018-10-29,23.06
147,2018-10-26,24.40
148,2018-10-25,24.99
149,2018-10-24,24.18
150,2018-10-23,27.30
151,2018-10-22,29.68
152,2018-10-19,30.68
153,2018-10-18,31.51
154,2018-10-17,32.02
155,2018-10-16,32.66
156,2018-10-15,31.88
157,2018-10-12,32.68
158,2018-10-11,32.42
159,2018-10-10,35.76
160,2018-10-09,40.00
161,2018-10-08,38.88
162,2018-10-05,38.95
163,2018-10-04,38.96
164,2018-10-03,39.60
165,2018-10-02,38.64
166,2018-10-01,38.54
167,2018-09-28,36.89
168,2018-09-27,37.22
169,2018-09-26,37.19
170,2018-09-25,38.27
171,2018-09-24,37.62
172,2018-09-21,36.01
173,2018-09-20,35.31
174,2018-09-19,35.34
175,2018-09-18,35.01
176,2018-09-17,34.30
177,2018-09-14,34.19
178,2018-09-13,33.62
179,2018-09-12,33.62
180,2018-09-11,33.12
181,2018-09-10,32.19
182,2018-09-07,32.27
183,2018-09-06,32.32
184,2018-09-05,34.23
185,2018-09-04,34.35
186,2018-08-31,34.56
187,2018-08-30,35.39
188,2018-08-29,35.70
189,2018-08-28,35.09
190,2018-08-27,35.54
191,2018-08-24,34.77
192,2018-08-23,34.03
193,2018-08-22,34.55
194,2018-08-21,33.34
195,2018-08-20,32.84
196,2018-08-17,32.24
197,2018-08-16,31.96
198,2018-08-15,31.34
199,2018-08-14,34.96
200,2018-08-13,34.75
201,2018-08-10,36.01
202,2018-08-09,35.49
203,2018-08-08,36.50
204,2018-08-07,37.26
205,2018-08-06,36.52
206,2018-08-03,36.19
207,2018-08-02,36.71
208,2018-08-01,37.25
209,2018-07-31,38.86
210,2018-07-30,39.23
211,2018-07-27,38.18
212,2018-07-26,38.75
213,2018-07-25,37.60
214,2018-07-24,36.60
215,2018-07-23,35.30
216,2018-07-20,35.76
217,2018-07-19,36.13
218,2018-07-18,36.16
219,2018-07-17,36.14
220,2018-07-16,36.52
221,2018-07-13,37.85
222,2018-07-12,37.22
223,2018-07-11,37.07
224,2018-07-10,39.56
225,2018-07-09,38.75
226,2018-07-06,37.12
227,2018-07-05,36.43
228,2018-07-03,36.67
229,2018-07-02,35.84
230,2018-06-29,37.62
231,2018-06-28,36.89
232,2018-06-27,37.06
233,2018-06-26,35.61
234,2018-06-25,34.24
235,2018-06-22,36.63
236,2018-06-21,34.43
237,2018-06-20,36.56
238,2018-06-19,36.04
239,2018-06-18,36.34
240,2018-06-15,35.20
241,2018-06-14,37.63
242,2018-06-13,37.83
243,2018-06-12,38.27
244,2018-06-11,39.14
245,2018-06-08,38.72
246,2018-06-07,38.89
247,2018-06-06,37.18
248,2018-06-05,36.63
249,2018-06-04,36.89
250,2018-06-01,37.93
251,2018-05-31,37.36
252,2018-05-30,38.34
253,2018-05-29,35.12
254,2018-05-25,35.48
255,2018-05-24,38.50
256,2018-05-23,40.53
257,2018-05-22,40.49
258,2018-05-21,42.13
259,2018-05-18,41.01
260,2018-05-17,41.97
261,2018-05-16,40.18
262,2018-05-15,39.71
263,2018-05-14,39.71
264,2018-05-11,38.90
265,2018-05-10,38.79
266,2018-05-09,37.92
267,2018-05-08,35.72
268,2018-05-07,34.89
269,2018-05-04,34.76
270,2018-05-03,34.28
271,2018-05-02,34.55
272,2018-05-01,34.09
273,2018-04-30,34.76
274,2018-04-27,34.77
275,2018-04-26,35.98
276,2018-04-25,34.45
277,2018-04-24,33.63
278,2018-04-23,34.73
279,2018-04-20,34.15
280,2018-04-19,34.63
281,2018-04-18,34.51
282,2018-04-17,32.97
283,2018-04-16,32.59
284,2018-04-13,31.61
285,2018-04-12,30.64
286,2018-04-11,30.63
287,2018-04-10,29.71
288,2018-04-09,27.03
289,2018-04-06,26.69
290,2018-04-05,28.21
291,2018-04-04,26.79
292,2018-04-03,26.88
293,2018-04-02,25.27
294,2018-03-29,26.92
295,2018-03-28,25.31
296,2018-03-27,26.90
297,2018-03-26,27.65
298,2018-03-23,26.28
299,2018-03-22,26.75
300,2018-03-21,28.50
301,2018-03-20,26.46
302,2018-03-19,25.77
303,2018-03-16,27.06
304,2018-03-15,26.35
305,2018-03-14,26.79
306,2018-03-13,27.26
307,2018-03-12,27.85
308,2018-03-09,27.90
