,Date,NAV
1,2019-05-30,52.79
2,2019-05-29,50.92
3,2019-05-28,50.02
4,2019-05-24,48.41
5,2019-05-23,48.60
6,2019-05-22,44.38
7,2019-05-21,42.36
8,2019-05-20,43.79
9,2019-05-17,43.91
10,2019-05-16,42.55
11,2019-05-15,43.24
12,2019-05-14,43.89
13,2019-05-13,45.38
14,2019-05-10,43.37
15,2019-05-09,43.85
16,2019-05-08,43.96
17,2019-05-07,43.88
18,2019-05-06,43.04
19,2019-05-03,43.03
20,2019-05-02,44.12
21,2019-05-01,41.86
22,2019-04-30,39.42
23,2019-04-29,39.37
24,2019-04-26,39.18
25,2019-04-25,37.83
26,2019-04-24,37.43
27,2019-04-23,35.51
28,2019-04-22,35.49
29,2019-04-18,37.79
30,2019-04-17,37.20
31,2019-04-16,37.08
32,2019-04-15,37.80
33,2019-04-12,37.09
34,2019-04-11,37.38
35,2019-04-10,37.36
36,2019-04-09,37.87
37,2019-04-08,36.53
38,2019-04-05,37.04
39,2019-04-04,39.07
40,2019-04-03,40.04
41,2019-04-02,38.87
42,2019-04-01,38.04
43,2019-03-29,39.66
44,2019-03-28,39.44
45,2019-03-27,39.88
46,2019-03-26,39.07
47,2019-03-25,40.79
48,2019-03-22,40.85
49,2019-03-21,37.78
50,2019-03-20,38.63
51,2019-03-19,39.68
52,2019-03-18,39.31
53,2019-03-15,40.99
54,2019-03-14,40.95
55,2019-03-13,41.05
56,2019-03-12,42.38
57,2019-03-11,43.16
58,2019-03-08,45.29
59,2019-03-07,42.85
60,2019-03-06,42.02
61,2019-03-05,40.50
62,2019-03-04,40.10
63,2019-03-01,40.33
64,2019-02-28,42.66
65,2019-02-27,41.39
66,2019-02-26,41.85
67,2019-02-25,41.44
68,2019-02-22,41.65
69,2019-02-21,42.00
70,2019-02-20,40.12
71,2019-02-19,40.56
72,2019-02-15,41.00
73,2019-02-14,43.02
74,2019-02-13,43.48
75,2019-02-12,45.20
76,2019-02-11,46.94
77,2019-02-08,47.59
78,2019-02-07,46.93
79,2019-02-06,44.00
80,2019-02-05,43.07
81,2019-02-04,43.24
82,2019-02-01,43.50
83,2019-01-31,45.98
84,2019-01-30,46.85
85,2019-01-29,48.84
86,2019-01-28,49.34
87,2019-01-25,47.84
88,2019-01-24,49.66
89,2019-01-23,50.57
90,2019-01-22,49.02
91,2019-01-18,45.96
92,2019-01-17,48.88
93,2019-01-16,50.28
94,2019-01-15,50.07
95,2019-01-14,50.58
96,2019-01-11,50.24
97,2019-01-10,49.25
98,2019-01-09,49.71
99,2019-01-08,52.17
100,2019-01-07,53.53
101,2019-01-04,55.73
102,2019-01-03,62.38
103,2019-01-02,60.35
104,2018-12-31,64.70
105,2018-12-28,65.27
106,2018-12-27,63.56
107,2018-12-26,64.84
108,2018-12-24,79.77
109,2018-12-21,71.21
110,2018-12-20,69.08
111,2018-12-19,63.70
112,2018-12-18,61.43
113,2018-12-17,57.40
114,2018-12-14,54.32
115,2018-12-13,50.73
116,2018-12-12,51.29
117,2018-12-11,51.87
118,2018-12-10,51.93
119,2018-12-07,49.51
120,2018-12-06,48.54
121,2018-12-04,46.10
122,2018-12-03,42.45
123,2018-11-30,45.58
124,2018-11-29,45.15
125,2018-11-28,46.05
126,2018-11-27,48.55
127,2018-11-26,48.06
128,2018-11-23,50.59
129,2018-11-21,46.08
130,2018-11-20,48.38
131,2018-11-19,44.01
132,2018-11-16,43.83
133,2018-11-15,45.47
134,2018-11-14,47.79
135,2018-11-13,47.62
136,2018-11-12,44.44
137,2018-11-09,41.76
138,2018-11-08,41.59
139,2018-11-07,39.07
140,2018-11-06,41.01
141,2018-11-05,41.43
142,2018-11-02,43.58
143,2018-11-01,43.46
144,2018-10-31,44.53
145,2018-10-30,45.40
146,2018-10-29,48.75
147,2018-10-26,46.16
148,2018-10-25,45.10
149,2018-10-24,46.71
150,2018-10-23,41.87
151,2018-10-22,38.74
152,2018-10-19,37.49
153,2018-10-18,36.52
154,2018-10-17,36.02
155,2018-10-16,35.24
156,2018-10-15,36.19
157,2018-10-12,35.32
158,2018-10-11,35.63
159,2018-10-10,32.52
160,2018-10-09,29.42
161,2018-10-08,30.30
162,2018-10-05,30.27
163,2018-10-04,30.20
164,2018-10-03,29.77
165,2018-10-02,30.51
166,2018-10-01,30.62
167,2018-09-28,32.01
168,2018-09-27,31.74
169,2018-09-26,31.79
170,2018-09-25,30.91
171,2018-09-24,31.43
172,2018-09-21,32.90
173,2018-09-20,33.56
174,2018-09-19,33.51
175,2018-09-18,33.85
176,2018-09-17,34.55
177,2018-09-14,34.71
178,2018-09-13,35.27
179,2018-09-12,35.27
180,2018-09-11,35.83
181,2018-09-10,36.88
182,2018-09-07,36.82
183,2018-09-06,36.80
184,2018-09-05,34.83
185,2018-09-04,34.72
186,2018-08-31,34.50
187,2018-08-30,33.68
188,2018-08-29,33.39
189,2018-08-28,33.99
190,2018-08-27,33.53
191,2018-08-24,34.26
192,2018-08-23,35.08
193,2018-08-22,34.56
194,2018-08-21,35.80
195,2018-08-20,36.39
196,2018-08-17,37.15
197,2018-08-16,37.43
198,2018-08-15,38.25
199,2018-08-14,34.59
200,2018-08-13,34.84
201,2018-08-10,33.60
202,2018-08-09,34.16
203,2018-08-08,33.24
204,2018-08-07,32.50
205,2018-08-06,33.19
206,2018-08-03,33.58
207,2018-08-02,33.10
208,2018-08-01,32.56
209,2018-07-31,31.29
210,2018-07-30,31.02
211,2018-07-27,31.82
212,2018-07-26,31.41
213,2018-07-25,32.37
214,2018-07-24,33.27
215,2018-07-23,34.55
216,2018-07-20,34.16
217,2018-07-19,33.81
218,2018-07-18,33.78
219,2018-07-17,33.83
220,2018-07-16,33.47
221,2018-07-13,32.30
222,2018-07-12,32.81
223,2018-07-11,32.97
224,2018-07-10,31.00
225,2018-07-09,31.66
226,2018-07-06,33.14
227,2018-07-05,33.77
228,2018-07-03,33.52
229,2018-07-02,34.39
230,2018-06-29,32.78
231,2018-06-28,33.42
232,2018-06-27,33.33
233,2018-06-26,34.70
234,2018-06-25,36.19
235,2018-06-22,33.95
236,2018-06-21,36.28
237,2018-06-20,34.30
238,2018-06-19,34.75
239,2018-06-18,34.48
240,2018-06-15,35.64
241,2018-06-14,33.46
242,2018-06-13,33.29
243,2018-06-12,32.90
244,2018-06-11,32.18
245,2018-06-08,32.56
246,2018-06-07,32.37
247,2018-06-06,33.99
248,2018-06-05,34.50
249,2018-06-04,34.21
250,2018-06-01,33.33
251,2018-05-31,33.82
252,2018-05-30,33.00
253,2018-05-29,36.35
254,2018-05-25,36.02
255,2018-05-24,33.40
256,2018-05-23,31.78
257,2018-05-22,31.77
258,2018-05-21,30.59
259,2018-05-18,31.49
260,2018-05-17,30.76
261,2018-05-16,32.20
262,2018-05-15,32.57
263,2018-05-14,32.56
264,2018-05-11,33.24
265,2018-05-10,33.35
266,2018-05-09,34.16
267,2018-05-08,36.37
268,2018-05-07,37.25
269,2018-05-04,37.38
270,2018-05-03,37.90
271,2018-05-02,37.62
272,2018-05-01,38.11
273,2018-04-30,37.45
274,2018-04-27,37.43
275,2018-04-26,36.19
276,2018-04-25,37.89
277,2018-04-24,38.80
278,2018-04-23,37.59
279,2018-04-20,38.30
280,2018-04-19,37.73
281,2018-04-18,37.87
282,2018-04-17,39.73
283,2018-04-16,40.21
284,2018-04-13,41.45
285,2018-04-12,42.85
286,2018-04-11,42.88
287,2018-04-10,44.27
288,2018-04-09,49.13
289,2018-04-06,49.75
290,2018-04-05,47.21
291,2018-04-04,49.88
292,2018-04-03,49.69
293,2018-04-02,53.06
294,2018-03-29,50.14
295,2018-03-28,53.47
296,2018-03-27,252.23
297,2018-03-26,245.55
298,2018-03-23,258.92
299,2018-03-22,254.71
300,2018-03-21,239.61
301,2018-03-20,260.40
302,2018-03-19,266.89
303,2018-03-16,255.03
304,2018-03-15,261.95
305,2018-03-14,258.24
306,2018-03-13,253.30
307,2018-03-12,248.35
308,2018-03-09,247.61
309,2018-03-08,262.93
310,2018-03-07,262.69
311,2018-03-06,256.76
312,2018-03-05,257.25
313,2018-03-02,265.65
314,2018-03-01,269.61
315,2018-02-28,267.63
316,2018-02-27,250.83
317,2018-02-26,240.94
318,2018-02-23,245.64
319,2018-02-22,262.93
320,2018-02-21,271.34
321,2018-02-20,258.49
322,2018-02-16,254.53
323,2018-02-15,252.56
324,2018-02-14,250.58
325,2018-02-13,261.95
326,2018-02-12,258.49
327,2018-02-09,272.32
328,2018-02-08,271.34
329,2018-02-07,248.60
330,2018-02-06,236.74
331,2018-02-05,243.16
332,2018-02-02,215.49
333,2018-02-01,191.27
334,2018-01-31,197.20
335,2018-01-30,197.45
336,2018-01-29,186.33
337,2018-01-26,178.17
338,2018-01-25,181.14
339,2018-01-24,176.69
340,2018-01-23,175.21
341,2018-01-22,174.47
342,2018-01-19,186.57
343,2018-01-18,185.83
344,2018-01-17,181.63
345,2018-01-16,186.08
346,2018-01-12,179.66
347,2018-01-11,184.84
348,2018-01-10,197.20
349,2018-01-09,196.46
350,2018-01-08,194.73
351,2018-01-05,198.19
352,2018-01-04,197.94
353,2018-01-03,201.65
354,2018-01-02,211.29
355,2017-12-29,222.16
356,2017-12-28,220.68
357,2017-12-27,221.42
358,2017-12-26,218.95
359,2017-12-22,224.63
360,2017-12-21,226.11
361,2017-12-20,241.43
362,2017-12-19,252.31
363,2017-12-18,253.05
364,2017-12-15,258.98
365,2017-12-14,258.49
366,2017-12-13,255.52
367,2017-12-12,254.53
368,2017-12-11,252.31
369,2017-12-08,257.99
370,2017-12-07,264.91
371,2017-12-06,267.14
372,2017-12-05,257.50
373,2017-12-04,253.79
374,2017-12-01,253.54
375,2017-11-30,259.97
376,2017-11-29,272.57
377,2017-11-28,277.02
378,2017-11-27,283.69
379,2017-11-24,275.29
380,2017-11-22,277.27
381,2017-11-21,280.97
382,2017-11-20,282.70
383,2017-11-17,280.97
384,2017-11-16,284.68
385,2017-11-15,281.72
386,2017-11-14,272.32
387,2017-11-13,259.72
388,2017-11-10,255.03
389,2017-11-09,251.07
390,2017-11-08,252.80
391,2017-11-07,250.08
392,2017-11-06,248.60
393,2017-11-03,266.89
394,2017-11-02,269.36
395,2017-11-01,266.64
396,2017-10-31,276.03
397,2017-10-30,279.24
398,2017-10-27,283.20
399,2017-10-26,284.93
400,2017-10-25,286.66
401,2017-10-24,280.48
402,2017-10-23,282.46
403,2017-10-20,277.76
404,2017-10-19,279.24
405,2017-10-18,276.77
406,2017-10-17,270.84
407,2017-10-16,271.83
408,2017-10-13,273.56
409,2017-10-12,272.82
410,2017-10-11,269.85
411,2017-10-10,271.34
412,2017-10-09,272.57
413,2017-10-06,274.55
414,2017-10-05,267.38
415,2017-10-04,271.09
416,2017-10-03,270.59
417,2017-10-02,269.61
418,2017-09-29,269.11
419,2017-09-28,269.36
420,2017-09-27,270.35
421,2017-09-26,273.81
422,2017-09-25,272.57
423,2017-09-22,285.42
424,2017-09-21,289.87
425,2017-09-20,289.87
426,2017-09-19,296.30
427,2017-09-18,299.51
428,2017-09-15,303.96
429,2017-09-14,305.69
430,2017-09-13,310.13
431,2017-09-12,322.74
432,2017-09-11,328.17
433,2017-09-08,338.31
434,2017-09-07,327.93
435,2017-09-06,329.66
436,2017-09-05,346.21
437,2017-09-01,351.40
438,2017-08-31,362.28
