,Date,NAV
1,2019-05-30,59.84
2,2019-05-29,59.42
3,2019-05-28,60.13
4,2019-05-24,60.03
5,2019-05-23,59.91
6,2019-05-22,61.22
7,2019-05-21,61.24
8,2019-05-20,60.01
9,2019-05-17,61.49
10,2019-05-16,62.93
11,2019-05-15,62.80
12,2019-05-14,62.04
13,2019-05-13,61.58
14,2019-05-10,63.57
15,2019-05-09,63.66
16,2019-05-08,64.13
17,2019-05-07,64.45
18,2019-05-06,65.25
19,2019-05-03,66.19
20,2019-05-02,65.21
21,2019-05-01,65.12
22,2019-04-30,65.94
23,2019-04-29,65.90
24,2019-04-26,65.11
25,2019-04-25,65.46
26,2019-04-24,66.57
27,2019-04-23,66.35
28,2019-04-22,65.88
29,2019-04-18,66.29
30,2019-04-17,66.38
31,2019-04-16,66.16
32,2019-04-15,65.40
33,2019-04-12,65.50
34,2019-04-11,65.00
35,2019-04-10,65.40
36,2019-04-09,64.60
37,2019-04-08,65.06
38,2019-04-05,65.00
39,2019-04-04,64.38
40,2019-04-03,64.50
41,2019-04-02,63.67
42,2019-04-01,63.58
43,2019-03-29,62.19
44,2019-03-28,61.57
45,2019-03-27,61.37
46,2019-03-26,61.18
47,2019-03-25,60.85
48,2019-03-22,61.11
49,2019-03-21,63.32
50,2019-03-20,63.20
51,2019-03-19,62.97
52,2019-03-18,62.91
53,2019-03-15,63.09
54,2019-03-14,62.63
55,2019-03-13,62.89
56,2019-03-12,62.80
57,2019-03-11,62.27
58,2019-03-08,61.04
59,2019-03-07,61.27
60,2019-03-06,61.95
61,2019-03-05,62.88
62,2019-03-04,63.13
63,2019-03-01,63.14
64,2019-02-28,63.52
65,2019-02-27,63.85
66,2019-02-26,63.85
67,2019-02-25,63.98
68,2019-02-22,63.92
69,2019-02-21,63.30
70,2019-02-20,63.72
71,2019-02-19,63.78
72,2019-02-15,63.10
73,2019-02-14,62.88
74,2019-02-13,62.71
75,2019-02-12,62.57
76,2019-02-11,61.61
77,2019-02-08,61.34
78,2019-02-07,61.17
79,2019-02-06,62.86
80,2019-02-05,62.40
81,2019-02-04,61.75
82,2019-02-01,61.14
83,2019-01-31,61.02
84,2019-01-30,60.63
85,2019-01-29,59.35
86,2019-01-28,58.70
87,2019-01-25,59.50
88,2019-01-24,58.60
89,2019-01-23,57.56
90,2019-01-22,57.71
91,2019-01-18,58.83
92,2019-01-17,58.96
93,2019-01-16,58.25
94,2019-01-15,57.73
95,2019-01-14,57.69
96,2019-01-11,58.38
97,2019-01-10,57.91
98,2019-01-09,57.66
99,2019-01-08,56.71
100,2019-01-07,56.01
101,2019-01-04,55.15
102,2019-01-03,53.55
103,2019-01-02,54.62
104,2018-12-31,54.60
105,2018-12-28,54.69
106,2018-12-27,54.28
107,2018-12-26,54.51
108,2018-12-24,51.82
109,2018-12-21,53.34
110,2018-12-20,53.98
111,2018-12-19,54.98
112,2018-12-18,56.05
113,2018-12-17,56.17
114,2018-12-14,57.48
115,2018-12-13,58.23
116,2018-12-12,58.02
117,2018-12-11,57.09
118,2018-12-10,57.12
119,2018-12-07,57.13
120,2018-12-06,57.76
121,2018-12-04,58.65
122,2018-12-03,60.11
123,2018-11-30,58.43
124,2018-11-29,58.81
125,2018-11-28,58.99
126,2018-11-27,57.90
127,2018-11-26,57.48
128,2018-11-23,56.48
129,2018-11-21,56.64
130,2018-11-20,55.96
131,2018-11-19,56.99
132,2018-11-16,57.88
