,Date,NAV
1,2019-05-30,52.55
2,2019-05-29,53.71
3,2019-05-28,53.79
4,2019-05-24,54.18
5,2019-05-23,54.19
6,2019-05-22,56.99
7,2019-05-21,58.54
8,2019-05-20,57.41
9,2019-05-17,57.56
10,2019-05-16,58.48
11,2019-05-15,57.83
12,2019-05-14,57.56
13,2019-05-13,56.55
14,2019-05-10,57.71
15,2019-05-09,57.32
16,2019-05-08,57.61
17,2019-05-07,57.39
18,2019-05-06,58.03
19,2019-05-03,58.01
20,2019-05-02,57.04
21,2019-05-01,58.55
22,2019-04-30,60.03
23,2019-04-29,60.37
24,2019-04-26,60.41
25,2019-04-25,61.27
26,2019-04-24,61.75
27,2019-04-23,62.57
28,2019-04-22,62.69
29,2019-04-18,61.13
30,2019-04-17,61.26
31,2019-04-16,61.18
32,2019-04-15,60.94
33,2019-04-12,61.70
34,2019-04-11,59.10
35,2019-04-10,59.49
36,2019-04-09,58.71
37,2019-04-08,59.69
38,2019-04-05,59.45
39,2019-04-04,57.76
40,2019-04-03,57.27
41,2019-04-02,58.15
42,2019-04-01,58.91
43,2019-03-29,58.18
44,2019-03-28,58.43
45,2019-03-27,58.35
46,2019-03-26,58.60
47,2019-03-25,57.38
48,2019-03-22,57.29
49,2019-03-21,59.39
50,2019-03-20,58.86
51,2019-03-19,57.81
52,2019-03-18,58.12
53,2019-03-15,57.09
54,2019-03-14,57.10
55,2019-03-13,56.93
56,2019-03-12,56.05
57,2019-03-11,55.31
58,2019-03-08,54.27
59,2019-03-07,56.12
60,2019-03-06,56.64
61,2019-03-05,57.77
62,2019-03-04,58.34
63,2019-03-01,58.12
64,2019-02-28,57.02
65,2019-02-27,57.90
66,2019-02-26,57.81
67,2019-02-25,58.25
68,2019-02-22,58.29
69,2019-02-21,58.00
70,2019-02-20,59.38
71,2019-02-19,59.28
72,2019-02-15,59.28
73,2019-02-14,58.12
74,2019-02-13,57.57
75,2019-02-12,56.55
76,2019-02-11,55.94
77,2019-02-08,55.36
78,2019-02-07,55.81
79,2019-02-06,57.93
80,2019-02-05,58.60
81,2019-02-04,58.93
82,2019-02-01,58.51
83,2019-01-31,58.38
84,2019-01-30,58.30
85,2019-01-29,57.23
86,2019-01-28,56.93
87,2019-01-25,57.64
88,2019-01-24,56.56
89,2019-01-23,56.52
90,2019-01-22,57.13
91,2019-01-18,59.05
92,2019-01-17,58.18
93,2019-01-16,57.48
94,2019-01-15,57.51
95,2019-01-14,57.23
96,2019-01-11,57.15
97,2019-01-10,57.70
98,2019-01-09,57.45
99,2019-01-08,56.12
100,2019-01-07,55.52
101,2019-01-04,54.53
102,2019-01-03,52.27
103,2019-01-02,52.75
104,2018-12-31,51.43
105,2018-12-28,50.96
106,2018-12-27,51.70
107,2018-12-26,51.36
108,2018-12-24,47.47
109,2018-12-21,49.79
110,2018-12-20,50.62
111,2018-12-19,52.18
112,2018-12-18,52.64
113,2018-12-17,53.78
114,2018-12-14,55.21
115,2018-12-13,56.98
116,2018-12-12,57.19
117,2018-12-11,56.73
118,2018-12-10,56.72
119,2018-12-07,57.95
120,2018-12-06,58.34
121,2018-12-04,59.47
122,2018-12-03,61.50
123,2018-11-30,59.77
124,2018-11-29,60.28
125,2018-11-28,59.79
126,2018-11-27,58.93
127,2018-11-26,59.42
128,2018-11-23,58.24
129,2018-11-21,60.53
130,2018-11-20,59.09
131,2018-11-19,61.46
132,2018-11-16,61.98
133,2018-11-15,61.46
134,2018-11-14,60.23
135,2018-11-13,60.25
136,2018-11-12,61.78
137,2018-11-09,63.77
138,2018-11-08,63.67
139,2018-11-07,65.96
140,2018-11-06,64.40
141,2018-11-05,64.62
142,2018-11-02,63.25
143,2018-11-01,64.75
144,2018-10-31,63.91
145,2018-10-30,63.29
146,2018-10-29,61.66
147,2018-10-26,63.44
148,2018-10-25,64.04
149,2018-10-24,62.93
150,2018-10-23,66.44
151,2018-10-22,68.80
152,2018-10-19,69.52
153,2018-10-18,71.02
154,2018-10-17,71.72
155,2018-10-16,72.91
156,2018-10-15,72.01
157,2018-10-12,72.41
158,2018-10-11,71.53
159,2018-10-10,73.73
160,2018-10-09,77.19
161,2018-10-08,76.35
162,2018-10-05,76.77
163,2018-10-04,76.79
164,2018-10-03,77.63
165,2018-10-02,76.10
166,2018-10-01,76.42
167,2018-09-28,75.17
168,2018-09-27,75.20
169,2018-09-26,74.94
170,2018-09-25,75.86
171,2018-09-24,75.22
172,2018-09-21,73.64
173,2018-09-20,72.95
174,2018-09-19,73.14
175,2018-09-18,73.26
176,2018-09-17,72.37
177,2018-09-14,72.48
178,2018-09-13,72.14
179,2018-09-12,72.17
180,2018-09-11,71.51
181,2018-09-10,70.60
182,2018-09-07,70.56
183,2018-09-06,71.04
184,2018-09-05,72.79
185,2018-09-04,73.19
186,2018-08-31,73.62
187,2018-08-30,74.06
188,2018-08-29,74.11
