,Date,NAV
1,2019-05-30,19.98
2,2019-05-29,20.44
3,2019-05-28,20.45
4,2019-05-24,20.57
5,2019-05-23,20.85
6,2019-05-22,21.89
7,2019-05-21,22.65
8,2019-05-20,22.33
9,2019-05-17,22.41
10,2019-05-16,23.05
11,2019-05-15,22.82
12,2019-05-14,22.64
13,2019-05-13,21.94
14,2019-05-10,22.83
15,2019-05-09,23.18
16,2019-05-08,23.27
17,2019-05-07,23.46
18,2019-05-06,24.02
19,2019-05-03,24.02
20,2019-05-02,23.67
21,2019-05-01,23.78
22,2019-04-30,24.51
23,2019-04-29,25.28
24,2019-04-26,25.31
25,2019-04-25,25.39
26,2019-04-24,26.04
27,2019-04-23,27.00
28,2019-04-22,26.94
29,2019-04-18,26.34
30,2019-04-17,26.71
31,2019-04-16,26.79
32,2019-04-15,26.27
33,2019-04-12,26.31
34,2019-04-11,26.33
35,2019-04-10,26.43
36,2019-04-09,26.21
37,2019-04-08,26.57
38,2019-04-05,26.33
39,2019-04-04,25.71
40,2019-04-03,25.41
41,2019-04-02,25.72
42,2019-04-01,25.97
43,2019-03-29,25.26
44,2019-03-28,25.30
45,2019-03-27,24.88
46,2019-03-26,25.03
47,2019-03-25,24.74
48,2019-03-22,24.77
49,2019-03-21,26.01
50,2019-03-20,26.01
51,2019-03-19,25.56
52,2019-03-18,25.68
53,2019-03-15,24.85
54,2019-03-14,25.05
55,2019-03-13,24.89
56,2019-03-12,24.52
57,2019-03-11,24.06
58,2019-03-08,23.44
59,2019-03-07,23.98
60,2019-03-06,24.41
61,2019-03-05,25.22
62,2019-03-04,25.54
63,2019-03-01,25.43
64,2019-02-28,24.96
65,2019-02-27,25.24
66,2019-02-26,25.14
67,2019-02-25,25.46
68,2019-02-22,25.31
69,2019-02-21,25.39
70,2019-02-20,26.22
71,2019-02-19,25.84
72,2019-02-15,25.65
73,2019-02-14,25.04
74,2019-02-13,24.86
75,2019-02-12,24.74
76,2019-02-11,24.41
77,2019-02-08,24.00
78,2019-02-07,24.22
79,2019-02-06,25.25
80,2019-02-05,25.30
81,2019-02-04,25.24
82,2019-02-01,24.87
83,2019-01-31,24.36
84,2019-01-30,24.63
