,Date,NAV
1,2019-05-30,32.40
2,2019-05-29,32.81
3,2019-05-28,32.96
4,2019-05-24,33.33
5,2019-05-23,33.27
6,2019-05-22,34.42
7,2019-05-21,35.02
8,2019-05-20,34.59
9,2019-05-17,34.60
10,2019-05-16,35.00
11,2019-05-15,34.84
12,2019-05-14,34.62
13,2019-05-13,34.18
14,2019-05-10,34.79
15,2019-05-09,34.62
16,2019-05-08,34.64
17,2019-05-07,34.63
18,2019-05-06,34.90
19,2019-05-03,34.88
20,2019-05-02,34.55
21,2019-05-01,35.16
22,2019-04-30,35.94
23,2019-04-29,35.99
24,2019-04-26,36.09
25,2019-04-25,36.51
26,2019-04-24,36.66
27,2019-04-23,37.32
28,2019-04-22,37.31
29,2019-04-18,36.55
30,2019-04-17,36.71
31,2019-04-16,36.80
32,2019-04-15,36.53
33,2019-04-12,36.78
34,2019-04-11,36.65
35,2019-04-10,36.68
36,2019-04-09,36.53
37,2019-04-08,36.98
38,2019-04-05,36.80
39,2019-04-04,36.16
40,2019-04-03,35.85
41,2019-04-02,36.25
42,2019-04-01,36.50
43,2019-03-29,36.03
44,2019-03-28,36.05
45,2019-03-27,35.89
46,2019-03-26,36.14
47,2019-03-25,35.65
48,2019-03-22,35.63
49,2019-03-21,36.65
50,2019-03-20,36.41
51,2019-03-19,36.06
52,2019-03-18,36.17
53,2019-03-15,35.64
54,2019-03-14,35.68
55,2019-03-13,35.65
56,2019-03-12,35.28
57,2019-03-11,35.00
58,2019-03-08,34.45
59,2019-03-07,35.14
60,2019-03-06,35.33
61,2019-03-05,35.83
62,2019-03-04,35.94
63,2019-03-01,35.83
64,2019-02-28,35.21
65,2019-02-27,35.56
66,2019-02-26,35.39
67,2019-02-25,35.57
68,2019-02-22,35.52
69,2019-02-21,35.41
70,2019-02-20,36.01
71,2019-02-19,35.85
72,2019-02-15,35.75
73,2019-02-14,35.13
74,2019-02-13,35.03
75,2019-02-12,34.57
76,2019-02-11,34.13
77,2019-02-08,33.95
78,2019-02-07,34.10
79,2019-02-06,34.90
80,2019-02-05,35.15
81,2019-02-04,35.17
82,2019-02-01,35.06
83,2019-01-31,34.48
84,2019-01-30,34.32
85,2019-01-29,33.82
86,2019-01-28,33.70
87,2019-01-25,34.07
88,2019-01-24,33.61
89,2019-01-23,33.42
90,2019-01-22,33.77
91,2019-01-18,34.58
92,2019-01-17,33.95
93,2019-01-16,33.62
94,2019-01-15,33.65
95,2019-01-14,33.52
96,2019-01-11,33.60
97,2019-01-10,33.82
98,2019-01-09,33.74
99,2019-01-08,33.23
100,2019-01-07,32.93
101,2019-01-04,32.43
102,2019-01-03,31.28
103,2019-01-02,31.58
104,2018-12-31,30.93
105,2018-12-28,30.75
106,2018-12-27,31.07
107,2018-12-26,30.89
108,2018-12-24,29.05
109,2018-12-21,30.27
110,2018-12-20,30.58
111,2018-12-19,31.48
112,2018-12-18,31.90
113,2018-12-17,32.67
114,2018-12-14,33.31
115,2018-12-13,34.17
116,2018-12-12,34.10
117,2018-12-11,33.95
118,2018-12-10,33.95
119,2018-12-07,34.53
120,2018-12-06,34.73
121,2018-12-04,35.40
122,2018-12-03,36.47
123,2018-11-30,35.62
124,2018-11-29,35.77
125,2018-11-28,35.56
126,2018-11-27,34.98
127,2018-11-26,35.10
128,2018-11-23,34.54
129,2018-11-21,35.65
130,2018-11-20,35.08
131,2018-11-19,36.29
132,2018-11-16,36.36
133,2018-11-15,35.99
134,2018-11-14,35.43
135,2018-11-13,35.46
136,2018-11-12,36.34
137,2018-11-09,37.17
138,2018-11-08,37.23
139,2018-11-07,38.10
140,2018-11-06,37.48
141,2018-11-05,37.38
142,2018-11-02,36.75
143,2018-11-01,36.86
144,2018-10-31,36.51
145,2018-10-30,36.25
146,2018-10-29,35.43
147,2018-10-26,36.20
148,2018-10-25,36.47
149,2018-10-24,36.06
150,2018-10-23,37.56
151,2018-10-22,38.62
152,2018-10-19,39.07
153,2018-10-18,39.38
154,2018-10-17,39.62
155,2018-10-16,39.93
156,2018-10-15,39.55
157,2018-10-12,39.79
158,2018-10-11,39.64
159,2018-10-10,40.88
160,2018-10-09,42.44
161,2018-10-08,42.04
162,2018-10-05,42.05
163,2018-10-04,42.10
164,2018-10-03,42.37
165,2018-10-02,41.97
166,2018-10-01,41.95
167,2018-09-28,41.36
168,2018-09-27,41.42
169,2018-09-26,41.37
170,2018-09-25,41.83
171,2018-09-24,41.57
172,2018-09-21,40.94
173,2018-09-20,40.69
174,2018-09-19,40.67
175,2018-09-18,40.49
176,2018-09-17,40.16
177,2018-09-14,40.15
178,2018-09-13,39.93
179,2018-09-12,39.95
180,2018-09-11,39.71
181,2018-09-10,39.27
182,2018-09-07,39.28
183,2018-09-06,39.29
184,2018-09-05,40.08
185,2018-09-04,40.14
186,2018-08-31,40.27
187,2018-08-30,40.57
188,2018-08-29,40.70
189,2018-08-28,40.44
190,2018-08-27,40.62
191,2018-08-24,40.35
192,2018-08-23,40.04
193,2018-08-22,40.26
194,2018-08-21,39.76
195,2018-08-20,39.49
196,2018-08-17,39.23
197,2018-08-16,39.12
198,2018-08-15,38.81
199,2018-08-14,40.27
200,2018-08-13,40.13
201,2018-08-10,40.65
202,2018-08-09,40.44
203,2018-08-08,40.81
204,2018-08-07,41.11
205,2018-08-06,40.84
206,2018-08-03,40.67
207,2018-08-02,40.88
208,2018-08-01,41.05
209,2018-07-31,41.57
210,2018-07-30,41.70
211,2018-07-27,41.29
212,2018-07-26,41.55
213,2018-07-25,41.16
214,2018-07-24,40.81
215,2018-07-23,40.31
216,2018-07-20,40.50
217,2018-07-19,40.65
218,2018-07-18,40.62
219,2018-07-17,40.60
220,2018-07-16,40.75
221,2018-07-13,41.27
222,2018-07-12,41.05
223,2018-07-11,40.97
224,2018-07-10,41.90
225,2018-07-09,41.60
226,2018-07-06,40.98
227,2018-07-05,40.68
228,2018-07-03,40.78
229,2018-07-02,40.43
230,2018-06-29,41.11
231,2018-06-28,40.83
232,2018-06-27,40.90
233,2018-06-26,40.36
234,2018-06-25,39.73
235,2018-06-22,40.67
236,2018-06-21,39.72
237,2018-06-20,40.54
238,2018-06-19,40.29
239,2018-06-18,40.37
240,2018-06-15,39.88
241,2018-06-14,40.78
242,2018-06-13,40.90
243,2018-06-12,41.05
244,2018-06-11,41.33
245,2018-06-08,41.21
246,2018-06-07,41.28
247,2018-06-06,40.62
248,2018-06-05,40.45
249,2018-06-04,40.54
250,2018-06-01,40.96
251,2018-05-31,40.82
252,2018-05-30,41.18
253,2018-05-29,39.89
254,2018-05-25,39.96
255,2018-05-24,41.03
256,2018-05-23,41.73
257,2018-05-22,41.76
258,2018-05-21,42.33
259,2018-05-18,41.91
260,2018-05-17,42.24
261,2018-05-16,41.60
262,2018-05-15,41.39
263,2018-05-14,41.39
264,2018-05-11,41.08
265,2018-05-10,41.07
266,2018-05-09,40.78
267,2018-05-08,39.99
268,2018-05-07,39.62
269,2018-05-04,39.52
270,2018-05-03,39.26
271,2018-05-02,39.39
272,2018-05-01,39.21
273,2018-04-30,39.47
274,2018-04-27,39.46
275,2018-04-26,39.92
276,2018-04-25,39.35
277,2018-04-24,38.99
278,2018-04-23,39.43
279,2018-04-20,39.20
280,2018-04-19,39.42
281,2018-04-18,39.38
282,2018-04-17,38.73
283,2018-04-16,38.55
284,2018-04-13,38.18
285,2018-04-12,37.73
286,2018-04-11,37.75
287,2018-04-10,37.33
288,2018-04-09,36.12
289,2018-04-06,35.95
290,2018-04-05,36.67
291,2018-04-04,35.98
292,2018-04-03,36.02
293,2018-04-02,35.27
294,2018-03-29,36.03
295,2018-03-28,35.29
296,2018-03-27,35.95
297,2018-03-26,36.33
298,2018-03-23,35.70
299,2018-03-22,35.91
300,2018-03-21,36.66
301,2018-03-20,35.68
302,2018-03-19,35.37
303,2018-03-16,35.96
304,2018-03-15,35.63
305,2018-03-14,35.82
306,2018-03-13,36.04
307,2018-03-12,36.29
308,2018-03-09,36.27
309,2018-03-08,35.60
310,2018-03-07,35.62
311,2018-03-06,35.94
312,2018-03-05,35.94
313,2018-03-02,35.52
314,2018-03-01,35.29
315,2018-02-28,35.34
316,2018-02-27,36.16
317,2018-02-26,36.68
318,2018-02-23,36.47
319,2018-02-22,35.68
320,2018-02-21,35.26
321,2018-02-20,35.86
322,2018-02-16,36.07
323,2018-02-15,36.14
324,2018-02-14,36.22
325,2018-02-13,35.68
326,2018-02-12,35.83
327,2018-02-09,35.21
328,2018-02-08,35.22
329,2018-02-07,36.37
330,2018-02-06,37.00
331,2018-02-05,36.69
332,2018-02-02,38.28
333,2018-02-01,39.99
334,2018-01-31,39.56
335,2018-01-30,39.52
336,2018-01-29,40.37
337,2018-01-26,41.01
338,2018-01-25,40.77
339,2018-01-24,41.13
340,2018-01-23,41.25
341,2018-01-22,41.29
342,2018-01-19,40.43
343,2018-01-18,40.47
344,2018-01-17,40.80
345,2018-01-16,40.48
346,2018-01-12,41.00
347,2018-01-11,40.65
348,2018-01-10,39.84
349,2018-01-09,39.90
350,2018-01-08,40.01
351,2018-01-05,39.77
352,2018-01-04,39.80
353,2018-01-03,39.58
354,2018-01-02,39.01
355,2017-12-29,38.36
356,2017-12-28,38.45
357,2017-12-27,38.37
358,2017-12-26,38.54
359,2017-12-22,38.19
360,2017-12-21,38.10
361,2017-12-20,37.28
362,2017-12-19,36.72
363,2017-12-18,36.69
364,2017-12-15,36.40
365,2017-12-14,36.44
366,2017-12-13,36.61
367,2017-12-12,36.67
368,2017-12-11,36.81
369,2017-12-08,36.49
370,2017-12-07,36.19
371,2017-12-06,36.03
372,2017-12-05,36.54
373,2017-12-04,36.73
374,2017-12-01,36.77
375,2017-11-30,36.45
376,2017-11-29,35.84
377,2017-11-28,35.67
378,2017-11-27,35.40
379,2017-11-24,35.79
380,2017-11-22,35.71
381,2017-11-21,35.51
382,2017-11-20,35.46
383,2017-11-17,35.53
384,2017-11-16,35.34
385,2017-11-15,35.46
386,2017-11-14,35.87
387,2017-11-13,36.50
388,2017-11-10,36.74
389,2017-11-09,36.91
390,2017-11-08,36.78
391,2017-11-07,36.95
392,2017-11-06,37.04
393,2017-11-03,36.19
394,2017-11-02,36.03
395,2017-11-01,36.15
396,2017-10-31,35.70
397,2017-10-30,35.58
398,2017-10-27,35.41
399,2017-10-26,35.23
400,2017-10-25,35.16
401,2017-10-24,35.43
402,2017-10-23,35.32
403,2017-10-20,35.59
404,2017-10-19,35.50
405,2017-10-18,35.65
406,2017-10-17,35.90
407,2017-10-16,35.89
408,2017-10-13,35.85
409,2017-10-12,35.85
410,2017-10-11,35.99
411,2017-10-10,35.91
412,2017-10-09,35.87
413,2017-10-06,35.75
414,2017-10-05,36.12
415,2017-10-04,35.93
416,2017-10-03,35.98
417,2017-10-02,35.99
418,2017-09-29,36.02
419,2017-09-28,36.02
420,2017-09-27,35.98
421,2017-09-26,35.79
422,2017-09-25,35.88
423,2017-09-22,35.31
424,2017-09-21,35.12
425,2017-09-20,35.20
426,2017-09-19,34.89
427,2017-09-18,34.78
428,2017-09-15,34.63
429,2017-09-14,34.56
430,2017-09-13,34.40
431,2017-09-12,33.93
432,2017-09-11,33.73
433,2017-09-08,33.37
434,2017-09-07,33.77
435,2017-09-06,33.74
436,2017-09-05,33.21
437,2017-09-01,33.02
438,2017-08-31,32.72
439,2017-08-30,32.50
440,2017-08-29,32.52
441,2017-08-28,32.52
442,2017-08-25,32.68
443,2017-08-24,32.52
444,2017-08-23,32.54
445,2017-08-22,32.39
446,2017-08-21,32.13
447,2017-08-18,32.37
448,2017-08-17,32.13
449,2017-08-16,32.58
450,2017-08-15,32.92
451,2017-08-14,33.04
452,2017-08-11,33.15
453,2017-08-10,33.34
454,2017-08-09,33.73
455,2017-08-08,33.71
456,2017-08-07,33.80
457,2017-08-04,34.12
458,2017-08-03,33.92
459,2017-08-02,34.42
460,2017-08-01,34.56
461,2017-07-31,34.55
462,2017-07-28,34.50
463,2017-07-27,34.60
464,2017-07-26,34.24
465,2017-07-25,34.23
466,2017-07-24,33.76
467,2017-07-21,33.88
468,2017-07-20,34.20
469,2017-07-19,34.33
470,2017-07-18,33.80
471,2017-07-17,33.96
472,2017-07-14,34.04
473,2017-07-13,33.85
474,2017-07-12,33.66
475,2017-07-11,33.57
