,Date,NAV
1,2019-05-30,12.59
2,2019-05-29,12.64
3,2019-05-28,12.62
4,2019-05-24,12.58
5,2019-05-23,12.55
6,2019-05-22,12.67
7,2019-05-21,12.73
8,2019-05-20,12.62
9,2019-05-17,12.63
10,2019-05-16,12.82
11,2019-05-15,12.85
12,2019-05-14,12.88
13,2019-05-13,12.75
14,2019-05-10,13.22
15,2019-05-09,13.05
16,2019-05-08,13.09
17,2019-05-07,13.26
18,2019-05-06,13.47
19,2019-05-03,13.60
20,2019-05-02,13.40
21,2019-05-01,13.42
22,2019-04-30,13.55
23,2019-04-29,13.71
24,2019-04-26,13.73
25,2019-04-25,13.67
26,2019-04-24,13.80
27,2019-04-23,13.98
28,2019-04-22,13.84
29,2019-04-18,13.76
30,2019-04-17,13.81
31,2019-04-16,13.75
32,2019-04-15,13.67
33,2019-04-12,13.74
34,2019-04-11,13.53
35,2019-04-10,13.67
36,2019-04-09,13.58
37,2019-04-08,13.69
38,2019-04-05,13.66
39,2019-04-04,13.70
40,2019-04-03,13.75
41,2019-04-02,13.72
42,2019-04-01,13.77
43,2019-03-29,13.53
44,2019-03-28,13.46
45,2019-03-27,13.38
46,2019-03-26,13.58
47,2019-03-25,13.50
48,2019-03-22,13.59
49,2019-03-21,13.88
50,2019-03-20,13.82
51,2019-03-19,13.76
52,2019-03-18,13.76
53,2019-03-15,13.64
54,2019-03-14,13.63
55,2019-03-13,13.70
56,2019-03-12,13.56
57,2019-03-11,13.60
58,2019-03-08,13.42
59,2019-03-07,13.63
60,2019-03-06,13.76
61,2019-03-05,13.88
62,2019-03-04,13.87
63,2019-03-01,13.79
64,2019-02-28,13.80
65,2019-02-27,13.98
66,2019-02-26,14.05
67,2019-02-25,14.06
68,2019-02-22,14.06
69,2019-02-21,13.95
70,2019-02-20,13.96
71,2019-02-19,13.85
72,2019-02-15,13.65
73,2019-02-14,13.68
74,2019-02-13,13.62
75,2019-02-12,13.64
76,2019-02-11,13.52
77,2019-02-08,13.61
78,2019-02-07,13.90
79,2019-02-06,14.03
80,2019-02-05,14.26
81,2019-02-04,14.18
82,2019-02-01,14.12
83,2019-01-31,14.22
84,2019-01-30,14.02
85,2019-01-29,13.82
86,2019-01-28,13.90
