,Date,NAV
1,2019-05-30,21.91
2,2019-05-29,22.13
3,2019-05-28,22.17
4,2019-05-24,22.39
5,2019-05-23,22.33
6,2019-05-22,22.81
7,2019-05-21,22.88
8,2019-05-20,22.59
9,2019-05-17,22.67
10,2019-05-16,22.77
11,2019-05-15,22.58
12,2019-05-14,22.44
13,2019-05-13,22.21
14,2019-05-10,22.52
15,2019-05-09,21.64
16,2019-05-08,21.94
17,2019-05-07,21.90
18,2019-05-06,21.87
19,2019-05-03,21.98
20,2019-05-02,21.72
21,2019-05-01,22.10
22,2019-04-30,22.05
23,2019-04-29,22.29
24,2019-04-26,22.20
25,2019-04-25,22.17
26,2019-04-24,22.23
27,2019-04-23,22.38
28,2019-04-22,22.46
29,2019-04-18,22.07
30,2019-04-17,22.19
31,2019-04-16,22.39
32,2019-04-15,22.53
33,2019-04-12,22.63
34,2019-04-11,22.41
35,2019-04-10,22.28
36,2019-04-09,22.32
37,2019-04-08,22.55
38,2019-04-05,22.62
39,2019-04-04,22.43
40,2019-04-03,22.53
41,2019-04-02,22.62
42,2019-04-01,22.61
43,2019-03-29,22.33
44,2019-03-28,22.20
45,2019-03-27,22.14
46,2019-03-26,22.26
47,2019-03-25,22.17
48,2019-03-22,22.35
49,2019-03-21,22.74
50,2019-03-20,22.52
51,2019-03-19,22.43
52,2019-03-18,22.31
53,2019-03-15,21.99
54,2019-03-14,22.00
55,2019-03-13,22.02
56,2019-03-12,22.01
57,2019-03-11,22.04
58,2019-03-08,21.74
59,2019-03-07,21.84
60,2019-03-06,21.50
61,2019-03-05,21.69
62,2019-03-04,21.76
63,2019-03-01,21.70
64,2019-02-28,21.57
65,2019-02-27,21.74
66,2019-02-26,21.74
67,2019-02-25,22.03
68,2019-02-22,21.92
69,2019-02-21,21.93
70,2019-02-20,22.18
71,2019-02-19,22.44
72,2019-02-15,22.01
73,2019-02-14,21.93
74,2019-02-13,21.67
75,2019-02-12,21.39
76,2019-02-11,21.03
77,2019-02-08,21.00
78,2019-02-07,21.10
79,2019-02-06,21.59
80,2019-02-05,21.83
81,2019-02-04,21.85
82,2019-02-01,21.72
83,2019-01-31,21.48
84,2019-01-30,21.72
85,2019-01-29,21.45
86,2019-01-28,21.19
87,2019-01-25,21.37
88,2019-01-24,21.15
89,2019-01-23,21.03
90,2019-01-22,20.97
91,2019-01-18,21.57
92,2019-01-17,21.28
93,2019-01-16,21.26
94,2019-01-15,21.24
95,2019-01-14,20.79
96,2019-01-11,21.05
97,2019-01-10,21.31
98,2019-01-09,21.58
99,2019-01-08,21.35
100,2019-01-07,20.88
101,2019-01-04,20.45
102,2019-01-03,19.63
103,2019-01-02,19.34
104,2018-12-31,19.09
105,2018-12-28,18.82
106,2018-12-27,18.88
107,2018-12-26,19.15
108,2018-12-24,18.21
109,2018-12-21,19.00
110,2018-12-20,19.40
111,2018-12-19,19.87
112,2018-12-18,19.64
113,2018-12-17,20.17
114,2018-12-14,20.79
115,2018-12-13,21.05
116,2018-12-12,20.57
117,2018-12-11,20.33
118,2018-12-10,20.34
119,2018-12-07,20.70
120,2018-12-06,20.72
121,2018-12-04,20.87
122,2018-12-03,21.42
123,2018-11-30,20.86
124,2018-11-29,21.05
125,2018-11-28,20.83
126,2018-11-27,20.51
127,2018-11-26,20.68
128,2018-11-23,20.52
129,2018-11-21,21.02
130,2018-11-20,20.51
131,2018-11-19,21.14
132,2018-11-16,21.18
133,2018-11-15,21.14
134,2018-11-14,20.86
135,2018-11-13,21.04
136,2018-11-12,21.30
137,2018-11-09,20.76
138,2018-11-08,21.81
139,2018-11-07,21.89
140,2018-11-06,21.43
141,2018-11-05,21.43
142,2018-11-02,21.04
143,2018-11-01,20.25
144,2018-10-31,21.14
145,2018-10-30,20.74
146,2018-10-29,20.76
147,2018-10-26,21.05
148,2018-10-25,21.54
149,2018-10-24,21.31
150,2018-10-23,22.08
151,2018-10-22,22.41
152,2018-10-19,22.64
153,2018-10-18,22.54
154,2018-10-17,22.28
155,2018-10-16,23.02
156,2018-10-15,22.53
157,2018-10-12,22.54
158,2018-10-11,22.65
159,2018-10-10,22.99
160,2018-10-09,23.45
161,2018-10-08,23.15
162,2018-10-05,23.30
163,2018-10-04,23.25
164,2018-10-03,23.40
165,2018-10-02,23.31
166,2018-10-01,23.38
167,2018-09-28,22.83
168,2018-09-27,22.70
169,2018-09-26,22.50
170,2018-09-25,22.74
171,2018-09-24,22.87
172,2018-09-21,23.24
173,2018-09-20,23.25
174,2018-09-19,23.16
175,2018-09-18,23.28
176,2018-09-17,23.25
177,2018-09-14,23.40
178,2018-09-13,23.38
179,2018-09-12,23.68
180,2018-09-11,23.53
181,2018-09-10,22.90
182,2018-09-07,23.36
183,2018-09-06,23.41
184,2018-09-05,23.62
185,2018-09-04,23.52
186,2018-08-31,23.33
187,2018-08-30,23.45
188,2018-08-29,23.49
189,2018-08-28,23.75
190,2018-08-27,24.13
191,2018-08-24,24.15
192,2018-08-23,24.08
193,2018-08-22,24.25
194,2018-08-21,23.92
195,2018-08-20,24.46
196,2018-08-17,24.02
197,2018-08-16,23.66
198,2018-08-15,23.57
199,2018-08-14,23.85
200,2018-08-13,23.74
201,2018-08-10,24.18
202,2018-08-09,24.21
203,2018-08-08,23.99
204,2018-08-07,23.81
205,2018-08-06,23.89
206,2018-08-03,23.69
207,2018-08-02,23.55
208,2018-08-01,22.95
209,2018-07-31,22.87
210,2018-07-30,22.72
211,2018-07-27,22.36
212,2018-07-26,22.71
213,2018-07-25,22.66
214,2018-07-24,22.26
215,2018-07-23,22.13
216,2018-07-20,22.06
217,2018-07-19,22.33
218,2018-07-18,21.71
219,2018-07-17,21.37
220,2018-07-16,21.53
221,2018-07-13,21.66
222,2018-07-12,21.60
223,2018-07-11,21.31
224,2018-07-10,21.50
225,2018-07-09,21.50
226,2018-07-06,21.51
227,2018-07-05,21.33
228,2018-07-03,21.28
229,2018-07-02,21.17
230,2018-06-29,21.39
231,2018-06-28,21.23
232,2018-06-27,21.24
233,2018-06-26,21.61
234,2018-06-25,21.20
235,2018-06-22,21.74
236,2018-06-21,21.51
237,2018-06-20,21.73
238,2018-06-19,21.54
239,2018-06-18,21.67
240,2018-06-15,21.39
241,2018-06-14,21.92
242,2018-06-13,21.95
243,2018-06-12,22.29
244,2018-06-11,22.37
245,2018-06-08,21.93
246,2018-06-07,22.14
247,2018-06-06,21.94
248,2018-06-05,22.06
249,2018-06-04,22.01
250,2018-06-01,21.81
251,2018-05-31,21.65
252,2018-05-30,21.63
253,2018-05-29,21.25
254,2018-05-25,21.26
255,2018-05-24,21.40
256,2018-05-23,21.28
257,2018-05-22,21.92
258,2018-05-21,21.95
259,2018-05-18,21.83
260,2018-05-17,21.89
261,2018-05-16,21.64
262,2018-05-15,21.46
263,2018-05-14,21.58
264,2018-05-11,21.15
265,2018-05-10,21.22
266,2018-05-09,21.12
267,2018-05-08,20.96
268,2018-05-07,20.75
269,2018-05-04,20.66
270,2018-05-03,20.44
271,2018-05-02,20.64
272,2018-05-01,20.87
273,2018-04-30,20.84
274,2018-04-27,20.86
275,2018-04-26,20.74
276,2018-04-25,20.77
277,2018-04-24,20.62
278,2018-04-23,21.06
279,2018-04-20,20.61
280,2018-04-19,20.66
281,2018-04-18,20.91
282,2018-04-17,21.05
283,2018-04-16,20.73
284,2018-04-13,19.87
285,2018-04-12,19.87
286,2018-04-11,20.02
287,2018-04-10,19.80
288,2018-04-09,19.24
289,2018-04-06,19.23
290,2018-04-05,19.51
291,2018-04-04,19.18
292,2018-04-03,19.28
293,2018-04-02,19.14
294,2018-03-29,19.35
295,2018-03-28,19.03
296,2018-03-27,19.00
297,2018-03-26,19.31
298,2018-03-23,19.15
299,2018-03-22,19.30
300,2018-03-21,19.74
301,2018-03-20,19.47
302,2018-03-19,19.62
303,2018-03-16,20.33
304,2018-03-15,20.02
305,2018-03-14,21.13
306,2018-03-13,21.41
307,2018-03-12,21.43
308,2018-03-09,21.04
309,2018-03-08,20.65
310,2018-03-07,20.70
311,2018-03-06,20.91
312,2018-03-05,21.00
313,2018-03-02,20.85
314,2018-03-01,20.87
315,2018-02-28,20.78
316,2018-02-27,21.24
317,2018-02-26,21.36
318,2018-02-23,21.38
319,2018-02-22,21.22
320,2018-02-21,21.43
321,2018-02-20,21.73
322,2018-02-16,21.76
323,2018-02-15,22.03
324,2018-02-14,22.23
325,2018-02-13,22.27
326,2018-02-12,22.04
327,2018-02-09,21.54
328,2018-02-08,21.73
329,2018-02-07,22.52
330,2018-02-06,22.63
331,2018-02-05,22.18
332,2018-02-02,22.55
333,2018-02-01,23.25
334,2018-01-31,23.05
335,2018-01-30,23.19
336,2018-01-29,23.53
337,2018-01-26,24.04
338,2018-01-25,24.02
339,2018-01-24,24.04
340,2018-01-23,24.18
341,2018-01-22,24.10
342,2018-01-19,23.54
343,2018-01-18,23.40
344,2018-01-17,23.60
345,2018-01-16,23.76
346,2018-01-12,23.95
347,2018-01-11,23.76
348,2018-01-10,23.30
349,2018-01-09,23.12
350,2018-01-08,23.01
351,2018-01-05,22.86
352,2018-01-04,23.05
353,2018-01-03,22.88
354,2018-01-02,22.30
355,2017-12-29,21.82
356,2017-12-28,21.85
357,2017-12-27,21.76
358,2017-12-26,21.90
359,2017-12-22,21.75
360,2017-12-21,21.65
361,2017-12-20,21.56
362,2017-12-19,21.65
363,2017-12-18,21.88
364,2017-12-15,21.68
365,2017-12-14,21.94
366,2017-12-13,21.77
367,2017-12-12,21.67
368,2017-12-11,21.48
369,2017-12-08,21.03
370,2017-12-07,21.01
371,2017-12-06,20.61
372,2017-12-05,21.00
373,2017-12-04,21.12
374,2017-12-01,21.23
375,2017-11-30,20.92
376,2017-11-29,20.02
377,2017-11-28,20.18
378,2017-11-27,20.26
379,2017-11-24,20.55
380,2017-11-22,20.59
381,2017-11-21,20.42
382,2017-11-20,20.75
383,2017-11-17,20.66
384,2017-11-16,20.69
385,2017-11-15,20.65
386,2017-11-14,20.54
387,2017-11-13,20.92
388,2017-11-10,21.27
389,2017-11-09,21.44
390,2017-11-08,21.44
391,2017-11-07,21.76
392,2017-11-06,21.57
393,2017-11-03,21.31
394,2017-11-02,21.14
395,2017-11-01,21.58
396,2017-10-31,21.19
397,2017-10-30,21.24
398,2017-10-27,21.11
399,2017-10-26,20.74
400,2017-10-25,20.39
401,2017-10-24,20.97
402,2017-10-23,21.03
403,2017-10-20,21.39
404,2017-10-19,21.57
405,2017-10-18,21.43
406,2017-10-17,21.83
407,2017-10-16,21.95
408,2017-10-13,22.13
409,2017-10-12,22.39
410,2017-10-11,22.55
411,2017-10-10,22.46
412,2017-10-09,22.48
413,2017-10-06,22.66
414,2017-10-05,22.63
415,2017-10-04,22.44
416,2017-10-03,22.41
417,2017-10-02,22.38
418,2017-09-29,22.31
419,2017-09-28,22.23
420,2017-09-27,22.32
421,2017-09-26,22.45
422,2017-09-25,22.48
423,2017-09-22,21.99
424,2017-09-21,22.01
425,2017-09-20,22.15
426,2017-09-19,22.24
427,2017-09-18,22.34
428,2017-09-15,22.37
429,2017-09-14,22.43
430,2017-09-13,22.39
431,2017-09-12,22.17
432,2017-09-11,22.15
433,2017-09-08,22.01
434,2017-09-07,22.14
435,2017-09-06,22.20
436,2017-09-05,22.13
437,2017-09-01,22.24
438,2017-08-31,22.18
439,2017-08-30,21.68
440,2017-08-29,21.52
441,2017-08-28,21.45
442,2017-08-25,21.59
443,2017-08-24,21.53
444,2017-08-23,21.49
445,2017-08-22,21.22
446,2017-08-21,20.90
447,2017-08-18,21.19
448,2017-08-17,21.22
449,2017-08-16,21.31
450,2017-08-15,21.46
451,2017-08-14,21.91
452,2017-08-11,21.93
453,2017-08-10,22.07
454,2017-08-09,22.31
455,2017-08-08,22.16
456,2017-08-07,22.88
457,2017-08-04,23.09
458,2017-08-03,23.25
459,2017-08-02,23.57
460,2017-08-01,23.55
461,2017-07-31,23.51
462,2017-07-28,23.44
463,2017-07-27,23.48
464,2017-07-26,23.43
465,2017-07-25,23.56
466,2017-07-24,23.42
467,2017-07-21,23.31
468,2017-07-20,23.46
469,2017-07-19,23.69
470,2017-07-18,23.72
471,2017-07-17,23.71
472,2017-07-14,23.64
473,2017-07-13,23.29
474,2017-07-12,23.32
475,2017-07-11,23.10
476,2017-07-10,23.06
477,2017-07-07,23.27
478,2017-07-06,23.17
479,2017-07-05,23.34
480,2017-07-03,23.70
481,2017-06-30,23.30
482,2017-06-29,23.06
483,2017-06-28,22.90
484,2017-06-27,22.51
485,2017-06-26,22.67
486,2017-06-23,22.25
487,2017-06-22,21.80
488,2017-06-21,21.58
489,2017-06-20,21.68
490,2017-06-19,22.29
491,2017-06-16,22.51
492,2017-06-15,22.17
493,2017-06-14,22.53
494,2017-06-13,22.99
495,2017-06-12,23.00
496,2017-06-09,23.03
497,2017-06-08,22.86
498,2017-06-07,23.10
499,2017-06-06,23.57
500,2017-06-05,23.48
501,2017-06-02,23.41
502,2017-06-01,23.65
503,2017-05-31,23.52
504,2017-05-30,23.61
505,2017-05-26,24.00
506,2017-05-25,24.12
507,2017-05-24,24.42
508,2017-05-23,24.57
509,2017-05-22,24.41
510,2017-05-19,24.35
511,2017-05-18,23.91
512,2017-05-17,23.91
513,2017-05-16,24.40
514,2017-05-15,24.45
515,2017-05-12,24.22
516,2017-05-11,24.13
517,2017-05-10,24.29
518,2017-05-09,23.96
519,2017-05-08,24.32
520,2017-05-05,24.16
521,2017-05-04,23.52
522,2017-05-03,24.32
523,2017-05-02,24.59
524,2017-05-01,24.71
525,2017-04-28,24.61
526,2017-04-27,24.65
527,2017-04-26,24.89
528,2017-04-25,25.03
529,2017-04-24,24.74
530,2017-04-21,24.62
531,2017-04-20,24.66
532,2017-04-19,24.62
533,2017-04-18,24.83
534,2017-04-17,24.72
535,2017-04-13,24.73
536,2017-04-12,24.93
537,2017-04-11,25.11
538,2017-04-10,25.29
539,2017-04-07,25.36
540,2017-04-06,25.27
541,2017-04-05,25.08
542,2017-04-04,25.25
543,2017-04-03,25.12
544,2017-03-31,25.12
545,2017-03-30,24.77
546,2017-03-29,24.82
547,2017-03-28,24.46
548,2017-03-27,24.41
549,2017-03-24,24.58
550,2017-03-23,24.45
551,2017-03-22,24.33
552,2017-03-21,24.39
553,2017-03-20,24.68
554,2017-03-17,24.67
555,2017-03-16,24.94
556,2017-03-15,24.97
557,2017-03-14,24.61
558,2017-03-13,24.99
559,2017-03-10,24.92
560,2017-03-09,24.95
561,2017-03-08,25.17
562,2017-03-07,25.65
563,2017-03-06,25.75
564,2017-03-03,25.71
565,2017-03-02,25.73
566,2017-03-01,25.80
567,2017-02-28,25.47
568,2017-02-27,25.30
569,2017-02-24,25.37
570,2017-02-23,25.65
571,2017-02-22,25.67
572,2017-02-21,26.08
573,2017-02-17,25.80
574,2017-02-16,26.02
575,2017-02-15,26.22
576,2017-02-14,26.19
577,2017-02-13,25.97
578,2017-02-10,25.97
579,2017-02-09,25.88
580,2017-02-08,25.79
581,2017-02-07,25.86
582,2017-02-06,26.02
583,2017-02-03,25.98
584,2017-02-02,25.81
585,2017-02-01,25.70
586,2017-01-31,25.23
587,2017-01-30,25.07
588,2017-01-27,25.68
589,2017-01-26,25.81
590,2017-01-25,25.44
591,2017-01-24,24.92
592,2017-01-23,24.36
593,2017-01-20,24.35
594,2017-01-19,24.24
595,2017-01-18,24.41
596,2017-01-17,24.63
597,2017-01-13,24.42
598,2017-01-12,24.31
599,2017-01-11,24.40
600,2017-01-10,23.98
601,2017-01-09,24.45
602,2017-01-06,24.71
603,2017-01-05,24.55
604,2017-01-04,24.35
605,2017-01-03,24.35
606,2016-12-30,24.09
607,2016-12-29,24.01
608,2016-12-28,24.08
609,2016-12-27,24.25
610,2016-12-23,24.30
611,2016-12-22,24.12
612,2016-12-21,23.79
613,2016-12-20,23.49
614,2016-12-19,23.31
615,2016-12-16,23.27
616,2016-12-15,23.05
617,2016-12-14,22.85
618,2016-12-13,23.20
619,2016-12-12,22.98
620,2016-12-09,23.04
621,2016-12-08,23.02
622,2016-12-07,22.83
623,2016-12-06,22.71
624,2016-12-05,22.76
625,2016-12-02,22.82
