,Date,NAV
1,2019-05-30,5.95
2,2019-05-29,5.96
3,2019-05-28,6.06
4,2019-05-24,6.06
5,2019-05-23,6.06
6,2019-05-22,6.23
7,2019-05-21,6.21
8,2019-05-20,6.13
9,2019-05-17,6.20
10,2019-05-16,6.20
11,2019-05-15,6.16
12,2019-05-14,6.14
13,2019-05-13,6.01
14,2019-05-10,6.04
15,2019-05-09,5.92
16,2019-05-08,5.96
17,2019-05-07,5.93
18,2019-05-06,5.92
19,2019-05-03,5.96
20,2019-05-02,5.91
21,2019-05-01,6.02
22,2019-04-30,6.07
23,2019-04-29,6.06
24,2019-04-26,6.05
25,2019-04-25,6.08
26,2019-04-24,6.12
27,2019-04-23,6.17
28,2019-04-22,6.10
29,2019-04-18,6.02
30,2019-04-17,5.94
31,2019-04-16,6.14
32,2019-04-15,6.15
33,2019-04-12,6.12
34,2019-04-11,6.13
35,2019-04-10,6.12
36,2019-04-09,6.12
37,2019-04-08,6.10
38,2019-04-05,6.10
39,2019-04-04,6.08
40,2019-04-03,6.09
41,2019-04-02,6.11
42,2019-04-01,6.01
43,2019-03-29,6.01
44,2019-03-28,6.01
45,2019-03-27,6.06
46,2019-03-26,6.02
47,2019-03-25,6.01
48,2019-03-22,6.06
49,2019-03-21,6.09
50,2019-03-20,6.05
51,2019-03-19,6.05
52,2019-03-18,6.01
53,2019-03-15,5.96
54,2019-03-14,5.94
55,2019-03-13,5.94
56,2019-03-12,5.93
57,2019-03-11,5.93
58,2019-03-08,5.80
59,2019-03-07,5.88
60,2019-03-06,5.83
61,2019-03-05,5.90
62,2019-03-04,5.92
63,2019-03-01,5.90
64,2019-02-28,5.88
65,2019-02-27,5.94
66,2019-02-26,6.01
67,2019-02-25,6.10
68,2019-02-22,6.10
69,2019-02-21,6.08
70,2019-02-20,6.10
71,2019-02-19,6.15
72,2019-02-15,6.12
73,2019-02-14,6.06
74,2019-02-13,5.97
75,2019-02-12,5.87
76,2019-02-11,5.78
77,2019-02-08,5.73
78,2019-02-07,5.77
79,2019-02-06,5.97
80,2019-02-05,6.02
81,2019-02-04,5.99
82,2019-02-01,5.97
83,2019-01-31,5.90
84,2019-01-30,5.98
85,2019-01-29,5.91
86,2019-01-28,5.84
87,2019-01-25,5.85
88,2019-01-24,5.76
89,2019-01-23,5.71
90,2019-01-22,5.73
91,2019-01-18,5.83
92,2019-01-17,5.76
93,2019-01-16,5.76
94,2019-01-15,5.75
95,2019-01-14,5.71
96,2019-01-11,5.73
97,2019-01-10,5.79
98,2019-01-09,5.81
99,2019-01-08,5.78
100,2019-01-07,5.63
101,2019-01-04,5.52
102,2019-01-03,5.29
103,2019-01-02,5.28
104,2018-12-31,5.19
105,2018-12-28,5.14
106,2018-12-27,5.11
107,2018-12-26,5.17
108,2018-12-24,5.07
109,2018-12-21,5.20
110,2018-12-20,5.27
111,2018-12-19,5.46
112,2018-12-18,5.41
113,2018-12-17,5.53
114,2018-12-14,5.69
115,2018-12-13,5.67
116,2018-12-12,5.63
117,2018-12-11,5.63
118,2018-12-10,5.63
119,2018-12-07,5.70
120,2018-12-06,5.58
121,2018-12-04,5.66
122,2018-12-03,5.76
123,2018-11-30,5.63
124,2018-11-29,5.78
125,2018-11-28,5.53
126,2018-11-27,5.53
127,2018-11-26,5.71
128,2018-11-23,5.71
129,2018-11-21,5.69
130,2018-11-20,5.57
131,2018-11-19,5.71
132,2018-11-16,5.71
133,2018-11-15,5.63
134,2018-11-14,5.74
135,2018-11-13,6.08
136,2018-11-12,6.08
137,2018-11-09,6.08
138,2018-11-08,6.08
139,2018-11-07,5.89
140,2018-11-06,5.89
141,2018-11-05,5.86
142,2018-11-02,5.86
143,2018-11-01,5.85
144,2018-10-31,5.90
145,2018-10-30,5.70
146,2018-10-29,5.76
147,2018-10-26,5.96
148,2018-10-25,5.89
149,2018-10-24,6.15
150,2018-10-23,6.16
151,2018-10-22,6.24
152,2018-10-19,6.19
153,2018-10-18,6.19
154,2018-10-17,6.28
155,2018-10-16,6.28
156,2018-10-15,6.19
157,2018-10-12,6.35
158,2018-10-11,6.58
159,2018-10-10,6.42
160,2018-10-09,6.34
161,2018-10-08,6.27
162,2018-10-05,6.30
163,2018-10-04,6.29
164,2018-10-03,6.28
165,2018-10-02,6.42
166,2018-10-01,6.42
167,2018-09-28,6.33
168,2018-09-27,6.10
169,2018-09-26,6.11
170,2018-09-25,6.11
171,2018-09-24,6.24
172,2018-09-21,6.24
173,2018-09-20,6.33
174,2018-09-19,6.27
175,2018-09-18,6.22
176,2018-09-17,6.22
177,2018-09-14,6.22
178,2018-09-13,6.05
179,2018-09-12,6.28
180,2018-09-11,6.28
181,2018-09-10,6.26
182,2018-09-07,6.19
183,2018-09-06,6.18
184,2018-09-05,6.13
185,2018-09-04,6.13
186,2018-08-31,6.13
187,2018-08-30,6.38
188,2018-08-29,6.38
189,2018-08-28,6.44
190,2018-08-27,6.42
191,2018-08-24,6.42
192,2018-08-23,6.50
193,2018-08-22,6.43
194,2018-08-21,6.33
195,2018-08-20,6.44
196,2018-08-17,6.35
197,2018-08-16,6.30
198,2018-08-15,6.57
199,2018-08-14,6.57
200,2018-08-13,6.57
201,2018-08-10,6.57
202,2018-08-09,6.46
203,2018-08-08,6.34
204,2018-08-07,6.46
205,2018-08-06,6.46
206,2018-08-03,6.43
207,2018-08-02,6.29
208,2018-08-01,6.27
209,2018-07-31,6.19
210,2018-07-30,6.14
211,2018-07-27,6.25
212,2018-07-26,6.25
213,2018-07-25,6.23
214,2018-07-24,6.13
215,2018-07-23,6.21
216,2018-07-20,6.18
217,2018-07-19,6.18
218,2018-07-18,6.06
219,2018-07-17,5.93
220,2018-07-16,5.84
221,2018-07-13,5.84
222,2018-07-12,5.94
223,2018-07-11,5.93
224,2018-07-10,5.99
225,2018-07-09,5.91
226,2018-07-06,5.99
227,2018-07-05,5.86
228,2018-07-03,5.86
229,2018-07-02,5.86
230,2018-06-29,5.85
231,2018-06-28,5.84
232,2018-06-27,5.84
233,2018-06-26,5.84
234,2018-06-25,5.86
235,2018-06-22,5.88
236,2018-06-21,5.89
237,2018-06-20,5.89
238,2018-06-19,5.97
239,2018-06-18,5.83
240,2018-06-15,5.83
241,2018-06-14,6.03
242,2018-06-13,5.99
243,2018-06-12,6.08
244,2018-06-11,6.08
245,2018-06-08,6.02
246,2018-06-07,6.02
247,2018-06-06,5.97
248,2018-06-05,6.04
249,2018-06-04,5.98
250,2018-06-01,5.91
251,2018-05-31,5.92
252,2018-05-30,6.03
253,2018-05-29,6.02
254,2018-05-25,6.02
255,2018-05-24,5.98
256,2018-05-23,5.99
257,2018-05-22,5.95
258,2018-05-21,6.11
259,2018-05-18,5.93
260,2018-05-17,5.93
261,2018-05-16,5.88
262,2018-05-15,5.99
263,2018-05-14,5.93
264,2018-05-11,5.90
265,2018-05-10,5.94
266,2018-05-09,5.89
267,2018-05-08,5.84
268,2018-05-07,5.84
269,2018-05-04,5.67
270,2018-05-03,5.53
271,2018-05-02,5.73
272,2018-05-01,5.84
273,2018-04-30,5.92
