,Date,NAV
1,2019-05-30,11.84
2,2019-05-29,11.80
3,2019-05-28,11.91
4,2019-05-24,11.90
5,2019-05-23,11.77
6,2019-05-22,11.98
7,2019-05-21,12.00
8,2019-05-20,11.80
9,2019-05-17,11.97
10,2019-05-16,12.13
11,2019-05-15,12.06
12,2019-05-14,11.93
13,2019-05-13,11.82
14,2019-05-10,12.19
15,2019-05-09,12.11
16,2019-05-08,12.25
17,2019-05-07,12.31
18,2019-05-06,12.24
19,2019-05-03,12.47
20,2019-05-02,12.29
21,2019-05-01,12.37
22,2019-04-30,12.42
23,2019-04-29,12.41
24,2019-04-26,12.40
25,2019-04-25,12.39
26,2019-04-24,12.46
27,2019-04-23,12.52
28,2019-04-22,12.48
29,2019-04-18,12.49
30,2019-04-17,12.54
31,2019-04-16,12.46
32,2019-04-15,12.42
33,2019-04-12,12.39
34,2019-04-11,12.35
35,2019-04-10,12.47
36,2019-04-09,12.36
37,2019-04-08,12.43
38,2019-04-05,12.40
39,2019-04-04,12.32
40,2019-04-03,12.31
41,2019-04-02,12.19
42,2019-04-01,12.12
43,2019-03-29,11.97
44,2019-03-28,11.90
45,2019-03-27,11.91
46,2019-03-26,11.86
47,2019-03-25,11.88
48,2019-03-22,11.95
49,2019-03-21,12.24
50,2019-03-20,12.26
51,2019-03-19,12.22
52,2019-03-18,12.23
53,2019-03-15,12.17
54,2019-03-14,12.18
55,2019-03-13,12.24
56,2019-03-12,12.17
57,2019-03-11,12.11
58,2019-03-08,11.89
59,2019-03-07,12.00
60,2019-03-06,12.20
61,2019-03-05,12.42
62,2019-03-04,12.36
63,2019-03-01,12.36
64,2019-02-28,12.35
65,2019-02-27,12.42
66,2019-02-26,12.47
67,2019-02-25,12.44
68,2019-02-22,12.36
69,2019-02-21,12.16
70,2019-02-20,12.12
71,2019-02-19,12.07
72,2019-02-15,11.94
73,2019-02-14,11.95
74,2019-02-13,11.90
75,2019-02-12,11.80
76,2019-02-11,11.66
77,2019-02-08,11.67
78,2019-02-07,11.74
79,2019-02-06,11.86
80,2019-02-05,11.84
81,2019-02-04,11.79
82,2019-02-01,11.69
83,2019-01-31,11.71
84,2019-01-30,11.58
85,2019-01-29,11.46
86,2019-01-28,11.41
87,2019-01-25,11.46
88,2019-01-24,11.31
89,2019-01-23,11.07
90,2019-01-22,11.00
91,2019-01-18,11.14
92,2019-01-17,11.13
93,2019-01-16,11.03
94,2019-01-15,10.98
95,2019-01-14,11.03
96,2019-01-11,11.03
97,2019-01-10,11.00
98,2019-01-09,10.97
99,2019-01-08,10.70
100,2019-01-07,10.68
101,2019-01-04,10.53
102,2019-01-03,10.36
103,2019-01-02,10.34
104,2018-12-31,10.42
105,2018-12-28,10.26
106,2018-12-27,10.22
107,2018-12-26,9.75
108,2018-12-24,10.02
109,2018-12-21,10.32
110,2018-12-20,10.53
111,2018-12-19,10.51
112,2018-12-18,10.80
113,2018-12-17,10.86
114,2018-12-14,10.95
115,2018-12-13,10.92
116,2018-12-12,10.88
117,2018-12-11,11.02
118,2018-12-10,11.00
119,2018-12-07,11.18
120,2018-12-06,11.17
121,2018-12-04,11.31
122,2018-12-03,11.58
123,2018-11-30,11.46
124,2018-11-29,11.19
125,2018-11-28,11.49
126,2018-11-27,11.28
127,2018-11-26,10.71
128,2018-11-23,11.09
129,2018-11-21,11.06
130,2018-11-20,10.94
131,2018-11-19,11.06
132,2018-11-16,10.93
133,2018-11-15,11.15
134,2018-11-14,11.32
135,2018-11-13,11.12
136,2018-11-12,11.22
137,2018-11-09,11.15
138,2018-11-08,11.48
139,2018-11-07,11.37
140,2018-11-06,11.26
141,2018-11-05,11.19
142,2018-11-02,11.05
143,2018-11-01,11.07
144,2018-10-31,10.83
145,2018-10-30,10.64
146,2018-10-29,10.40
147,2018-10-26,10.55
148,2018-10-25,10.70
149,2018-10-24,10.50
150,2018-10-23,10.79
151,2018-10-22,10.93
152,2018-10-19,10.91
153,2018-10-18,11.03
154,2018-10-17,11.11
155,2018-10-16,11.18
156,2018-10-15,10.91
157,2018-10-12,10.88
158,2018-10-11,10.74
159,2018-10-10,10.83
160,2018-10-09,11.19
161,2018-10-08,11.19
162,2018-10-05,11.24
163,2018-10-04,11.44
164,2018-10-03,11.69
165,2018-10-02,11.79
166,2018-10-01,11.79
167,2018-09-28,11.87
168,2018-09-27,11.84
