,Date,NAV
1,2019-05-30,27.36
2,2019-05-29,27.27
3,2019-05-28,27.57
4,2019-05-24,27.29
5,2019-05-23,27.14
6,2019-05-22,27.91
7,2019-05-21,27.98
8,2019-05-20,27.25
9,2019-05-17,27.68
10,2019-05-16,28.28
11,2019-05-15,27.93
12,2019-05-14,27.56
13,2019-05-13,27.19
14,2019-05-10,28.16
15,2019-05-09,27.94
16,2019-05-08,28.30
17,2019-05-07,28.84
18,2019-05-06,28.50
19,2019-05-03,28.88
20,2019-05-02,28.33
21,2019-05-01,28.42
22,2019-04-30,28.29
23,2019-04-29,28.56
24,2019-04-26,28.58
25,2019-04-25,28.38
26,2019-04-24,28.71
27,2019-04-23,28.71
28,2019-04-22,28.49
29,2019-04-18,28.49
30,2019-04-17,28.47
31,2019-04-16,28.29
32,2019-04-15,27.99
33,2019-04-12,28.17
34,2019-04-11,27.96
35,2019-04-10,28.13
36,2019-04-09,27.91
37,2019-04-08,28.32
38,2019-04-05,28.21
39,2019-04-04,27.82
40,2019-04-03,27.63
41,2019-04-02,27.26
42,2019-04-01,27.17
43,2019-03-29,26.79
44,2019-03-28,26.60
45,2019-03-27,26.31
46,2019-03-26,26.33
47,2019-03-25,26.40
48,2019-03-22,26.60
49,2019-03-21,27.64
50,2019-03-20,28.02
51,2019-03-19,27.95
52,2019-03-18,27.77
53,2019-03-15,27.48
54,2019-03-14,27.53
55,2019-03-13,27.58
56,2019-03-12,27.42
57,2019-03-11,27.34
58,2019-03-08,26.43
59,2019-03-07,26.77
60,2019-03-06,26.96
61,2019-03-05,27.95
62,2019-03-04,28.09
63,2019-03-01,28.41
64,2019-02-28,28.13
65,2019-02-27,28.21
66,2019-02-26,28.19
67,2019-02-25,28.20
68,2019-02-22,28.20
69,2019-02-21,27.17
70,2019-02-20,27.09
71,2019-02-19,26.87
72,2019-02-15,26.37
73,2019-02-14,26.51
74,2019-02-13,26.16
75,2019-02-12,25.91
76,2019-02-11,25.67
77,2019-02-08,25.34
78,2019-02-07,25.50
79,2019-02-06,25.88
80,2019-02-05,25.65
81,2019-02-04,25.52
82,2019-02-01,25.22
83,2019-01-31,25.52
84,2019-01-30,24.98
85,2019-01-29,24.68
86,2019-01-28,24.77
87,2019-01-25,24.54
88,2019-01-24,24.10
89,2019-01-23,23.48
90,2019-01-22,23.52
91,2019-01-18,23.90
92,2019-01-17,23.94
93,2019-01-16,23.68
94,2019-01-15,23.36
95,2019-01-14,23.34
96,2019-01-11,23.57
97,2019-01-10,23.44
98,2019-01-09,23.16
99,2019-01-08,22.94
100,2019-01-07,22.77
101,2019-01-04,22.22
102,2019-01-03,21.08
103,2019-01-02,21.66
104,2018-12-31,21.39
105,2018-12-28,21.50
106,2018-12-27,21.32
107,2018-12-26,21.29
108,2018-12-24,20.12
109,2018-12-21,20.55
110,2018-12-20,21.07
111,2018-12-19,21.69
112,2018-12-18,22.12
113,2018-12-17,22.20
