,Date,NAV
1,2019-05-30,16.78
2,2019-05-29,17.30
3,2019-05-28,17.17
4,2019-05-24,17.41
5,2019-05-23,17.29
6,2019-05-22,18.16
7,2019-05-21,18.80
8,2019-05-20,18.40
9,2019-05-17,18.61
10,2019-05-16,18.99
11,2019-05-15,18.86
12,2019-05-14,18.71
13,2019-05-13,18.27
14,2019-05-10,18.86
15,2019-05-09,18.81
16,2019-05-08,19.02
17,2019-05-07,19.01
18,2019-05-06,19.20
19,2019-05-03,19.08
20,2019-05-02,18.69
21,2019-05-01,19.03
22,2019-04-30,19.55
23,2019-04-29,19.75
24,2019-04-26,19.80
25,2019-04-25,20.06
26,2019-04-24,20.19
27,2019-04-23,20.48
28,2019-04-22,20.55
29,2019-04-18,19.89
30,2019-04-17,20.17
31,2019-04-16,20.24
32,2019-04-15,20.15
33,2019-04-12,20.41
34,2019-04-11,19.87
35,2019-04-10,20.05
36,2019-04-09,19.72
37,2019-04-08,20.11
38,2019-04-05,19.96
39,2019-04-04,19.26
40,2019-04-03,18.97
41,2019-04-02,19.27
42,2019-04-01,19.48
43,2019-03-29,19.29
44,2019-03-28,19.36
45,2019-03-27,19.30
46,2019-03-26,19.37
47,2019-03-25,19.00
48,2019-03-22,19.03
49,2019-03-21,19.85
50,2019-03-20,19.60
51,2019-03-19,19.15
52,2019-03-18,19.35
53,2019-03-15,18.89
54,2019-03-14,19.07
55,2019-03-13,18.99
56,2019-03-12,18.63
57,2019-03-11,18.25
58,2019-03-08,17.87
59,2019-03-07,18.53
60,2019-03-06,18.80
61,2019-03-05,19.26
62,2019-03-04,19.48
63,2019-03-01,19.31
64,2019-02-28,18.90
65,2019-02-27,19.14
66,2019-02-26,19.24
67,2019-02-25,19.45
68,2019-02-22,19.45
69,2019-02-21,19.36
70,2019-02-20,19.68
71,2019-02-19,19.52
72,2019-02-15,19.55
73,2019-02-14,19.12
74,2019-02-13,18.93
75,2019-02-12,18.56
76,2019-02-11,18.37
77,2019-02-08,18.10
78,2019-02-07,18.32
79,2019-02-06,19.10
80,2019-02-05,19.37
81,2019-02-04,19.54
82,2019-02-01,19.45
83,2019-01-31,19.44
84,2019-01-30,19.59
85,2019-01-29,19.11
86,2019-01-28,19.07
87,2019-01-25,19.42
88,2019-01-24,19.04
89,2019-01-23,18.94
90,2019-01-22,19.30
91,2019-01-18,19.99
92,2019-01-17,19.67
93,2019-01-16,19.54
94,2019-01-15,19.55
95,2019-01-14,19.41
96,2019-01-11,19.47
97,2019-01-10,19.54
98,2019-01-09,19.46
99,2019-01-08,19.11
100,2019-01-07,18.95
101,2019-01-04,18.64
102,2019-01-03,17.73
103,2019-01-02,17.91
104,2018-12-31,17.37
105,2018-12-28,17.25
106,2018-12-27,17.54
107,2018-12-26,17.36
108,2018-12-24,15.89
109,2018-12-21,16.75
110,2018-12-20,17.08
111,2018-12-19,17.67
112,2018-12-18,17.97
113,2018-12-17,18.38
114,2018-12-14,18.90
115,2018-12-13,19.71
116,2018-12-12,19.81
117,2018-12-11,19.64
118,2018-12-10,19.61
119,2018-12-07,20.23
120,2018-12-06,20.33
121,2018-12-04,20.95
122,2018-12-03,21.43
123,2018-11-30,20.96
124,2018-11-29,21.07
125,2018-11-28,21.02
126,2018-11-27,20.66
127,2018-11-26,20.97
128,2018-11-23,20.55
129,2018-11-21,21.45
130,2018-11-20,20.78
131,2018-11-19,21.75
132,2018-11-16,21.96
133,2018-11-15,21.83
134,2018-11-14,21.65
135,2018-11-13,21.65
136,2018-11-12,22.21
137,2018-11-09,22.79
138,2018-11-08,22.88
139,2018-11-07,23.72
140,2018-11-06,23.14
141,2018-11-05,23.30
142,2018-11-02,22.75
143,2018-11-01,23.27
144,2018-10-31,22.96
145,2018-10-30,22.56
146,2018-10-29,21.94
147,2018-10-26,22.66
148,2018-10-25,22.93
149,2018-10-24,22.46
150,2018-10-23,23.79
151,2018-10-22,24.52
152,2018-10-19,24.74
153,2018-10-18,25.31
154,2018-10-17,25.58
155,2018-10-16,26.02
156,2018-10-15,25.63
157,2018-10-12,25.61
158,2018-10-11,25.45
159,2018-10-10,26.22
160,2018-10-09,27.30
161,2018-10-08,27.24
162,2018-10-05,27.49
163,2018-10-04,27.59
164,2018-10-03,28.10
165,2018-10-02,27.43
166,2018-10-01,27.55
167,2018-09-28,27.33
168,2018-09-27,27.14
169,2018-09-26,27.10
170,2018-09-25,27.43
171,2018-09-24,27.14
172,2018-09-21,26.61
173,2018-09-20,26.44
174,2018-09-19,26.36
175,2018-09-18,26.39
176,2018-09-17,26.08
177,2018-09-14,26.20
178,2018-09-13,26.05
179,2018-09-12,26.17
180,2018-09-11,25.90
181,2018-09-10,25.56
182,2018-09-07,25.43
183,2018-09-06,25.74
184,2018-09-05,26.50
185,2018-09-04,26.68
186,2018-08-31,26.93
187,2018-08-30,27.03
188,2018-08-29,26.99
189,2018-08-28,26.67
190,2018-08-27,26.95
191,2018-08-24,26.79
192,2018-08-23,26.55
193,2018-08-22,26.57
194,2018-08-21,26.11
195,2018-08-20,25.69
196,2018-08-17,25.31
197,2018-08-16,25.20
198,2018-08-15,25.15
199,2018-08-14,26.11
200,2018-08-13,25.92
201,2018-08-10,26.43
202,2018-08-09,26.25
203,2018-08-08,26.59
204,2018-08-07,26.85
205,2018-08-06,26.60
206,2018-08-03,26.31
207,2018-08-02,26.44
208,2018-08-01,26.55
209,2018-07-31,27.03
210,2018-07-30,26.91
211,2018-07-27,26.46
212,2018-07-26,27.00
213,2018-07-25,26.67
214,2018-07-24,26.48
215,2018-07-23,26.31
216,2018-07-20,26.41
217,2018-07-19,26.46
218,2018-07-18,26.35
219,2018-07-17,26.36
220,2018-07-16,26.44
221,2018-07-13,26.88
222,2018-07-12,26.80
223,2018-07-11,26.91
224,2018-07-10,27.57
225,2018-07-09,27.61
226,2018-07-06,27.01
227,2018-07-05,26.70
228,2018-07-03,26.74
229,2018-07-02,26.55
230,2018-06-29,26.94
231,2018-06-28,26.82
232,2018-06-27,26.81
233,2018-06-26,26.52
234,2018-06-25,26.01
235,2018-06-22,26.65
236,2018-06-21,25.95
237,2018-06-20,26.65
238,2018-06-19,26.24
239,2018-06-18,26.02
240,2018-06-15,25.56
241,2018-06-14,26.19
242,2018-06-13,26.39
243,2018-06-12,26.31
244,2018-06-11,26.37
245,2018-06-08,26.20
246,2018-06-07,26.32
247,2018-06-06,25.71
248,2018-06-05,25.68
249,2018-06-04,25.86
250,2018-06-01,26.30
251,2018-05-31,26.09
252,2018-05-30,26.27
253,2018-05-29,25.43
254,2018-05-25,25.25
255,2018-05-24,26.08
256,2018-05-23,26.25
257,2018-05-22,26.35
258,2018-05-21,26.84
259,2018-05-18,26.27
260,2018-05-17,26.43
261,2018-05-16,25.75
262,2018-05-15,25.60
263,2018-05-14,25.59
264,2018-05-11,25.18
265,2018-05-10,25.21
266,2018-05-09,25.13
267,2018-05-08,24.61
268,2018-05-07,24.32
269,2018-05-04,24.21
270,2018-05-03,23.82
271,2018-05-02,24.12
272,2018-05-01,23.79
273,2018-04-30,23.94
274,2018-04-27,23.72
275,2018-04-26,24.25
276,2018-04-25,23.73
277,2018-04-24,23.54
278,2018-04-23,23.63
279,2018-04-20,23.45
280,2018-04-19,23.63
281,2018-04-18,23.59
282,2018-04-17,23.03
283,2018-04-16,22.90
284,2018-04-13,22.61
285,2018-04-12,22.37
286,2018-04-11,22.39
287,2018-04-10,22.07
288,2018-04-09,21.45
289,2018-04-06,21.17
290,2018-04-05,21.63
291,2018-04-04,21.04
