,Date,NAV
1,2019-05-30,13.81
2,2019-05-29,14.02
3,2019-05-28,14.21
4,2019-05-24,13.95
5,2019-05-23,14.16
6,2019-05-22,14.39
7,2019-05-21,14.38
8,2019-05-20,14.33
9,2019-05-17,13.95
10,2019-05-16,14.26
11,2019-05-15,14.20
12,2019-05-14,14.10
13,2019-05-13,14.02
14,2019-05-10,14.29
15,2019-05-09,14.23
16,2019-05-08,14.51
17,2019-05-07,14.50
18,2019-05-06,14.71
19,2019-05-03,14.59
20,2019-05-02,14.34
21,2019-05-01,14.40
22,2019-04-30,14.36
23,2019-04-29,14.34
24,2019-04-26,14.22
25,2019-04-25,14.11
26,2019-04-24,14.16
27,2019-04-23,14.14
28,2019-04-22,13.95
29,2019-04-18,13.93
30,2019-04-17,13.97
31,2019-04-16,14.04
32,2019-04-15,13.87
33,2019-04-12,13.90
34,2019-04-11,13.89
35,2019-04-10,13.87
36,2019-04-09,13.84
37,2019-04-08,14.02
38,2019-04-05,14.04
39,2019-04-04,13.96
40,2019-04-03,13.96
41,2019-04-02,13.90
42,2019-04-01,13.81
43,2019-03-29,13.55
44,2019-03-28,13.60
45,2019-03-27,13.58
46,2019-03-26,13.52
47,2019-03-25,13.45
48,2019-03-22,13.38
49,2019-03-21,13.62
50,2019-03-20,13.56
51,2019-03-19,13.68
52,2019-03-18,13.80
53,2019-03-15,13.68
54,2019-03-14,13.72
55,2019-03-13,13.54
56,2019-03-12,13.50
57,2019-03-11,13.51
58,2019-03-08,13.36
59,2019-03-07,13.31
60,2019-03-06,13.40
61,2019-03-05,13.49
62,2019-03-04,13.70
63,2019-03-01,13.66
64,2019-02-28,13.85
65,2019-02-27,14.02
66,2019-02-26,14.13
67,2019-02-25,14.20
68,2019-02-22,14.27
69,2019-02-21,13.74
70,2019-02-20,13.70
71,2019-02-19,13.47
72,2019-02-15,13.38
73,2019-02-14,13.03
74,2019-02-13,13.26
75,2019-02-12,13.02
76,2019-02-11,13.08
77,2019-02-08,13.01
78,2019-02-07,13.07
79,2019-02-06,13.35
80,2019-02-05,13.35
81,2019-02-04,13.32
82,2019-02-01,13.21
83,2019-01-31,13.34
84,2019-01-30,13.03
85,2019-01-29,12.76
86,2019-01-28,12.80
87,2019-01-25,12.75
88,2019-01-24,12.65
89,2019-01-23,12.54
90,2019-01-22,12.45
91,2019-01-18,12.64
92,2019-01-17,12.53
93,2019-01-16,12.46
94,2019-01-15,12.29
95,2019-01-14,12.22
96,2019-01-11,12.45
97,2019-01-10,12.27
98,2019-01-09,12.07
99,2019-01-08,12.20
100,2019-01-07,12.10
101,2019-01-04,11.47
102,2019-01-03,11.04
103,2019-01-02,10.96
104,2018-12-31,10.62
105,2018-12-28,11.00
106,2018-12-27,10.96
107,2018-12-26,10.73
108,2018-12-24,10.19
109,2018-12-21,10.13
110,2018-12-20,10.13
111,2018-12-19,10.85
112,2018-12-18,10.92
113,2018-12-17,10.94
114,2018-12-14,11.83
115,2018-12-13,12.19
116,2018-12-12,12.36
117,2018-12-11,12.26
118,2018-12-10,12.31
119,2018-12-07,12.53
120,2018-12-06,12.65
121,2018-12-04,12.83
122,2018-12-03,13.24
123,2018-11-30,12.92
124,2018-11-29,13.09
125,2018-11-28,13.10
126,2018-11-27,12.80
127,2018-11-26,12.84
128,2018-11-23,12.86
129,2018-11-21,12.66
130,2018-11-20,12.65
131,2018-11-19,13.09
132,2018-11-16,12.98
133,2018-11-15,12.86
134,2018-11-14,12.96
135,2018-11-13,13.06
136,2018-11-12,13.11
137,2018-11-09,13.48
138,2018-11-08,13.39
139,2018-11-07,13.57
140,2018-11-06,13.59
141,2018-11-05,13.21
142,2018-11-02,13.03
143,2018-11-01,13.12
144,2018-10-31,12.91
145,2018-10-30,12.49
146,2018-10-29,12.39
147,2018-10-26,12.31
148,2018-10-25,12.47
149,2018-10-24,12.45
150,2018-10-23,12.60
151,2018-10-22,12.85
152,2018-10-19,12.99
153,2018-10-18,13.20
154,2018-10-17,13.25
155,2018-10-16,13.31
156,2018-10-15,13.19
157,2018-10-12,13.14
158,2018-10-11,13.06
159,2018-10-10,13.46
160,2018-10-09,13.71
161,2018-10-08,13.40
162,2018-10-05,13.83
163,2018-10-04,13.86
164,2018-10-03,14.17
165,2018-10-02,14.11
166,2018-10-01,14.17
167,2018-09-28,14.20
168,2018-09-27,14.24
169,2018-09-26,14.27
170,2018-09-25,14.26
171,2018-09-24,14.34
172,2018-09-21,14.44
173,2018-09-20,14.41
174,2018-09-19,14.26
175,2018-09-18,14.33
176,2018-09-17,14.36
177,2018-09-14,14.30
178,2018-09-13,14.43
179,2018-09-12,14.23
180,2018-09-11,14.20
181,2018-09-10,14.23
182,2018-09-07,14.21
183,2018-09-06,14.38
184,2018-09-05,14.41
185,2018-09-04,14.49
186,2018-08-31,14.54
187,2018-08-30,14.56
188,2018-08-29,14.50
189,2018-08-28,14.34
190,2018-08-27,14.43
191,2018-08-24,14.29
192,2018-08-23,14.29
193,2018-08-22,14.38
194,2018-08-21,14.34
195,2018-08-20,14.29
196,2018-08-17,14.27
197,2018-08-16,14.14
198,2018-08-15,14.17
199,2018-08-14,14.24
200,2018-08-13,14.18
201,2018-08-10,14.18
202,2018-08-09,14.38
203,2018-08-08,14.40
204,2018-08-07,14.46
205,2018-08-06,14.47
206,2018-08-03,14.47
207,2018-08-02,14.33
208,2018-08-01,14.23
209,2018-07-31,14.23
210,2018-07-30,14.14
211,2018-07-27,14.11
212,2018-07-26,14.11
213,2018-07-25,14.11
214,2018-07-24,14.06
215,2018-07-23,13.96
216,2018-07-20,14.03
217,2018-07-19,14.08
218,2018-07-18,14.09
219,2018-07-17,13.53
220,2018-07-16,13.49
221,2018-07-13,13.44
222,2018-07-12,13.41
223,2018-07-11,13.60
224,2018-07-10,13.56
225,2018-07-09,13.53
226,2018-07-06,13.47
227,2018-07-05,13.47
228,2018-07-03,13.41
229,2018-07-02,13.24
230,2018-06-29,13.04
231,2018-06-28,12.96
232,2018-06-27,13.04
233,2018-06-26,13.17
234,2018-06-25,13.18
235,2018-06-22,13.22
236,2018-06-21,13.33
237,2018-06-20,13.46
238,2018-06-19,13.43
239,2018-06-18,13.42
240,2018-06-15,13.41
241,2018-06-14,13.39
242,2018-06-13,13.24
243,2018-06-12,13.27
244,2018-06-11,13.36
245,2018-06-08,13.48
246,2018-06-07,13.45
247,2018-06-06,13.38
248,2018-06-05,13.24
249,2018-06-04,13.24
250,2018-06-01,13.15
251,2018-05-31,13.18
252,2018-05-30,13.21
253,2018-05-29,13.06
254,2018-05-25,13.21
255,2018-05-24,13.19
256,2018-05-23,13.21
257,2018-05-22,13.10
258,2018-05-21,13.16
259,2018-05-18,12.95
260,2018-05-17,13.02
261,2018-05-16,12.92
262,2018-05-15,12.92
263,2018-05-14,12.96
264,2018-05-11,12.87
265,2018-05-10,12.82
266,2018-05-09,12.62
267,2018-05-08,12.63
268,2018-05-07,12.42
269,2018-05-04,12.36
270,2018-05-03,12.19
271,2018-05-02,12.19
272,2018-05-01,12.19
273,2018-04-30,12.25
274,2018-04-27,12.25
275,2018-04-26,12.05
276,2018-04-25,12.10
277,2018-04-24,12.13
278,2018-04-23,12.06
279,2018-04-20,12.18
280,2018-04-19,12.22
281,2018-04-18,12.30
282,2018-04-17,12.31
283,2018-04-16,12.16
284,2018-04-13,12.12
285,2018-04-12,12.16
286,2018-04-11,12.19
287,2018-04-10,12.25
288,2018-04-09,12.30
289,2018-04-06,12.38
290,2018-04-05,12.49
291,2018-04-04,12.40
292,2018-04-03,12.10
293,2018-04-02,12.04
294,2018-03-29,12.05
295,2018-03-28,11.90
296,2018-03-27,11.81
297,2018-03-26,12.14
298,2018-03-23,12.11
299,2018-03-22,12.34
300,2018-03-21,11.88
301,2018-03-20,11.89
302,2018-03-19,11.88
303,2018-03-16,11.94
304,2018-03-15,11.72
305,2018-03-14,12.05
306,2018-03-13,12.13
307,2018-03-12,12.03
308,2018-03-09,11.96
309,2018-03-08,11.90
310,2018-03-07,11.75
311,2018-03-06,11.93
312,2018-03-05,11.78
313,2018-03-02,11.36
314,2018-03-01,11.39
315,2018-02-28,11.39
316,2018-02-27,11.55
317,2018-02-26,11.61
318,2018-02-23,11.71
319,2018-02-22,11.66
320,2018-02-21,11.77
321,2018-02-20,11.90
322,2018-02-16,12.05
323,2018-02-15,11.81
324,2018-02-14,11.90
325,2018-02-13,11.98
326,2018-02-12,11.78
327,2018-02-09,11.61
328,2018-02-08,11.75
329,2018-02-07,11.73
330,2018-02-06,11.53
331,2018-02-05,11.25
332,2018-02-02,12.10
333,2018-02-01,12.50
334,2018-01-31,12.34
335,2018-01-30,12.51
336,2018-01-29,12.73
337,2018-01-26,12.88
338,2018-01-25,12.90
339,2018-01-24,13.01
340,2018-01-23,13.00
341,2018-01-22,12.92
342,2018-01-19,12.83
343,2018-01-18,12.76
344,2018-01-17,12.88
345,2018-01-16,12.86
346,2018-01-12,12.93
347,2018-01-11,12.74
348,2018-01-10,12.64
349,2018-01-09,12.66
350,2018-01-08,12.92
351,2018-01-05,12.87
352,2018-01-04,13.00
353,2018-01-03,12.98
354,2018-01-02,13.01
355,2017-12-29,12.90
356,2017-12-28,12.97
357,2017-12-27,12.99
358,2017-12-26,12.99
359,2017-12-22,13.08
360,2017-12-21,13.03
361,2017-12-20,12.94
362,2017-12-19,12.90
363,2017-12-18,13.05
364,2017-12-15,13.01
365,2017-12-14,12.93
366,2017-12-13,13.01
367,2017-12-12,12.94
368,2017-12-11,13.03
369,2017-12-08,13.02
370,2017-12-07,12.94
371,2017-12-06,12.95
372,2017-12-05,12.85
373,2017-12-04,13.00
374,2017-12-01,13.06
375,2017-11-30,13.11
