,Date,NAV
1,2019-05-30,65.52
2,2019-05-29,65.87
3,2019-05-28,66.56
4,2019-05-24,68.17
5,2019-05-23,66.91
6,2019-05-22,69.52
7,2019-05-21,69.84
8,2019-05-20,68.22
9,2019-05-17,68.62
10,2019-05-16,69.79
11,2019-05-15,67.65
12,2019-05-14,67.50
13,2019-05-13,65.83
14,2019-05-10,70.62
15,2019-05-09,69.33
16,2019-05-08,69.40
17,2019-05-07,69.80
18,2019-05-06,73.42
19,2019-05-03,74.30
20,2019-05-02,72.63
21,2019-05-01,72.48
22,2019-04-30,74.13
23,2019-04-29,73.16
24,2019-04-26,72.01
25,2019-04-25,70.35
26,2019-04-24,70.01
27,2019-04-23,69.96
28,2019-04-22,68.49
29,2019-04-18,69.07
30,2019-04-17,69.34
31,2019-04-16,69.44
32,2019-04-15,68.60
33,2019-04-12,69.53
34,2019-04-11,66.69
35,2019-04-10,66.16
36,2019-04-09,65.27
37,2019-04-08,66.60
38,2019-04-05,66.58
39,2019-04-04,66.15
40,2019-04-03,65.68
41,2019-04-02,65.21
42,2019-04-01,64.97
43,2019-03-29,61.86
44,2019-03-28,61.35
45,2019-03-27,59.88
46,2019-03-26,60.53
47,2019-03-25,58.64
48,2019-03-22,59.10
49,2019-03-21,63.23
50,2019-03-20,62.34
51,2019-03-19,65.03
52,2019-03-18,66.13
53,2019-03-15,65.01
54,2019-03-14,64.13
55,2019-03-13,63.47
56,2019-03-12,62.29
57,2019-03-11,61.67
58,2019-03-08,59.60
59,2019-03-07,59.64
60,2019-03-06,61.19
61,2019-03-05,62.33
62,2019-03-04,62.71
63,2019-03-01,63.66
64,2019-02-28,62.80
65,2019-02-27,62.83
66,2019-02-26,62.44
67,2019-02-25,62.70
68,2019-02-22,62.46
69,2019-02-21,62.04
70,2019-02-20,62.77
71,2019-02-19,62.34
72,2019-02-15,62.06
73,2019-02-14,59.34
74,2019-02-13,60.64
75,2019-02-12,59.95
76,2019-02-11,58.25
77,2019-02-08,57.73
78,2019-02-07,58.10
79,2019-02-06,59.06
