,Date,NAV
1,2019-05-30,8.78
2,2019-05-29,8.73
3,2019-05-28,8.64
4,2019-05-24,8.43
5,2019-05-23,8.59
6,2019-05-22,8.28
7,2019-05-21,8.25
8,2019-05-20,8.46
9,2019-05-17,8.39
10,2019-05-16,8.26
11,2019-05-15,8.54
12,2019-05-14,8.55
13,2019-05-13,8.78
14,2019-05-10,8.22
15,2019-05-09,8.39
16,2019-05-08,8.36
17,2019-05-07,8.31
18,2019-05-06,7.92
19,2019-05-03,7.83
20,2019-05-02,8.02
21,2019-05-01,8.02
22,2019-04-30,7.85
23,2019-04-29,7.93
24,2019-04-26,8.09
25,2019-04-25,8.28
26,2019-04-24,8.32
27,2019-04-23,8.33
28,2019-04-22,8.51
29,2019-04-18,8.44
30,2019-04-17,8.41
31,2019-04-16,8.39
32,2019-04-15,8.50
33,2019-04-12,8.38
34,2019-04-11,8.75
35,2019-04-10,8.82
36,2019-04-09,8.95
37,2019-04-08,8.78
38,2019-04-05,8.78
39,2019-04-04,8.83
40,2019-04-03,8.89
41,2019-04-02,8.97
42,2019-04-01,8.99
43,2019-03-29,9.45
44,2019-03-28,9.54
45,2019-03-27,9.76
46,2019-03-26,9.67
47,2019-03-25,9.99
48,2019-03-22,9.92
49,2019-03-21,9.31
50,2019-03-20,9.46
51,2019-03-19,9.07
52,2019-03-18,8.93
53,2019-03-15,9.07
54,2019-03-14,9.20
55,2019-03-13,9.29
56,2019-03-12,9.48
57,2019-03-11,9.55
58,2019-03-08,9.92
59,2019-03-07,9.92
60,2019-03-06,9.66
61,2019-03-05,9.48
62,2019-03-04,9.43
63,2019-03-01,9.30
64,2019-02-28,9.42
65,2019-02-27,9.42
66,2019-02-26,9.47
67,2019-02-25,9.44
68,2019-02-22,9.46
69,2019-02-21,9.52
70,2019-02-20,9.42
71,2019-02-19,9.48
72,2019-02-15,9.54
73,2019-02-14,9.99
74,2019-02-13,9.78
75,2019-02-12,9.89
76,2019-02-11,10.18
77,2019-02-08,10.28
78,2019-02-07,10.22
79,2019-02-06,10.03
80,2019-02-05,9.95
81,2019-02-04,9.98
82,2019-02-01,10.14
83,2019-01-31,10.30
84,2019-01-30,10.31
85,2019-01-29,10.54
86,2019-01-28,10.48
87,2019-01-25,10.42
88,2019-01-24,10.75
89,2019-01-23,10.86
90,2019-01-22,10.86
91,2019-01-18,10.58
92,2019-01-17,11.02
93,2019-01-16,11.20
94,2019-01-15,11.74
95,2019-01-14,12.05
96,2019-01-11,12.17
97,2019-01-10,12.20
98,2019-01-09,12.34
99,2019-01-08,12.55
100,2019-01-07,12.76
101,2019-01-04,12.95
102,2019-01-03,14.23
103,2019-01-02,13.49
104,2018-12-31,13.53
105,2018-12-28,13.88
106,2018-12-27,13.90
107,2018-12-26,14.26
108,2018-12-24,16.52
109,2018-12-21,15.39
110,2018-12-20,14.51
111,2018-12-19,14.07
112,2018-12-18,13.53
113,2018-12-17,13.52
114,2018-12-14,12.81
115,2018-12-13,12.45
116,2018-12-12,12.31
117,2018-12-11,12.35
118,2018-12-10,12.12
119,2018-12-07,11.78
120,2018-12-06,11.15
121,2018-12-04,11.07
122,2018-12-03,9.96
123,2018-11-30,10.21
124,2018-11-29,10.45
125,2018-11-28,10.23
126,2018-11-27,10.86
127,2018-11-26,10.91
128,2018-11-23,11.53
129,2018-11-21,11.25
130,2018-11-20,11.33
131,2018-11-19,10.76
132,2018-11-16,10.55
133,2018-11-15,10.61
134,2018-11-14,10.96
135,2018-11-13,10.61
136,2018-11-12,10.74
137,2018-11-09,10.20
138,2018-11-08,9.96
139,2018-11-07,10.03
140,2018-11-06,10.53
141,2018-11-05,10.69
142,2018-11-02,11.06
143,2018-11-01,10.98
144,2018-10-31,11.17
145,2018-10-30,11.61
146,2018-10-29,12.06
147,2018-10-26,12.18
148,2018-10-25,11.60
149,2018-10-24,12.29
150,2018-10-23,11.52
151,2018-10-22,11.34
152,2018-10-19,10.85
153,2018-10-18,10.98
154,2018-10-17,10.54
155,2018-10-16,10.74
156,2018-10-15,11.37
157,2018-10-12,11.20
158,2018-10-11,11.38
159,2018-10-10,10.52
160,2018-10-09,9.67
161,2018-10-08,9.60
162,2018-10-05,9.67
163,2018-10-04,9.55
164,2018-10-03,9.54
165,2018-10-02,9.69
166,2018-10-01,9.66
167,2018-09-28,9.65
168,2018-09-27,9.53
169,2018-09-26,9.48
170,2018-09-25,9.19
171,2018-09-24,9.15
172,2018-09-21,8.86
173,2018-09-20,8.81
174,2018-09-19,9.04
175,2018-09-18,9.25
176,2018-09-17,9.34
177,2018-09-14,9.23
178,2018-09-13,9.31
179,2018-09-12,9.35
180,2018-09-11,9.20
181,2018-09-10,9.25
182,2018-09-07,9.28
183,2018-09-06,9.20
184,2018-09-05,9.14
185,2018-09-04,9.07
186,2018-08-31,9.15
187,2018-08-30,9.15
188,2018-08-29,9.00
189,2018-08-28,9.04
190,2018-08-27,9.08
191,2018-08-24,9.31
192,2018-08-23,9.44
193,2018-08-22,9.36
194,2018-08-21,9.31
195,2018-08-20,9.34
196,2018-08-17,9.43
197,2018-08-16,9.53
198,2018-08-15,9.83
199,2018-08-14,9.70
200,2018-08-13,9.92
201,2018-08-10,9.73
202,2018-08-09,9.47
203,2018-08-08,9.40
204,2018-08-07,9.43
205,2018-08-06,9.52
206,2018-08-03,9.62
207,2018-08-02,9.76
208,2018-08-01,9.80
209,2018-07-31,9.89
210,2018-07-30,9.85
211,2018-07-27,9.73
212,2018-07-26,9.63
213,2018-07-25,9.59
214,2018-07-24,9.74
215,2018-07-23,9.76
216,2018-07-20,10.02
217,2018-07-19,10.01
218,2018-07-18,9.79
219,2018-07-17,10.09
220,2018-07-16,10.12
221,2018-07-13,10.40
222,2018-07-12,10.26
223,2018-07-11,10.37
224,2018-07-10,10.29
225,2018-07-09,10.24
226,2018-07-06,10.71
227,2018-07-05,10.89
228,2018-07-03,11.08
229,2018-07-02,10.89
230,2018-06-29,10.99
231,2018-06-28,11.00
232,2018-06-27,11.31
233,2018-06-26,10.93
234,2018-06-25,10.87
235,2018-06-22,10.49
236,2018-06-21,10.43
237,2018-06-20,10.38
238,2018-06-19,10.40
239,2018-06-18,10.34
240,2018-06-15,10.34
241,2018-06-14,10.34
242,2018-06-13,10.22
243,2018-06-12,10.04
244,2018-06-11,10.04
245,2018-06-08,9.96
246,2018-06-07,10.07
247,2018-06-06,10.03
248,2018-06-05,10.48
249,2018-06-04,10.42
250,2018-06-01,10.62
251,2018-05-31,10.90
252,2018-05-30,10.70
253,2018-05-29,11.24
254,2018-05-25,10.52
255,2018-05-24,10.42
256,2018-05-23,10.28
257,2018-05-22,10.22
258,2018-05-21,10.34
259,2018-05-18,10.58
260,2018-05-17,10.40
261,2018-05-16,10.36
262,2018-05-15,10.37
263,2018-05-14,10.27
264,2018-05-11,10.19
265,2018-05-10,10.16
266,2018-05-09,10.40
267,2018-05-08,10.78
268,2018-05-07,10.93
269,2018-05-04,11.13
270,2018-05-03,11.52
271,2018-05-02,11.36
272,2018-05-01,11.06
273,2018-04-30,11.17
274,2018-04-27,10.99
275,2018-04-26,11.05
276,2018-04-25,11.25
277,2018-04-24,11.19
278,2018-04-23,10.97
279,2018-04-20,10.93
280,2018-04-19,10.90
281,2018-04-18,11.11
282,2018-04-17,11.04
283,2018-04-16,11.19
284,2018-04-13,11.35
285,2018-04-12,11.02
286,2018-04-11,11.40
287,2018-04-10,11.13
288,2018-04-09,11.54
289,2018-04-06,11.64
290,2018-04-05,10.95
291,2018-04-04,11.17
292,2018-04-03,11.49
293,2018-04-02,11.88
294,2018-03-29,11.23
295,2018-03-28,11.60
296,2018-03-27,11.73
297,2018-03-26,11.19
298,2018-03-23,12.20
299,2018-03-22,11.31
300,2018-03-21,10.37
301,2018-03-20,10.29
302,2018-03-19,10.37
303,2018-03-16,10.12
304,2018-03-15,10.21
305,2018-03-14,10.22
306,2018-03-13,10.00
307,2018-03-12,9.78
308,2018-03-09,9.75
309,2018-03-08,10.37
