,Date,NAV
1,2019-05-30,7.40
2,2019-05-29,7.26
3,2019-05-28,7.22
4,2019-05-24,7.00
5,2019-05-23,7.20
6,2019-05-22,6.87
7,2019-05-21,6.78
8,2019-05-20,6.96
9,2019-05-17,7.02
10,2019-05-16,6.87
11,2019-05-15,7.07
12,2019-05-14,6.97
13,2019-05-13,7.17
14,2019-05-10,6.61
15,2019-05-09,6.70
16,2019-05-08,6.67
17,2019-05-07,6.64
18,2019-05-06,6.27
19,2019-05-03,6.22
20,2019-05-02,6.35
21,2019-05-01,6.37
22,2019-04-30,6.24
23,2019-04-29,6.24
24,2019-04-26,6.45
25,2019-04-25,6.60
26,2019-04-24,6.63
27,2019-04-23,6.61
28,2019-04-22,6.72
29,2019-04-18,6.68
30,2019-04-17,6.62
31,2019-04-16,6.67
32,2019-04-15,6.93
33,2019-04-12,6.82
34,2019-04-11,7.20
35,2019-04-10,7.35
36,2019-04-09,7.46
37,2019-04-08,7.26
38,2019-04-05,7.29
39,2019-04-04,7.29
40,2019-04-03,7.42
41,2019-04-02,7.48
42,2019-04-01,7.45
43,2019-03-29,8.06
44,2019-03-28,8.15
45,2019-03-27,8.33
46,2019-03-26,8.25
47,2019-03-25,8.53
48,2019-03-22,8.44
49,2019-03-21,7.79
50,2019-03-20,7.71
51,2019-03-19,7.26
52,2019-03-18,7.11
53,2019-03-15,7.36
54,2019-03-14,7.46
55,2019-03-13,7.57
56,2019-03-12,7.78
57,2019-03-11,7.76
58,2019-03-08,7.95
59,2019-03-07,8.00
60,2019-03-06,7.75
61,2019-03-05,7.52
62,2019-03-04,7.55
63,2019-03-01,7.41
64,2019-02-28,7.57
65,2019-02-27,7.47
66,2019-02-26,7.53
67,2019-02-25,7.64
68,2019-02-22,7.56
69,2019-02-21,7.55
70,2019-02-20,7.40
71,2019-02-19,7.50
72,2019-02-15,7.62
73,2019-02-14,8.06
74,2019-02-13,7.82
75,2019-02-12,7.85
76,2019-02-11,8.26
77,2019-02-08,8.26
78,2019-02-07,8.21
79,2019-02-06,7.96
80,2019-02-05,7.87
81,2019-02-04,7.80
82,2019-02-01,7.93
83,2019-01-31,8.00
84,2019-01-30,7.97
85,2019-01-29,8.17
86,2019-01-28,8.08
87,2019-01-25,8.01
88,2019-01-24,8.17
89,2019-01-23,8.18
90,2019-01-22,8.29
91,2019-01-18,7.94
92,2019-01-17,8.37
93,2019-01-16,8.57
94,2019-01-15,9.05
95,2019-01-14,9.39
96,2019-01-11,9.57
97,2019-01-10,9.60
98,2019-01-09,9.67
99,2019-01-08,9.86
100,2019-01-07,9.74
101,2019-01-04,9.79
102,2019-01-03,11.04
103,2019-01-02,10.29
104,2018-12-31,10.65
105,2018-12-28,10.85
106,2018-12-27,10.83
107,2018-12-26,11.50
108,2018-12-24,12.86
109,2018-12-21,12.26
110,2018-12-20,11.59
111,2018-12-19,11.33
112,2018-12-18,10.75
113,2018-12-17,10.76
114,2018-12-14,10.38
115,2018-12-13,10.07
116,2018-12-12,9.82
117,2018-12-11,10.05
118,2018-12-10,9.60
119,2018-12-07,9.34
120,2018-12-06,8.76
121,2018-12-04,8.61
122,2018-12-03,7.56
123,2018-11-30,7.61
124,2018-11-29,7.61
125,2018-11-28,7.64
126,2018-11-27,8.09
127,2018-11-26,8.12
128,2018-11-23,8.54
129,2018-11-21,8.14
130,2018-11-20,8.23
131,2018-11-19,7.90
132,2018-11-16,7.79
133,2018-11-15,7.89
134,2018-11-14,8.15
135,2018-11-13,7.83
136,2018-11-12,7.86
137,2018-11-09,7.52
138,2018-11-08,7.34
139,2018-11-07,7.44
140,2018-11-06,7.81
141,2018-11-05,7.84
142,2018-11-02,8.29
143,2018-11-01,8.20
144,2018-10-31,8.27
145,2018-10-30,8.70
146,2018-10-29,9.35
147,2018-10-26,9.43
148,2018-10-25,9.08
149,2018-10-24,9.39
150,2018-10-23,8.65
151,2018-10-22,8.58
152,2018-10-19,7.99
153,2018-10-18,7.62
154,2018-10-17,7.62
155,2018-10-16,8.01
156,2018-10-15,8.25
157,2018-10-12,8.31
158,2018-10-11,8.22
159,2018-10-10,7.45
160,2018-10-09,6.98
161,2018-10-08,6.89
162,2018-10-05,7.04
163,2018-10-04,6.98
164,2018-10-03,7.15
165,2018-10-02,7.29
166,2018-10-01,7.28
167,2018-09-28,7.27
168,2018-09-27,7.03
169,2018-09-26,7.12
170,2018-09-25,6.74
171,2018-09-24,6.49
172,2018-09-21,6.49
173,2018-09-20,6.43
174,2018-09-19,6.56
175,2018-09-18,6.96
176,2018-09-17,7.03
177,2018-09-14,7.02
178,2018-09-13,7.09
179,2018-09-12,7.11
180,2018-09-11,6.81
181,2018-09-10,6.84
182,2018-09-07,6.92
183,2018-09-06,6.86
184,2018-09-05,6.75
185,2018-09-04,6.76
186,2018-08-31,6.98
187,2018-08-30,6.87
188,2018-08-29,6.81
189,2018-08-28,6.69
190,2018-08-27,6.69
191,2018-08-24,6.94
192,2018-08-23,7.06
193,2018-08-22,6.95
