,Date,NAV
1,2019-05-30,30.41
2,2019-05-29,30.59
3,2019-05-28,30.63
4,2019-05-24,30.99
5,2019-05-23,30.69
6,2019-05-22,31.14
7,2019-05-21,31.30
8,2019-05-20,31.00
9,2019-05-17,31.04
10,2019-05-16,31.28
11,2019-05-15,30.97
12,2019-05-14,31.01
13,2019-05-13,30.71
14,2019-05-10,31.57
15,2019-05-09,31.39
16,2019-05-08,31.41
17,2019-05-07,31.54
18,2019-05-06,32.10
19,2019-05-03,32.18
20,2019-05-02,31.85
21,2019-05-01,31.81
22,2019-04-30,32.07
23,2019-04-29,32.01
24,2019-04-26,31.87
25,2019-04-25,31.59
26,2019-04-24,31.63
27,2019-04-23,31.60
28,2019-04-22,31.18
29,2019-04-18,31.34
30,2019-04-17,31.39
31,2019-04-16,31.50
32,2019-04-15,31.26
33,2019-04-12,31.51
34,2019-04-11,31.09
35,2019-04-10,31.00
36,2019-04-09,30.75
37,2019-04-08,31.08
38,2019-04-05,31.09
39,2019-04-04,30.99
40,2019-04-03,30.85
41,2019-04-02,30.76
42,2019-04-01,30.82
43,2019-03-29,30.26
44,2019-03-28,30.22
45,2019-03-27,29.98
46,2019-03-26,30.00
47,2019-03-25,29.62
48,2019-03-22,29.67
49,2019-03-21,30.35
50,2019-03-20,30.23
51,2019-03-19,30.73
52,2019-03-18,31.05
53,2019-03-15,30.85
54,2019-03-14,30.76
55,2019-03-13,30.68
56,2019-03-12,30.51
57,2019-03-11,30.45
58,2019-03-08,30.13
59,2019-03-07,30.15
60,2019-03-06,30.48
61,2019-03-05,30.82
62,2019-03-04,30.89
63,2019-03-01,31.01
64,2019-02-28,30.90
65,2019-02-27,30.87
66,2019-02-26,30.82
67,2019-02-25,31.00
68,2019-02-22,31.10
69,2019-02-21,30.91
70,2019-02-20,31.07
71,2019-02-19,30.95
72,2019-02-15,30.80
73,2019-02-14,30.40
74,2019-02-13,30.60
75,2019-02-12,30.50
76,2019-02-11,30.23
77,2019-02-08,30.13
78,2019-02-07,30.19
79,2019-02-06,30.13
80,2019-02-05,30.21
81,2019-02-04,30.14
82,2019-02-01,29.98
83,2019-01-31,29.81
84,2019-01-30,29.73
85,2019-01-29,29.60
86,2019-01-28,29.71
87,2019-01-25,29.62
88,2019-01-24,29.34
89,2019-01-23,29.26
90,2019-01-22,29.20
91,2019-01-18,29.48
92,2019-01-17,29.10
