,Date,NAV
1,2019-05-30,68.16
2,2019-05-29,68.23
3,2019-05-28,68.21
4,2019-05-24,69.06
5,2019-05-23,68.44
6,2019-05-22,69.44
7,2019-05-21,69.22
8,2019-05-20,68.66
9,2019-05-17,68.45
10,2019-05-16,68.77
11,2019-05-15,68.13
12,2019-05-14,67.83
13,2019-05-13,66.94
14,2019-05-10,68.28
15,2019-05-09,67.71
16,2019-05-08,67.67
17,2019-05-07,67.69
18,2019-05-06,68.22
19,2019-05-03,68.31
20,2019-05-02,67.79
21,2019-05-01,67.73
22,2019-04-30,68.31
23,2019-04-29,67.80
24,2019-04-26,67.15
25,2019-04-25,66.61
26,2019-04-24,66.39
27,2019-04-23,66.36
28,2019-04-22,65.88
29,2019-04-18,66.17
30,2019-04-17,66.18
31,2019-04-16,66.81
32,2019-04-15,65.62
33,2019-04-12,65.94
34,2019-04-11,65.30
35,2019-04-10,64.67
36,2019-04-09,64.03
37,2019-04-08,64.70
38,2019-04-05,64.83
39,2019-04-04,64.51
40,2019-04-03,64.32
41,2019-04-02,64.15
42,2019-04-01,64.68
43,2019-03-29,63.62
44,2019-03-28,63.50
45,2019-03-27,63.50
46,2019-03-26,63.31
47,2019-03-25,62.83
48,2019-03-22,62.95
49,2019-03-21,63.81
50,2019-03-20,63.20
51,2019-03-19,64.25
52,2019-03-18,64.87
53,2019-03-15,64.50
54,2019-03-14,64.11
55,2019-03-13,63.88
56,2019-03-12,63.76
57,2019-03-11,63.55
58,2019-03-08,63.07
59,2019-03-07,63.15
60,2019-03-06,63.73
61,2019-03-05,64.38
62,2019-03-04,64.45
63,2019-03-01,64.70
64,2019-02-28,64.44
65,2019-02-27,64.31
66,2019-02-26,64.41
67,2019-02-25,64.52
68,2019-02-22,64.31
69,2019-02-21,64.24
70,2019-02-20,64.41
71,2019-02-19,64.10
72,2019-02-15,63.67
73,2019-02-14,62.58
74,2019-02-13,63.47
75,2019-02-12,63.14
76,2019-02-11,62.27
77,2019-02-08,61.95
78,2019-02-07,62.23
79,2019-02-06,62.57
80,2019-02-05,62.54
81,2019-02-04,62.39
82,2019-02-01,62.29
83,2019-01-31,61.93
84,2019-01-30,61.27
85,2019-01-29,60.82
86,2019-01-28,61.12
87,2019-01-25,61.34
88,2019-01-24,61.10
89,2019-01-23,61.00
90,2019-01-22,60.63
91,2019-01-18,61.48
92,2019-01-17,60.79
93,2019-01-16,60.55
94,2019-01-15,59.76
95,2019-01-14,59.37
96,2019-01-11,59.12
97,2019-01-10,59.17
98,2019-01-09,58.72
99,2019-01-08,58.15
100,2019-01-07,58.03
101,2019-01-04,58.11
102,2019-01-03,56.43
103,2019-01-02,57.23
104,2018-12-31,57.40
105,2018-12-28,56.87
106,2018-12-27,57.08
107,2018-12-26,56.36
108,2018-12-24,54.21
109,2018-12-21,55.54
110,2018-12-20,56.00
111,2018-12-19,56.71
112,2018-12-18,56.94
113,2018-12-17,56.76
114,2018-12-14,57.32
115,2018-12-13,57.86
116,2018-12-12,57.94
117,2018-12-11,57.54
118,2018-12-10,58.07
119,2018-12-07,58.66
120,2018-12-06,58.95
121,2018-12-04,60.62
122,2018-12-03,61.94
123,2018-11-30,61.89
124,2018-11-29,62.37
125,2018-11-28,61.87
126,2018-11-27,60.98
127,2018-11-26,61.50
128,2018-11-23,61.04
129,2018-11-21,61.33
130,2018-11-20,60.93
131,2018-11-19,61.45
132,2018-11-16,61.58
133,2018-11-15,61.29
134,2018-11-14,60.88
135,2018-11-13,62.06
136,2018-11-12,62.13
137,2018-11-09,63.15
138,2018-11-08,63.20
139,2018-11-07,63.37
140,2018-11-06,62.24
141,2018-11-05,61.85
142,2018-11-02,60.83
143,2018-11-01,60.76
144,2018-10-31,60.67
145,2018-10-30,60.17
146,2018-10-29,58.90
147,2018-10-26,59.05
148,2018-10-25,59.54
149,2018-10-24,58.96
150,2018-10-23,60.68
151,2018-10-22,61.48
152,2018-10-19,62.23
153,2018-10-18,62.23
154,2018-10-17,62.77
155,2018-10-16,62.17
156,2018-10-15,61.64
157,2018-10-12,61.85
158,2018-10-11,62.05
159,2018-10-10,64.46
160,2018-10-09,66.36
161,2018-10-08,66.20
162,2018-10-05,65.58
163,2018-10-04,65.92
164,2018-10-03,65.52
165,2018-10-02,65.25
166,2018-10-01,65.22
167,2018-09-28,65.59
168,2018-09-27,65.43
169,2018-09-26,65.53
170,2018-09-25,66.16
171,2018-09-24,66.39
172,2018-09-21,67.14
173,2018-09-20,67.05
174,2018-09-19,66.38
175,2018-09-18,65.87
176,2018-09-17,65.34
177,2018-09-14,65.72
178,2018-09-13,64.89
179,2018-09-12,64.15
180,2018-09-11,64.56
181,2018-09-10,64.64
182,2018-09-07,65.21
183,2018-09-06,65.49
184,2018-09-05,65.63
185,2018-09-04,65.26
186,2018-08-31,65.01
187,2018-08-30,65.05
188,2018-08-29,65.47
189,2018-08-28,65.44
190,2018-08-27,65.56
191,2018-08-24,65.02
192,2018-08-23,64.54
193,2018-08-22,64.85
194,2018-08-21,65.53
195,2018-08-20,65.04
196,2018-08-17,64.85
197,2018-08-16,64.53
198,2018-08-15,63.81
199,2018-08-14,63.88
200,2018-08-13,63.60
201,2018-08-10,63.84
202,2018-08-09,64.40
203,2018-08-08,64.61
204,2018-08-07,64.54
205,2018-08-06,64.55
206,2018-08-03,64.43
207,2018-08-02,64.43
208,2018-08-01,64.45
209,2018-07-31,64.63
210,2018-07-30,64.36
211,2018-07-27,64.02
212,2018-07-26,63.82
213,2018-07-25,62.91
214,2018-07-24,62.78
215,2018-07-23,62.62
216,2018-07-20,62.35
217,2018-07-19,62.31
218,2018-07-18,63.11
219,2018-07-17,62.42
220,2018-07-16,62.31
221,2018-07-13,61.90
222,2018-07-12,61.84
223,2018-07-11,61.84
224,2018-07-10,62.50
225,2018-07-09,62.55
226,2018-07-06,61.34
227,2018-07-05,60.96
228,2018-07-03,60.79
229,2018-07-02,60.69
230,2018-06-29,60.57
231,2018-06-28,60.59
232,2018-06-27,60.31
233,2018-06-26,61.16
234,2018-06-25,61.49
235,2018-06-22,61.89
236,2018-06-21,61.60
237,2018-06-20,62.13
238,2018-06-19,62.79
239,2018-06-18,62.71
240,2018-06-15,63.01
241,2018-06-14,62.92
242,2018-06-13,63.24
243,2018-06-12,63.30
244,2018-06-11,63.81
245,2018-06-08,63.75
246,2018-06-07,63.31
247,2018-06-06,62.97
248,2018-06-05,62.65
249,2018-06-04,62.74
250,2018-06-01,62.50
251,2018-05-31,62.09
252,2018-05-30,62.61
253,2018-05-29,61.54
254,2018-05-25,62.89
255,2018-05-24,63.24
256,2018-05-23,63.22
257,2018-05-22,63.78
258,2018-05-21,63.51
259,2018-05-18,63.07
260,2018-05-17,63.17
261,2018-05-16,62.84
262,2018-05-15,62.60
263,2018-05-14,62.56
264,2018-05-11,62.75
265,2018-05-10,62.70
266,2018-05-09,62.45
267,2018-05-08,62.14
268,2018-05-07,62.41
269,2018-05-04,62.17
270,2018-05-03,61.10
271,2018-05-02,61.93
272,2018-05-01,63.66
273,2018-04-30,64.00
274,2018-04-27,64.29
275,2018-04-26,63.86
276,2018-04-25,63.84
277,2018-04-24,63.62
278,2018-04-23,64.14
279,2018-04-20,63.97
280,2018-04-19,64.10
281,2018-04-18,63.70
282,2018-04-17,63.79
283,2018-04-16,63.78
284,2018-04-13,62.89
